POID,SupplierID,PartID,OrderDate,Qty,UnitCostUSD,ExtendedUSD,PromiseDate,Status
PO-100165,SUP-024,PN-10093,2025-10-01,1325,579.47,767802.28,2025-11-03,Open
PO-100166,SUP-008,PN-10007,2025-05-01,463,711.49,329418.62,2025-06-19,Received
PO-100167,SUP-054,PN-10123,2026-02-01,618,184.03,113732.41,2026-03-10,Received
PO-100168,SUP-009,PN-10218,2026-06-01,280,510.41,142913.99,2026-07-02,Late
PO-100169,SUP-033,PN-10172,2025-01-01,1207,348.71,420896.41,2025-02-18,Open
PO-100170,SUP-033,PN-10242,2024-10-01,1749,959.96,1678977.92,2024-11-17,Received
PO-100171,SUP-010,PN-10009,2026-05-01,324,355.67,115238.08,2026-05-24,Received
PO-100172,SUP-024,PN-10163,2024-12-01,490,597.01,292533.14,2024-12-29,Late
PO-100173,SUP-031,PN-10030,2026-04-01,294,545.21,160292.24,2026-04-16,Received
PO-100174,SUP-020,PN-10159,2026-01-01,1741,555.21,966618.08,2026-02-19,Open
PO-100175,SUP-024,PN-10233,2025-10-01,622,281.9,175344.09,2025-11-07,Received
PO-100176,SUP-015,PN-10224,2025-02-01,1469,412.17,605471.42,2025-03-19,Received
PO-100177,SUP-034,PN-10173,2024-08-01,991,663.99,658009.58,2024-09-16,Received
PO-100178,SUP-013,PN-10152,2025-08-01,1096,843.61,924597.27,2025-08-22,Open
PO-100179,SUP-038,PN-10247,2025-07-01,1715,527.93,905397.73,2025-08-19,Received
PO-100180,SUP-028,PN-10167,2024-09-01,1606,217.07,348621.29,2024-09-19,Received
PO-100181,SUP-041,PN-10040,2025-12-01,1909,953.25,1819759.34,2026-01-27,Received
PO-100182,SUP-002,PN-10141,2024-08-01,1848,642.65,1187620.09,2024-08-29,Received
PO-100183,SUP-062,PN-10061,2026-02-01,920,694.43,638877.36,2026-03-25,Received
PO-100184,SUP-002,PN-10071,2024-09-01,1958,524.14,1026262.36,2024-10-20,Open
PO-100185,SUP-012,PN-10151,2026-03-01,1045,827.57,864812.01,2026-04-19,Open
PO-100186,SUP-046,PN-10115,2025-04-01,303,265.77,80528.26,2025-04-29,Received
PO-100187,SUP-048,PN-10117,2025-09-01,1857,192.02,356574.57,2025-09-30,Received
PO-100188,SUP-045,PN-10184,2025-03-01,703,752.35,528898.8,2025-03-17,Open
PO-100189,SUP-070,PN-10069,2025-11-01,1616,336.43,543670.33,2025-11-20,Received
PO-100190,SUP-068,PN-10207,2025-01-01,1130,524.06,592187.91,2025-02-03,Received
PO-100191,SUP-028,PN-10237,2026-04-01,1866,813.02,1517098.68,2026-05-06,Open
PO-100192,SUP-041,PN-10250,2025-01-01,981,48.59,47671.1,2025-01-22,Received
PO-100193,SUP-014,PN-10153,2026-07-01,1814,558.98,1013993.62,2026-07-19,Received
PO-100194,SUP-068,PN-10137,2026-04-01,1181,37.14,43859.04,2026-04-27,Open
PO-100195,SUP-043,PN-10042,2026-06-01,1408,274.39,386335.69,2026-07-28,Received
PO-100196,SUP-005,PN-10004,2024-11-01,785,67.94,53335.34,2024-12-05,Late
PO-100197,SUP-025,PN-10234,2024-10-01,1411,493.87,696845.71,2024-10-16,Open
PO-100198,SUP-036,PN-10035,2025-10-01,1955,446.18,872283.22,2025-10-18,Received
PO-100199,SUP-011,PN-10080,2025-01-01,681,432.2,294329.93,2025-02-09,Received
PO-100200,SUP-043,PN-10042,2024-11-01,147,248.05,36463.9,2024-12-18,Open
PO-100201,SUP-031,PN-10030,2025-04-01,1472,558.21,821681.8,2025-05-25,Open
PO-100202,SUP-055,PN-10054,2026-01-01,1892,53.06,100386.61,2026-01-16,Received
PO-100203,SUP-053,PN-10052,2026-02-01,1860,42.59,79211.72,2026-04-02,Open
PO-100204,SUP-011,PN-10150,2026-07-01,1941,400.85,778059.11,2026-07-25,Open
PO-100205,SUP-030,PN-10239,2025-02-01,1586,53.74,85224.11,2025-03-11,Late
PO-100206,SUP-023,PN-10022,2026-02-01,1405,353.43,496568.55,2026-03-27,Received
PO-100207,SUP-068,PN-10207,2024-10-01,380,467.47,177637.37,2024-11-27,Open
PO-100208,SUP-013,PN-10012,2025-03-01,1207,257.99,311394.26,2025-04-29,Received
PO-100209,SUP-048,PN-10047,2026-03-01,1769,587.11,1038599.58,2026-03-30,Open
PO-100210,SUP-040,PN-10179,2026-07-01,1660,829.19,1376452.08,2026-07-27,Open
PO-100211,SUP-036,PN-10105,2026-03-01,1763,715.79,1261942.04,2026-04-08,Received
PO-100212,SUP-065,PN-10204,2024-10-01,1143,634.43,725149.37,2024-11-13,Late
PO-100213,SUP-041,PN-10250,2025-11-01,1818,44.37,80661.91,2025-12-04,Received
PO-100214,SUP-011,PN-10010,2026-04-01,58,551.22,31970.86,2026-05-23,Received
PO-100215,SUP-026,PN-10235,2026-02-01,62,455.81,28260.04,2026-02-22,Received
PO-100216,SUP-044,PN-10113,2024-09-01,631,780.85,492715.97,2024-10-01,Received
PO-100217,SUP-001,PN-10070,2025-11-01,1748,787.79,1377054.83,2025-12-06,Open
PO-100218,SUP-047,PN-10186,2025-07-01,329,781.3,257047.81,2025-08-08,Open
PO-100219,SUP-038,PN-10107,2026-07-01,1904,229.22,436430.89,2026-08-23,Received
PO-100220,SUP-025,PN-10094,2026-06-01,124,345.14,42797.09,2026-06-19,Received
PO-100221,SUP-030,PN-10029,2026-01-01,1761,401.9,707745.34,2026-02-26,Late
PO-100222,SUP-062,PN-10201,2026-05-01,1068,125.48,134013.59,2026-06-13,Received
PO-100223,SUP-061,PN-10200,2024-11-01,144,620.76,89389.46,2024-12-18,Open
PO-100224,SUP-034,PN-10103,2026-07-01,1797,392.82,705900.53,2026-08-27,Late
PO-100225,SUP-016,PN-10155,2025-04-01,772,425.95,328833.81,2025-05-22,Received
PO-100226,SUP-038,PN-10037,2026-04-01,802,788.9,632696.81,2026-05-22,Late
PO-100227,SUP-041,PN-10110,2026-07-01,1720,653.94,1124770.53,2026-08-15,Late
PO-100228,SUP-024,PN-10233,2024-09-01,1865,289.53,539972.83,2024-10-26,Received
PO-100229,SUP-032,PN-10171,2025-09-01,349,794.34,277223.48,2025-09-21,Late
PO-100230,SUP-053,PN-10052,2026-07-01,1562,46.53,72672.14,2026-08-30,Received
PO-100231,SUP-065,PN-10064,2025-07-01,1723,176.18,303550.11,2025-08-04,Late
PO-100232,SUP-001,PN-10140,2026-03-01,133,496.85,66081.51,2026-03-19,Received
PO-100233,SUP-051,PN-10050,2024-11-01,1415,690.55,977131.94,2024-11-22,Open
PO-100234,SUP-052,PN-10191,2025-04-01,199,80.87,16093.66,2025-04-20,Received
PO-100235,SUP-018,PN-10087,2026-03-01,280,410.51,114942.1,2026-04-13,Received
PO-100236,SUP-052,PN-10191,2026-03-01,770,75.71,58300.4,2026-04-14,Received
PO-100237,SUP-062,PN-10131,2025-11-01,344,748.63,257529.34,2025-12-31,Late
PO-100238,SUP-004,PN-10213,2024-10-01,1642,708.7,1163679.72,2024-11-23,Open
PO-100239,SUP-031,PN-10240,2025-07-01,118,361.05,42604.08,2025-08-14,Open
PO-100240,SUP-045,PN-10044,2025-03-01,215,193.76,41659.08,2025-04-03,Received
PO-100241,SUP-021,PN-10160,2025-10-01,521,557.16,290282.27,2025-10-19,Open
PO-100242,SUP-037,PN-10106,2025-11-01,1127,280.92,316595.31,2025-12-14,Received
PO-100243,SUP-022,PN-10021,2026-01-01,1865,943.97,1760506.64,2026-02-09,Received
PO-100244,SUP-048,PN-10257,2025-04-01,1615,249.63,403146.21,2025-05-20,Received
PO-100245,SUP-029,PN-10028,2026-02-01,1697,75.8,128637.51,2026-03-13,Received
PO-100246,SUP-024,PN-10163,2024-11-01,603,637.92,384664.95,2024-12-22,Received
PO-100247,SUP-045,PN-10044,2026-04-01,836,186.33,155767.71,2026-04-15,Received
PO-100248,SUP-014,PN-10083,2025-02-01,979,653.95,640214.52,2025-02-21,Received
PO-100249,SUP-041,PN-10180,2025-09-01,1193,674.77,805002.16,2025-09-29,Received
PO-100250,SUP-002,PN-10141,2025-06-01,740,706.56,522854.61,2025-06-16,Late
PO-100251,SUP-020,PN-10159,2025-02-01,148,490.19,72548.41,2025-03-27,Open
PO-100252,SUP-032,PN-10031,2025-08-01,1692,631.87,1069124.31,2025-08-26,Open
PO-100253,SUP-016,PN-10085,2026-05-01,665,794.13,528099.45,2026-06-02,Open
PO-100254,SUP-015,PN-10014,2026-03-01,367,281.62,103354.94,2026-04-27,Open
PO-100255,SUP-038,PN-10177,2025-11-01,1455,289.95,421882.57,2025-12-29,Received
PO-100256,SUP-038,PN-10247,2024-09-01,319,561.46,179104.74,2024-10-09,Received
PO-100257,SUP-041,PN-10110,2025-06-01,956,630.24,602505.92,2025-06-18,Late
PO-100258,SUP-027,PN-10096,2024-11-01,604,609.71,368264.81,2024-12-07,Open
PO-100259,SUP-041,PN-10180,2024-09-01,856,682.09,583868.76,2024-10-30,Late
