inspection_id,date,part_id,qty_inspected,qty_passed,qty_failed,disposition
INSP00060,2024-12-09,PT0019,135,131,4,Use As-Is
INSP00061,2026-07-03,PT0006,308,298,10,Use As-Is
INSP00062,2025-07-19,PT0001,346,338,8,Use As-Is
INSP00063,2026-01-13,PT0026,269,267,2,Return to Supplier
INSP00064,2023-11-21,PT0019,332,325,7,Use As-Is
INSP00065,2026-04-14,PT0025,142,141,1,Return to Supplier
INSP00066,2025-02-04,PT0004,335,331,4,Return to Supplier
INSP00067,2023-10-17,PT0026,253,251,2,Scrap
INSP00068,2025-11-01,PT0039,214,212,2,Return to Supplier
INSP00069,2023-04-27,PT0006,475,461,14,Rework
INSP00070,2023-07-26,PT0024,467,451,16,Return to Supplier
INSP00071,2025-07-08,PT0004,52,51,1,Pending Review
INSP00072,2023-06-06,PT0033,258,256,2,Scrap
INSP00073,2023-01-15,PT0018,422,415,7,Pending Review
INSP00074,2026-03-18,PT0039,101,98,3,Scrap
INSP00075,2025-09-02,PT0006,485,474,11,Pending Review
INSP00076,2026-02-01,PT0002,96,95,1,Rework
INSP00077,2023-08-03,PT0036,318,310,8,Scrap
INSP00078,2024-10-03,PT0003,117,113,4,Return to Supplier
INSP00079,2023-08-12,PT0006,262,259,3,Scrap
INSP00080,2025-09-15,PT0017,486,483,3,Return to Supplier
INSP00081,2024-12-08,PT0024,173,171,2,Rework
INSP00082,2024-05-21,PT0014,498,479,19,Use As-Is
INSP00083,2026-04-17,PT0005,232,225,7,Use As-Is
INSP00084,2026-06-23,PT0006,198,193,5,Return to Supplier
INSP00085,2024-02-01,PT0002,373,369,4,Rework
INSP00086,2024-04-21,PT0033,230,224,6,Pending Review
INSP00087,2025-03-29,PT0022,29,29,0,Use As-Is
INSP00088,2024-06-20,PT0014,186,184,2,Use As-Is
INSP00089,2023-01-03,PT0005,310,308,2,Use As-Is
INSP00090,2024-04-18,PT0026,152,149,3,Return to Supplier
INSP00091,2025-06-10,PT0040,238,230,8,Return to Supplier
INSP00092,2025-09-21,PT0033,340,338,2,Rework
INSP00093,2024-06-26,PT0005,178,173,5,Rework
INSP00094,2024-07-15,PT0018,300,289,11,Use As-Is
INSP00095,2026-04-10,PT0005,370,358,12,Rework
INSP00096,2024-12-09,PT0002,312,311,1,Use As-Is
INSP00097,2024-02-07,PT0023,396,384,12,Pending Review
INSP00098,2024-07-21,PT0003,474,466,8,Rework
INSP00099,2026-05-10,PT0010,327,318,9,Return to Supplier
INSP00100,2025-01-15,PT0007,419,404,15,Rework
INSP00101,2025-07-22,PT0006,45,45,0,Pending Review
INSP00102,2026-04-08,PT0007,463,458,5,Use As-Is
INSP00103,2024-04-27,PT0034,155,151,4,Scrap
INSP00104,2026-06-03,PT0036,70,69,1,Rework
INSP00105,2023-02-05,PT0024,44,43,1,Scrap
INSP00106,2025-02-23,PT0014,142,139,3,Rework
INSP00107,2024-05-14,PT0026,85,84,1,Rework
INSP00108,2023-10-02,PT0036,239,235,4,Scrap
INSP00109,2023-08-16,PT0039,106,103,3,Pending Review
INSP00110,2023-08-10,PT0009,281,273,8,Rework
INSP00111,2023-01-06,PT0002,238,236,2,Rework
INSP00112,2025-12-25,PT0008,282,279,3,Pending Review
INSP00113,2023-12-15,PT0018,206,205,1,Return to Supplier
INSP00114,2026-03-14,PT0006,272,267,5,Scrap
INSP00115,2026-03-19,PT0028,24,24,0,Scrap
INSP00116,2023-07-14,PT0031,92,90,2,Rework
INSP00117,2024-04-30,PT0015,380,374,6,Scrap
INSP00118,2024-05-24,PT0014,205,203,2,Use As-Is
INSP00119,2024-05-21,PT0023,241,239,2,Pending Review
INSP00120,2025-07-31,PT0009,387,381,6,Use As-Is
INSP00121,2023-02-15,PT0018,387,373,14,Scrap
INSP00122,2026-03-22,PT0017,73,72,1,Return to Supplier
INSP00123,2025-10-13,PT0006,407,394,13,Pending Review
INSP00124,2023-12-06,PT0035,361,352,9,Rework
INSP00125,2023-06-08,PT0035,353,350,3,Use As-Is
INSP00126,2025-03-01,PT0036,102,99,3,Scrap
INSP00127,2025-03-30,PT0013,212,210,2,Return to Supplier
INSP00128,2023-01-09,PT0014,287,282,5,Use As-Is
INSP00129,2025-06-18,PT0015,92,89,3,Rework
INSP00130,2024-03-21,PT0009,90,89,1,Return to Supplier
INSP00131,2024-02-14,PT0029,465,454,11,Rework
INSP00132,2025-03-15,PT0033,402,399,3,Use As-Is
INSP00133,2024-05-29,PT0007,170,168,2,Rework
INSP00134,2025-12-03,PT0032,436,426,10,Return to Supplier
INSP00135,2024-12-12,PT0040,23,23,0,Return to Supplier
INSP00136,2024-08-02,PT0006,246,242,4,Rework
INSP00137,2024-07-13,PT0018,59,59,0,Return to Supplier
INSP00138,2026-04-15,PT0020,361,350,11,Return to Supplier
INSP00139,2024-10-20,PT0012,406,399,7,Rework
INSP00140,2026-03-31,PT0016,343,340,3,Use As-Is
INSP00141,2024-07-04,PT0035,406,401,5,Use As-Is
INSP00142,2023-09-01,PT0037,320,315,5,Scrap
INSP00143,2026-01-31,PT0039,250,245,5,Use As-Is
INSP00144,2025-10-08,PT0009,387,378,9,Scrap
INSP00145,2024-10-21,PT0029,34,33,1,Return to Supplier
INSP00146,2023-12-31,PT0023,425,413,12,Scrap
INSP00147,2025-05-28,PT0012,115,115,0,Rework
INSP00148,2025-07-07,PT0029,83,82,1,Use As-Is
INSP00149,2026-01-27,PT0031,104,103,1,Use As-Is
INSP00150,2026-04-11,PT0009,239,237,2,Rework
INSP00151,2025-11-28,PT0016,22,22,0,Return to Supplier
INSP00152,2026-01-30,PT0009,392,390,2,Pending Review
INSP00153,2023-04-07,PT0033,109,109,0,Return to Supplier
INSP00154,2025-10-25,PT0001,324,317,7,Rework
INSP00155,2023-12-17,PT0003,317,307,10,Use As-Is
INSP00156,2023-12-29,PT0008,22,22,0,Pending Review
INSP00157,2024-07-14,PT0010,120,117,3,Use As-Is
INSP00158,2025-10-02,PT0037,61,61,0,Rework
INSP00159,2025-09-30,PT0038,86,84,2,Pending Review
INSP00160,2023-01-24,PT0011,181,180,1,Scrap
INSP00161,2023-12-10,PT0011,265,259,6,Rework
INSP00162,2025-01-09,PT0030,312,300,12,Pending Review
INSP00163,2025-11-15,PT0034,146,144,2,Pending Review
INSP00164,2024-05-28,PT0014,106,104,2,Scrap
INSP00165,2024-04-20,PT0012,450,446,4,Scrap
INSP00166,2026-02-02,PT0001,458,446,12,Return to Supplier
INSP00167,2023-03-07,PT0001,139,136,3,Pending Review
INSP00168,2023-08-02,PT0032,74,72,2,Scrap
INSP00169,2025-02-16,PT0035,187,186,1,Return to Supplier
INSP00170,2023-01-28,PT0033,281,271,10,Pending Review
INSP00171,2026-04-14,PT0024,440,429,11,Scrap
INSP00172,2026-01-13,PT0021,79,76,3,Scrap
INSP00173,2024-01-18,PT0009,350,338,12,Return to Supplier
INSP00174,2025-02-23,PT0003,31,30,1,Pending Review
INSP00175,2026-06-30,PT0030,373,368,5,Use As-Is
INSP00176,2023-08-13,PT0007,418,410,8,Use As-Is
INSP00177,2026-04-08,PT0004,140,138,2,Pending Review
INSP00178,2025-09-27,PT0016,261,259,2,Use As-Is
INSP00179,2026-06-10,PT0002,406,403,3,Use As-Is
INSP00180,2026-05-18,PT0037,238,233,5,Pending Review
INSP00181,2024-02-22,PT0018,409,404,5,Rework
INSP00182,2026-03-01,PT0029,296,285,11,Return to Supplier
INSP00183,2025-10-01,PT0005,191,188,3,Rework
INSP00184,2026-03-07,PT0022,364,355,9,Pending Review
INSP00185,2024-10-25,PT0032,61,60,1,Use As-Is
INSP00186,2025-06-18,PT0032,46,46,0,Scrap
INSP00187,2026-05-14,PT0006,399,389,10,Scrap
INSP00188,2024-04-20,PT0024,116,115,1,Rework
INSP00189,2024-12-16,PT0040,96,96,0,Return to Supplier
INSP00190,2024-01-03,PT0013,156,156,0,Use As-Is
INSP00191,2023-06-27,PT0024,184,180,4,Pending Review
INSP00192,2025-06-07,PT0027,146,142,4,Scrap
INSP00193,2024-07-11,PT0015,297,291,6,Return to Supplier
INSP00194,2023-08-14,PT0005,195,192,3,Scrap
INSP00195,2023-08-19,PT0034,409,400,9,Use As-Is
INSP00196,2026-06-07,PT0017,325,316,9,Scrap
INSP00197,2026-07-01,PT0010,391,380,11,Use As-Is
INSP00198,2026-04-04,PT0022,80,79,1,Rework
INSP00199,2025-03-17,PT0025,236,233,3,Scrap
INSP00200,2024-07-24,PT0015,65,65,0,Return to Supplier
INSP00201,2024-06-24,PT0002,411,399,12,Scrap
INSP00202,2026-03-06,PT0035,49,48,1,Scrap
INSP00203,2023-01-10,PT0027,146,143,3,Rework
INSP00204,2024-07-14,PT0018,140,139,1,Use As-Is
INSP00205,2024-06-27,PT0037,441,428,13,Scrap
INSP00206,2025-11-18,PT0039,340,331,9,Scrap
INSP00207,2026-04-01,PT0032,276,269,7,Use As-Is
INSP00208,2024-10-29,PT0005,250,244,6,Use As-Is
INSP00209,2024-08-06,PT0016,225,220,5,Scrap
INSP00210,2024-03-13,PT0018,207,202,5,Use As-Is
INSP00211,2025-12-29,PT0039,124,124,0,Use As-Is
INSP00212,2026-06-17,PT0018,45,44,1,Pending Review
INSP00213,2023-05-23,PT0003,22,22,0,Use As-Is
INSP00214,2025-03-31,PT0040,296,294,2,Pending Review
INSP00215,2024-03-18,PT0013,498,479,19,Rework
INSP00216,2023-06-25,PT0026,260,254,6,Rework
INSP00217,2025-03-08,PT0025,167,167,0,Rework
INSP00218,2023-04-09,PT0029,197,196,1,Pending Review
INSP00219,2026-03-22,PT0037,33,33,0,Return to Supplier
INSP00220,2024-07-23,PT0002,284,282,2,Return to Supplier
INSP00221,2025-07-05,PT0008,49,48,1,Return to Supplier
INSP00222,2026-07-01,PT0025,209,208,1,Use As-Is
INSP00223,2026-05-24,PT0011,444,429,15,Pending Review
INSP00224,2025-02-22,PT0022,130,127,3,Use As-Is
INSP00225,2026-04-01,PT0018,201,196,5,Pending Review
INSP00226,2024-02-05,PT0039,116,116,0,Use As-Is
INSP00227,2025-06-09,PT0025,395,384,11,Use As-Is
INSP00228,2026-03-02,PT0016,150,145,5,Pending Review
INSP00229,2023-08-06,PT0010,413,397,16,Pending Review
INSP00230,2026-01-27,PT0033,394,391,3,Return to Supplier
INSP00231,2026-02-16,PT0025,380,370,10,Rework
INSP00232,2023-12-27,PT0004,61,60,1,Scrap
INSP00233,2024-03-22,PT0002,271,264,7,Pending Review
INSP00234,2023-09-05,PT0030,398,391,7,Rework
INSP00235,2023-12-20,PT0021,191,184,7,Pending Review
INSP00236,2023-08-22,PT0006,351,341,10,Pending Review
INSP00237,2023-08-27,PT0011,397,389,8,Return to Supplier
INSP00238,2023-07-21,PT0024,455,452,3,Scrap
INSP00239,2025-07-10,PT0033,460,454,6,Rework
INSP00240,2024-06-23,PT0025,259,254,5,Scrap
INSP00241,2023-05-06,PT0017,465,452,13,Rework
INSP00242,2024-12-07,PT0039,247,239,8,Use As-Is
INSP00243,2025-10-14,PT0006,114,113,1,Use As-Is
INSP00244,2024-12-17,PT0035,174,169,5,Return to Supplier
INSP00245,2026-03-09,PT0023,64,63,1,Scrap
INSP00246,2024-06-04,PT0037,457,441,16,Scrap
INSP00247,2023-05-17,PT0017,34,34,0,Pending Review
INSP00248,2023-02-13,PT0022,175,169,6,Use As-Is
INSP00249,2024-09-29,PT0037,236,234,2,Use As-Is
INSP00250,2023-10-24,PT0008,235,231,4,Pending Review
INSP00251,2026-06-13,PT0030,438,424,14,Rework
INSP00252,2026-04-07,PT0004,254,245,9,Return to Supplier
INSP00253,2025-04-03,PT0032,202,197,5,Use As-Is
INSP00254,2024-09-01,PT0012,27,26,1,Rework
INSP00255,2023-08-01,PT0021,266,260,6,Return to Supplier
INSP00256,2023-01-19,PT0026,491,474,17,Pending Review
INSP00257,2023-05-15,PT0007,87,86,1,Scrap
INSP00258,2025-08-26,PT0029,301,298,3,Rework
INSP00259,2024-11-01,PT0003,365,353,12,Return to Supplier
INSP00260,2025-11-13,PT0004,467,463,4,Rework
INSP00261,2023-10-27,PT0030,81,79,2,Return to Supplier
INSP00262,2025-04-30,PT0011,125,121,4,Pending Review
INSP00263,2024-04-13,PT0023,112,108,4,Scrap
INSP00264,2023-06-23,PT0030,342,329,13,Rework
INSP00265,2025-05-03,PT0022,191,187,4,Rework
INSP00266,2023-09-18,PT0028,70,70,0,Use As-Is
INSP00267,2023-10-07,PT0029,491,475,16,Scrap
INSP00268,2023-06-18,PT0036,85,84,1,Rework
INSP00269,2023-04-28,PT0004,105,104,1,Rework
INSP00270,2023-03-30,PT0018,444,427,17,Return to Supplier
INSP00271,2025-08-22,PT0020,28,28,0,Scrap
INSP00272,2026-01-20,PT0024,132,131,1,Scrap
INSP00273,2024-11-27,PT0026,171,166,5,Rework
INSP00274,2024-10-25,PT0027,110,106,4,Pending Review
INSP00275,2025-08-01,PT0022,118,115,3,Pending Review
INSP00276,2024-06-13,PT0035,498,480,18,Rework
INSP00277,2024-05-01,PT0025,167,163,4,Scrap
INSP00278,2024-12-06,PT0010,440,427,13,Pending Review
INSP00279,2025-04-29,PT0017,206,199,7,Return to Supplier
INSP00280,2023-05-10,PT0025,216,214,2,Pending Review
INSP00281,2024-03-04,PT0004,126,121,5,Rework
INSP00282,2023-07-16,PT0028,408,392,16,Pending Review
INSP00283,2023-04-05,PT0030,21,21,0,Rework
INSP00284,2023-06-21,PT0022,192,188,4,Scrap
INSP00285,2023-10-02,PT0024,71,71,0,Pending Review
INSP00286,2026-01-23,PT0013,474,461,13,Use As-Is
INSP00287,2023-02-01,PT0005,260,254,6,Scrap
INSP00288,2026-04-29,PT0020,156,150,6,Use As-Is
INSP00289,2025-01-18,PT0031,478,469,9,Return to Supplier
INSP00290,2026-04-06,PT0025,97,96,1,Return to Supplier
INSP00291,2025-07-13,PT0007,72,71,1,Rework
INSP00292,2023-03-30,PT0015,176,170,6,Return to Supplier
INSP00293,2024-07-03,PT0008,343,330,13,Return to Supplier
INSP00294,2024-11-28,PT0025,196,189,7,Pending Review
INSP00295,2023-12-20,PT0014,22,22,0,Rework
INSP00296,2024-01-14,PT0019,111,110,1,Return to Supplier
INSP00297,2023-07-07,PT0026,217,214,3,Rework
INSP00298,2024-01-30,PT0023,489,486,3,Pending Review
INSP00299,2026-06-29,PT0040,251,245,6,Rework
INSP00300,2023-05-15,PT0005,55,55,0,Pending Review
INSP00301,2023-11-28,PT0029,405,392,13,Pending Review
INSP00302,2026-03-30,PT0014,391,389,2,Return to Supplier
INSP00303,2025-05-28,PT0017,84,84,0,Scrap
INSP00304,2023-07-11,PT0032,491,476,15,Rework
INSP00305,2023-06-03,PT0003,59,59,0,Scrap
INSP00306,2023-03-05,PT0017,220,219,1,Use As-Is
INSP00307,2024-01-16,PT0003,179,175,4,Return to Supplier
INSP00308,2025-05-05,PT0035,435,427,8,Use As-Is
INSP00309,2023-07-02,PT0002,122,120,2,Pending Review
INSP00310,2025-01-03,PT0014,261,254,7,Rework
INSP00311,2023-10-05,PT0030,415,403,12,Pending Review
INSP00312,2024-04-16,PT0037,483,478,5,Pending Review
INSP00313,2023-01-17,PT0011,194,188,6,Rework
INSP00314,2024-09-21,PT0018,290,284,6,Scrap
INSP00315,2025-10-04,PT0027,326,316,10,Return to Supplier
INSP00316,2024-12-31,PT0030,262,254,8,Use As-Is
INSP00317,2024-09-30,PT0014,312,307,5,Pending Review
INSP00318,2023-12-03,PT0036,310,308,2,Return to Supplier
INSP00319,2024-04-28,PT0005,105,102,3,Use As-Is
INSP00320,2024-12-02,PT0016,152,149,3,Pending Review
INSP00321,2023-05-15,PT0005,227,226,1,Pending Review
INSP00322,2024-06-27,PT0030,298,290,8,Scrap
INSP00323,2026-02-16,PT0011,94,93,1,Use As-Is
INSP00324,2024-07-09,PT0037,428,422,6,Return to Supplier
INSP00325,2024-09-10,PT0035,175,171,4,Return to Supplier
INSP00326,2026-06-22,PT0020,174,168,6,Scrap
INSP00327,2024-06-21,PT0012,80,78,2,Return to Supplier
INSP00328,2023-10-15,PT0040,400,390,10,Use As-Is
INSP00329,2023-09-29,PT0025,387,385,2,Scrap
INSP00330,2024-03-25,PT0013,424,414,10,Use As-Is
INSP00331,2024-04-24,PT0035,86,85,1,Use As-Is
INSP00332,2025-03-23,PT0008,412,409,3,Pending Review
INSP00333,2024-12-21,PT0021,155,153,2,Rework
INSP00334,2024-11-17,PT0037,418,415,3,Rework
INSP00335,2025-06-23,PT0012,449,432,17,Return to Supplier
INSP00336,2025-08-17,PT0029,346,334,12,Rework
INSP00337,2023-05-04,PT0040,366,359,7,Scrap
INSP00338,2024-05-08,PT0040,333,323,10,Use As-Is
INSP00339,2025-03-30,PT0036,222,220,2,Return to Supplier
INSP00340,2024-12-04,PT0014,308,306,2,Pending Review
INSP00341,2023-06-28,PT0038,117,115,2,Rework
INSP00342,2025-11-24,PT0037,441,438,3,Rework
INSP00343,2024-10-18,PT0001,246,243,3,Pending Review
INSP00344,2024-09-13,PT0035,346,333,13,Use As-Is
INSP00345,2023-01-23,PT0024,38,38,0,Scrap
INSP00346,2024-12-09,PT0007,370,368,2,Return to Supplier
INSP00347,2023-09-30,PT0030,277,273,4,Return to Supplier
INSP00348,2023-11-26,PT0005,260,251,9,Return to Supplier
INSP00349,2023-11-28,PT0030,468,454,14,Use As-Is
INSP00350,2024-04-16,PT0033,444,440,4,Use As-Is
INSP00351,2024-07-05,PT0024,229,221,8,Use As-Is
INSP00352,2023-06-20,PT0018,323,315,8,Use As-Is
INSP00353,2024-02-21,PT0003,55,55,0,Return to Supplier
INSP00354,2024-03-11,PT0016,298,294,4,Use As-Is
INSP00355,2024-08-04,PT0022,429,427,2,Rework
INSP00356,2023-10-19,PT0009,57,55,2,Pending Review
INSP00357,2025-10-26,PT0020,306,304,2,Scrap
INSP00358,2023-09-20,PT0004,203,196,7,Rework
INSP00359,2023-04-25,PT0036,313,306,7,Rework
INSP00360,2023-02-18,PT0037,379,376,3,Rework
INSP00361,2023-11-07,PT0003,104,101,3,Use As-Is
INSP00362,2023-05-22,PT0032,238,234,4,Pending Review
INSP00363,2025-06-17,PT0003,439,425,14,Return to Supplier
INSP00364,2025-12-22,PT0013,376,367,9,Pending Review
INSP00365,2023-12-04,PT0025,382,375,7,Use As-Is
INSP00366,2023-05-04,PT0002,361,360,1,Return to Supplier
INSP00367,2025-09-25,PT0015,187,182,5,Use As-Is
INSP00368,2026-04-03,PT0027,114,112,2,Pending Review
INSP00369,2024-12-17,PT0038,29,29,0,Rework
INSP00370,2023-07-05,PT0014,206,203,3,Rework
INSP00371,2023-04-17,PT0008,102,101,1,Use As-Is
INSP00372,2024-02-11,PT0028,393,388,5,Return to Supplier
INSP00373,2026-04-05,PT0015,258,257,1,Return to Supplier
INSP00374,2024-11-03,PT0028,172,170,2,Rework
INSP00375,2023-06-26,PT0018,283,280,3,Scrap
INSP00376,2023-06-01,PT0040,392,387,5,Use As-Is
INSP00377,2025-10-08,PT0012,29,28,1,Use As-Is
INSP00378,2025-02-06,PT0021,136,135,1,Return to Supplier
INSP00379,2026-02-03,PT0021,470,455,15,Use As-Is
INSP00380,2023-01-02,PT0010,218,211,7,Pending Review
INSP00381,2024-08-06,PT0024,27,27,0,Pending Review
INSP00382,2024-03-03,PT0026,47,47,0,Rework
INSP00383,2026-02-21,PT0033,164,159,5,Pending Review
INSP00384,2024-02-13,PT0038,96,93,3,Pending Review
INSP00385,2026-02-18,PT0027,468,460,8,Pending Review
INSP00386,2025-12-18,PT0001,70,70,0,Use As-Is
INSP00387,2024-01-04,PT0034,196,194,2,Use As-Is
INSP00388,2024-02-05,PT0003,180,178,2,Rework
INSP00389,2025-05-20,PT0007,150,145,5,Scrap
INSP00390,2025-06-04,PT0015,354,347,7,Return to Supplier
INSP00391,2023-11-28,PT0032,487,481,6,Rework
INSP00392,2023-03-01,PT0003,467,449,18,Use As-Is
INSP00393,2023-04-19,PT0012,352,343,9,Scrap
INSP00394,2025-06-25,PT0037,334,321,13,Pending Review
INSP00395,2025-06-25,PT0031,395,386,9,Scrap
INSP00396,2023-04-07,PT0017,280,275,5,Scrap
INSP00397,2024-12-13,PT0039,32,32,0,Use As-Is
INSP00398,2023-12-16,PT0019,304,295,9,Pending Review
INSP00399,2024-08-01,PT0003,177,176,1,Use As-Is
INSP00400,2025-10-19,PT0007,153,153,0,Pending Review
INSP00401,2025-11-27,PT0030,269,260,9,Use As-Is
INSP00402,2023-06-08,PT0021,377,363,14,Pending Review
INSP00403,2026-04-20,PT0011,88,86,2,Rework
INSP00404,2025-07-23,PT0038,37,37,0,Return to Supplier
INSP00405,2026-02-09,PT0034,164,160,4,Use As-Is
INSP00406,2025-09-05,PT0026,373,369,4,Scrap
INSP00407,2026-06-30,PT0038,178,175,3,Pending Review
INSP00408,2023-07-24,PT0020,72,70,2,Pending Review
INSP00409,2024-01-16,PT0033,174,173,1,Return to Supplier
INSP00410,2025-10-01,PT0030,162,161,1,Use As-Is
INSP00411,2024-05-10,PT0029,163,157,6,Return to Supplier
INSP00412,2025-06-21,PT0036,195,189,6,Rework
INSP00413,2025-06-26,PT0007,213,210,3,Return to Supplier
INSP00414,2023-05-20,PT0008,68,66,2,Pending Review
INSP00415,2025-01-25,PT0038,435,428,7,Rework
INSP00416,2024-09-28,PT0005,483,473,10,Return to Supplier
INSP00417,2025-12-05,PT0032,174,171,3,Rework
INSP00418,2024-10-06,PT0027,346,342,4,Rework
INSP00419,2023-12-21,PT0021,64,64,0,Scrap
INSP00420,2023-02-25,PT0011,356,343,13,Pending Review
INSP00421,2025-12-07,PT0013,375,372,3,Use As-Is
INSP00422,2026-03-16,PT0005,158,157,1,Scrap
INSP00423,2023-07-03,PT0009,43,42,1,Return to Supplier
INSP00424,2024-09-17,PT0030,152,148,4,Scrap
INSP00425,2024-10-03,PT0031,311,305,6,Pending Review
INSP00426,2024-07-15,PT0009,116,113,3,Scrap
INSP00427,2024-01-17,PT0005,108,107,1,Pending Review
INSP00428,2023-11-12,PT0017,458,444,14,Scrap
INSP00429,2025-11-08,PT0002,403,394,9,Pending Review
INSP00430,2024-01-05,PT0030,284,277,7,Use As-Is
INSP00431,2025-07-07,PT0018,394,390,4,Use As-Is
INSP00432,2023-12-02,PT0022,160,159,1,Use As-Is
INSP00433,2025-08-03,PT0004,108,107,1,Scrap
INSP00434,2024-10-14,PT0019,224,220,4,Pending Review
INSP00435,2023-09-27,PT0001,267,259,8,Rework
INSP00436,2026-03-16,PT0030,96,96,0,Rework
INSP00437,2023-08-26,PT0034,351,344,7,Scrap
INSP00438,2025-11-07,PT0027,374,369,5,Use As-Is
INSP00439,2024-07-20,PT0023,138,135,3,Use As-Is
INSP00440,2023-04-06,PT0036,108,106,2,Scrap
INSP00441,2024-02-16,PT0033,388,373,15,Return to Supplier
INSP00442,2026-05-03,PT0033,43,42,1,Pending Review
INSP00443,2024-09-12,PT0018,20,20,0,Rework
INSP00444,2025-07-12,PT0034,122,120,2,Rework
INSP00445,2025-02-14,PT0036,484,470,14,Use As-Is
INSP00446,2026-06-19,PT0019,75,73,2,Use As-Is
INSP00447,2025-07-26,PT0039,48,48,0,Return to Supplier
INSP00448,2024-10-30,PT0006,197,195,2,Return to Supplier
INSP00449,2026-05-25,PT0011,225,217,8,Scrap
INSP00450,2025-06-02,PT0002,478,467,11,Rework
INSP00451,2024-05-25,PT0034,95,95,0,Scrap
INSP00452,2023-01-29,PT0012,324,318,6,Scrap
INSP00453,2025-05-12,PT0031,394,382,12,Rework
INSP00454,2024-07-03,PT0028,180,176,4,Rework
INSP00455,2023-01-10,PT0040,95,95,0,Rework
INSP00456,2023-09-05,PT0009,283,277,6,Return to Supplier
INSP00457,2026-06-30,PT0002,124,120,4,Use As-Is
INSP00458,2026-01-03,PT0014,416,400,16,Rework
INSP00459,2023-11-03,PT0015,105,103,2,Rework
INSP00460,2024-09-16,PT0017,90,89,1,Return to Supplier
INSP00461,2023-04-29,PT0034,129,126,3,Scrap
INSP00462,2024-06-04,PT0035,319,311,8,Use As-Is
INSP00463,2026-01-14,PT0011,363,360,3,Rework
INSP00464,2023-09-17,PT0012,277,267,10,Use As-Is
