ticket_id,date,category,priority,dept,description,resolved_date,resolution_hrs
TKT00031,2024-09-03,Email,Medium,Executive,Other issue reported,2024-09-04,45.0
TKT00032,2024-11-19,Security,Low,Quality,Other issue reported,2024-11-22,84.8
TKT00033,2026-04-03,Security,Medium,Executive,Email issue reported,2026-04-04,27.4
TKT00034,2024-01-13,Email,Medium,Procurement,Access issue reported,2024-01-13,15.1
TKT00035,2025-12-19,Software,High,Manufacturing,Security issue reported,2025-12-19,17.9
TKT00036,2024-04-07,Hardware,Critical,Procurement,Software issue reported,2024-04-07,1.5
TKT00037,2026-02-21,Hardware,Medium,Procurement,Software issue reported,2026-02-21,12.8
TKT00038,2025-07-03,Hardware,Low,Engineering,Printing issue reported,2025-07-07,107.0
TKT00039,2025-04-14,Printing,Low,Engineering,Printing issue reported,2025-04-15,31.1
TKT00040,2024-03-01,Software,Medium,IT,Security issue reported,2024-03-02,25.4
TKT00041,2024-10-08,Network,Critical,Engineering,Printing issue reported,2024-10-08,3.0
TKT00042,2025-08-22,Software,Medium,Procurement,Printing issue reported,2025-08-22,14.4
TKT00043,2025-08-10,Email,Medium,Finance,Other issue reported,2025-08-11,31.6
TKT00044,2024-04-23,Software,Medium,EHS,Software issue reported,2024-04-23,21.9
TKT00045,2024-04-21,Network,Medium,Procurement,Access issue reported,2024-04-22,43.1
TKT00046,2025-07-04,Software,High,Sales,Network issue reported,2025-07-04,8.3
TKT00047,2026-04-22,Software,High,Finance,Software issue reported,2026-04-22,3.6
TKT00048,2026-06-04,Security,Low,Finance,Software issue reported,2026-06-10,160.8
TKT00049,2025-05-20,Email,Medium,Procurement,Hardware issue reported,2025-05-20,21.4
TKT00050,2026-06-04,Software,Medium,IT,Software issue reported,2026-06-05,33.4
TKT00051,2024-06-04,Network,High,Manufacturing,Access issue reported,2024-06-04,19.8
TKT00052,2024-09-18,Access,Low,Quality,Network issue reported,2024-09-22,111.1
TKT00053,2024-03-21,Hardware,Medium,Finance,Email issue reported,2024-03-22,24.5
TKT00054,2025-03-05,Email,Low,Manufacturing,Other issue reported,2025-03-09,103.7
TKT00055,2025-01-16,Software,Medium,IT,Access issue reported,2025-01-16,9.8
TKT00056,2025-01-13,Software,Medium,Sales,Printing issue reported,2025-01-14,35.4
TKT00057,2024-04-23,Network,Medium,Procurement,Printing issue reported,2024-04-24,30.4
TKT00058,2024-09-24,Security,Medium,Finance,Network issue reported,2024-09-26,55.7
TKT00059,2024-07-22,Printing,Low,Engineering,Other issue reported,2024-07-23,24.3
TKT00060,2026-04-11,Email,Medium,EHS,Printing issue reported,2026-04-12,38.8
TKT00061,2025-01-30,Access,Low,Executive,Security issue reported,2025-01-31,38.1
TKT00062,2026-02-05,Email,High,Sales,Hardware issue reported,2026-02-05,7.4
TKT00063,2024-04-30,Access,Medium,Executive,Access issue reported,2024-05-02,62.3
TKT00064,2025-08-06,Network,Medium,EHS,Software issue reported,2025-08-07,40.8
TKT00065,2026-02-25,Email,Medium,Engineering,Network issue reported,2026-02-27,56.6
TKT00066,2025-07-22,Software,Medium,IT,Access issue reported,2025-07-24,66.5
TKT00067,2024-12-11,Email,Medium,Manufacturing,Network issue reported,2024-12-13,62.2
TKT00068,2024-08-25,Access,Low,Executive,Access issue reported,2024-08-27,55.0
TKT00069,2025-11-13,Security,Low,IT,Network issue reported,2025-11-18,124.8
TKT00070,2024-08-23,Other,Medium,Manufacturing,Printing issue reported,2024-08-24,38.1
TKT00071,2026-03-20,Access,Medium,Finance,Security issue reported,2026-03-22,53.4
TKT00072,2025-05-31,Email,Low,EHS,Software issue reported,2025-06-05,143.0
TKT00073,2026-04-19,Network,Medium,Sales,Other issue reported,2026-04-20,28.6
TKT00074,2024-05-07,Email,Medium,Finance,Access issue reported,2024-05-09,68.9
TKT00075,2025-02-12,Email,Medium,Manufacturing,Hardware issue reported,2025-02-13,45.0
TKT00076,2026-01-21,Access,Low,Finance,Security issue reported,2026-01-25,104.1
TKT00077,2024-04-22,Email,Medium,Manufacturing,Network issue reported,2024-04-23,42.9
TKT00078,2025-03-28,Software,Low,HR,Printing issue reported,2025-03-31,76.0
TKT00079,2024-04-28,Email,High,Sales,Printing issue reported,2024-04-28,16.8
TKT00080,2025-03-09,Other,Low,Engineering,Email issue reported,2025-03-13,96.5
TKT00081,2025-04-14,Network,Critical,Procurement,Hardware issue reported,2025-04-14,1.1
TKT00082,2025-01-20,Access,Low,Procurement,Software issue reported,2025-01-26,157.6
TKT00083,2026-03-10,Printing,Medium,Finance,Security issue reported,2026-03-12,50.1
TKT00084,2025-10-11,Other,High,HR,Access issue reported,2025-10-11,5.3
TKT00085,2026-04-20,Printing,Low,Procurement,Network issue reported,2026-04-24,120.0
TKT00086,2026-05-19,Email,High,Procurement,Printing issue reported,2026-05-19,11.7
TKT00087,2024-11-17,Other,Low,HR,Software issue reported,2024-11-22,128.9
TKT00088,2024-07-09,Access,Medium,Procurement,Access issue reported,2024-07-10,44.0
TKT00089,2025-04-11,Software,Critical,Sales,Software issue reported,2025-04-11,2.7
TKT00090,2025-09-15,Security,Low,IT,Network issue reported,2025-09-20,143.4
TKT00091,2025-09-01,Printing,Low,Quality,Other issue reported,2025-09-02,42.2
TKT00092,2024-10-03,Access,Low,Engineering,Access issue reported,2024-10-06,94.8
TKT00093,2025-02-27,Security,Medium,EHS,Other issue reported,2025-03-01,50.7
TKT00094,2026-04-27,Printing,High,IT,Software issue reported,2026-04-27,22.6
TKT00095,2025-06-28,Other,Medium,Quality,Software issue reported,2025-06-28,19.7
TKT00096,2025-04-01,Software,High,Engineering,Printing issue reported,2025-04-01,11.2
TKT00097,2026-06-05,Access,Medium,Procurement,Software issue reported,2026-06-06,41.8
TKT00098,2025-05-03,Printing,High,Engineering,Hardware issue reported,2025-05-03,16.8
TKT00099,2025-09-10,Other,Medium,Finance,Network issue reported,2025-09-12,71.8
TKT00100,2025-11-27,Printing,Medium,Procurement,Network issue reported,2025-11-27,14.8
TKT00101,2026-05-04,Network,Low,Engineering,Software issue reported,2026-05-08,104.7
TKT00102,2025-01-05,Access,Medium,Executive,Printing issue reported,2025-01-07,65.2
TKT00103,2024-07-14,Software,High,Procurement,Network issue reported,2024-07-14,16.0
TKT00104,2024-05-30,Security,Low,Engineering,Other issue reported,2024-06-04,134.9
TKT00105,2026-03-14,Security,High,Sales,Hardware issue reported,2026-03-14,6.8
TKT00106,2025-11-04,Printing,Low,Engineering,Security issue reported,2025-11-05,31.6
TKT00107,2024-10-23,Hardware,Critical,Finance,Email issue reported,2024-10-23,0.8
TKT00108,2026-01-12,Access,Medium,Procurement,Access issue reported,2026-01-12,20.9
TKT00109,2024-04-13,Printing,Medium,HR,Network issue reported,2024-04-14,35.7
TKT00110,2024-10-24,Software,Medium,HR,Security issue reported,2024-10-25,24.7
TKT00111,2026-01-19,Printing,Medium,HR,Other issue reported,2026-01-20,31.7
TKT00112,2024-09-02,Printing,Medium,Quality,Hardware issue reported,2024-09-04,68.8
TKT00113,2026-01-03,Email,Low,Sales,Hardware issue reported,2026-01-08,132.8
TKT00114,2025-09-13,Security,Low,Procurement,Software issue reported,2025-09-17,119.9
TKT00115,2024-07-03,Email,Low,Executive,Access issue reported,2024-07-08,141.9
TKT00116,2024-01-06,Email,Medium,Manufacturing,Hardware issue reported,2024-01-07,37.1
TKT00117,2026-01-22,Software,Low,Manufacturing,Security issue reported,2026-01-28,150.0
TKT00118,2026-04-23,Security,Medium,Engineering,Software issue reported,2026-04-25,51.2
TKT00119,2024-03-19,Software,Medium,EHS,Software issue reported,2024-03-21,72.0
TKT00120,2025-12-12,Other,Medium,Engineering,Email issue reported,2025-12-12,15.2
TKT00121,2024-10-10,Network,Medium,Procurement,Security issue reported,2024-10-12,64.1
TKT00122,2025-04-26,Printing,High,Finance,Software issue reported,2025-04-26,22.0
TKT00123,2024-01-08,Network,Medium,Finance,Security issue reported,2024-01-10,58.3
TKT00124,2024-12-15,Hardware,Medium,Engineering,Other issue reported,2024-12-17,51.5
TKT00125,2025-10-19,Network,Medium,HR,Network issue reported,2025-10-19,23.4
TKT00126,2025-06-03,Access,Medium,Finance,Email issue reported,2025-06-04,45.1
TKT00127,2025-07-31,Other,Medium,IT,Network issue reported,2025-08-02,54.2
TKT00128,2025-04-19,Hardware,Medium,IT,Other issue reported,2025-04-19,12.6
TKT00129,2025-04-27,Access,Medium,Sales,Printing issue reported,2025-04-27,18.9
TKT00130,2026-05-28,Printing,Low,Finance,Email issue reported,2026-05-29,40.5
TKT00131,2025-08-11,Other,Medium,HR,Access issue reported,2025-08-13,67.1
TKT00132,2025-08-24,Software,Medium,Finance,Network issue reported,2025-08-26,67.2
TKT00133,2024-04-08,Hardware,Low,Procurement,Printing issue reported,2024-04-13,135.3
TKT00134,2024-11-21,Network,Medium,Procurement,Access issue reported,2024-11-23,71.6
TKT00135,2025-12-09,Access,Medium,HR,Printing issue reported,2025-12-11,71.9
TKT00136,2026-06-28,Hardware,Medium,HR,Other issue reported,2026-06-30,60.4
TKT00137,2024-08-07,Other,Low,Finance,Network issue reported,2024-08-08,28.1
TKT00138,2024-04-28,Security,Medium,Quality,Network issue reported,2024-04-30,65.6
TKT00139,2025-05-04,Network,Medium,Quality,Printing issue reported,2025-05-04,11.8
TKT00140,2026-01-26,Security,Medium,EHS,Printing issue reported,2026-01-28,48.4
TKT00141,2025-06-02,Software,Low,IT,Access issue reported,2025-06-03,34.1
TKT00142,2026-01-21,Access,Critical,Manufacturing,Printing issue reported,2026-01-21,1.5
TKT00143,2025-03-02,Hardware,Medium,Manufacturing,Email issue reported,2025-03-03,28.0
TKT00144,2024-04-08,Security,Medium,Manufacturing,Software issue reported,2024-04-10,50.2
TKT00145,2025-05-13,Other,High,Manufacturing,Network issue reported,2025-05-13,6.8
TKT00146,2024-04-29,Printing,High,EHS,Hardware issue reported,2024-04-29,11.4
TKT00147,2025-12-11,Software,Low,Sales,Hardware issue reported,2025-12-16,132.4
TKT00148,2025-05-27,Hardware,Low,Sales,Printing issue reported,2025-05-28,45.7
TKT00149,2024-08-28,Network,Critical,Quality,Security issue reported,2024-08-28,3.1
TKT00150,2026-03-04,Security,Low,Engineering,Software issue reported,2026-03-06,69.4
TKT00151,2026-01-24,Email,Medium,Executive,Software issue reported,2026-01-26,58.5
TKT00152,2025-12-29,Network,Medium,Finance,Network issue reported,2025-12-31,65.4
TKT00153,2025-03-27,Software,High,EHS,Security issue reported,2025-03-27,20.8
TKT00154,2025-04-26,Other,High,HR,Hardware issue reported,2025-04-26,13.1
TKT00155,2024-03-10,Software,Low,IT,Access issue reported,2024-03-12,61.4
TKT00156,2024-05-17,Software,Medium,IT,Hardware issue reported,2024-05-19,53.1
TKT00157,2026-05-13,Printing,Critical,Quality,Software issue reported,2026-05-13,2.9
TKT00158,2025-11-15,Hardware,Medium,Procurement,Software issue reported,2025-11-16,46.6
TKT00159,2025-07-05,Security,Medium,Finance,Hardware issue reported,2025-07-05,8.2
TKT00160,2026-05-09,Printing,High,EHS,Software issue reported,2026-05-09,17.1
TKT00161,2026-03-22,Security,Medium,Procurement,Access issue reported,2026-03-22,17.5
TKT00162,2025-03-14,Software,Low,EHS,Other issue reported,2025-03-15,35.1
TKT00163,2025-07-26,Access,Medium,Quality,Software issue reported,2025-07-27,37.7
TKT00164,2024-06-30,Software,Medium,EHS,Software issue reported,2024-07-02,50.2
TKT00165,2024-05-13,Access,Medium,IT,Other issue reported,2024-05-13,12.3
TKT00166,2024-07-30,Other,Critical,Executive,Printing issue reported,2024-07-30,2.9
TKT00167,2025-04-17,Email,Medium,Finance,Hardware issue reported,2025-04-18,35.9
TKT00168,2025-07-17,Printing,Medium,Executive,Email issue reported,2025-07-18,38.6
TKT00169,2026-02-01,Access,Critical,Engineering,Email issue reported,2026-02-01,2.2
TKT00170,2026-01-19,Email,Medium,HR,Network issue reported,2026-01-21,60.7
TKT00171,2025-06-05,Security,Medium,IT,Network issue reported,2025-06-05,13.8
TKT00172,2024-12-25,Access,Low,IT,Hardware issue reported,2024-12-27,54.4
TKT00173,2024-12-22,Access,Medium,Sales,Network issue reported,2024-12-22,22.5
TKT00174,2024-07-30,Network,Medium,Finance,Access issue reported,2024-08-01,53.9
TKT00175,2026-01-29,Software,Low,Finance,Software issue reported,2026-01-30,35.0
TKT00176,2025-06-12,Other,Medium,Executive,Access issue reported,2025-06-14,50.4
TKT00177,2026-06-25,Software,Medium,Executive,Security issue reported,2026-06-25,12.0
TKT00178,2026-04-21,Security,Low,EHS,Software issue reported,2026-04-25,97.5
TKT00179,2025-07-12,Security,High,HR,Access issue reported,2025-07-12,18.8
TKT00180,2026-06-23,Other,Low,Sales,Security issue reported,2026-06-27,102.2
TKT00181,2025-05-27,Security,Critical,Manufacturing,Email issue reported,2025-05-27,1.9
TKT00182,2024-06-11,Security,Low,Manufacturing,Email issue reported,2024-06-17,165.8
TKT00183,2024-01-29,Network,Medium,Executive,Hardware issue reported,2024-01-31,51.9
TKT00184,2026-04-06,Email,Medium,EHS,Hardware issue reported,2026-04-08,58.9
TKT00185,2024-04-02,Security,Medium,IT,Software issue reported,2024-04-04,57.6
TKT00186,2024-12-09,Software,Low,Manufacturing,Hardware issue reported,2024-12-14,121.5
TKT00187,2026-03-09,Printing,Medium,IT,Security issue reported,2026-03-11,64.8
TKT00188,2025-04-10,Access,Medium,IT,Email issue reported,2025-04-12,56.4
TKT00189,2024-12-18,Security,Medium,Quality,Software issue reported,2024-12-18,12.6
TKT00190,2025-12-21,Hardware,Medium,EHS,Printing issue reported,2025-12-22,41.2
TKT00191,2025-04-26,Network,High,HR,Access issue reported,2025-04-26,10.5
TKT00192,2026-04-26,Printing,Medium,EHS,Printing issue reported,2026-04-27,34.7
TKT00193,2026-05-24,Hardware,Medium,Executive,Email issue reported,2026-05-26,58.0
TKT00194,2024-10-22,Email,Medium,EHS,Security issue reported,2024-10-23,42.2
TKT00195,2026-01-07,Other,Low,Quality,Network issue reported,2026-01-12,131.7
TKT00196,2025-03-18,Other,Medium,IT,Hardware issue reported,2025-03-20,51.5
TKT00197,2024-08-14,Email,Medium,Quality,Other issue reported,2024-08-16,56.9
TKT00198,2026-04-08,Other,Low,Engineering,Printing issue reported,2026-04-13,125.8
TKT00199,2024-12-12,Access,Medium,Manufacturing,Access issue reported,2024-12-14,51.0
TKT00200,2026-02-03,Email,High,Executive,Security issue reported,2026-02-03,18.0
TKT00201,2025-12-13,Network,Medium,Quality,Software issue reported,2025-12-13,23.0
TKT00202,2026-04-26,Network,Medium,Quality,Access issue reported,2026-04-28,62.1
TKT00203,2024-06-22,Printing,Medium,Sales,Other issue reported,2024-06-24,69.2
TKT00204,2025-06-10,Network,Medium,Engineering,Software issue reported,2025-06-10,10.0
TKT00205,2024-04-02,Email,Medium,Engineering,Software issue reported,2024-04-03,38.1
TKT00206,2026-03-10,Email,Medium,Finance,Software issue reported,2026-03-12,59.9
TKT00207,2026-04-21,Software,Medium,IT,Software issue reported,2026-04-23,49.4
TKT00208,2025-08-27,Access,Medium,Manufacturing,Access issue reported,2025-08-29,56.9
TKT00209,2026-03-25,Security,Medium,EHS,Access issue reported,2026-03-27,55.0
TKT00210,2024-11-20,Software,Low,Manufacturing,Other issue reported,2024-11-22,71.9
TKT00211,2024-07-08,Hardware,Medium,Sales,Software issue reported,2024-07-09,46.1
TKT00212,2024-05-11,Printing,Medium,Procurement,Email issue reported,2024-05-13,51.8
TKT00213,2026-03-27,Other,Low,Engineering,Email issue reported,2026-03-31,109.2
TKT00214,2025-11-25,Security,High,Finance,Access issue reported,2025-11-25,9.4
TKT00215,2025-02-08,Hardware,Medium,Quality,Access issue reported,2025-02-10,56.1
TKT00216,2024-05-10,Email,Low,Engineering,Hardware issue reported,2024-05-12,61.4
TKT00217,2024-10-16,Other,High,Executive,Printing issue reported,2024-10-16,23.5
TKT00218,2025-04-15,Security,Medium,Sales,Access issue reported,2025-04-16,34.0
TKT00219,2026-04-22,Security,Medium,Engineering,Other issue reported,2026-04-23,42.4
TKT00220,2025-08-18,Network,Medium,Engineering,Other issue reported,2025-08-19,39.2
TKT00221,2025-11-05,Software,Low,Engineering,Software issue reported,2025-11-10,124.7
TKT00222,2026-02-14,Printing,High,HR,Security issue reported,2026-02-14,8.2
TKT00223,2024-09-24,Access,Low,HR,Network issue reported,2024-09-27,83.2
TKT00224,2025-10-21,Email,Low,EHS,Hardware issue reported,2025-10-24,91.1
TKT00225,2026-02-09,Hardware,Low,HR,Network issue reported,2026-02-11,50.1
TKT00226,2024-08-17,Email,Medium,HR,Email issue reported,2024-08-19,63.4
TKT00227,2024-07-16,Other,Medium,HR,Email issue reported,2024-07-16,15.9
TKT00228,2025-09-14,Security,High,Executive,Security issue reported,2025-09-14,8.5
TKT00229,2024-11-20,Software,Medium,HR,Network issue reported,2024-11-20,23.0
TKT00230,2024-01-13,Hardware,Medium,Procurement,Security issue reported,2024-01-15,59.0
TKT00231,2024-01-06,Software,High,IT,Access issue reported,2024-01-06,7.9
TKT00232,2025-04-20,Security,Medium,Manufacturing,Network issue reported,2025-04-21,42.4
TKT00233,2025-08-09,Access,Low,HR,Hardware issue reported,2025-08-10,29.7
TKT00234,2024-02-08,Email,Medium,Executive,Software issue reported,2024-02-08,16.2
TKT00235,2024-08-13,Other,Critical,Engineering,Email issue reported,2024-08-13,1.8
TKT00236,2024-05-04,Software,Medium,Procurement,Software issue reported,2024-05-06,56.2
TKT00237,2026-06-29,Network,High,Executive,Printing issue reported,2026-06-29,5.7
TKT00238,2024-03-04,Software,High,IT,Network issue reported,2024-03-04,5.9
TKT00239,2026-01-03,Network,Medium,Sales,Access issue reported,2026-01-05,65.2
TKT00240,2024-11-20,Software,Critical,Quality,Software issue reported,2024-11-20,1.0
TKT00241,2024-02-23,Network,Medium,Finance,Hardware issue reported,2024-02-24,45.2
TKT00242,2024-12-02,Software,Medium,Manufacturing,Access issue reported,2024-12-04,50.4
TKT00243,2025-10-13,Software,Medium,Executive,Other issue reported,2025-10-15,49.5
TKT00244,2025-09-12,Software,Low,Finance,Printing issue reported,2025-09-16,119.7
TKT00245,2024-10-09,Hardware,Low,Finance,Email issue reported,2024-10-12,88.2
TKT00246,2024-04-22,Network,Low,Engineering,Security issue reported,2024-04-28,164.8
TKT00247,2024-09-25,Access,Medium,HR,Other issue reported,2024-09-27,48.0
TKT00248,2024-07-14,Other,Medium,HR,Printing issue reported,2024-07-16,50.8
TKT00249,2025-10-15,Security,Low,Sales,Software issue reported,2025-10-18,78.5
TKT00250,2026-06-20,Email,Low,Manufacturing,Hardware issue reported,2026-06-21,44.5
TKT00251,2024-04-09,Access,Medium,HR,Email issue reported,2024-04-09,16.4
TKT00252,2026-03-01,Security,Medium,EHS,Other issue reported,2026-03-03,50.7
TKT00253,2025-07-18,Network,Low,HR,Printing issue reported,2025-07-23,142.9
TKT00254,2024-10-22,Email,Critical,Procurement,Hardware issue reported,2024-10-22,0.5
TKT00255,2024-04-12,Email,Medium,EHS,Software issue reported,2024-04-12,18.6
TKT00256,2025-09-29,Network,Low,Sales,Software issue reported,2025-10-04,131.8
TKT00257,2024-10-16,Other,Low,Finance,Other issue reported,2024-10-18,67.4
TKT00258,2024-05-29,Access,Medium,Manufacturing,Printing issue reported,2024-05-29,14.1
TKT00259,2024-08-18,Other,High,EHS,Access issue reported,2024-08-18,6.6
TKT00260,2024-08-02,Printing,High,HR,Hardware issue reported,2024-08-02,5.9
TKT00261,2025-10-20,Email,Medium,Engineering,Printing issue reported,2025-10-20,8.6
TKT00262,2025-07-04,Other,Low,Manufacturing,Access issue reported,2025-07-05,35.4
TKT00263,2026-03-05,Email,Medium,Executive,Network issue reported,2026-03-07,71.3
TKT00264,2026-02-12,Software,Medium,HR,Access issue reported,2026-02-13,31.4
TKT00265,2024-03-15,Email,Low,Manufacturing,Network issue reported,2024-03-17,65.0
TKT00266,2024-07-07,Other,Low,Manufacturing,Network issue reported,2024-07-12,120.1
TKT00267,2025-03-24,Access,Low,Engineering,Email issue reported,2025-03-27,83.1
TKT00268,2025-09-21,Email,Low,Sales,Security issue reported,2025-09-26,137.9
TKT00269,2025-12-28,Software,Medium,Engineering,Printing issue reported,2025-12-29,43.4
TKT00270,2026-01-07,Email,Low,Quality,Network issue reported,2026-01-08,41.3
TKT00271,2024-09-07,Printing,Low,Quality,Access issue reported,2024-09-10,77.2
TKT00272,2025-10-06,Access,Medium,IT,Printing issue reported,2025-10-08,51.5
TKT00273,2025-08-17,Printing,Low,Procurement,Security issue reported,2025-08-18,25.8
TKT00274,2025-08-03,Access,Medium,Procurement,Network issue reported,2025-08-05,70.4
TKT00275,2025-12-07,Other,Medium,Sales,Email issue reported,2025-12-08,32.5
TKT00276,2025-12-17,Printing,High,Quality,Security issue reported,2025-12-17,19.8
TKT00277,2026-02-08,Printing,Medium,Procurement,Security issue reported,2026-02-09,33.4
TKT00278,2024-04-27,Security,Medium,Executive,Access issue reported,2024-04-29,60.7
TKT00279,2025-09-22,Access,Low,Manufacturing,Email issue reported,2025-09-28,157.8
TKT00280,2024-07-24,Network,Medium,EHS,Access issue reported,2024-07-25,28.2
TKT00281,2025-05-23,Access,Medium,IT,Access issue reported,2025-05-24,26.5
TKT00282,2025-02-28,Security,Low,Sales,Security issue reported,2025-03-04,101.4
TKT00283,2026-03-02,Printing,Medium,EHS,Software issue reported,2026-03-04,71.9
TKT00284,2025-03-14,Hardware,Medium,Quality,Software issue reported,2025-03-16,66.9
TKT00285,2025-06-07,Printing,Low,Sales,Security issue reported,2025-06-10,78.2
TKT00286,2024-11-09,Network,Medium,Manufacturing,Network issue reported,2024-11-10,32.1
TKT00287,2025-07-04,Network,Low,Finance,Other issue reported,2025-07-08,113.5
TKT00288,2024-08-17,Hardware,Medium,Quality,Hardware issue reported,2024-08-18,35.9
TKT00289,2025-05-15,Access,Low,Quality,Printing issue reported,2025-05-20,137.4
TKT00290,2025-12-30,Other,Medium,Finance,Security issue reported,2026-01-01,52.7
TKT00291,2024-09-18,Network,Critical,IT,Email issue reported,2024-09-18,1.0
TKT00292,2026-05-31,Email,Low,Manufacturing,Software issue reported,2026-06-03,88.6
TKT00293,2025-04-11,Software,Medium,Engineering,Printing issue reported,2025-04-12,35.1
TKT00294,2025-10-22,Hardware,Medium,Sales,Hardware issue reported,2025-10-22,23.6
TKT00295,2024-08-14,Hardware,Medium,Procurement,Access issue reported,2024-08-16,56.9
TKT00296,2026-04-24,Access,Medium,EHS,Security issue reported,2026-04-25,42.1
TKT00297,2024-02-28,Printing,Medium,Quality,Software issue reported,2024-03-01,71.6
TKT00298,2024-03-06,Printing,Critical,EHS,Security issue reported,2024-03-06,1.2
TKT00299,2024-08-06,Email,Medium,Finance,Security issue reported,2024-08-07,24.5
TKT00300,2024-03-17,Security,Medium,IT,Printing issue reported,2024-03-17,14.3
TKT00301,2024-10-17,Hardware,Medium,Manufacturing,Hardware issue reported,2024-10-17,13.6
TKT00302,2025-06-11,Other,Medium,Procurement,Email issue reported,2025-06-12,38.6
TKT00303,2026-03-11,Software,Low,IT,Network issue reported,2026-03-15,96.2
TKT00304,2025-04-14,Email,Medium,Procurement,Hardware issue reported,2025-04-16,56.4
TKT00305,2024-12-16,Printing,Low,HR,Security issue reported,2024-12-22,162.5
TKT00306,2024-03-17,Email,Low,Procurement,Security issue reported,2024-03-21,98.5
TKT00307,2025-03-10,Security,Medium,IT,Other issue reported,2025-03-10,16.8
TKT00308,2025-09-24,Access,Medium,EHS,Printing issue reported,2025-09-25,37.5
TKT00309,2025-02-09,Hardware,Medium,Finance,Printing issue reported,2025-02-11,48.6
TKT00310,2025-11-23,Network,Critical,Executive,Network issue reported,2025-11-23,3.0
TKT00311,2024-07-24,Access,Low,Procurement,Other issue reported,2024-07-29,141.3
TKT00312,2024-03-31,Network,Low,Finance,Access issue reported,2024-04-02,68.7
TKT00313,2025-10-17,Network,Medium,EHS,Other issue reported,2025-10-18,42.0
TKT00314,2024-02-04,Access,High,Finance,Hardware issue reported,2024-02-04,10.8
TKT00315,2025-04-26,Security,Medium,Engineering,Security issue reported,2025-04-26,9.9
TKT00316,2025-04-21,Access,Medium,Manufacturing,Printing issue reported,2025-04-23,71.0
TKT00317,2025-11-01,Printing,Low,Quality,Access issue reported,2025-11-07,159.4
TKT00318,2024-09-08,Software,Medium,IT,Network issue reported,2024-09-08,9.1
TKT00319,2024-08-06,Email,High,Sales,Access issue reported,2024-08-06,7.0
TKT00320,2024-02-10,Email,Medium,HR,Hardware issue reported,2024-02-10,20.7
TKT00321,2025-02-13,Network,High,Manufacturing,Printing issue reported,2025-02-13,9.6
TKT00322,2026-04-13,Access,Low,Executive,Network issue reported,2026-04-18,127.6
TKT00323,2024-03-15,Printing,Low,EHS,Other issue reported,2024-03-18,95.4
TKT00324,2024-08-27,Other,High,Quality,Security issue reported,2024-08-27,17.0
TKT00325,2025-06-27,Hardware,High,IT,Other issue reported,2025-06-27,23.8
TKT00326,2026-03-25,Printing,Medium,Engineering,Network issue reported,2026-03-26,25.2
TKT00327,2025-01-15,Printing,Medium,Manufacturing,Network issue reported,2025-01-17,55.0
