Month,ProjectID,ProgramID,Scenario,ForecastUSD
2027-02-01,EPRJ-002,PGM-002,Forecast,21770.34
2027-03-01,EPRJ-002,PGM-002,Forecast,21988.09
2027-04-01,EPRJ-002,PGM-002,Forecast,22745.7
2027-05-01,EPRJ-002,PGM-002,Forecast,23206.95
2027-06-01,EPRJ-002,PGM-002,Forecast,21367.66
2027-07-01,EPRJ-002,PGM-002,Forecast,21629.87
2027-08-01,EPRJ-002,PGM-002,Forecast,22296.1
2027-09-01,EPRJ-002,PGM-002,Forecast,22678.03
2027-10-01,EPRJ-002,PGM-002,Forecast,22144.25
2027-11-01,EPRJ-002,PGM-002,Forecast,22285.04
2027-12-01,EPRJ-002,PGM-002,Forecast,22545.09
2026-01-01,EPRJ-003,PGM-003,Forecast,48772.28
2026-02-01,EPRJ-003,PGM-003,Forecast,48102.94
2026-03-01,EPRJ-003,PGM-003,Forecast,45222.97
2026-04-01,EPRJ-003,PGM-003,Forecast,46705.85
2026-05-01,EPRJ-003,PGM-003,Forecast,48518.13
2026-06-01,EPRJ-003,PGM-003,Forecast,47347.73
2026-07-01,EPRJ-003,PGM-003,Forecast,48751.29
2026-08-01,EPRJ-003,PGM-003,Forecast,47741.34
2026-09-01,EPRJ-003,PGM-003,Forecast,49106.06
2026-10-01,EPRJ-003,PGM-003,Forecast,44877.54
2026-11-01,EPRJ-003,PGM-003,Forecast,48051.31
2026-12-01,EPRJ-003,PGM-003,Forecast,44776.27
2027-01-01,EPRJ-003,PGM-003,Forecast,47187.18
2027-02-01,EPRJ-003,PGM-003,Forecast,49019.85
2027-03-01,EPRJ-003,PGM-003,Forecast,44741.45
2027-04-01,EPRJ-003,PGM-003,Forecast,45608.32
2027-05-01,EPRJ-003,PGM-003,Forecast,45805.68
2027-06-01,EPRJ-003,PGM-003,Forecast,46089.68
2027-07-01,EPRJ-003,PGM-003,Forecast,48479.73
2027-08-01,EPRJ-003,PGM-003,Forecast,46041.77
2027-09-01,EPRJ-003,PGM-003,Forecast,47816.48
2027-10-01,EPRJ-003,PGM-003,Forecast,47769.35
2027-11-01,EPRJ-003,PGM-003,Forecast,46840.78
2027-12-01,EPRJ-003,PGM-003,Forecast,47022.46
2026-01-01,EPRJ-004,PGM-004,Forecast,67398.64
2026-02-01,EPRJ-004,PGM-004,Forecast,69246.6
2026-03-01,EPRJ-004,PGM-004,Forecast,69509.21
2026-04-01,EPRJ-004,PGM-004,Forecast,65264.73
2026-05-01,EPRJ-004,PGM-004,Forecast,66044.51
2026-06-01,EPRJ-004,PGM-004,Forecast,63936.74
2026-07-01,EPRJ-004,PGM-004,Forecast,64932.19
2026-08-01,EPRJ-004,PGM-004,Forecast,64854.83
2026-09-01,EPRJ-004,PGM-004,Forecast,69464.56
2026-10-01,EPRJ-004,PGM-004,Forecast,64609.09
2026-11-01,EPRJ-004,PGM-004,Forecast,68926.83
2026-12-01,EPRJ-004,PGM-004,Forecast,68924.42
2027-01-01,EPRJ-004,PGM-004,Forecast,68501.19
2027-02-01,EPRJ-004,PGM-004,Forecast,66655.65
2027-03-01,EPRJ-004,PGM-004,Forecast,69116.8
2027-04-01,EPRJ-004,PGM-004,Forecast,65917.66
2027-05-01,EPRJ-004,PGM-004,Forecast,64317.84
2027-06-01,EPRJ-004,PGM-004,Forecast,67499.73
2027-07-01,EPRJ-004,PGM-004,Forecast,67551.66
2027-08-01,EPRJ-004,PGM-004,Forecast,67624.93
2027-09-01,EPRJ-004,PGM-004,Forecast,63586.1
2027-10-01,EPRJ-004,PGM-004,Forecast,65937.68
2027-11-01,EPRJ-004,PGM-004,Forecast,65339.74
2027-12-01,EPRJ-004,PGM-004,Forecast,66771.23
2026-01-01,EPRJ-005,PGM-005,Forecast,36452.89
2026-02-01,EPRJ-005,PGM-005,Forecast,36577.67
2026-03-01,EPRJ-005,PGM-005,Forecast,34711.98
2026-04-01,EPRJ-005,PGM-005,Forecast,36619.78
2026-05-01,EPRJ-005,PGM-005,Forecast,37492.83
2026-06-01,EPRJ-005,PGM-005,Forecast,37872.4
2026-07-01,EPRJ-005,PGM-005,Forecast,36040.63
2026-08-01,EPRJ-005,PGM-005,Forecast,37581.36
2026-09-01,EPRJ-005,PGM-005,Forecast,35738.75
2026-10-01,EPRJ-005,PGM-005,Forecast,37728.66
2026-11-01,EPRJ-005,PGM-005,Forecast,37211.39
2026-12-01,EPRJ-005,PGM-005,Forecast,37499.76
2027-01-01,EPRJ-005,PGM-005,Forecast,34633.1
2027-02-01,EPRJ-005,PGM-005,Forecast,36309.2
2027-03-01,EPRJ-005,PGM-005,Forecast,35842.16
2027-04-01,EPRJ-005,PGM-005,Forecast,35056.91
2027-05-01,EPRJ-005,PGM-005,Forecast,37825.29
2027-06-01,EPRJ-005,PGM-005,Forecast,35816.94
2027-07-01,EPRJ-005,PGM-005,Forecast,35746.68
2027-08-01,EPRJ-005,PGM-005,Forecast,34690.31
2027-09-01,EPRJ-005,PGM-005,Forecast,36977.67
2027-10-01,EPRJ-005,PGM-005,Forecast,35532.31
2027-11-01,EPRJ-005,PGM-005,Forecast,36829.84
2027-12-01,EPRJ-005,PGM-005,Forecast,36625.03
2026-01-01,EPRJ-006,PGM-006,Forecast,34798.16
2026-02-01,EPRJ-006,PGM-006,Forecast,34522.82
2026-03-01,EPRJ-006,PGM-006,Forecast,34667.79
2026-04-01,EPRJ-006,PGM-006,Forecast,34552.07
2026-05-01,EPRJ-006,PGM-006,Forecast,35607.38
2026-06-01,EPRJ-006,PGM-006,Forecast,35145.44
2026-07-01,EPRJ-006,PGM-006,Forecast,35591.19
2026-08-01,EPRJ-006,PGM-006,Forecast,36205.58
2026-09-01,EPRJ-006,PGM-006,Forecast,36935.77
2026-10-01,EPRJ-006,PGM-006,Forecast,36553.49
2026-11-01,EPRJ-006,PGM-006,Forecast,36118.85
2026-12-01,EPRJ-006,PGM-006,Forecast,37136.52
2027-01-01,EPRJ-006,PGM-006,Forecast,35871.85
2027-02-01,EPRJ-006,PGM-006,Forecast,36784.0
2027-03-01,EPRJ-006,PGM-006,Forecast,36363.1
2027-04-01,EPRJ-006,PGM-006,Forecast,36087.78
2027-05-01,EPRJ-006,PGM-006,Forecast,37428.11
2027-06-01,EPRJ-006,PGM-006,Forecast,37836.16
2027-07-01,EPRJ-006,PGM-006,Forecast,35347.12
2027-08-01,EPRJ-006,PGM-006,Forecast,35054.93
2027-09-01,EPRJ-006,PGM-006,Forecast,37328.34
2027-10-01,EPRJ-006,PGM-006,Forecast,35754.41
2027-11-01,EPRJ-006,PGM-006,Forecast,36363.62
2027-12-01,EPRJ-006,PGM-006,Forecast,37524.49
2026-01-01,EPRJ-007,PGM-007,Forecast,63893.66
2026-02-01,EPRJ-007,PGM-007,Forecast,68237.16
2026-03-01,EPRJ-007,PGM-007,Forecast,67508.93
2026-04-01,EPRJ-007,PGM-007,Forecast,64655.76
2026-05-01,EPRJ-007,PGM-007,Forecast,62049.59
2026-06-01,EPRJ-007,PGM-007,Forecast,63000.37
2026-07-01,EPRJ-007,PGM-007,Forecast,67018.42
2026-08-01,EPRJ-007,PGM-007,Forecast,67583.74
2026-09-01,EPRJ-007,PGM-007,Forecast,66724.76
2026-10-01,EPRJ-007,PGM-007,Forecast,65873.5
2026-11-01,EPRJ-007,PGM-007,Forecast,64038.23
2026-12-01,EPRJ-007,PGM-007,Forecast,62170.72
2027-01-01,EPRJ-007,PGM-007,Forecast,66720.43
2027-02-01,EPRJ-007,PGM-007,Forecast,63095.21
2027-03-01,EPRJ-007,PGM-007,Forecast,64053.25
2027-04-01,EPRJ-007,PGM-007,Forecast,64594.09
2027-05-01,EPRJ-007,PGM-007,Forecast,67043.01
2027-06-01,EPRJ-007,PGM-007,Forecast,67889.99
2027-07-01,EPRJ-007,PGM-007,Forecast,65717.32
2027-08-01,EPRJ-007,PGM-007,Forecast,63446.68
2027-09-01,EPRJ-007,PGM-007,Forecast,67970.67
2027-10-01,EPRJ-007,PGM-007,Forecast,65635.94
2027-11-01,EPRJ-007,PGM-007,Forecast,63704.73
2027-12-01,EPRJ-007,PGM-007,Forecast,64885.89
2026-01-01,EPRJ-008,PGM-008,Forecast,49292.31
2026-02-01,EPRJ-008,PGM-008,Forecast,50336.28
2026-03-01,EPRJ-008,PGM-008,Forecast,50039.45
2026-04-01,EPRJ-008,PGM-008,Forecast,51164.03
2026-05-01,EPRJ-008,PGM-008,Forecast,49692.79
2026-06-01,EPRJ-008,PGM-008,Forecast,51202.37
2026-07-01,EPRJ-008,PGM-008,Forecast,49552.61
2026-08-01,EPRJ-008,PGM-008,Forecast,50057.67
2026-09-01,EPRJ-008,PGM-008,Forecast,49702.33
2026-10-01,EPRJ-008,PGM-008,Forecast,49971.38
2026-11-01,EPRJ-008,PGM-008,Forecast,49676.07
2026-12-01,EPRJ-008,PGM-008,Forecast,47858.78
2027-01-01,EPRJ-008,PGM-008,Forecast,48659.81
2027-02-01,EPRJ-008,PGM-008,Forecast,48721.99
2027-03-01,EPRJ-008,PGM-008,Forecast,49719.29
2027-04-01,EPRJ-008,PGM-008,Forecast,48606.04
2027-05-01,EPRJ-008,PGM-008,Forecast,51595.87
2027-06-01,EPRJ-008,PGM-008,Forecast,47571.28
2027-07-01,EPRJ-008,PGM-008,Forecast,52346.88
2027-08-01,EPRJ-008,PGM-008,Forecast,48875.37
2027-09-01,EPRJ-008,PGM-008,Forecast,52383.19
2027-10-01,EPRJ-008,PGM-008,Forecast,49471.65
2027-11-01,EPRJ-008,PGM-008,Forecast,50705.73
2027-12-01,EPRJ-008,PGM-008,Forecast,48502.62
2026-01-01,EPRJ-009,PGM-009,Forecast,34746.21
2026-02-01,EPRJ-009,PGM-009,Forecast,36322.05
2026-03-01,EPRJ-009,PGM-009,Forecast,35325.77
2026-04-01,EPRJ-009,PGM-009,Forecast,37296.45
2026-05-01,EPRJ-009,PGM-009,Forecast,34838.55
2026-06-01,EPRJ-009,PGM-009,Forecast,36802.61
2026-07-01,EPRJ-009,PGM-009,Forecast,35943.5
2026-08-01,EPRJ-009,PGM-009,Forecast,35189.32
2026-09-01,EPRJ-009,PGM-009,Forecast,36478.94
2026-10-01,EPRJ-009,PGM-009,Forecast,36324.39
2026-11-01,EPRJ-009,PGM-009,Forecast,35634.74
2026-12-01,EPRJ-009,PGM-009,Forecast,37642.49
2027-01-01,EPRJ-009,PGM-009,Forecast,36279.83
2027-02-01,EPRJ-009,PGM-009,Forecast,36236.69
2027-03-01,EPRJ-009,PGM-009,Forecast,34636.22
2027-04-01,EPRJ-009,PGM-009,Forecast,34928.94
2027-05-01,EPRJ-009,PGM-009,Forecast,37867.75
2027-06-01,EPRJ-009,PGM-009,Forecast,35287.14
2027-07-01,EPRJ-009,PGM-009,Forecast,35309.14
2027-08-01,EPRJ-009,PGM-009,Forecast,37872.97
2027-09-01,EPRJ-009,PGM-009,Forecast,34880.39
2027-10-01,EPRJ-009,PGM-009,Forecast,35826.76
2027-11-01,EPRJ-009,PGM-009,Forecast,35575.98
2027-12-01,EPRJ-009,PGM-009,Forecast,36478.57
2026-01-01,EPRJ-010,PGM-001,Forecast,14029.27
2026-02-01,EPRJ-010,PGM-001,Forecast,13505.7
2026-03-01,EPRJ-010,PGM-001,Forecast,13963.28
2026-04-01,EPRJ-010,PGM-001,Forecast,13219.7
2026-05-01,EPRJ-010,PGM-001,Forecast,13404.26
2026-06-01,EPRJ-010,PGM-001,Forecast,14415.68
2026-07-01,EPRJ-010,PGM-001,Forecast,13453.31
2026-08-01,EPRJ-010,PGM-001,Forecast,14537.49
2026-09-01,EPRJ-010,PGM-001,Forecast,13575.07
2026-10-01,EPRJ-010,PGM-001,Forecast,14393.82
2026-11-01,EPRJ-010,PGM-001,Forecast,13382.79
2026-12-01,EPRJ-010,PGM-001,Forecast,13971.85
2027-01-01,EPRJ-010,PGM-001,Forecast,14345.77
2027-02-01,EPRJ-010,PGM-001,Forecast,13836.26
2027-03-01,EPRJ-010,PGM-001,Forecast,14338.23
2027-04-01,EPRJ-010,PGM-001,Forecast,14233.07
2027-05-01,EPRJ-010,PGM-001,Forecast,13498.17
2027-06-01,EPRJ-010,PGM-001,Forecast,13522.11
2027-07-01,EPRJ-010,PGM-001,Forecast,13413.93
2027-08-01,EPRJ-010,PGM-001,Forecast,13640.95
2027-09-01,EPRJ-010,PGM-001,Forecast,14172.38
2027-10-01,EPRJ-010,PGM-001,Forecast,13568.0
2027-11-01,EPRJ-010,PGM-001,Forecast,13743.03
2027-12-01,EPRJ-010,PGM-001,Forecast,13809.08
2026-01-01,EPRJ-011,PGM-002,Forecast,37769.61
2026-02-01,EPRJ-011,PGM-002,Forecast,35639.1
2026-03-01,EPRJ-011,PGM-002,Forecast,35373.15
2026-04-01,EPRJ-011,PGM-002,Forecast,37426.07
2026-05-01,EPRJ-011,PGM-002,Forecast,34362.94
2026-06-01,EPRJ-011,PGM-002,Forecast,37162.24
2026-07-01,EPRJ-011,PGM-002,Forecast,36483.74
2026-08-01,EPRJ-011,PGM-002,Forecast,36131.42
2026-09-01,EPRJ-011,PGM-002,Forecast,36050.89
2026-10-01,EPRJ-011,PGM-002,Forecast,36027.03
2026-11-01,EPRJ-011,PGM-002,Forecast,37133.45
2026-12-01,EPRJ-011,PGM-002,Forecast,37733.58
2027-01-01,EPRJ-011,PGM-002,Forecast,36125.45
2027-02-01,EPRJ-011,PGM-002,Forecast,34854.03
2027-03-01,EPRJ-011,PGM-002,Forecast,36024.5
2027-04-01,EPRJ-011,PGM-002,Forecast,35832.45
2027-05-01,EPRJ-011,PGM-002,Forecast,35165.58
2027-06-01,EPRJ-011,PGM-002,Forecast,37234.47
2027-07-01,EPRJ-011,PGM-002,Forecast,34527.48
2027-08-01,EPRJ-011,PGM-002,Forecast,35574.69
2027-09-01,EPRJ-011,PGM-002,Forecast,36582.71
2027-10-01,EPRJ-011,PGM-002,Forecast,36715.37
2027-11-01,EPRJ-011,PGM-002,Forecast,36788.36
2027-12-01,EPRJ-011,PGM-002,Forecast,35186.49
2026-01-01,EPRJ-012,PGM-003,Forecast,22462.39
2026-02-01,EPRJ-012,PGM-003,Forecast,22241.07
2026-03-01,EPRJ-012,PGM-003,Forecast,22498.91
2026-04-01,EPRJ-012,PGM-003,Forecast,22391.97
2026-05-01,EPRJ-012,PGM-003,Forecast,22857.61
2026-06-01,EPRJ-012,PGM-003,Forecast,23119.85
2026-07-01,EPRJ-012,PGM-003,Forecast,21344.66
2026-08-01,EPRJ-012,PGM-003,Forecast,23059.67
2026-09-01,EPRJ-012,PGM-003,Forecast,22610.0
2026-10-01,EPRJ-012,PGM-003,Forecast,21716.61
2026-11-01,EPRJ-012,PGM-003,Forecast,21871.9
2026-12-01,EPRJ-012,PGM-003,Forecast,22701.65
2027-01-01,EPRJ-012,PGM-003,Forecast,22313.64
2027-02-01,EPRJ-012,PGM-003,Forecast,21458.86
2027-03-01,EPRJ-012,PGM-003,Forecast,23148.98
2027-04-01,EPRJ-012,PGM-003,Forecast,22138.39
2027-05-01,EPRJ-012,PGM-003,Forecast,21850.63
2027-06-01,EPRJ-012,PGM-003,Forecast,21950.57
2027-07-01,EPRJ-012,PGM-003,Forecast,21982.39
2027-08-01,EPRJ-012,PGM-003,Forecast,21284.29
2027-09-01,EPRJ-012,PGM-003,Forecast,21490.85
2027-10-01,EPRJ-012,PGM-003,Forecast,21585.4
2027-11-01,EPRJ-012,PGM-003,Forecast,21130.11
2027-12-01,EPRJ-012,PGM-003,Forecast,21912.35
