Month,ProjectID,ProgramID,LaborHours,LaborRateUSD,LaborCostUSD
2024-10-01,EPRJ-007,PGM-007,482.7,114.87,55444.08
2024-11-01,EPRJ-007,PGM-007,202.5,128.36,25986.56
2024-12-01,EPRJ-007,PGM-007,683.3,91.41,62463.0
2025-01-01,EPRJ-007,PGM-007,283.2,136.23,38584.45
2025-02-01,EPRJ-007,PGM-007,841.9,120.98,101852.57
2025-03-01,EPRJ-007,PGM-007,508.6,109.49,55685.06
2025-04-01,EPRJ-007,PGM-007,785.1,126.31,99169.16
2025-05-01,EPRJ-007,PGM-007,709.4,93.57,66381.07
2025-06-01,EPRJ-007,PGM-007,166.3,87.93,14623.54
2025-07-01,EPRJ-007,PGM-007,207.6,136.07,28241.9
2025-08-01,EPRJ-007,PGM-007,421.2,136.98,57694.14
2025-09-01,EPRJ-007,PGM-007,369.3,136.76,68174.71
2025-10-01,EPRJ-007,PGM-007,319.7,129.65,55950.56
2025-11-01,EPRJ-007,PGM-007,655.5,100.65,89077.62
2025-12-01,EPRJ-007,PGM-007,138.9,88.61,16616.3
2026-01-01,EPRJ-007,PGM-007,746.9,140.2,141376.41
2026-02-01,EPRJ-007,PGM-007,348.9,106.95,50373.9
2026-03-01,EPRJ-007,PGM-007,789.3,140.2,149385.95
2026-04-01,EPRJ-007,PGM-007,157.0,122.19,25897.72
2026-05-01,EPRJ-007,PGM-007,567.9,96.19,73746.19
2026-06-01,EPRJ-007,PGM-007,604.9,97.12,79309.59
2026-07-01,EPRJ-007,PGM-007,469.1,110.63,70055.82
2024-08-01,EPRJ-008,PGM-008,714.3,143.1,102213.75
2024-09-01,EPRJ-008,PGM-008,448.2,121.57,54484.81
2024-10-01,EPRJ-008,PGM-008,717.1,95.09,68188.88
2024-11-01,EPRJ-008,PGM-008,438.8,105.6,46341.12
2024-12-01,EPRJ-008,PGM-008,288.1,117.11,33740.84
2025-01-01,EPRJ-008,PGM-008,524.2,103.9,54467.07
2025-02-01,EPRJ-008,PGM-008,296.0,116.37,34450.77
2025-03-01,EPRJ-008,PGM-008,545.0,122.05,66521.42
2025-04-01,EPRJ-008,PGM-008,664.8,121.35,80675.26
2025-05-01,EPRJ-008,PGM-008,801.9,101.96,81758.89
2025-06-01,EPRJ-008,PGM-008,482.9,124.67,60204.45
2025-07-01,EPRJ-008,PGM-008,789.1,100.59,79378.69
2025-08-01,EPRJ-008,PGM-008,774.1,128.59,99540.6
2025-09-01,EPRJ-008,PGM-008,695.3,126.26,87785.23
2025-10-01,EPRJ-008,PGM-008,122.7,105.08,12891.38
2025-11-01,EPRJ-008,PGM-008,578.4,139.34,80597.27
2025-12-01,EPRJ-008,PGM-008,609.4,91.24,55602.07
2026-01-01,EPRJ-008,PGM-008,778.9,121.77,94845.92
2026-02-01,EPRJ-008,PGM-008,667.8,138.89,92747.97
2026-03-01,EPRJ-008,PGM-008,795.0,142.76,113499.54
2026-04-01,EPRJ-008,PGM-008,808.5,119.4,96527.32
2026-05-01,EPRJ-008,PGM-008,800.1,108.32,86668.69
2026-06-01,EPRJ-008,PGM-008,846.2,85.25,72141.95
2026-07-01,EPRJ-008,PGM-008,493.3,125.64,61971.2
2024-08-01,EPRJ-009,PGM-009,775.7,139.52,108215.88
2024-09-01,EPRJ-009,PGM-009,471.5,135.41,63851.93
2024-10-01,EPRJ-009,PGM-009,863.0,121.66,104996.43
2024-11-01,EPRJ-009,PGM-009,808.4,109.66,88656.83
2024-12-01,EPRJ-009,PGM-009,569.5,104.56,59543.84
2025-01-01,EPRJ-009,PGM-009,349.5,141.07,49302.97
2025-02-01,EPRJ-009,PGM-009,625.7,144.73,90555.89
2025-03-01,EPRJ-009,PGM-009,747.3,87.9,65680.91
2025-04-01,EPRJ-009,PGM-009,463.4,120.44,55804.45
2025-05-01,EPRJ-009,PGM-009,458.1,111.57,51111.06
2025-06-01,EPRJ-009,PGM-009,759.5,106.65,80997.08
2025-07-01,EPRJ-009,PGM-009,183.2,89.07,16315.56
2025-08-01,EPRJ-009,PGM-009,350.8,119.18,41806.21
2025-09-01,EPRJ-009,PGM-009,518.0,135.81,70352.88
2025-10-01,EPRJ-009,PGM-009,328.8,123.84,40725.52
2025-11-01,EPRJ-009,PGM-009,355.3,136.66,48560.86
2025-12-01,EPRJ-009,PGM-009,597.1,96.24,57465.16
2026-01-01,EPRJ-009,PGM-009,278.3,96.98,26988.9
2026-02-01,EPRJ-009,PGM-009,320.5,110.57,35434.81
2026-03-01,EPRJ-009,PGM-009,607.9,121.34,73757.9
2026-04-01,EPRJ-009,PGM-009,418.0,95.13,39761.97
2026-05-01,EPRJ-009,PGM-009,793.2,128.5,101922.64
2026-06-01,EPRJ-009,PGM-009,325.4,141.1,45907.65
2026-07-01,EPRJ-009,PGM-009,393.5,133.58,52561.88
2024-08-01,EPRJ-010,PGM-001,333.4,88.62,29543.23
2024-09-01,EPRJ-010,PGM-001,535.6,113.95,61037.85
2024-10-01,EPRJ-010,PGM-001,135.7,116.94,15867.58
2024-11-01,EPRJ-010,PGM-001,148.3,90.87,13474.56
2024-12-01,EPRJ-010,PGM-001,875.6,130.26,114054.44
2025-01-01,EPRJ-010,PGM-001,750.2,124.82,93638.38
2025-02-01,EPRJ-010,PGM-001,153.9,104.31,16049.85
2025-03-01,EPRJ-010,PGM-001,439.5,88.97,39106.44
2025-04-01,EPRJ-010,PGM-001,151.6,110.97,16819.2
2025-05-01,EPRJ-010,PGM-001,659.6,102.47,67588.11
2025-06-01,EPRJ-010,PGM-001,392.3,108.42,42535.91
2025-07-01,EPRJ-010,PGM-001,842.3,98.85,83266.97
2025-08-01,EPRJ-010,PGM-001,237.0,120.5,28553.38
2025-09-01,EPRJ-010,PGM-001,276.3,96.45,26651.28
2025-10-01,EPRJ-010,PGM-001,450.6,132.22,59574.74
2025-11-01,EPRJ-010,PGM-001,533.4,87.35,46593.03
2025-12-01,EPRJ-010,PGM-001,438.8,139.83,61353.98
2026-01-01,EPRJ-010,PGM-001,803.2,115.38,92675.13
2026-02-01,EPRJ-010,PGM-001,615.9,138.44,85267.47
2026-03-01,EPRJ-010,PGM-001,735.2,86.15,63335.28
2026-04-01,EPRJ-010,PGM-001,626.8,111.71,70022.39
2026-05-01,EPRJ-010,PGM-001,158.1,129.44,20462.84
2026-06-01,EPRJ-010,PGM-001,270.2,106.26,28711.6
2026-07-01,EPRJ-010,PGM-001,273.4,103.17,28205.89
2024-08-01,EPRJ-011,PGM-002,157.1,88.26,13864.54
2024-09-01,EPRJ-011,PGM-002,603.1,120.05,72395.6
2024-10-01,EPRJ-011,PGM-002,427.2,126.21,53909.95
2024-11-01,EPRJ-011,PGM-002,304.4,100.09,30469.29
2024-12-01,EPRJ-011,PGM-002,613.0,97.34,59667.91
2025-01-01,EPRJ-011,PGM-002,185.0,100.38,18569.25
2025-02-01,EPRJ-011,PGM-002,260.3,143.03,37231.66
2025-03-01,EPRJ-011,PGM-002,209.0,135.3,28276.64
2025-04-01,EPRJ-011,PGM-002,809.8,98.96,80139.25
2025-05-01,EPRJ-011,PGM-002,547.5,123.79,67772.93
2025-06-01,EPRJ-011,PGM-002,187.8,125.77,23614.64
2025-07-01,EPRJ-011,PGM-002,188.6,109.51,20652.36
2025-08-01,EPRJ-011,PGM-002,547.1,138.56,75799.59
2025-09-01,EPRJ-011,PGM-002,762.5,137.93,105173.18
2025-10-01,EPRJ-011,PGM-002,569.3,129.84,73913.6
2025-11-01,EPRJ-011,PGM-002,417.4,88.14,36788.18
2025-12-01,EPRJ-011,PGM-002,336.9,100.21,33756.93
2026-01-01,EPRJ-011,PGM-002,329.4,93.04,30646.88
2026-02-01,EPRJ-011,PGM-002,623.4,132.72,82744.68
2026-03-01,EPRJ-011,PGM-002,496.2,135.93,67447.86
2026-04-01,EPRJ-011,PGM-002,847.9,86.61,73433.04
2026-05-01,EPRJ-011,PGM-002,301.1,128.07,38561.11
2026-06-01,EPRJ-011,PGM-002,535.7,96.2,51530.57
2026-07-01,EPRJ-011,PGM-002,612.8,115.49,70773.99
2024-08-01,EPRJ-012,PGM-003,395.8,121.55,48110.21
2024-09-01,EPRJ-012,PGM-003,649.7,132.77,86265.54
2024-10-01,EPRJ-012,PGM-003,570.5,116.6,66516.16
2024-11-01,EPRJ-012,PGM-003,427.3,128.36,54849.8
2024-12-01,EPRJ-012,PGM-003,484.7,131.49,63736.96
2025-01-01,EPRJ-012,PGM-003,494.8,127.88,63273.05
2025-02-01,EPRJ-012,PGM-003,394.9,117.59,46436.79
2025-03-01,EPRJ-012,PGM-003,350.7,108.58,38081.02
2025-04-01,EPRJ-012,PGM-003,594.5,101.83,60536.65
2025-05-01,EPRJ-012,PGM-003,277.0,121.99,33789.73
2025-06-01,EPRJ-012,PGM-003,517.6,131.37,67992.56
2025-07-01,EPRJ-012,PGM-003,783.2,101.36,79390.29
2025-08-01,EPRJ-012,PGM-003,397.7,95.24,37876.98
2025-09-01,EPRJ-012,PGM-003,226.6,99.18,22477.81
2025-10-01,EPRJ-012,PGM-003,514.5,142.34,73243.22
2025-11-01,EPRJ-012,PGM-003,292.1,133.15,38889.46
2025-12-01,EPRJ-012,PGM-003,724.5,95.4,69121.18
2026-01-01,EPRJ-012,PGM-003,451.1,96.59,43565.68
2026-02-01,EPRJ-012,PGM-003,772.0,132.88,102580.64
2026-03-01,EPRJ-012,PGM-003,777.2,103.32,80304.33
2026-04-01,EPRJ-012,PGM-003,380.6,144.79,55114.8
2026-05-01,EPRJ-012,PGM-003,891.6,88.49,78894.86
2026-06-01,EPRJ-012,PGM-003,397.1,101.88,40459.06
2026-07-01,EPRJ-012,PGM-003,698.7,142.73,99726.6
