EmployeeID,Course,CompletedDate,Status
EMP-100650,Lockout/Tagout,2026-03-06,Complete
EMP-100456,Hazard Communication,2026-05-28,Complete
EMP-100632,Fall Protection,2026-05-27,Overdue
EMP-100263,Hazard Communication,2026-02-17,Complete
EMP-100563,Forklift,2026-02-05,Complete
EMP-100500,Forklift,2026-01-15,Complete
EMP-100233,Forklift,2026-01-26,Complete
EMP-100000,Fall Protection,2026-05-09,Complete
EMP-100646,Fall Protection,2026-05-01,Overdue
EMP-100189,Fall Protection,2026-05-25,Complete
EMP-100742,Lockout/Tagout,2026-05-20,Overdue
EMP-100291,Hazard Communication,2026-03-01,Complete
EMP-100788,Lockout/Tagout,2026-05-09,Overdue
EMP-100462,Hazard Communication,2026-06-28,Complete
EMP-100228,Forklift,2026-04-27,Overdue
EMP-100732,Forklift,2026-01-01,Overdue
EMP-100377,Forklift,2026-04-16,Complete
EMP-100228,Forklift,2026-03-25,Complete
EMP-100548,Fall Protection,2026-02-24,Complete
EMP-100330,Forklift,2026-06-20,Complete
EMP-100734,Lockout/Tagout,2026-05-15,Overdue
EMP-100657,Hazard Communication,2026-03-28,Complete
EMP-100005,Hazard Communication,2026-05-23,Overdue
EMP-100377,Forklift,2026-06-02,Complete
EMP-100343,Hazard Communication,2026-06-15,Complete
EMP-100215,Lockout/Tagout,2026-01-11,Complete
EMP-100802,Fall Protection,2026-06-24,Complete
EMP-100165,Hazard Communication,2026-01-01,Complete
EMP-100108,Forklift,2026-04-03,Complete
EMP-100256,Fall Protection,2026-01-08,Complete
EMP-100771,Hazard Communication,2026-05-03,Overdue
EMP-100734,Forklift,2026-06-10,Complete
EMP-100733,Fall Protection,2026-03-24,Complete
EMP-100135,Fall Protection,2026-06-06,Complete
EMP-100146,Fall Protection,2026-02-23,Complete
EMP-100199,Lockout/Tagout,2026-05-08,Overdue
EMP-100245,Hazard Communication,2026-03-25,Overdue
EMP-100406,Lockout/Tagout,2026-01-01,Complete
EMP-100078,Forklift,2026-06-01,Complete
