EmployeeID,SiteID,Week,ExceptionType,Hours
EMP-100156,SITE-01,2026-06-01,Missing Punch,1.4
EMP-100502,SITE-03,2026-06-15,Missing Punch,1.5
EMP-100679,SITE-04,2026-06-01,Missing Punch,10.1
EMP-100642,SITE-03,2026-06-22,Unapproved Absence,1.1
EMP-100286,SITE-03,2026-06-01,Overtime,9.5
EMP-100533,SITE-02,2026-06-15,Overtime,11.0
EMP-100328,SITE-01,2026-06-15,Unapproved Absence,6.9
EMP-100393,SITE-02,2026-06-08,Unapproved Absence,7.1
EMP-100539,SITE-04,2026-06-01,Overtime,8.0
EMP-100572,SITE-01,2026-06-08,Unapproved Absence,2.1
EMP-100581,SITE-02,2026-06-01,Missing Punch,2.6
EMP-100538,SITE-03,2026-06-22,Unapproved Absence,1.2
EMP-100081,SITE-02,2026-06-15,Missing Punch,2.1
EMP-100178,SITE-03,2026-06-08,Unapproved Absence,5.8
EMP-100517,SITE-02,2026-06-15,Overtime,0.7
EMP-100080,SITE-01,2026-06-22,Unapproved Absence,2.4
EMP-100783,SITE-04,2026-06-01,Unapproved Absence,0.9
EMP-100773,SITE-02,2026-06-01,Missing Punch,9.5
EMP-100739,SITE-04,2026-06-22,Overtime,4.5
EMP-100717,SITE-02,2026-06-22,Overtime,4.1
EMP-100534,SITE-03,2026-06-08,Overtime,5.4
EMP-100808,SITE-01,2026-06-01,Unapproved Absence,1.9
EMP-100640,SITE-01,2026-06-22,Missing Punch,10.2
EMP-100312,SITE-01,2026-06-15,Overtime,0.6
EMP-100483,SITE-04,2026-06-15,Overtime,2.9
EMP-100286,SITE-03,2026-06-15,Missing Punch,3.2
EMP-100055,SITE-04,2026-06-22,Overtime,7.8
EMP-100750,SITE-03,2026-06-15,Missing Punch,9.8
EMP-100419,SITE-04,2026-06-01,Overtime,9.5
EMP-100156,SITE-01,2026-06-22,Missing Punch,10.9
EMP-100517,SITE-02,2026-06-15,Overtime,10.5
EMP-100544,SITE-01,2026-06-01,Overtime,8.9
EMP-100301,SITE-02,2026-06-01,Overtime,10.6
EMP-100406,SITE-03,2026-06-22,Overtime,1.2
EMP-100291,SITE-04,2026-06-15,Overtime,11.4
EMP-100426,SITE-03,2026-06-08,Unapproved Absence,4.0
EMP-100799,SITE-04,2026-06-15,Overtime,8.3
EMP-100420,SITE-01,2026-06-01,Unapproved Absence,8.7
EMP-100483,SITE-04,2026-06-08,Missing Punch,9.1
EMP-100480,SITE-01,2026-06-01,Missing Punch,8.6
EMP-100789,SITE-02,2026-06-01,Missing Punch,9.5
EMP-100587,SITE-04,2026-06-15,Missing Punch,5.5
EMP-100310,SITE-03,2026-06-22,Unapproved Absence,5.2
EMP-100098,SITE-03,2026-06-22,Missing Punch,9.5
EMP-100086,SITE-03,2026-06-15,Missing Punch,1.2
EMP-100323,SITE-04,2026-06-22,Missing Punch,8.3
EMP-100540,SITE-01,2026-06-22,Missing Punch,5.8
EMP-100131,SITE-04,2026-06-01,Overtime,4.8
EMP-100148,SITE-01,2026-06-01,Unapproved Absence,10.7
EMP-100431,SITE-04,2026-06-22,Missing Punch,8.0
EMP-100594,SITE-03,2026-06-15,Unapproved Absence,0.7
EMP-100760,SITE-01,2026-06-22,Overtime,9.5
EMP-100043,SITE-04,2026-06-01,Missing Punch,2.0
EMP-100547,SITE-04,2026-06-08,Missing Punch,3.9
EMP-100224,SITE-01,2026-06-01,Unapproved Absence,1.8
EMP-100714,SITE-03,2026-06-08,Overtime,1.8
EMP-100562,SITE-03,2026-06-01,Unapproved Absence,3.7
EMP-100024,SITE-01,2026-06-22,Missing Punch,6.6
EMP-100106,SITE-03,2026-06-22,Missing Punch,1.6
EMP-100664,SITE-01,2026-06-08,Overtime,7.3
EMP-100754,SITE-03,2026-06-01,Overtime,5.8
EMP-100540,SITE-01,2026-06-15,Unapproved Absence,3.0
EMP-100418,SITE-03,2026-06-08,Missing Punch,9.6
