EmployeeID,ReviewCycle,Rating,PromotionReady,ReviewerID
EMP-100217,2026,4,N,EMP-100160
EMP-100218,2026,3,Y,EMP-100138
EMP-100219,2026,3,N,EMP-100190
EMP-100220,2026,5,N,EMP-100055
EMP-100221,2026,2,Y,EMP-100145
EMP-100222,2026,3,N,EMP-100220
EMP-100223,2026,4,N,EMP-100078
EMP-100224,2026,2,N,EMP-100033
EMP-100225,2026,3,N,EMP-100115
EMP-100226,2026,4,Y,EMP-100190
EMP-100227,2026,3,N,EMP-100183
EMP-100228,2026,2,N,EMP-100063
EMP-100229,2026,5,Y,EMP-100175
EMP-100230,2026,2,N,EMP-100055
EMP-100231,2026,3,N,EMP-100108
EMP-100232,2026,2,N,EMP-100085
EMP-100233,2026,2,N,EMP-100048
EMP-100234,2026,3,Y,EMP-100130
EMP-100235,2026,3,N,
EMP-100236,2026,4,Y,EMP-100220
EMP-100237,2026,4,N,EMP-100033
EMP-100238,2026,5,N,EMP-100033
EMP-100239,2026,2,N,EMP-100190
EMP-100240,2026,4,N,EMP-100213
EMP-100241,2026,3,N,EMP-100108
EMP-100242,2026,3,Y,
EMP-100243,2026,4,Y,EMP-100138
EMP-100244,2026,3,Y,EMP-100010
EMP-100245,2026,3,Y,EMP-100108
EMP-100246,2026,4,N,EMP-100070
EMP-100247,2026,3,Y,EMP-100160
EMP-100248,2026,5,N,EMP-100183
EMP-100249,2026,3,N,EMP-100055
