EmployeeID,EffectiveDate,ChangeType,OldSalaryUSD,NewSalaryUSD
EMP-100108,2026-05-01,Merit,107408,111119
EMP-100109,2026-03-01,Market Adj,99484,103621
EMP-100110,2026-02-01,Market Adj,108530,120312
EMP-100111,2026-05-01,Market Adj,69493,70988
EMP-100112,2026-04-01,Promotion,78833,87365
EMP-100113,2026-02-01,Market Adj,72357,78056
EMP-100114,2026-06-01,Merit,61053,67286
EMP-100115,2026-03-01,Merit,147930,153513
EMP-100116,2026-06-01,Promotion,87376,91489
EMP-100117,2026-02-01,Merit,73671,80409
EMP-100118,2026-05-01,Market Adj,72496,80502
EMP-100119,2026-07-01,Market Adj,89925,93730
EMP-100120,2026-02-01,Market Adj,56239,57899
EMP-100121,2026-04-01,Market Adj,57897,64455
EMP-100122,2026-07-01,Promotion,58709,61021
EMP-100123,2026-01-01,Promotion,82975,86241
EMP-100124,2026-05-01,Promotion,102392,108320
EMP-100125,2026-06-01,Promotion,89904,98103
EMP-100126,2026-02-01,Market Adj,78716,81385
EMP-100127,2026-02-01,Promotion,86846,93456
EMP-100128,2026-07-01,Market Adj,77844,85152
EMP-100129,2026-07-01,Merit,69111,75648
EMP-100130,2026-02-01,Promotion,122445,126540
EMP-100131,2026-02-01,Promotion,104686,113899
EMP-100132,2026-05-01,Merit,65753,69946
EMP-100133,2026-03-01,Market Adj,81586,83549
EMP-100134,2026-02-01,Market Adj,86592,88564
EMP-100135,2026-03-01,Market Adj,52753,55379
EMP-100136,2026-05-01,Market Adj,61295,63651
EMP-100137,2026-05-01,Promotion,63287,66293
EMP-100138,2026-03-01,Market Adj,108375,116952
EMP-100139,2026-07-01,Merit,115619,121533
EMP-100140,2026-06-01,Merit,110793,122913
EMP-100141,2026-03-01,Merit,65449,67964
EMP-100142,2026-02-01,Promotion,81260,85262
EMP-100143,2026-02-01,Merit,77514,81871
EMP-100144,2026-07-01,Merit,61989,64609
EMP-100145,2026-06-01,Merit,136629,151881
EMP-100146,2026-02-01,Promotion,92341,100262
EMP-100147,2026-04-01,Market Adj,67742,73026
EMP-100148,2026-04-01,Promotion,73204,81755
EMP-100149,2026-04-01,Promotion,81574,87863
