EmployeeID,DeptID,SiteID,JobClass,AttritionRiskScore,RiskTier
EMP-100100,DEPT-02,SITE-01,Program Manager,0.31,Medium
EMP-100101,DEPT-03,SITE-02,Account Executive,0.15,Low
EMP-100102,DEPT-04,SITE-03,Maintenance Technician,0.08,Low
EMP-100103,DEPT-05,SITE-04,EHS Specialist,0.17,Low
EMP-100104,DEPT-06,SITE-01,Contracts Administrator,0.16,Low
EMP-100105,DEPT-07,SITE-02,Assembler,0.14,Low
EMP-100106,DEPT-08,SITE-03,CNC Machinist,0.21,Low
EMP-100107,DEPT-09,SITE-04,Quality Inspector,0.23,Low
EMP-100108,DEPT-10,SITE-01,Manufacturing Engineer,0.17,Low
EMP-100109,DEPT-11,SITE-02,Design Engineer,0.1,Low
EMP-100110,DEPT-01,SITE-03,Test Engineer,0.12,Low
EMP-100111,DEPT-02,SITE-04,Buyer,0.12,Low
EMP-100112,DEPT-03,SITE-01,Financial Analyst,0.16,Low
EMP-100113,DEPT-04,SITE-02,HR Generalist,0.18,Low
EMP-100114,DEPT-05,SITE-03,IT Support,0.2,Low
EMP-100115,DEPT-06,SITE-04,Program Manager,0.22,Low
EMP-100116,DEPT-07,SITE-01,Account Executive,0.31,Medium
EMP-100117,DEPT-08,SITE-02,Maintenance Technician,0.21,Low
EMP-100118,DEPT-09,SITE-03,EHS Specialist,0.14,Low
EMP-100119,DEPT-10,SITE-04,Contracts Administrator,0.18,Low
EMP-100120,DEPT-11,SITE-01,Assembler,0.08,Low
EMP-100121,DEPT-01,SITE-02,CNC Machinist,0.19,Low
EMP-100122,DEPT-02,SITE-03,Quality Inspector,0.26,Medium
EMP-100123,DEPT-03,SITE-04,Manufacturing Engineer,0.32,Medium
EMP-100124,DEPT-04,SITE-01,Design Engineer,0.13,Low
EMP-100125,DEPT-05,SITE-02,Test Engineer,0.14,Low
EMP-100126,DEPT-06,SITE-03,Buyer,0.15,Low
EMP-100127,DEPT-07,SITE-04,Financial Analyst,0.13,Low
EMP-100128,DEPT-08,SITE-01,HR Generalist,0.27,Medium
EMP-100129,DEPT-09,SITE-02,IT Support,0.12,Low
EMP-100130,DEPT-10,SITE-03,Program Manager,0.09,Low
EMP-100131,DEPT-11,SITE-04,Account Executive,0.18,Low
EMP-100132,DEPT-01,SITE-01,Maintenance Technician,0.34,Medium
EMP-100133,DEPT-02,SITE-02,EHS Specialist,0.3,Medium
EMP-100134,DEPT-03,SITE-03,Contracts Administrator,0.18,Low
EMP-100135,DEPT-04,SITE-04,Assembler,0.21,Low
EMP-100136,DEPT-05,SITE-01,CNC Machinist,0.78,High
EMP-100137,DEPT-06,SITE-02,Quality Inspector,0.05,Low
EMP-100138,DEPT-07,SITE-03,Manufacturing Engineer,0.2,Low
EMP-100139,DEPT-08,SITE-04,Design Engineer,0.07,Low
EMP-100140,DEPT-09,SITE-01,Test Engineer,0.16,Low
EMP-100141,DEPT-10,SITE-02,Buyer,0.33,Medium
EMP-100142,DEPT-11,SITE-03,Financial Analyst,0.31,Medium
EMP-100143,DEPT-01,SITE-04,HR Generalist,0.24,Low
EMP-100144,DEPT-02,SITE-01,IT Support,0.35,Medium
EMP-100145,DEPT-03,SITE-02,Program Manager,0.08,Low
EMP-100146,DEPT-04,SITE-03,Account Executive,0.11,Low
EMP-100147,DEPT-05,SITE-04,Maintenance Technician,0.07,Low
EMP-100148,DEPT-06,SITE-01,EHS Specialist,0.21,Low
EMP-100149,DEPT-07,SITE-02,Contracts Administrator,0.08,Low
EMP-100150,DEPT-08,SITE-03,Assembler,0.17,Low
EMP-100151,DEPT-09,SITE-04,CNC Machinist,0.1,Low
EMP-100152,DEPT-10,SITE-01,Quality Inspector,0.15,Low
EMP-100153,DEPT-11,SITE-02,Manufacturing Engineer,0.28,Medium
EMP-100154,DEPT-01,SITE-03,Design Engineer,0.22,Low
EMP-100155,DEPT-02,SITE-04,Test Engineer,0.2,Low
EMP-100156,DEPT-03,SITE-01,Buyer,0.23,Low
EMP-100157,DEPT-04,SITE-02,Financial Analyst,0.28,Medium
EMP-100158,DEPT-05,SITE-03,HR Generalist,0.3,Medium
EMP-100159,DEPT-06,SITE-04,IT Support,0.23,Low
EMP-100160,DEPT-07,SITE-01,Program Manager,0.13,Low
EMP-100161,DEPT-08,SITE-02,Account Executive,0.09,Low
EMP-100162,DEPT-09,SITE-03,Maintenance Technician,0.08,Low
EMP-100163,DEPT-10,SITE-04,EHS Specialist,0.11,Low
EMP-100164,DEPT-11,SITE-01,Contracts Administrator,0.33,Medium
EMP-100165,DEPT-01,SITE-02,Assembler,0.15,Low
EMP-100166,DEPT-02,SITE-03,CNC Machinist,0.18,Low
EMP-100167,DEPT-03,SITE-04,Quality Inspector,0.32,Medium
EMP-100168,DEPT-04,SITE-01,Manufacturing Engineer,0.07,Low
EMP-100169,DEPT-05,SITE-02,Design Engineer,0.1,Low
EMP-100170,DEPT-06,SITE-03,Test Engineer,0.15,Low
EMP-100171,DEPT-07,SITE-04,Buyer,0.26,Medium
EMP-100172,DEPT-08,SITE-01,Financial Analyst,0.29,Medium
EMP-100173,DEPT-09,SITE-02,HR Generalist,0.08,Low
EMP-100174,DEPT-10,SITE-03,IT Support,0.12,Low
EMP-100175,DEPT-11,SITE-04,Program Manager,0.18,Low
EMP-100176,DEPT-01,SITE-01,Account Executive,0.25,Low
EMP-100177,DEPT-02,SITE-02,Maintenance Technician,0.21,Low
EMP-100178,DEPT-03,SITE-03,EHS Specialist,0.27,Medium
EMP-100179,DEPT-04,SITE-04,Contracts Administrator,0.3,Medium
EMP-100180,DEPT-05,SITE-01,Assembler,0.07,Low
EMP-100181,DEPT-06,SITE-02,CNC Machinist,0.13,Low
EMP-100182,DEPT-07,SITE-03,Quality Inspector,0.32,Medium
EMP-100183,DEPT-08,SITE-04,Manufacturing Engineer,0.17,Low
EMP-100184,DEPT-09,SITE-01,Design Engineer,0.22,Low
EMP-100185,DEPT-10,SITE-02,Test Engineer,0.09,Low
EMP-100186,DEPT-11,SITE-03,Buyer,0.32,Medium
EMP-100187,DEPT-01,SITE-04,Financial Analyst,0.32,Medium
EMP-100188,DEPT-02,SITE-01,HR Generalist,0.07,Low
EMP-100189,DEPT-03,SITE-02,IT Support,0.12,Low
EMP-100190,DEPT-04,SITE-03,Program Manager,0.14,Low
EMP-100191,DEPT-05,SITE-04,Account Executive,0.16,Low
EMP-100192,DEPT-06,SITE-01,Maintenance Technician,0.12,Low
EMP-100193,DEPT-07,SITE-02,EHS Specialist,0.1,Low
EMP-100194,DEPT-08,SITE-03,Contracts Administrator,0.08,Low
EMP-100195,DEPT-09,SITE-04,Assembler,0.11,Low
EMP-100196,DEPT-10,SITE-01,CNC Machinist,0.81,High
EMP-100197,DEPT-11,SITE-02,Quality Inspector,0.11,Low
EMP-100198,DEPT-01,SITE-03,Manufacturing Engineer,0.16,Low
EMP-100199,DEPT-02,SITE-04,Design Engineer,0.2,Low
EMP-100200,DEPT-03,SITE-01,Test Engineer,0.16,Low
EMP-100201,DEPT-04,SITE-02,Buyer,0.17,Low
EMP-100202,DEPT-05,SITE-03,Financial Analyst,0.1,Low
EMP-100203,DEPT-06,SITE-04,HR Generalist,0.34,Medium
EMP-100204,DEPT-07,SITE-01,IT Support,0.09,Low
EMP-100205,DEPT-08,SITE-02,Program Manager,0.33,Medium
EMP-100206,DEPT-09,SITE-03,Account Executive,0.06,Low
EMP-100207,DEPT-10,SITE-04,Maintenance Technician,0.06,Low
EMP-100208,DEPT-11,SITE-01,EHS Specialist,0.09,Low
EMP-100209,DEPT-01,SITE-02,Contracts Administrator,0.27,Medium
EMP-100210,DEPT-02,SITE-03,Assembler,0.31,Medium
EMP-100211,DEPT-03,SITE-04,CNC Machinist,0.26,Medium
EMP-100212,DEPT-04,SITE-01,Quality Inspector,0.31,Medium
EMP-100213,DEPT-05,SITE-02,Manufacturing Engineer,0.34,Medium
EMP-100214,DEPT-06,SITE-03,Design Engineer,0.14,Low
EMP-100215,DEPT-07,SITE-04,Test Engineer,0.28,Medium
EMP-100216,DEPT-08,SITE-01,Buyer,0.18,Low
EMP-100217,DEPT-09,SITE-02,Financial Analyst,0.34,Medium
EMP-100218,DEPT-10,SITE-03,HR Generalist,0.15,Low
EMP-100219,DEPT-11,SITE-04,IT Support,0.24,Low
EMP-100220,DEPT-01,SITE-01,Program Manager,0.22,Low
EMP-100221,DEPT-02,SITE-02,Account Executive,0.26,Medium
EMP-100222,DEPT-03,SITE-03,Maintenance Technician,0.14,Low
EMP-100223,DEPT-04,SITE-04,EHS Specialist,0.07,Low
EMP-100224,DEPT-05,SITE-01,Contracts Administrator,0.16,Low
EMP-100225,DEPT-06,SITE-02,Assembler,0.22,Low
EMP-100226,DEPT-07,SITE-03,CNC Machinist,0.34,Medium
EMP-100227,DEPT-08,SITE-04,Quality Inspector,0.09,Low
EMP-100228,DEPT-09,SITE-01,Manufacturing Engineer,0.19,Low
EMP-100229,DEPT-10,SITE-02,Design Engineer,0.12,Low
EMP-100230,DEPT-11,SITE-03,Test Engineer,0.3,Medium
EMP-100231,DEPT-01,SITE-04,Buyer,0.28,Medium
EMP-100232,DEPT-02,SITE-01,Financial Analyst,0.19,Low
EMP-100233,DEPT-03,SITE-02,HR Generalist,0.18,Low
EMP-100234,DEPT-04,SITE-03,IT Support,0.23,Low
EMP-100235,DEPT-05,SITE-04,Program Manager,0.07,Low
EMP-100236,DEPT-06,SITE-01,Account Executive,0.16,Low
EMP-100237,DEPT-07,SITE-02,Maintenance Technician,0.11,Low
EMP-100238,DEPT-08,SITE-03,EHS Specialist,0.21,Low
EMP-100239,DEPT-09,SITE-04,Contracts Administrator,0.16,Low
EMP-100240,DEPT-10,SITE-01,Assembler,0.22,Low
EMP-100241,DEPT-11,SITE-02,CNC Machinist,0.28,Medium
EMP-100242,DEPT-01,SITE-03,Quality Inspector,0.33,Medium
EMP-100243,DEPT-02,SITE-04,Manufacturing Engineer,0.26,Medium
EMP-100244,DEPT-03,SITE-01,Design Engineer,0.12,Low
EMP-100245,DEPT-04,SITE-02,Test Engineer,0.06,Low
EMP-100246,DEPT-05,SITE-03,Buyer,0.25,Low
EMP-100247,DEPT-06,SITE-04,Financial Analyst,0.07,Low
EMP-100248,DEPT-07,SITE-01,HR Generalist,0.16,Low
EMP-100249,DEPT-08,SITE-02,IT Support,0.24,Low
EMP-100250,DEPT-09,SITE-03,Program Manager,0.09,Low
EMP-100251,DEPT-10,SITE-04,Account Executive,0.29,Medium
EMP-100252,DEPT-11,SITE-01,Maintenance Technician,0.35,Medium
EMP-100253,DEPT-01,SITE-02,EHS Specialist,0.19,Low
EMP-100254,DEPT-02,SITE-03,Contracts Administrator,0.16,Low
EMP-100255,DEPT-03,SITE-04,Assembler,0.26,Medium
EMP-100256,DEPT-04,SITE-01,CNC Machinist,0.58,High
EMP-100257,DEPT-05,SITE-02,Quality Inspector,0.1,Low
EMP-100258,DEPT-06,SITE-03,Manufacturing Engineer,0.31,Medium
EMP-100259,DEPT-07,SITE-04,Design Engineer,0.32,Medium
EMP-100260,DEPT-08,SITE-01,Test Engineer,0.31,Medium
EMP-100261,DEPT-09,SITE-02,Buyer,0.22,Low
EMP-100262,DEPT-10,SITE-03,Financial Analyst,0.09,Low
EMP-100263,DEPT-11,SITE-04,HR Generalist,0.11,Low
EMP-100264,DEPT-01,SITE-01,IT Support,0.25,Low
EMP-100265,DEPT-02,SITE-02,Program Manager,0.18,Low
EMP-100266,DEPT-03,SITE-03,Account Executive,0.11,Low
EMP-100267,DEPT-04,SITE-04,Maintenance Technician,0.29,Medium
EMP-100268,DEPT-05,SITE-01,EHS Specialist,0.1,Low
EMP-100269,DEPT-06,SITE-02,Contracts Administrator,0.25,Medium
EMP-100270,DEPT-07,SITE-03,Assembler,0.24,Low
EMP-100271,DEPT-08,SITE-04,CNC Machinist,0.22,Low
EMP-100272,DEPT-09,SITE-01,Quality Inspector,0.11,Low
EMP-100273,DEPT-10,SITE-02,Manufacturing Engineer,0.17,Low
EMP-100274,DEPT-11,SITE-03,Design Engineer,0.09,Low
EMP-100275,DEPT-01,SITE-04,Test Engineer,0.23,Low
EMP-100276,DEPT-02,SITE-01,Buyer,0.28,Medium
EMP-100277,DEPT-03,SITE-02,Financial Analyst,0.09,Low
EMP-100278,DEPT-04,SITE-03,HR Generalist,0.29,Medium
EMP-100279,DEPT-05,SITE-04,IT Support,0.22,Low
EMP-100280,DEPT-06,SITE-01,Program Manager,0.06,Low
EMP-100281,DEPT-07,SITE-02,Account Executive,0.12,Low
EMP-100282,DEPT-08,SITE-03,Maintenance Technician,0.18,Low
EMP-100283,DEPT-09,SITE-04,EHS Specialist,0.28,Medium
EMP-100284,DEPT-10,SITE-01,Contracts Administrator,0.23,Low
EMP-100285,DEPT-11,SITE-02,Assembler,0.17,Low
EMP-100286,DEPT-01,SITE-03,CNC Machinist,0.24,Low
EMP-100287,DEPT-02,SITE-04,Quality Inspector,0.22,Low
EMP-100288,DEPT-03,SITE-01,Manufacturing Engineer,0.06,Low
EMP-100289,DEPT-04,SITE-02,Design Engineer,0.08,Low
EMP-100290,DEPT-05,SITE-03,Test Engineer,0.32,Medium
EMP-100291,DEPT-06,SITE-04,Buyer,0.18,Low
EMP-100292,DEPT-07,SITE-01,Financial Analyst,0.14,Low
EMP-100293,DEPT-08,SITE-02,HR Generalist,0.08,Low
EMP-100294,DEPT-09,SITE-03,IT Support,0.18,Low
EMP-100295,DEPT-10,SITE-04,Program Manager,0.27,Medium
EMP-100296,DEPT-11,SITE-01,Account Executive,0.29,Medium
EMP-100297,DEPT-01,SITE-02,Maintenance Technician,0.17,Low
EMP-100298,DEPT-02,SITE-03,EHS Specialist,0.27,Medium
EMP-100299,DEPT-03,SITE-04,Contracts Administrator,0.05,Low
EMP-100300,DEPT-04,SITE-01,Assembler,0.18,Low
EMP-100301,DEPT-05,SITE-02,CNC Machinist,0.22,Low
EMP-100302,DEPT-06,SITE-03,Quality Inspector,0.1,Low
EMP-100303,DEPT-07,SITE-04,Manufacturing Engineer,0.09,Low
EMP-100304,DEPT-08,SITE-01,Design Engineer,0.19,Low
EMP-100305,DEPT-09,SITE-02,Test Engineer,0.33,Medium
EMP-100306,DEPT-10,SITE-03,Buyer,0.07,Low
EMP-100307,DEPT-11,SITE-04,Financial Analyst,0.11,Low
EMP-100308,DEPT-01,SITE-01,HR Generalist,0.19,Low
EMP-100309,DEPT-02,SITE-02,IT Support,0.2,Low
EMP-100310,DEPT-03,SITE-03,Program Manager,0.07,Low
EMP-100311,DEPT-04,SITE-04,Account Executive,0.12,Low
EMP-100312,DEPT-05,SITE-01,Maintenance Technician,0.09,Low
EMP-100313,DEPT-06,SITE-02,EHS Specialist,0.12,Low
EMP-100314,DEPT-07,SITE-03,Contracts Administrator,0.22,Low
EMP-100315,DEPT-08,SITE-04,Assembler,0.19,Low
EMP-100316,DEPT-09,SITE-01,CNC Machinist,0.66,High
EMP-100317,DEPT-10,SITE-02,Quality Inspector,0.22,Low
EMP-100318,DEPT-11,SITE-03,Manufacturing Engineer,0.2,Low
EMP-100319,DEPT-01,SITE-04,Design Engineer,0.08,Low
EMP-100320,DEPT-02,SITE-01,Test Engineer,0.2,Low
EMP-100321,DEPT-03,SITE-02,Buyer,0.14,Low
EMP-100322,DEPT-04,SITE-03,Financial Analyst,0.15,Low
EMP-100323,DEPT-05,SITE-04,HR Generalist,0.32,Medium
EMP-100324,DEPT-06,SITE-01,IT Support,0.16,Low
EMP-100325,DEPT-07,SITE-02,Program Manager,0.32,Medium
EMP-100326,DEPT-08,SITE-03,Account Executive,0.21,Low
EMP-100327,DEPT-09,SITE-04,Maintenance Technician,0.25,Medium
EMP-100328,DEPT-10,SITE-01,EHS Specialist,0.32,Medium
EMP-100329,DEPT-11,SITE-02,Contracts Administrator,0.2,Low
EMP-100330,DEPT-01,SITE-03,Assembler,0.06,Low
EMP-100331,DEPT-02,SITE-04,CNC Machinist,0.1,Low
EMP-100332,DEPT-03,SITE-01,Quality Inspector,0.24,Low
EMP-100333,DEPT-04,SITE-02,Manufacturing Engineer,0.18,Low
EMP-100334,DEPT-05,SITE-03,Design Engineer,0.3,Medium
EMP-100335,DEPT-06,SITE-04,Test Engineer,0.3,Medium
EMP-100336,DEPT-07,SITE-01,Buyer,0.07,Low
EMP-100337,DEPT-08,SITE-02,Financial Analyst,0.15,Low
EMP-100338,DEPT-09,SITE-03,HR Generalist,0.34,Medium
EMP-100339,DEPT-10,SITE-04,IT Support,0.2,Low
EMP-100340,DEPT-11,SITE-01,Program Manager,0.15,Low
EMP-100341,DEPT-01,SITE-02,Account Executive,0.14,Low
EMP-100342,DEPT-02,SITE-03,Maintenance Technician,0.07,Low
EMP-100343,DEPT-03,SITE-04,EHS Specialist,0.07,Low
EMP-100344,DEPT-04,SITE-01,Contracts Administrator,0.26,Medium
EMP-100345,DEPT-05,SITE-02,Assembler,0.18,Low
EMP-100346,DEPT-06,SITE-03,CNC Machinist,0.26,Medium
EMP-100347,DEPT-07,SITE-04,Quality Inspector,0.3,Medium
EMP-100348,DEPT-08,SITE-01,Manufacturing Engineer,0.35,Medium
EMP-100349,DEPT-09,SITE-02,Design Engineer,0.05,Low
EMP-100350,DEPT-10,SITE-03,Test Engineer,0.33,Medium
EMP-100351,DEPT-11,SITE-04,Buyer,0.16,Low
EMP-100352,DEPT-01,SITE-01,Financial Analyst,0.17,Low
EMP-100353,DEPT-02,SITE-02,HR Generalist,0.18,Low
EMP-100354,DEPT-03,SITE-03,IT Support,0.16,Low
EMP-100355,DEPT-04,SITE-04,Program Manager,0.21,Low
EMP-100356,DEPT-05,SITE-01,Account Executive,0.14,Low
EMP-100357,DEPT-06,SITE-02,Maintenance Technician,0.16,Low
EMP-100358,DEPT-07,SITE-03,EHS Specialist,0.28,Medium
EMP-100359,DEPT-08,SITE-04,Contracts Administrator,0.34,Medium
EMP-100360,DEPT-09,SITE-01,Assembler,0.06,Low
EMP-100361,DEPT-10,SITE-02,CNC Machinist,0.11,Low
EMP-100362,DEPT-11,SITE-03,Quality Inspector,0.09,Low
EMP-100363,DEPT-01,SITE-04,Manufacturing Engineer,0.35,Medium
EMP-100364,DEPT-02,SITE-01,Design Engineer,0.21,Low
EMP-100365,DEPT-03,SITE-02,Test Engineer,0.27,Medium
EMP-100366,DEPT-04,SITE-03,Buyer,0.08,Low
EMP-100367,DEPT-05,SITE-04,Financial Analyst,0.21,Low
EMP-100368,DEPT-06,SITE-01,HR Generalist,0.22,Low
EMP-100369,DEPT-07,SITE-02,IT Support,0.1,Low
EMP-100370,DEPT-08,SITE-03,Program Manager,0.07,Low
EMP-100371,DEPT-09,SITE-04,Account Executive,0.3,Medium
EMP-100372,DEPT-10,SITE-01,Maintenance Technician,0.08,Low
EMP-100373,DEPT-11,SITE-02,EHS Specialist,0.05,Low
EMP-100374,DEPT-01,SITE-03,Contracts Administrator,0.31,Medium
EMP-100375,DEPT-02,SITE-04,Assembler,0.17,Low
EMP-100376,DEPT-03,SITE-01,CNC Machinist,0.8,High
EMP-100377,DEPT-04,SITE-02,Quality Inspector,0.27,Medium
EMP-100378,DEPT-05,SITE-03,Manufacturing Engineer,0.12,Low
EMP-100379,DEPT-06,SITE-04,Design Engineer,0.13,Low
EMP-100380,DEPT-07,SITE-01,Test Engineer,0.27,Medium
EMP-100381,DEPT-08,SITE-02,Buyer,0.26,Medium
EMP-100382,DEPT-09,SITE-03,Financial Analyst,0.28,Medium
EMP-100383,DEPT-10,SITE-04,HR Generalist,0.24,Low
EMP-100384,DEPT-11,SITE-01,IT Support,0.2,Low
EMP-100385,DEPT-01,SITE-02,Program Manager,0.24,Low
EMP-100386,DEPT-02,SITE-03,Account Executive,0.07,Low
EMP-100387,DEPT-03,SITE-04,Maintenance Technician,0.23,Low
EMP-100388,DEPT-04,SITE-01,EHS Specialist,0.17,Low
EMP-100389,DEPT-05,SITE-02,Contracts Administrator,0.29,Medium
EMP-100390,DEPT-06,SITE-03,Assembler,0.32,Medium
EMP-100391,DEPT-07,SITE-04,CNC Machinist,0.06,Low
EMP-100392,DEPT-08,SITE-01,Quality Inspector,0.27,Medium
EMP-100393,DEPT-09,SITE-02,Manufacturing Engineer,0.11,Low
EMP-100394,DEPT-10,SITE-03,Design Engineer,0.35,Medium
EMP-100395,DEPT-11,SITE-04,Test Engineer,0.21,Low
EMP-100396,DEPT-01,SITE-01,Buyer,0.15,Low
EMP-100397,DEPT-02,SITE-02,Financial Analyst,0.24,Low
EMP-100398,DEPT-03,SITE-03,HR Generalist,0.08,Low
EMP-100399,DEPT-04,SITE-04,IT Support,0.06,Low
EMP-100400,DEPT-05,SITE-01,Program Manager,0.31,Medium
EMP-100401,DEPT-06,SITE-02,Account Executive,0.32,Medium
EMP-100402,DEPT-07,SITE-03,Maintenance Technician,0.33,Medium
