Month,ProgramID,Customer,RevenueUSD,Units
2024-09-01,PGM-002,Cascade Defense Systems,790567.79,512
2024-10-01,PGM-002,Cascade Defense Systems,737155.79,326
2024-11-01,PGM-002,Cascade Defense Systems,824443.27,392
2024-12-01,PGM-002,Cascade Defense Systems,832781.35,346
2025-01-01,PGM-002,Cascade Defense Systems,785594.86,379
2025-02-01,PGM-002,Cascade Defense Systems,822597.27,634
2025-03-01,PGM-002,Cascade Defense Systems,833925.42,654
2025-04-01,PGM-002,Cascade Defense Systems,832221.99,412
2025-05-01,PGM-002,Cascade Defense Systems,743410.33,401
2025-06-01,PGM-002,Cascade Defense Systems,757659.66,397
2025-07-01,PGM-002,Cascade Defense Systems,716718.84,688
2025-08-01,PGM-002,Cascade Defense Systems,746919.82,314
2025-09-01,PGM-002,Cascade Defense Systems,741490.02,866
2025-10-01,PGM-002,Cascade Defense Systems,842509.12,997
2025-11-01,PGM-002,Cascade Defense Systems,846814.19,442
2025-12-01,PGM-002,Cascade Defense Systems,863926.59,850
2026-01-01,PGM-002,Cascade Defense Systems,759612.59,369
2026-02-01,PGM-002,Cascade Defense Systems,808727.12,401
2026-03-01,PGM-002,Cascade Defense Systems,865829.83,360
2026-04-01,PGM-002,Cascade Defense Systems,835579.74,676
2026-05-01,PGM-002,Cascade Defense Systems,795307.08,390
2026-06-01,PGM-002,Cascade Defense Systems,748125.43,339
2026-07-01,PGM-002,Cascade Defense Systems,731458.08,415
2024-01-01,PGM-003,Meridian Motors,693470.01,628
2024-02-01,PGM-003,Meridian Motors,691416.04,307
2024-03-01,PGM-003,Meridian Motors,725055.84,394
2024-04-01,PGM-003,Meridian Motors,773300.23,513
2024-05-01,PGM-003,Meridian Motors,694510.65,400
2024-06-01,PGM-003,Meridian Motors,732224.43,444
2024-07-01,PGM-003,Meridian Motors,728399.13,776
2024-08-01,PGM-003,Meridian Motors,763921.25,532
2024-09-01,PGM-003,Meridian Motors,728474.5,544
2024-10-01,PGM-003,Meridian Motors,816436.65,637
2024-11-01,PGM-003,Meridian Motors,842642.07,441
2024-12-01,PGM-003,Meridian Motors,806500.3,663
2025-01-01,PGM-003,Meridian Motors,739659.11,347
2025-02-01,PGM-003,Meridian Motors,843473.48,513
2025-03-01,PGM-003,Meridian Motors,834092.49,360
2025-04-01,PGM-003,Meridian Motors,831005.1,415
2025-05-01,PGM-003,Meridian Motors,824833.57,358
2025-06-01,PGM-003,Meridian Motors,771015.28,427
2025-07-01,PGM-003,Meridian Motors,761226.12,768
2025-08-01,PGM-003,Meridian Motors,751744.28,359
2025-09-01,PGM-003,Meridian Motors,792914.6,732
2025-10-01,PGM-003,Meridian Motors,843169.29,355
2025-11-01,PGM-003,Meridian Motors,867166.09,398
2025-12-01,PGM-003,Meridian Motors,866792.02,425
2026-01-01,PGM-003,Meridian Motors,724373.85,779
2026-02-01,PGM-003,Meridian Motors,750497.94,346
2026-03-01,PGM-003,Meridian Motors,777588.7,971
2026-04-01,PGM-003,Meridian Motors,777506.5,340
2026-05-01,PGM-003,Meridian Motors,709878.61,674
2026-06-01,PGM-003,Meridian Motors,725292.86,459
2026-07-01,PGM-003,Meridian Motors,687379.97,564
2024-01-01,PGM-004,Vantage Robotics,543842.51,363
2024-02-01,PGM-004,Vantage Robotics,517716.31,443
2024-03-01,PGM-004,Vantage Robotics,547117.62,267
2024-04-01,PGM-004,Vantage Robotics,543955.13,219
2024-05-01,PGM-004,Vantage Robotics,533950.42,232
2024-06-01,PGM-004,Vantage Robotics,527701.91,363
2024-07-01,PGM-004,Vantage Robotics,557828.49,241
2024-08-01,PGM-004,Vantage Robotics,511899.27,483
2024-09-01,PGM-004,Vantage Robotics,544565.43,246
2024-10-01,PGM-004,Vantage Robotics,560676.67,236
2024-11-01,PGM-004,Vantage Robotics,596245.21,351
2024-12-01,PGM-004,Vantage Robotics,612460.89,538
2025-01-01,PGM-004,Vantage Robotics,558741.51,498
2025-02-01,PGM-004,Vantage Robotics,590954.41,525
2025-03-01,PGM-004,Vantage Robotics,592082.54,432
2025-04-01,PGM-004,Vantage Robotics,624019.57,359
2025-05-01,PGM-004,Vantage Robotics,623781.93,271
2025-06-01,PGM-004,Vantage Robotics,571466.83,481
2025-07-01,PGM-004,Vantage Robotics,559787.94,379
2025-08-01,PGM-004,Vantage Robotics,560767.28,422
2025-09-01,PGM-004,Vantage Robotics,633183.06,519
2025-10-01,PGM-004,Vantage Robotics,624076.15,345
2025-11-01,PGM-004,Vantage Robotics,634286.02,471
2025-12-01,PGM-004,Vantage Robotics,645781.57,343
2026-01-01,PGM-004,Vantage Robotics,666981.53,323
2026-02-01,PGM-004,Vantage Robotics,656214.81,272
2026-03-01,PGM-004,Vantage Robotics,643983.93,486
2026-04-01,PGM-004,Vantage Robotics,692215.2,433
2026-05-01,PGM-004,Vantage Robotics,636455.64,405
2026-06-01,PGM-004,Vantage Robotics,625931.32,341
2026-07-01,PGM-004,Vantage Robotics,633562.79,468
2024-01-01,PGM-005,Helios Energy,809033.67,364
2024-02-01,PGM-005,Helios Energy,899644.55,537
2024-03-01,PGM-005,Helios Energy,915814.27,583
2024-04-01,PGM-005,Helios Energy,915661.29,543
2024-05-01,PGM-005,Helios Energy,887013.99,730
2024-06-01,PGM-005,Helios Energy,842731.98,582
2024-07-01,PGM-005,Helios Energy,887775.15,526
2024-08-01,PGM-005,Helios Energy,863936.6,370
2024-09-01,PGM-005,Helios Energy,851108.86,341
2024-10-01,PGM-005,Helios Energy,882380.62,654
2024-11-01,PGM-005,Helios Energy,931079.53,422
2024-12-01,PGM-005,Helios Energy,964382.51,862
2025-01-01,PGM-005,Helios Energy,951684.66,491
2025-02-01,PGM-005,Helios Energy,872706.91,500
2025-03-01,PGM-005,Helios Energy,917075.41,373
2025-04-01,PGM-005,Helios Energy,983615.29,497
2025-05-01,PGM-005,Helios Energy,886779.47,405
2025-06-01,PGM-005,Helios Energy,874766.68,367
2025-07-01,PGM-005,Helios Energy,845660.05,542
2025-08-01,PGM-005,Helios Energy,911177.9,525
2025-09-01,PGM-005,Helios Energy,948266.44,847
2025-10-01,PGM-005,Helios Energy,987134.47,399
2025-11-01,PGM-005,Helios Energy,985740.27,555
2025-12-01,PGM-005,Helios Energy,1049066.37,433
2026-01-01,PGM-005,Helios Energy,947836.85,421
2026-02-01,PGM-005,Helios Energy,973904.77,611
2026-03-01,PGM-005,Helios Energy,1061294.73,1061
2026-04-01,PGM-005,Helios Energy,1004128.59,475
2026-05-01,PGM-005,Helios Energy,961327.7,388
2026-06-01,PGM-005,Helios Energy,915909.52,1078
2026-07-01,PGM-005,Helios Energy,964331.24,644
2024-01-01,PGM-006,Atlas Rail,186119.2,185
2024-02-01,PGM-006,Atlas Rail,195140.23,104
2024-03-01,PGM-006,Atlas Rail,202754.44,81
2024-04-01,PGM-006,Atlas Rail,195195.02,80
2024-05-01,PGM-006,Atlas Rail,196284.38,150
2024-06-01,PGM-006,Atlas Rail,193273.76,104
2024-07-01,PGM-006,Atlas Rail,177972.8,114
2024-08-01,PGM-006,Atlas Rail,179626.72,106
2024-09-01,PGM-006,Atlas Rail,204588.72,123
2024-10-01,PGM-006,Atlas Rail,204371.67,153
2024-11-01,PGM-006,Atlas Rail,216247.44,176
2024-12-01,PGM-006,Atlas Rail,211476.19,162
2025-01-01,PGM-006,Atlas Rail,202074.51,198
2025-02-01,PGM-006,Atlas Rail,214409.83,144
2025-03-01,PGM-006,Atlas Rail,213207.25,138
2025-04-01,PGM-006,Atlas Rail,203913.74,183
2025-05-01,PGM-006,Atlas Rail,196028.51,141
2025-06-01,PGM-006,Atlas Rail,196297.34,113
2025-07-01,PGM-006,Atlas Rail,192994.02,168
2025-08-01,PGM-006,Atlas Rail,211646.54,188
2025-09-01,PGM-006,Atlas Rail,216630.71,86
2025-10-01,PGM-006,Atlas Rail,211589.99,234
2025-11-01,PGM-006,Atlas Rail,213814.4,257
2025-12-01,PGM-006,Atlas Rail,225203.75,222
2026-01-01,PGM-006,Atlas Rail,215639.22,90
2026-02-01,PGM-006,Atlas Rail,226585.21,197
2026-03-01,PGM-006,Atlas Rail,236341.55,188
2026-04-01,PGM-006,Atlas Rail,233312.02,259
2026-05-01,PGM-006,Atlas Rail,224209.67,143
2026-06-01,PGM-006,Atlas Rail,228787.46,150
2026-07-01,PGM-006,Atlas Rail,218390.57,145
2024-01-01,PGM-007,BlueLark Medical,405932.99,207
2024-02-01,PGM-007,BlueLark Medical,402957.04,415
2024-03-01,PGM-007,BlueLark Medical,419242.66,173
2024-04-01,PGM-007,BlueLark Medical,423587.3,223
2024-05-01,PGM-007,BlueLark Medical,378477.14,158
2024-06-01,PGM-007,BlueLark Medical,411860.04,195
2024-07-01,PGM-007,BlueLark Medical,391066.05,228
2024-08-01,PGM-007,BlueLark Medical,402473.55,480
2024-09-01,PGM-007,BlueLark Medical,405111.62,239
2024-10-01,PGM-007,BlueLark Medical,399627.02,193
2024-11-01,PGM-007,BlueLark Medical,434034.4,360
2024-12-01,PGM-007,BlueLark Medical,429233.64,311
2025-01-01,PGM-007,BlueLark Medical,420726.27,172
2025-02-01,PGM-007,BlueLark Medical,434452.49,196
2025-03-01,PGM-007,BlueLark Medical,430541.18,452
2025-04-01,PGM-007,BlueLark Medical,444301.37,185
2025-05-01,PGM-007,BlueLark Medical,425512.4,258
2025-06-01,PGM-007,BlueLark Medical,397553.56,220
2025-07-01,PGM-007,BlueLark Medical,382778.59,410
2025-08-01,PGM-007,BlueLark Medical,406070.48,193
2025-09-01,PGM-007,BlueLark Medical,419278.35,175
2025-10-01,PGM-007,BlueLark Medical,430955.08,247
2025-11-01,PGM-007,BlueLark Medical,421840.93,451
2025-12-01,PGM-007,BlueLark Medical,469800.73,369
2026-01-01,PGM-007,BlueLark Medical,437682.01,182
2026-02-01,PGM-007,BlueLark Medical,447355.87,185
2026-03-01,PGM-007,BlueLark Medical,446907.07,219
2026-04-01,PGM-007,BlueLark Medical,441544.41,215
2026-05-01,PGM-007,BlueLark Medical,434529.41,189
2026-06-01,PGM-007,BlueLark Medical,395310.12,216
2026-07-01,PGM-007,BlueLark Medical,396639.48,175
2024-01-01,PGM-008,Ironclad Industrial,924588.19,971
2024-02-01,PGM-008,Ironclad Industrial,916697.29,868
2024-03-01,PGM-008,Ironclad Industrial,897098.98,424
2024-04-01,PGM-008,Ironclad Industrial,942116.09,568
2024-05-01,PGM-008,Ironclad Industrial,959209.08,527
2024-06-01,PGM-008,Ironclad Industrial,900273.07,378
2024-07-01,PGM-008,Ironclad Industrial,964380.55,708
2024-08-01,PGM-008,Ironclad Industrial,921860.2,767
2024-09-01,PGM-008,Ironclad Industrial,931406.89,499
2024-10-01,PGM-008,Ironclad Industrial,1064639.22,482
2024-11-01,PGM-008,Ironclad Industrial,1019102.91,984
2024-12-01,PGM-008,Ironclad Industrial,1121656.75,460
2025-01-01,PGM-008,Ironclad Industrial,1069548.65,457
2025-02-01,PGM-008,Ironclad Industrial,1096256.61,442
2025-03-01,PGM-008,Ironclad Industrial,1103268.4,841
2025-04-01,PGM-008,Ironclad Industrial,1041011.35,665
2025-05-01,PGM-008,Ironclad Industrial,1061140.49,1072
2025-06-01,PGM-008,Ironclad Industrial,1047256.38,579
2025-07-01,PGM-008,Ironclad Industrial,1046723.41,495
2025-08-01,PGM-008,Ironclad Industrial,1123307.17,471
2025-09-01,PGM-008,Ironclad Industrial,1135851.04,559
2025-10-01,PGM-008,Ironclad Industrial,1118630.37,675
2025-11-01,PGM-008,Ironclad Industrial,1231191.35,965
2025-12-01,PGM-008,Ironclad Industrial,1267093.54,816
2026-01-01,PGM-008,Ironclad Industrial,1185009.31,491
2026-02-01,PGM-008,Ironclad Industrial,1271137.44,1161
2026-03-01,PGM-008,Ironclad Industrial,1313488.71,760
2026-04-01,PGM-008,Ironclad Industrial,1261567.83,1000
2026-05-01,PGM-008,Ironclad Industrial,1213102.23,536
2026-06-01,PGM-008,Ironclad Industrial,1269229.51,590
2026-07-01,PGM-008,Ironclad Industrial,1197665.08,584
2024-01-01,PGM-009,Sterling Marine,648688.8,433
2024-02-01,PGM-009,Sterling Marine,653937.81,415
2024-03-01,PGM-009,Sterling Marine,640540.07,604
2024-04-01,PGM-009,Sterling Marine,629184.06,316
2024-05-01,PGM-009,Sterling Marine,668750.6,378
2024-06-01,PGM-009,Sterling Marine,672723.02,287
2024-07-01,PGM-009,Sterling Marine,629113.37,677
2024-08-01,PGM-009,Sterling Marine,610990.39,343
2024-09-01,PGM-009,Sterling Marine,680663.72,298
2024-10-01,PGM-009,Sterling Marine,717721.62,731
2024-11-01,PGM-009,Sterling Marine,740876.32,629
2024-12-01,PGM-009,Sterling Marine,704830.06,298
2025-01-01,PGM-009,Sterling Marine,732552.18,725
2025-02-01,PGM-009,Sterling Marine,699947.23,527
2025-03-01,PGM-009,Sterling Marine,746221.01,357
2025-04-01,PGM-009,Sterling Marine,769284.14,467
2025-05-01,PGM-009,Sterling Marine,758645.71,542
2025-06-01,PGM-009,Sterling Marine,672795.93,338
2025-07-01,PGM-009,Sterling Marine,677070.56,378
2025-08-01,PGM-009,Sterling Marine,717157.18,526
2025-09-01,PGM-009,Sterling Marine,751797.36,664
2025-10-01,PGM-009,Sterling Marine,783206.59,362
2025-11-01,PGM-009,Sterling Marine,800186.06,330
2025-12-01,PGM-009,Sterling Marine,822478.68,343
2026-01-01,PGM-009,Sterling Marine,772835.41,727
2026-02-01,PGM-009,Sterling Marine,763609.26,736
2026-03-01,PGM-009,Sterling Marine,835249.93,383
2026-04-01,PGM-009,Sterling Marine,809142.41,558
2026-05-01,PGM-009,Sterling Marine,840175.17,348
2026-06-01,PGM-009,Sterling Marine,783704.06,772
2026-07-01,PGM-009,Sterling Marine,796171.63,335
2026-08-01,PGM-001,Northwind Aerospace,1139958.92,574
2026-08-01,PGM-002,Cascade Defense Systems,718253.56,369
2026-08-01,PGM-003,Meridian Motors,664389.12,438
2026-08-01,PGM-004,Vantage Robotics,636890.37,378
2026-08-01,PGM-005,Helios Energy,915972.98,577
2026-08-01,PGM-006,Atlas Rail,218084.51,165
2026-08-01,PGM-007,BlueLark Medical,383148.98,178
2026-08-01,PGM-008,Ironclad Industrial,1225073.58,697
2026-08-01,PGM-009,Sterling Marine,820988.55,470
