Month,ProgramID,Commodity,Quantity,UnitCostUSD,MaterialCostUSD
2025-07-01,PGM-003,Sheet Metal,2546,86.97,221422.11
2025-07-01,PGM-004,Composites,1844,42.48,78325.15
2025-07-01,PGM-005,Composites,807,23.07,18614.71
2025-07-01,PGM-006,Fasteners,3078,43.43,133681.75
2025-07-01,PGM-007,Electronics,2851,51.97,148167.37
2025-07-01,PGM-008,Sheet Metal,3994,81.3,324694.3
2025-07-01,PGM-009,Fasteners,3641,40.75,148384.48
2025-08-01,PGM-001,Fasteners,2698,91.05,245660.79
2025-08-01,PGM-002,Machined Castings,1751,96.54,169035.12
2025-08-01,PGM-003,Sheet Metal,1558,83.76,130490.34
2025-08-01,PGM-004,Sheet Metal,2944,29.4,86566.45
2025-08-01,PGM-005,Sheet Metal,1488,110.23,164020.59
2025-08-01,PGM-006,Machined Castings,3018,81.25,245202.28
2025-08-01,PGM-007,Machined Castings,3857,65.64,253167.01
2025-08-01,PGM-008,Electronics,1094,51.23,56047.24
2025-08-01,PGM-009,Electronics,1287,69.63,89615.82
2025-09-01,PGM-001,Machined Castings,2143,71.22,152619.85
2025-09-01,PGM-002,Sheet Metal,1194,92.3,110201.38
2025-09-01,PGM-003,Fasteners,1739,63.73,110832.05
2025-09-01,PGM-004,Composites,1307,61.19,79973.43
2025-09-01,PGM-005,Electronics,3660,22.15,81072.28
2025-09-01,PGM-006,Sheet Metal,2183,87.69,191423.05
2025-09-01,PGM-007,Machined Castings,3337,99.14,330817.48
2025-09-01,PGM-008,Sheet Metal,2827,42.49,120121.33
2025-09-01,PGM-009,Sheet Metal,1072,71.1,76221.34
2025-10-01,PGM-001,Machined Castings,3449,25.69,88598.14
2025-10-01,PGM-002,Machined Castings,3746,46.42,173895.73
2025-10-01,PGM-003,Composites,2991,77.31,231227.23
2025-10-01,PGM-004,Electronics,3261,100.24,326872.01
2025-10-01,PGM-005,Composites,3182,74.26,236300.25
2025-10-01,PGM-006,Fasteners,1276,103.66,132270.27
2025-10-01,PGM-007,Electronics,1397,116.38,162579.1
2025-10-01,PGM-008,Machined Castings,1090,65.41,71297.66
2025-10-01,PGM-009,Composites,3961,42.32,167610.47
2025-11-01,PGM-001,Electronics,1867,60.82,113549.16
2025-11-01,PGM-002,Fasteners,920,105.58,97137.23
2025-11-01,PGM-003,Machined Castings,3562,98.86,352143.34
2025-11-01,PGM-004,Sheet Metal,3336,95.8,319584.47
2025-11-01,PGM-005,Machined Castings,1692,101.69,172060.7
2025-11-01,PGM-006,Electronics,1566,76.65,120036.09
2025-11-01,PGM-007,Fasteners,3130,59.85,187341.7
2025-11-01,PGM-008,Electronics,692,39.4,27263.64
2025-11-01,PGM-009,Fasteners,612,27.26,16683.9
2025-12-01,PGM-001,Sheet Metal,1669,86.95,145111.68
2025-12-01,PGM-002,Machined Castings,2784,90.33,251471.09
2025-12-01,PGM-003,Fasteners,2469,42.64,105278.96
2025-12-01,PGM-004,Electronics,1901,115.11,218832.45
2025-12-01,PGM-005,Electronics,2638,22.35,58949.55
2025-12-01,PGM-006,Sheet Metal,1246,56.44,70319.83
2025-12-01,PGM-007,Composites,2641,107.04,282682.79
2025-12-01,PGM-008,Fasteners,2046,96.14,196692.71
2025-12-01,PGM-009,Machined Castings,2230,27.06,60338.66
2026-01-01,PGM-001,Composites,481,40.31,19390.21
2026-01-01,PGM-002,Machined Castings,3783,109.16,412950.12
2026-01-01,PGM-003,Sheet Metal,1173,23.64,27731.48
2026-01-01,PGM-004,Fasteners,684,38.15,26092.86
2026-01-01,PGM-005,Composites,1426,71.5,101960.25
2026-01-01,PGM-006,Sheet Metal,1089,68.7,74809.59
2026-01-01,PGM-007,Sheet Metal,1410,102.15,144035.46
2026-01-01,PGM-008,Electronics,2393,44.32,106052.96
2026-01-01,PGM-009,Electronics,3728,71.58,266861.45
2026-02-01,PGM-001,Electronics,3310,93.04,307966.5
2026-02-01,PGM-002,Machined Castings,3915,98.02,383747.25
2026-02-01,PGM-003,Fasteners,1294,64.89,83971.31
2026-02-01,PGM-004,Machined Castings,1184,59.89,70908.94
2026-02-01,PGM-005,Electronics,2573,24.11,62045.73
2026-02-01,PGM-006,Sheet Metal,1193,95.74,114215.52
2026-02-01,PGM-007,Sheet Metal,2366,114.36,270577.29
2026-02-01,PGM-008,Sheet Metal,3721,117.3,436472.9
2026-02-01,PGM-009,Machined Castings,3748,65.45,245293.5
2026-03-01,PGM-001,Machined Castings,632,49.21,31103.26
2026-03-01,PGM-002,Machined Castings,1795,48.41,86899.12
2026-03-01,PGM-003,Sheet Metal,2323,76.52,177744.85
2026-03-01,PGM-004,Composites,475,20.18,9587.13
2026-03-01,PGM-005,Machined Castings,469,48.65,22815.51
2026-03-01,PGM-006,Composites,3978,103.28,410838.34
2026-03-01,PGM-007,Sheet Metal,2024,53.57,108429.82
2026-03-01,PGM-008,Electronics,727,74.51,54169.5
2026-03-01,PGM-009,Composites,2245,58.07,130358.44
2026-04-01,PGM-001,Machined Castings,2216,115.38,255689.03
2026-04-01,PGM-002,Sheet Metal,3549,119.09,422636.03
2026-04-01,PGM-003,Machined Castings,1969,130.87,257686.58
2026-04-01,PGM-004,Fasteners,2845,98.57,280440.83
2026-04-01,PGM-005,Fasteners,2895,94.21,272734.46
2026-04-01,PGM-006,Composites,1698,73.27,124414.05
2026-04-01,PGM-007,Composites,1098,64.63,70962.47
2026-04-01,PGM-008,Composites,2949,59.01,174015.1
2026-04-01,PGM-009,Machined Castings,1342,118.85,159501.68
2026-05-01,PGM-001,Composites,2483,116.58,289469.08
2026-05-01,PGM-002,Machined Castings,1285,80.0,102797.68
2026-05-01,PGM-003,Electronics,3109,81.82,254381.44
2026-05-01,PGM-004,Sheet Metal,715,112.25,80258.09
2026-05-01,PGM-005,Composites,524,56.52,29617.48
2026-05-01,PGM-006,Sheet Metal,993,57.83,57423.96
2026-05-01,PGM-007,Electronics,739,38.38,28362.52
2026-05-01,PGM-008,Electronics,1353,52.59,71151.85
2026-05-01,PGM-009,Composites,2406,38.63,92951.71
2026-06-01,PGM-001,Machined Castings,540,97.79,52804.99
2026-06-01,PGM-002,Electronics,2816,84.97,239286.97
2026-06-01,PGM-003,Fasteners,3127,49.21,153891.09
2026-06-01,PGM-004,Electronics,3942,112.34,442827.97
2026-06-01,PGM-005,Machined Castings,2508,31.71,79539.96
2026-06-01,PGM-006,Sheet Metal,811,23.81,19313.12
2026-06-01,PGM-007,Machined Castings,3353,88.43,296498.85
2026-06-01,PGM-008,Fasteners,1620,24.87,40294.35
2026-06-01,PGM-009,Sheet Metal,854,53.82,45961.75
2026-07-01,PGM-001,Sheet Metal,3384,83.66,283109.48
2026-07-01,PGM-002,Fasteners,3871,44.39,171833.46
2026-07-01,PGM-003,Electronics,1648,84.37,139039.45
2026-07-01,PGM-004,Fasteners,1156,86.44,99926.89
2026-07-01,PGM-005,Electronics,2616,54.42,142354.59
2026-07-01,PGM-006,Electronics,699,115.12,80468.99
2026-07-01,PGM-007,Composites,3664,79.25,290365.93
2026-07-01,PGM-008,Sheet Metal,1553,105.34,163599.84
2026-07-01,PGM-009,Machined Castings,3853,66.94,257901.26
2026-08-01,PGM-001,Sheet Metal,1552,108.75,168780.00
2026-08-01,PGM-002,Fasteners,2408,55.93,134679.44
2026-08-01,PGM-003,Electronics,2029,59.66,121050.14
2026-08-01,PGM-004,Fasteners,1788,100.17,179103.96
2026-08-01,PGM-005,Electronics,3537,60.12,212644.44
2026-08-01,PGM-006,Electronics,1,33.62,33.62
2026-08-01,PGM-007,Composites,2929,70.82,207431.78
2026-08-01,PGM-008,Sheet Metal,1114,81.70,91013.80
2026-08-01,PGM-009,Machined Castings,1176,122.01,143483.76
