Month,DeptID,DeptName,Headcount,Plan
2024-07-01,DEPT-09,IT,70,70
2024-07-01,DEPT-10,EHS,62,65
2024-07-01,DEPT-11,Legal,63,68
2024-08-01,DEPT-01,Executive,66,66
2024-08-01,DEPT-02,Finance,63,68
2024-08-01,DEPT-03,HR,68,69
2024-08-01,DEPT-04,Manufacturing,68,68
2024-08-01,DEPT-05,Engineering,72,75
2024-08-01,DEPT-06,Sales,68,73
2024-08-01,DEPT-07,Quality,65,68
2024-08-01,DEPT-08,Procurement,68,71
2024-08-01,DEPT-09,IT,70,72
2024-08-01,DEPT-10,EHS,65,67
2024-08-01,DEPT-11,Legal,64,65
2024-09-01,DEPT-01,Executive,66,70
2024-09-01,DEPT-02,Finance,62,64
2024-09-01,DEPT-03,HR,68,68
2024-09-01,DEPT-04,Manufacturing,69,70
2024-09-01,DEPT-05,Engineering,74,75
2024-09-01,DEPT-06,Sales,68,73
2024-09-01,DEPT-07,Quality,68,67
2024-09-01,DEPT-08,Procurement,71,72
2024-09-01,DEPT-09,IT,70,70
2024-09-01,DEPT-10,EHS,66,64
2024-09-01,DEPT-11,Legal,63,66
2024-10-01,DEPT-01,Executive,64,68
2024-10-01,DEPT-02,Finance,64,65
2024-10-01,DEPT-03,HR,67,66
2024-10-01,DEPT-04,Manufacturing,69,67
2024-10-01,DEPT-05,Engineering,75,77
2024-10-01,DEPT-06,Sales,71,70
2024-10-01,DEPT-07,Quality,64,66
2024-10-01,DEPT-08,Procurement,70,71
2024-10-01,DEPT-09,IT,68,71
2024-10-01,DEPT-10,EHS,65,68
2024-10-01,DEPT-11,Legal,64,65
2024-11-01,DEPT-01,Executive,64,68
2024-11-01,DEPT-02,Finance,65,66
2024-11-01,DEPT-03,HR,67,69
2024-11-01,DEPT-04,Manufacturing,66,67
2024-11-01,DEPT-05,Engineering,72,74
2024-11-01,DEPT-06,Sales,67,71
2024-11-01,DEPT-07,Quality,66,66
2024-11-01,DEPT-08,Procurement,68,70
2024-11-01,DEPT-09,IT,70,69
2024-11-01,DEPT-10,EHS,63,64
2024-11-01,DEPT-11,Legal,62,64
2024-12-01,DEPT-01,Executive,67,69
2024-12-01,DEPT-02,Finance,62,65
2024-12-01,DEPT-03,HR,68,68
2024-12-01,DEPT-04,Manufacturing,68,67
2024-12-01,DEPT-05,Engineering,74,77
2024-12-01,DEPT-06,Sales,70,69
2024-12-01,DEPT-07,Quality,67,67
2024-12-01,DEPT-08,Procurement,71,69
2024-12-01,DEPT-09,IT,68,71
2024-12-01,DEPT-10,EHS,65,67
2024-12-01,DEPT-11,Legal,62,65
2025-01-01,DEPT-01,Executive,64,69
2025-01-01,DEPT-02,Finance,65,64
2025-01-01,DEPT-03,HR,65,66
2025-01-01,DEPT-04,Manufacturing,67,71
2025-01-01,DEPT-05,Engineering,71,73
2025-01-01,DEPT-06,Sales,70,70
2025-01-01,DEPT-07,Quality,68,66
2025-01-01,DEPT-08,Procurement,71,70
2025-01-01,DEPT-09,IT,68,71
2025-01-01,DEPT-10,EHS,64,67
2025-01-01,DEPT-11,Legal,65,64
2025-02-01,DEPT-01,Executive,65,69
2025-02-01,DEPT-02,Finance,63,67
2025-02-01,DEPT-03,HR,66,70
2025-02-01,DEPT-04,Manufacturing,67,67
2025-02-01,DEPT-05,Engineering,75,76
2025-02-01,DEPT-06,Sales,71,72
2025-02-01,DEPT-07,Quality,67,66
2025-02-01,DEPT-08,Procurement,71,72
2025-02-01,DEPT-09,IT,70,71
2025-02-01,DEPT-10,EHS,66,64
2025-02-01,DEPT-11,Legal,62,67
2025-03-01,DEPT-01,Executive,64,69
2025-03-01,DEPT-02,Finance,66,64
2025-03-01,DEPT-03,HR,64,69
2025-03-01,DEPT-04,Manufacturing,65,69
2025-03-01,DEPT-05,Engineering,73,77
2025-03-01,DEPT-06,Sales,69,70
2025-03-01,DEPT-07,Quality,64,69
2025-03-01,DEPT-08,Procurement,68,71
2025-03-01,DEPT-09,IT,67,73
2025-03-01,DEPT-10,EHS,63,68
2025-03-01,DEPT-11,Legal,64,64
2025-04-01,DEPT-01,Executive,65,68
2025-04-01,DEPT-02,Finance,62,67
2025-04-01,DEPT-03,HR,65,68
2025-04-01,DEPT-04,Manufacturing,66,70
2025-04-01,DEPT-05,Engineering,75,77
2025-04-01,DEPT-06,Sales,68,71
2025-04-01,DEPT-07,Quality,66,66
2025-04-01,DEPT-08,Procurement,71,72
2025-04-01,DEPT-09,IT,67,70
2025-04-01,DEPT-10,EHS,63,65
2025-04-01,DEPT-11,Legal,62,64
2025-05-01,DEPT-01,Executive,68,67
2025-05-01,DEPT-02,Finance,65,67
2025-05-01,DEPT-03,HR,67,69
2025-05-01,DEPT-04,Manufacturing,66,71
2025-05-01,DEPT-05,Engineering,75,73
2025-05-01,DEPT-06,Sales,67,70
2025-05-01,DEPT-07,Quality,66,70
2025-05-01,DEPT-08,Procurement,69,69
2025-05-01,DEPT-09,IT,71,73
2025-05-01,DEPT-10,EHS,63,66
2025-05-01,DEPT-11,Legal,65,64
2025-06-01,DEPT-01,Executive,67,69
2025-06-01,DEPT-02,Finance,62,67
2025-06-01,DEPT-03,HR,67,70
2025-06-01,DEPT-04,Manufacturing,65,69
2025-06-01,DEPT-05,Engineering,74,75
2025-06-01,DEPT-06,Sales,71,73
2025-06-01,DEPT-07,Quality,68,66
2025-06-01,DEPT-08,Procurement,71,72
2025-06-01,DEPT-09,IT,69,70
2025-06-01,DEPT-10,EHS,64,64
2025-06-01,DEPT-11,Legal,64,66
2025-07-01,DEPT-01,Executive,64,66
2025-07-01,DEPT-02,Finance,64,68
2025-07-01,DEPT-03,HR,68,66
2025-07-01,DEPT-04,Manufacturing,69,69
2025-07-01,DEPT-05,Engineering,73,73
2025-07-01,DEPT-06,Sales,71,73
2025-07-01,DEPT-07,Quality,67,67
2025-07-01,DEPT-08,Procurement,71,69
2025-07-01,DEPT-09,IT,71,69
2025-07-01,DEPT-10,EHS,66,67
2025-07-01,DEPT-11,Legal,64,66
2025-08-01,DEPT-01,Executive,67,68
2025-08-01,DEPT-02,Finance,62,68
2025-08-01,DEPT-03,HR,65,67
2025-08-01,DEPT-04,Manufacturing,68,68
2025-08-01,DEPT-05,Engineering,72,76
2025-08-01,DEPT-06,Sales,67,70
2025-08-01,DEPT-07,Quality,66,66
2025-08-01,DEPT-08,Procurement,68,69
2025-08-01,DEPT-09,IT,69,73
2025-08-01,DEPT-10,EHS,66,67
2025-08-01,DEPT-11,Legal,63,65
2025-09-01,DEPT-01,Executive,68,67
2025-09-01,DEPT-02,Finance,63,66
2025-09-01,DEPT-03,HR,68,69
2025-09-01,DEPT-04,Manufacturing,68,68
2025-09-01,DEPT-05,Engineering,74,75
2025-09-01,DEPT-06,Sales,69,72
2025-09-01,DEPT-07,Quality,65,69
2025-09-01,DEPT-08,Procurement,67,69
2025-09-01,DEPT-09,IT,68,71
2025-09-01,DEPT-10,EHS,66,67
2025-09-01,DEPT-11,Legal,62,64
2025-10-01,DEPT-01,Executive,66,69
2025-10-01,DEPT-02,Finance,62,64
2025-10-01,DEPT-03,HR,66,68
2025-10-01,DEPT-04,Manufacturing,68,68
2025-10-01,DEPT-05,Engineering,71,77
2025-10-01,DEPT-06,Sales,67,73
2025-10-01,DEPT-07,Quality,65,66
2025-10-01,DEPT-08,Procurement,68,72
2025-10-01,DEPT-09,IT,67,73
2025-10-01,DEPT-10,EHS,65,65
2025-10-01,DEPT-11,Legal,62,65
2025-11-01,DEPT-01,Executive,68,70
2025-11-01,DEPT-02,Finance,63,67
2025-11-01,DEPT-03,HR,68,67
2025-11-01,DEPT-04,Manufacturing,68,67
2025-11-01,DEPT-05,Engineering,74,77
2025-11-01,DEPT-06,Sales,71,71
2025-11-01,DEPT-07,Quality,68,69
2025-11-01,DEPT-08,Procurement,71,73
2025-11-01,DEPT-09,IT,71,69
2025-11-01,DEPT-10,EHS,63,64
2025-11-01,DEPT-11,Legal,65,68
2025-12-01,DEPT-01,Executive,67,69
2025-12-01,DEPT-02,Finance,63,68
2025-12-01,DEPT-03,HR,65,70
2025-12-01,DEPT-04,Manufacturing,65,67
2025-12-01,DEPT-05,Engineering,75,73
2025-12-01,DEPT-06,Sales,67,70
2025-12-01,DEPT-07,Quality,66,67
2025-12-01,DEPT-08,Procurement,69,71
2025-12-01,DEPT-09,IT,70,69
2025-12-01,DEPT-10,EHS,66,64
2025-12-01,DEPT-11,Legal,63,65
2026-01-01,DEPT-01,Executive,68,70
2026-01-01,DEPT-02,Finance,62,65
2026-01-01,DEPT-03,HR,65,68
2026-01-01,DEPT-04,Manufacturing,65,71
2026-01-01,DEPT-05,Engineering,74,73
2026-01-01,DEPT-06,Sales,70,69
2026-01-01,DEPT-07,Quality,65,68
2026-01-01,DEPT-08,Procurement,67,70
2026-01-01,DEPT-09,IT,67,70
2026-01-01,DEPT-10,EHS,64,68
2026-01-01,DEPT-11,Legal,66,65
2026-02-01,DEPT-01,Executive,65,69
2026-02-01,DEPT-02,Finance,66,64
2026-02-01,DEPT-03,HR,67,67
2026-02-01,DEPT-04,Manufacturing,67,69
2026-02-01,DEPT-05,Engineering,74,75
2026-02-01,DEPT-06,Sales,71,73
2026-02-01,DEPT-07,Quality,67,66
2026-02-01,DEPT-08,Procurement,69,69
2026-02-01,DEPT-09,IT,67,69
2026-02-01,DEPT-10,EHS,65,68
2026-02-01,DEPT-11,Legal,65,64
2026-03-01,DEPT-01,Executive,66,66
2026-03-01,DEPT-02,Finance,64,64
2026-03-01,DEPT-03,HR,66,69
2026-03-01,DEPT-04,Manufacturing,65,68
2026-03-01,DEPT-05,Engineering,73,75
2026-03-01,DEPT-06,Sales,68,69
2026-03-01,DEPT-07,Quality,64,66
2026-03-01,DEPT-08,Procurement,70,72
2026-03-01,DEPT-09,IT,70,73
2026-03-01,DEPT-10,EHS,66,68
2026-03-01,DEPT-11,Legal,64,67
2026-04-01,DEPT-01,Executive,66,66
2026-04-01,DEPT-02,Finance,63,65
2026-04-01,DEPT-03,HR,68,68
2026-04-01,DEPT-04,Manufacturing,68,71
2026-04-01,DEPT-05,Engineering,74,73
2026-04-01,DEPT-06,Sales,68,70
2026-04-01,DEPT-07,Quality,64,70
2026-04-01,DEPT-08,Procurement,69,70
2026-04-01,DEPT-09,IT,71,70
2026-04-01,DEPT-10,EHS,64,68
2026-04-01,DEPT-11,Legal,65,64
2026-05-01,DEPT-01,Executive,67,70
2026-05-01,DEPT-02,Finance,66,66
2026-05-01,DEPT-03,HR,65,70
2026-05-01,DEPT-04,Manufacturing,67,70
2026-05-01,DEPT-05,Engineering,72,76
2026-05-01,DEPT-06,Sales,69,69
2026-05-01,DEPT-07,Quality,65,67
2026-05-01,DEPT-08,Procurement,70,70
2026-05-01,DEPT-09,IT,71,72
2026-05-01,DEPT-10,EHS,62,65
2026-05-01,DEPT-11,Legal,65,66
2026-06-01,DEPT-01,Executive,65,68
2026-06-01,DEPT-02,Finance,65,68
2026-06-01,DEPT-03,HR,64,70
2026-06-01,DEPT-04,Manufacturing,69,71
2026-06-01,DEPT-05,Engineering,74,73
2026-06-01,DEPT-06,Sales,71,69
2026-06-01,DEPT-07,Quality,66,70
2026-06-01,DEPT-08,Procurement,67,72
2026-06-01,DEPT-09,IT,68,72
2026-06-01,DEPT-10,EHS,64,65
2026-06-01,DEPT-11,Legal,63,64
2026-07-01,DEPT-01,Executive,65,68
2026-07-01,DEPT-02,Finance,62,66
2026-07-01,DEPT-03,HR,65,66
2026-07-01,DEPT-04,Manufacturing,68,68
2026-07-01,DEPT-05,Engineering,72,75
2026-07-01,DEPT-06,Sales,67,70
2026-07-01,DEPT-07,Quality,65,67
2026-07-01,DEPT-08,Procurement,68,71
2026-07-01,DEPT-09,IT,70,73
2026-07-01,DEPT-10,EHS,64,64
2026-07-01,DEPT-11,Legal,62,65
2026-08-01,DEPT-01,Executive,65,68
2026-08-01,DEPT-02,Finance,65,69
2026-08-01,DEPT-03,HR,63,68
2026-08-01,DEPT-04,Manufacturing,69,69
2026-08-01,DEPT-05,Engineering,72,75
2026-08-01,DEPT-06,Sales,68,69
2026-08-01,DEPT-07,Quality,66,69
2026-08-01,DEPT-08,Procurement,66,71
2026-08-01,DEPT-09,IT,71,73
2026-08-01,DEPT-10,EHS,61,62
2026-08-01,DEPT-11,Legal,62,63
