Month,Commodity,PriceIndex
2025-12-01,Machined Castings,103.39
2025-12-01,Sheet Metal,100.97
2025-12-01,Electronics,99.33
2025-12-01,Fasteners,100.59
2025-12-01,Composites,105.06
2025-12-01,Wire Harness,103.01
2025-12-01,Bearings,99.64
2025-12-01,Seals & Gaskets,103.37
2025-12-01,Forgings,102.8
2025-12-01,Coatings,105.36
2026-01-01,Machined Castings,106.45
2026-01-01,Sheet Metal,106.55
2026-01-01,Electronics,103.96
2026-01-01,Fasteners,99.48
2026-01-01,Composites,102.63
2026-01-01,Wire Harness,107.0
2026-01-01,Bearings,101.52
2026-01-01,Seals & Gaskets,104.18
2026-01-01,Forgings,98.08
2026-01-01,Coatings,100.98
2026-02-01,Machined Castings,116.41
2026-02-01,Sheet Metal,106.11
2026-02-01,Electronics,103.95
2026-02-01,Fasteners,103.65
2026-02-01,Composites,103.49
2026-02-01,Wire Harness,107.98
2026-02-01,Bearings,103.45
2026-02-01,Seals & Gaskets,98.49
2026-02-01,Forgings,99.18
2026-02-01,Coatings,98.89
2026-03-01,Machined Castings,116.12
2026-03-01,Sheet Metal,106.78
2026-03-01,Electronics,104.54
2026-03-01,Fasteners,107.79
2026-03-01,Composites,101.87
2026-03-01,Wire Harness,103.81
2026-03-01,Bearings,107.72
2026-03-01,Seals & Gaskets,107.93
2026-03-01,Forgings,98.13
2026-03-01,Coatings,101.12
2026-04-01,Machined Castings,122.58
2026-04-01,Sheet Metal,103.89
2026-04-01,Electronics,100.73
2026-04-01,Fasteners,99.11
2026-04-01,Composites,106.77
2026-04-01,Wire Harness,105.04
2026-04-01,Bearings,100.81
2026-04-01,Seals & Gaskets,98.21
2026-04-01,Forgings,98.18
2026-04-01,Coatings,106.97
2026-05-01,Machined Castings,118.77
2026-05-01,Sheet Metal,101.38
2026-05-01,Electronics,99.88
2026-05-01,Fasteners,107.87
2026-05-01,Composites,104.17
2026-05-01,Wire Harness,103.55
2026-05-01,Bearings,103.59
2026-05-01,Seals & Gaskets,104.09
2026-05-01,Forgings,105.14
2026-05-01,Coatings,102.29
2026-06-01,Machined Castings,123.0
2026-06-01,Sheet Metal,98.62
2026-06-01,Electronics,107.35
2026-06-01,Fasteners,105.11
2026-06-01,Composites,104.54
2026-06-01,Wire Harness,107.38
2026-06-01,Bearings,101.03
2026-06-01,Seals & Gaskets,106.76
2026-06-01,Forgings,105.91
2026-06-01,Coatings,107.42
2026-07-01,Machined Castings,124.48
2026-07-01,Sheet Metal,104.11
2026-07-01,Electronics,107.58
2026-07-01,Fasteners,103.2
2026-07-01,Composites,102.37
2026-07-01,Wire Harness,101.32
2026-07-01,Bearings,99.45
2026-07-01,Seals & Gaskets,98.21
2026-07-01,Forgings,105.07
2026-07-01,Coatings,99.16
2026-08-01,Machined Castings,126.28
2026-08-01,Sheet Metal,99.39
2026-08-01,Electronics,110.89
2026-08-01,Fasteners,106.06
2026-08-01,Composites,105.90
2026-08-01,Wire Harness,102.25
2026-08-01,Bearings,100.22
2026-08-01,Seals & Gaskets,106.34
2026-08-01,Forgings,109.03
2026-08-01,Coatings,100.64
