week_ending,line_id,product_id,planned_units,actual_units,scrap_units,scrap_rate_pct,downtime_hours
2023-06-04,L4,P008,659,601,10,1.73,1.1
2023-06-11,L1,P008,488,447,9,2.21,0
2023-06-11,L2,P003,442,414,6,1.64,0
2023-06-11,L3,P003,462,419,9,2.29,4.3
2023-06-11,L4,P002,508,486,7,1.64,0
2023-06-18,L1,P005,767,693,13,2.01,0
2023-06-18,L2,P006,614,565,12,2.3,5.1
2023-06-18,L3,P005,456,431,8,1.96,0
2023-06-18,L4,P007,403,365,6,1.92,1.8
2023-06-25,L1,P002,856,760,16,2.19,0
2023-06-25,L2,P006,625,586,11,1.99,0
2023-06-25,L3,P008,784,747,18,2.43,0
2023-06-25,L4,P007,597,546,9,1.75,0
2023-07-02,L1,P001,687,626,9,1.51,0
2023-07-02,L2,P006,835,782,16,2.09,5.3
2023-07-02,L3,P003,436,402,6,1.56,3.5
2023-07-02,L4,P008,670,597,12,2.06,1.3
2023-07-09,L1,P006,553,523,8,1.64,0.9
2023-07-09,L2,P006,754,666,15,2.39,5.0
2023-07-09,L3,P008,801,753,16,2.15,4.3
2023-07-09,L4,P001,431,394,7,1.98,5.2
2023-07-16,L1,P007,503,469,8,1.75,0
2023-07-16,L2,P002,531,479,8,1.69,1.5
2023-07-16,L3,P004,523,498,11,2.4,1.1
2023-07-16,L4,P005,742,654,12,1.85,2.3
2023-07-23,L1,P008,563,514,11,2.2,3.6
2023-07-23,L2,P002,575,509,8,1.69,0
2023-07-23,L3,P005,577,531,13,2.45,0.9
2023-07-23,L4,P008,890,829,16,2.05,0
2023-07-30,L1,P008,764,735,15,2.16,5.8
2023-07-30,L2,P007,867,811,20,2.47,5.9
2023-07-30,L3,P006,763,732,14,2.04,0
2023-07-30,L4,P002,637,598,14,2.42,4.3
2023-08-06,L1,P001,754,671,14,2.11,1.1
2023-08-06,L2,P007,466,421,8,1.92,0
2023-08-06,L3,P008,615,580,9,1.67,4.9
2023-08-06,L4,P005,470,431,10,2.36,0
2023-08-13,L1,P008,894,834,14,1.69,4.5
2023-08-13,L2,P001,446,425,6,1.5,0
2023-08-13,L3,P008,816,723,16,2.26,0
2023-08-13,L4,P006,838,791,17,2.18,0.5
2023-08-20,L1,P008,481,427,6,1.63,0
2023-08-20,L2,P006,726,643,9,1.54,2.4
2023-08-20,L3,P007,487,464,10,2.32,0
2023-08-20,L4,P007,752,674,10,1.54,2.8
2023-08-27,L1,P004,723,687,14,2.1,0
2023-08-27,L2,P006,418,387,6,1.79,0
2023-08-27,L3,P007,465,422,9,2.17,2.0
2023-08-27,L4,P004,427,400,7,1.81,0
2023-09-03,L1,P005,433,407,9,2.39,5.4
2023-09-03,L2,P005,497,471,8,1.85,2.5
2023-09-03,L3,P004,777,744,18,2.44,5.2
2023-09-03,L4,P008,412,367,6,1.77,4.8
2023-09-10,L1,P002,412,396,5,1.51,4.2
2023-09-10,L2,P003,520,489,10,2.2,5.6
2023-09-10,L3,P008,643,602,10,1.72,2.4
2023-09-10,L4,P008,603,534,8,1.63,5.7
2023-09-17,L1,P006,564,512,12,2.43,5.7
2023-09-17,L2,P003,865,791,15,1.93,4.3
2023-09-17,L3,P004,808,767,17,2.24,2.0
2023-09-17,L4,P008,762,674,11,1.64,0.8
2023-09-24,L1,P002,506,485,11,2.33,1.9
2023-09-24,L2,P001,623,557,11,2.12,0
2023-09-24,L3,P006,658,589,10,1.79,1.5
2023-09-24,L4,P002,825,735,17,2.36,0
2023-10-01,L1,P004,630,606,13,2.19,5.9
2023-10-01,L2,P006,706,636,13,2.2,3.0
2023-10-01,L3,P002,885,801,13,1.68,0
2023-10-01,L4,P002,615,593,10,1.69,5.1
2023-10-08,L1,P007,838,786,17,2.17,0.8
2023-10-08,L2,P005,827,746,14,1.89,0
2023-10-08,L3,P007,536,485,8,1.71,4.8
2023-10-08,L4,P007,701,622,10,1.65,0
2023-10-15,L1,P001,723,639,13,2.13,5.4
2023-10-15,L2,P008,603,569,9,1.74,3.3
2023-10-15,L3,P008,871,809,17,2.17,3.8
2023-10-15,L4,P004,496,460,8,1.87,0.7
2023-10-22,L1,P001,860,761,14,1.92,0
2023-10-22,L2,P003,575,532,12,2.36,0
2023-10-22,L3,P008,877,806,14,1.83,3.5
2023-10-22,L4,P002,645,577,12,2.16,0
2023-10-29,L1,P001,523,473,10,2.3,0
2023-10-29,L2,P004,494,466,10,2.32,4.8
2023-10-29,L3,P007,838,802,14,1.79,0
2023-10-29,L4,P002,571,517,9,1.91,1.2
2023-11-05,L1,P006,653,586,14,2.47,0
2023-11-05,L2,P006,455,432,10,2.34,3.6
2023-11-05,L3,P007,583,549,11,2.07,0
2023-11-05,L4,P007,567,539,8,1.51,0
2023-11-12,L1,P004,761,684,15,2.24,3.6
2023-11-12,L2,P007,777,702,12,1.76,0.5
2023-11-12,L3,P003,494,477,7,1.63,2.0
2023-11-12,L4,P006,645,620,13,2.13,0
2023-11-19,L1,P004,632,592,10,1.73,0.7
2023-11-19,L2,P002,545,486,9,1.93,1.5
2023-11-19,L3,P008,423,392,6,1.72,1.5
2023-11-19,L4,P003,462,407,9,2.28,4.7
2023-11-26,L1,P005,856,828,13,1.69,3.8
2023-11-26,L2,P006,416,369,9,2.49,0
2023-11-26,L3,P005,690,631,10,1.63,3.0
2023-11-26,L4,P007,746,699,14,2.09,3.8
2023-12-03,L1,P008,675,650,14,2.16,0
2023-12-03,L2,P008,606,558,11,2.12,5.9
2023-12-03,L3,P003,559,507,9,1.93,3.8
2023-12-03,L4,P004,620,597,13,2.32,0
2023-12-10,L1,P005,507,469,9,2.01,0
2023-12-10,L2,P006,863,816,16,2.03,1.5
2023-12-10,L3,P007,484,450,10,2.29,3.6
2023-12-10,L4,P003,507,482,10,2.28,4.5
2023-12-17,L1,P003,649,585,14,2.45,0
2023-12-17,L2,P007,871,808,17,2.22,0
2023-12-17,L3,P008,892,789,17,2.18,1.6
2023-12-17,L4,P004,529,495,11,2.38,0
2023-12-24,L1,P007,603,536,9,1.85,0
2023-12-24,L2,P005,706,667,12,1.89,5.9
2023-12-24,L3,P007,486,449,9,2.05,0
2023-12-24,L4,P008,882,853,21,2.47,1.9
2023-12-31,L1,P005,855,753,13,1.75,0
2023-12-31,L2,P006,442,409,7,1.93,0
2023-12-31,L3,P007,809,718,15,2.17,5.2
2023-12-31,L4,P004,756,709,16,2.37,3.5
2024-01-07,L1,P002,602,561,9,1.69,3.7
2024-01-07,L2,P003,730,697,16,2.42,3.2
2024-01-07,L3,P004,723,699,14,2.05,4.8
2024-01-07,L4,P003,481,463,7,1.53,1.0
2024-01-14,L1,P006,492,434,9,2.13,1.0
2024-01-14,L2,P003,510,452,7,1.69,0
2024-01-14,L3,P007,726,688,11,1.72,4.7
2024-01-14,L4,P003,440,393,6,1.55,3.5
2024-01-21,L1,P007,647,580,13,2.33,2.4
2024-01-21,L2,P001,859,821,14,1.74,0
2024-01-21,L3,P008,648,607,11,1.9,4.3
2024-01-21,L4,P001,757,666,10,1.61,6.0
2024-01-28,L1,P002,887,817,19,2.37,0
2024-01-28,L2,P004,820,777,18,2.44,0
2024-01-28,L3,P004,531,514,11,2.28,4.8
2024-01-28,L4,P002,590,567,10,1.81,0
2024-02-04,L1,P005,622,582,9,1.61,0
2024-02-04,L2,P001,859,811,16,2.05,3.2
2024-02-04,L3,P003,863,762,13,1.75,1.8
2024-02-04,L4,P001,840,804,19,2.43,3.9
2024-02-11,L1,P002,491,469,7,1.67,4.2
2024-02-11,L2,P001,591,565,13,2.37,2.0
2024-02-11,L3,P002,679,611,13,2.18,0
2024-02-11,L4,P003,764,703,11,1.66,5.3
2024-02-18,L1,P003,445,400,6,1.6,2.4
2024-02-18,L2,P005,484,448,10,2.41,5.4
2024-02-18,L3,P008,747,659,14,2.25,3.0
2024-02-18,L4,P002,457,435,10,2.49,5.1
2024-02-25,L1,P007,777,693,14,2.1,1.0
2024-02-25,L2,P004,659,603,10,1.76,2.9
2024-02-25,L3,P001,487,436,9,2.11,3.2
2024-02-25,L4,P006,506,474,7,1.52,0
2024-03-03,L1,P001,584,555,8,1.58,4.8
2024-03-03,L2,P001,740,674,13,1.95,0
2024-03-03,L3,P001,670,605,11,1.82,2.8
2024-03-03,L4,P008,628,556,12,2.28,2.9
2024-03-10,L1,P008,425,402,8,2.06,0
2024-03-10,L2,P001,733,674,11,1.77,0.7
2024-03-10,L3,P004,564,512,12,2.4,5.5
2024-03-10,L4,P008,485,446,9,2.09,5.6
2024-03-17,L1,P003,680,609,9,1.53,0
2024-03-17,L2,P004,466,410,6,1.61,0
2024-03-17,L3,P002,823,738,11,1.53,0
2024-03-17,L4,P007,673,594,14,2.39,2.5
2024-03-24,L1,P003,555,490,8,1.81,3.1
2024-03-24,L2,P005,838,809,18,2.3,0
2024-03-24,L3,P008,425,399,7,1.77,5.0
2024-03-24,L4,P008,690,634,12,2.01,1.6
2024-03-31,L1,P002,483,463,10,2.29,0.8
2024-03-31,L2,P001,557,521,10,2.04,1.9
2024-03-31,L3,P002,695,615,9,1.62,0
2024-03-31,L4,P005,820,788,17,2.2,4.3
2024-04-07,L1,P008,624,572,8,1.57,0
2024-04-07,L2,P003,537,499,11,2.24,0.7
2024-04-07,L3,P003,804,714,13,1.92,5.6
2024-04-07,L4,P008,845,815,18,2.26,5.4
2024-04-14,L1,P004,684,602,13,2.2,1.8
2024-04-14,L2,P008,658,630,12,1.94,0
2024-04-14,L3,P006,841,754,12,1.65,0
2024-04-14,L4,P006,725,676,14,2.19,3.4
2024-04-21,L1,P008,801,721,15,2.21,5.9
2024-04-21,L2,P003,717,670,16,2.45,4.5
2024-04-21,L3,P008,856,806,12,1.52,0
2024-04-21,L4,P005,415,398,8,2.11,2.7
2024-04-28,L1,P007,500,472,10,2.3,2.6
2024-04-28,L2,P005,536,478,9,1.95,1.8
2024-04-28,L3,P007,807,759,12,1.63,0.9
2024-04-28,L4,P007,738,679,11,1.67,0
2024-05-05,L1,P008,527,479,11,2.48,1.8
2024-05-05,L2,P005,858,755,14,1.89,5.2
2024-05-05,L3,P007,617,553,9,1.77,1.9
2024-05-05,L4,P003,447,408,8,2.19,4.3
2024-05-12,L1,P006,490,474,9,1.92,4.9
2024-05-12,L2,P007,493,473,8,1.69,2.1
2024-05-12,L3,P005,586,534,11,2.22,0
2024-05-12,L4,P005,504,455,8,1.79,0.9
2024-05-19,L1,P008,573,517,10,2.08,3.6
2024-05-19,L2,P008,728,659,14,2.27,3.5
2024-05-19,L3,P005,491,469,10,2.27,3.3
2024-05-19,L4,P006,438,391,6,1.61,0
2024-05-26,L1,P007,539,510,10,2.14,1.9
2024-05-26,L2,P007,547,490,10,2.1,2.9
2024-05-26,L3,P005,625,590,10,1.82,0
2024-05-26,L4,P008,591,560,11,2.07,1.8
2024-06-02,L1,P001,431,397,9,2.31,5.9
2024-06-02,L2,P002,808,749,17,2.36,3.6
2024-06-02,L3,P004,424,386,7,1.97,0
2024-06-02,L4,P003,533,484,8,1.7,4.5
2024-06-09,L1,P002,471,425,10,2.48,0
2024-06-09,L2,P004,780,719,15,2.14,0
2024-06-09,L3,P007,881,788,13,1.71,5.0
2024-06-09,L4,P002,871,787,15,1.92,4.6
2024-06-16,L1,P007,458,432,8,1.88,0
2024-06-16,L2,P007,524,496,11,2.41,0
2024-06-16,L3,P003,809,774,12,1.56,0
2024-06-16,L4,P001,597,543,10,1.92,0
2024-06-23,L1,P005,624,553,11,2.08,5.5
2024-06-23,L2,P006,401,357,8,2.49,0.7
2024-06-23,L3,P005,789,698,16,2.41,3.6
2024-06-23,L4,P007,804,779,18,2.36,0
2024-06-30,L1,P003,457,440,6,1.56,0.9
2024-06-30,L2,P005,472,431,10,2.35,0
2024-06-30,L3,P007,716,669,14,2.14,0
2024-06-30,L4,P005,483,426,6,1.56,1.0
2024-07-07,L1,P005,469,423,6,1.51,5.1
2024-07-07,L2,P003,526,496,10,2.03,4.5
2024-07-07,L3,P006,696,635,12,2.02,0
2024-07-07,L4,P006,778,726,17,2.37,5.9
2024-07-14,L1,P008,757,695,16,2.4,0
2024-07-14,L2,P003,703,633,11,1.84,3.7
2024-07-14,L3,P004,599,551,8,1.52,3.9
2024-07-14,L4,P001,588,548,11,2.11,0
2024-07-21,L1,P002,562,494,8,1.78,0
2024-07-21,L2,P001,899,810,20,2.47,0.6
2024-07-21,L3,P003,671,611,12,2.05,4.0
2024-07-21,L4,P007,617,582,13,2.35,2.5
2024-07-28,L1,P008,864,831,12,1.52,5.1
2024-07-28,L2,P003,444,392,7,2.0,1.4
2024-07-28,L3,P003,594,539,11,2.16,0
2024-07-28,L4,P001,848,806,18,2.35,2.1
2024-08-04,L1,P006,802,749,12,1.73,1.8
2024-08-04,L2,P003,810,732,12,1.74,0
2024-08-04,L3,P006,419,399,8,2.22,4.2
2024-08-04,L4,P006,796,755,14,1.96,5.3
2024-08-11,L1,P005,686,653,15,2.3,5.6
2024-08-11,L2,P003,569,504,8,1.67,5.0
2024-08-11,L3,P005,614,565,11,2.09,0
2024-08-11,L4,P002,737,681,12,1.82,1.4
2024-08-18,L1,P008,701,664,15,2.41,0
2024-08-18,L2,P007,567,543,9,1.71,0
2024-08-18,L3,P008,530,498,10,2.08,0
2024-08-18,L4,P001,472,417,7,1.72,2.0
2024-08-25,L1,P008,400,354,6,1.76,3.6
2024-08-25,L2,P002,881,785,12,1.64,2.3
2024-08-25,L3,P006,513,490,10,2.04,6.0
2024-08-25,L4,P008,592,558,10,1.83,0
2024-09-01,L1,P007,436,395,8,2.22,0
2024-09-01,L2,P001,538,476,8,1.85,4.8
2024-09-01,L3,P004,534,512,8,1.58,3.2
2024-09-01,L4,P008,496,456,9,2.02,0
2024-09-08,L1,P006,708,679,11,1.69,3.3
2024-09-08,L2,P005,452,426,9,2.11,4.9
2024-09-08,L3,P007,424,410,6,1.7,0
2024-09-08,L4,P004,431,398,7,1.87,3.4
2024-09-15,L1,P005,527,483,11,2.3,4.2
2024-09-15,L2,P001,722,674,11,1.7,5.5
2024-09-15,L3,P001,774,692,16,2.41,1.8
2024-09-15,L4,P007,648,612,13,2.22,5.7
2024-09-22,L1,P008,632,569,10,1.92,0
2024-09-22,L2,P008,593,538,9,1.85,5.4
2024-09-22,L3,P004,528,507,10,2.0,0
2024-09-22,L4,P005,503,458,10,2.24,5.5
2024-09-29,L1,P003,595,557,11,2.07,1.8
2024-09-29,L2,P001,675,631,14,2.25,1.9
2024-09-29,L3,P002,505,460,10,2.25,5.9
2024-09-29,L4,P006,572,541,8,1.53,2.6
2024-10-06,L1,P001,621,554,12,2.3,2.9
2024-10-06,L2,P002,563,527,8,1.62,0
2024-10-06,L3,P005,817,756,14,1.94,5.6
2024-10-06,L4,P007,891,806,20,2.48,0
2024-10-13,L1,P005,738,658,14,2.2,0
2024-10-13,L2,P008,527,466,9,2.08,3.6
2024-10-13,L3,P008,870,778,12,1.67,1.8
2024-10-13,L4,P006,659,616,12,1.95,0
2024-10-20,L1,P003,591,549,11,2.04,4.7
2024-10-20,L2,P002,702,660,15,2.33,5.8
2024-10-20,L3,P006,887,787,17,2.18,3.7
2024-10-20,L4,P005,560,534,10,1.89,0
2024-10-27,L1,P005,621,560,10,1.82,3.7
2024-10-27,L2,P001,532,471,8,1.87,1.4
2024-10-27,L3,P007,653,606,11,1.83,0.6
2024-10-27,L4,P002,657,612,13,2.26,2.4
2024-11-03,L1,P001,463,444,7,1.8,0.7
2024-11-03,L2,P004,616,569,12,2.26,0
2024-11-03,L3,P001,780,695,13,2.0,4.9
2024-11-03,L4,P005,741,657,13,1.98,0
2024-11-10,L1,P008,523,472,11,2.35,1.9
2024-11-10,L2,P007,450,404,7,1.8,0
2024-11-10,L3,P003,810,762,12,1.59,0
2024-11-10,L4,P006,646,587,9,1.68,4.1
2024-11-17,L1,P004,845,753,15,2.06,4.3
2024-11-17,L2,P006,871,773,14,1.86,5.5
2024-11-17,L3,P007,666,642,10,1.57,3.1
2024-11-17,L4,P006,586,559,12,2.18,2.8
2024-11-24,L1,P005,422,392,7,1.92,0
2024-11-24,L2,P007,528,483,7,1.51,2.5
2024-11-24,L3,P002,756,693,16,2.36,1.6
2024-11-24,L4,P006,612,592,9,1.69,2.5
2024-12-01,L1,P002,661,590,11,1.89,3.8
2024-12-01,L2,P002,885,790,17,2.21,0
2024-12-01,L3,P008,832,787,14,1.81,0
2024-12-01,L4,P007,696,642,11,1.8,4.6
2024-12-08,L1,P007,778,698,14,2.07,0
2024-12-08,L2,P001,577,516,10,2.13,1.6
2024-12-08,L3,P003,492,466,10,2.31,0
2024-12-08,L4,P007,528,470,7,1.5,3.2
2024-12-15,L1,P007,700,673,15,2.27,2.6
2024-12-15,L2,P002,785,733,15,2.07,2.8
2024-12-15,L3,P008,749,703,16,2.34,2.4
2024-12-15,L4,P007,402,368,6,1.65,2.8
2024-12-22,L1,P006,613,565,12,2.14,3.0
2024-12-22,L2,P007,717,678,11,1.67,0
2024-12-22,L3,P005,809,716,16,2.3,0
2024-12-22,L4,P001,511,489,8,1.66,1.7
2024-12-29,L1,P003,557,528,8,1.67,5.3
2024-12-29,L2,P007,505,478,8,1.82,0
2024-12-29,L3,P004,802,730,13,1.91,3.3
2024-12-29,L4,P003,406,392,9,2.33,4.3
2025-01-05,L1,P007,838,799,17,2.2,3.3
2025-01-05,L2,P007,894,797,12,1.57,5.6
2025-01-05,L3,P002,763,678,14,2.16,4.7
2025-01-05,L4,P008,648,616,9,1.53,0
2025-01-12,L1,P007,617,564,9,1.73,0
2025-01-12,L2,P005,645,577,9,1.57,2.8
2025-01-12,L3,P006,697,645,11,1.84,5.9
2025-01-12,L4,P008,712,629,10,1.67,0
2025-01-19,L1,P005,415,396,7,1.99,4.0
2025-01-19,L2,P004,741,701,15,2.16,1.9
2025-01-19,L3,P006,464,443,8,1.95,0
2025-01-19,L4,P007,631,602,12,2.08,5.0
2025-01-26,L1,P004,427,389,7,2.0,3.0
2025-01-26,L2,P002,464,437,9,2.27,2.1
2025-01-26,L3,P005,807,749,11,1.57,4.9
2025-01-26,L4,P004,659,609,10,1.67,4.4
2025-02-02,L1,P006,461,417,8,1.97,2.0
2025-02-02,L2,P002,525,480,7,1.58,0
2025-02-02,L3,P008,611,583,9,1.64,0
2025-02-02,L4,P003,890,793,19,2.45,0
2025-02-09,L1,P002,829,771,14,1.83,5.6
2025-02-09,L2,P001,855,818,13,1.63,5.2
2025-02-09,L3,P005,497,467,10,2.24,5.2
2025-02-09,L4,P008,645,615,15,2.49,0
2025-02-16,L1,P002,769,737,17,2.42,2.9
2025-02-16,L2,P006,408,387,9,2.46,0
2025-02-16,L3,P002,757,691,12,1.85,2.9
2025-02-16,L4,P004,472,455,9,2.06,0
2025-02-23,L1,P006,891,859,17,2.09,4.9
2025-02-23,L2,P002,696,661,10,1.59,0
2025-02-23,L3,P001,612,559,11,2.06,1.8
2025-02-23,L4,P001,761,706,14,2.03,0
2025-03-02,L1,P008,469,412,6,1.64,0
2025-03-02,L2,P004,874,818,14,1.71,0
2025-03-02,L3,P002,883,782,11,1.51,0
2025-03-02,L4,P007,602,575,11,1.93,1.4
2025-03-09,L1,P001,502,470,8,1.72,0
2025-03-09,L2,P004,858,784,15,1.92,4.0
2025-03-09,L3,P001,577,528,12,2.36,2.1
2025-03-09,L4,P004,701,642,12,1.98,2.7
2025-03-16,L1,P008,503,469,7,1.58,3.8
2025-03-16,L2,P006,538,521,12,2.39,0
2025-03-16,L3,P008,782,756,16,2.22,2.4
2025-03-16,L4,P007,673,599,14,2.35,5.9
2025-03-23,L1,P003,895,835,13,1.68,0
2025-03-23,L2,P007,465,422,10,2.48,0
2025-03-23,L3,P001,751,663,12,1.83,0.6
2025-03-23,L4,P002,799,724,11,1.62,4.8
2025-03-30,L1,P001,420,370,8,2.42,0
2025-03-30,L2,P001,630,566,11,2.01,2.7
2025-03-30,L3,P004,722,655,13,2.0,2.7
2025-03-30,L4,P004,819,763,18,2.47,2.0
2025-04-06,L1,P004,454,422,7,1.82,3.2
2025-04-06,L2,P004,473,420,10,2.46,1.2
2025-04-06,L3,P005,735,699,11,1.68,0
2025-04-06,L4,P002,444,429,8,2.08,4.7
2025-04-13,L1,P005,840,795,16,2.08,3.7
2025-04-13,L2,P002,822,736,15,2.06,0
2025-04-13,L3,P001,773,727,16,2.26,3.6
2025-04-13,L4,P008,747,685,13,1.97,0
2025-04-20,L1,P001,723,661,11,1.67,0
2025-04-20,L2,P006,858,831,13,1.57,5.7
2025-04-20,L3,P005,408,382,7,2.06,0
2025-04-20,L4,P008,681,612,12,1.96,4.3
2025-04-27,L1,P004,410,380,7,2.01,1.4
2025-04-27,L2,P004,724,677,14,2.18,0.5
2025-04-27,L3,P007,785,717,14,2.01,0
2025-04-27,L4,P008,462,421,7,1.81,2.3
2025-05-04,L1,P004,514,490,7,1.61,0
2025-05-04,L2,P007,428,389,9,2.33,3.0
2025-05-04,L3,P002,703,627,13,2.2,0
2025-05-04,L4,P003,790,697,12,1.73,0
2025-05-11,L1,P008,563,536,9,1.77,3.9
2025-05-11,L2,P003,521,490,7,1.51,2.6
2025-05-11,L3,P008,671,619,12,2.09,0
2025-05-11,L4,P005,788,735,15,2.16,2.3
2025-05-18,L1,P008,432,387,7,1.9,2.8
2025-05-18,L2,P005,757,690,15,2.19,1.8
2025-05-18,L3,P006,791,708,13,1.94,4.9
2025-05-18,L4,P003,838,761,16,2.22,0
2025-05-25,L1,P001,762,678,13,2.02,0
2025-05-25,L2,P002,819,728,16,2.24,1.9
2025-05-25,L3,P004,678,649,10,1.57,2.1
2025-05-25,L4,P007,653,633,13,2.15,2.8
2025-06-01,L1,P001,896,837,14,1.7,0
2025-06-01,L2,P002,840,783,13,1.76,0.8
2025-06-01,L3,P008,563,521,10,1.93,3.9
2025-06-01,L4,P006,592,531,9,1.74,3.5
2025-06-08,L1,P003,525,476,11,2.47,2.0
2025-06-08,L2,P006,631,558,8,1.58,0
2025-06-08,L3,P006,769,709,14,2.03,0
2025-06-08,L4,P003,606,543,11,2.04,0
2025-06-15,L1,P004,811,725,12,1.77,0
2025-06-15,L2,P003,637,565,9,1.61,4.2
2025-06-15,L3,P003,766,738,14,2.01,0
2025-06-15,L4,P008,890,842,16,1.98,0
2025-06-22,L1,P003,887,851,14,1.72,1.7
2025-06-22,L2,P006,733,710,13,1.97,0
2025-06-22,L3,P003,611,566,11,2.07,0
2025-06-22,L4,P002,807,754,12,1.68,2.0
2025-06-29,L1,P003,877,847,14,1.72,4.3
2025-06-29,L2,P007,494,450,9,2.19,4.5
2025-06-29,L3,P006,540,491,8,1.78,0
2025-06-29,L4,P003,562,521,10,2.03,0
2025-07-06,L1,P004,443,400,6,1.5,0
2025-07-06,L2,P006,605,544,9,1.7,0
2025-07-06,L3,P003,620,572,10,1.83,3.9
2025-07-06,L4,P005,628,585,13,2.26,0
2025-07-13,L1,P006,626,556,12,2.33,4.4
2025-07-13,L2,P003,447,401,9,2.28,0
