month,product_id,planned_units,actual_units,efficiency_pct
2023-10-01,P005,3537,3342,94.5
2023-10-01,P006,2618,2389,91.3
2023-10-01,P007,1869,1703,91.1
2023-10-01,P008,2197,1968,89.6
2023-10-01,P009,2443,2206,90.3
2023-10-01,P010,3233,2958,91.5
2023-11-01,P001,2503,2353,94.0
2023-11-01,P002,1706,1517,89.0
2023-11-01,P003,2926,2745,93.8
2023-11-01,P004,3084,2941,95.4
2023-11-01,P005,3846,3474,90.3
2023-11-01,P006,2091,1985,95.0
2023-11-01,P007,2834,2601,91.8
2023-11-01,P008,3055,2792,91.4
2023-11-01,P009,2811,2630,93.6
2023-11-01,P010,3443,3295,95.7
2023-12-01,P001,1883,1764,93.7
2023-12-01,P002,3544,3139,88.6
2023-12-01,P003,2417,2244,92.9
2023-12-01,P004,2718,2563,94.3
2023-12-01,P005,3081,2754,89.4
2023-12-01,P006,3200,2999,93.7
2023-12-01,P007,1794,1590,88.7
2023-12-01,P008,3051,2678,87.8
2023-12-01,P009,3996,3727,93.3
2023-12-01,P010,3988,3542,88.8
2024-01-01,P001,3158,2937,93.0
2024-01-01,P002,2468,2170,88.0
2024-01-01,P003,3847,3483,90.6
2024-01-01,P004,3307,2976,90.0
2024-01-01,P005,2721,2429,89.3
2024-01-01,P006,3876,3674,94.8
2024-01-01,P007,1656,1527,92.2
2024-01-01,P008,1760,1630,92.7
2024-01-01,P009,2879,2606,90.5
2024-01-01,P010,3142,2795,89.0
2024-02-01,P001,1567,1371,87.6
2024-02-01,P002,3113,2764,88.8
2024-02-01,P003,2094,1955,93.4
2024-02-01,P004,1983,1866,94.1
2024-02-01,P005,1720,1551,90.2
2024-02-01,P006,1816,1643,90.5
2024-02-01,P007,1731,1575,91.0
2024-02-01,P008,3393,3217,94.8
2024-02-01,P009,1727,1637,94.8
2024-02-01,P010,3553,3125,88.0
2024-03-01,P001,2337,2189,93.7
2024-03-01,P002,2990,2807,93.9
2024-03-01,P003,2300,2181,94.9
2024-03-01,P004,3451,3234,93.7
2024-03-01,P005,2509,2319,92.4
2024-03-01,P006,2994,2855,95.4
2024-03-01,P007,3477,3313,95.3
2024-03-01,P008,2168,2035,93.9
2024-03-01,P009,3939,3539,89.9
2024-03-01,P010,3728,3375,90.5
2024-04-01,P001,3387,3089,91.2
2024-04-01,P002,1750,1575,90.0
2024-04-01,P003,2721,2493,91.7
2024-04-01,P004,3895,3639,93.4
2024-04-01,P005,1651,1506,91.3
2024-04-01,P006,2246,2094,93.2
2024-04-01,P007,3978,3598,90.5
2024-04-01,P008,3963,3779,95.4
2024-04-01,P009,2833,2539,89.6
2024-04-01,P010,3749,3323,88.6
2024-05-01,P001,3458,3011,87.1
2024-05-01,P002,2021,1862,92.2
2024-05-01,P003,2388,2244,94.0
2024-05-01,P004,1929,1715,88.9
2024-05-01,P005,2027,1834,90.5
2024-05-01,P006,3842,3409,88.8
2024-05-01,P007,2572,2335,90.8
2024-05-01,P008,2141,1875,87.6
2024-05-01,P009,3279,3076,93.8
2024-05-01,P010,3694,3309,89.6
2024-06-01,P001,2973,2720,91.5
2024-06-01,P002,1842,1717,93.2
2024-06-01,P003,3988,3825,95.9
2024-06-01,P004,3655,3267,89.4
2024-06-01,P005,3033,2655,87.6
2024-06-01,P006,3918,3533,90.2
2024-06-01,P007,3194,2995,93.8
2024-06-01,P008,3437,3124,90.9
2024-06-01,P009,2993,2694,90.0
2024-06-01,P010,3957,3498,88.4
2024-07-01,P001,2401,2238,93.2
2024-07-01,P002,2980,2829,94.9
2024-07-01,P003,3739,3361,89.9
2024-07-01,P004,3508,3262,93.0
2024-07-01,P005,3290,2920,88.8
2024-07-01,P006,2119,1989,93.9
2024-07-01,P007,3740,3515,94.0
2024-07-01,P008,2226,2058,92.5
2024-07-01,P009,2412,2271,94.2
2024-07-01,P010,2961,2829,95.6
2024-08-01,P001,3724,3526,94.7
2024-08-01,P002,3659,3385,92.5
2024-08-01,P003,1925,1739,90.4
2024-08-01,P004,2294,2068,90.2
2024-08-01,P005,3951,3668,92.8
2024-08-01,P006,2730,2494,91.4
2024-08-01,P007,2141,1941,90.7
2024-08-01,P008,2768,2620,94.7
2024-08-01,P009,3543,3167,89.4
2024-08-01,P010,2634,2451,93.1
2024-09-01,P001,2814,2456,87.3
2024-09-01,P002,2118,2013,95.1
2024-09-01,P003,2505,2202,87.9
2024-09-01,P004,1540,1467,95.3
2024-09-01,P005,2003,1922,96.0
2024-09-01,P006,2947,2756,93.5
2024-09-01,P007,1701,1560,91.7
2024-09-01,P008,1701,1622,95.4
2024-09-01,P009,3466,3114,89.8
2024-09-01,P010,2771,2614,94.4
2024-10-01,P001,2936,2752,93.8
2024-10-01,P002,2886,2651,91.9
2024-10-01,P003,1549,1392,89.9
2024-10-01,P004,1543,1357,88.0
2024-10-01,P005,3802,3617,95.1
2024-10-01,P006,3777,3588,95.0
2024-10-01,P007,3222,2944,91.4
2024-10-01,P008,3514,3311,94.2
2024-10-01,P009,2564,2289,89.3
2024-10-01,P010,3282,2878,87.7
2024-11-01,P001,2368,2155,91.0
2024-11-01,P002,3744,3579,95.6
2024-11-01,P003,3043,2700,88.7
2024-11-01,P004,3073,2890,94.1
2024-11-01,P005,2711,2453,90.5
2024-11-01,P006,2853,2544,89.2
2024-11-01,P007,2398,2136,89.1
2024-11-01,P008,3319,3019,91.0
2024-11-01,P009,3851,3491,90.7
2024-11-01,P010,2437,2163,88.8
2024-12-01,P001,3464,3193,92.2
2024-12-01,P002,2105,1860,88.4
2024-12-01,P003,3262,3107,95.3
2024-12-01,P004,2197,2010,91.5
2024-12-01,P005,1804,1625,90.1
2024-12-01,P006,2242,1994,89.0
2024-12-01,P007,2688,2388,88.9
2024-12-01,P008,3542,3159,89.2
2024-12-01,P009,2782,2432,87.5
2024-12-01,P010,2174,1913,88.0
2025-01-01,P001,2686,2338,87.1
2025-01-01,P002,1515,1352,89.3
2025-01-01,P003,2034,1907,93.8
2025-01-01,P004,1608,1489,92.6
2025-01-01,P005,3808,3459,90.8
2025-01-01,P006,3937,3452,87.7
2025-01-01,P007,2955,2823,95.5
2025-01-01,P008,3493,3180,91.1
2025-01-01,P009,3178,2872,90.4
2025-01-01,P010,3843,3527,91.8
2025-02-01,P001,2798,2580,92.2
2025-02-01,P002,3984,3665,92.0
2025-02-01,P003,3298,3092,93.8
2025-02-01,P004,3485,3338,95.8
2025-02-01,P005,2449,2216,90.5
2025-02-01,P006,2994,2660,88.8
2025-02-01,P007,3307,3069,92.8
2025-02-01,P008,3659,3298,90.2
2025-02-01,P009,3344,3151,94.3
2025-02-01,P010,3572,3347,93.7
2025-03-01,P001,2918,2775,95.1
2025-03-01,P002,2983,2716,91.1
2025-03-01,P003,2502,2202,88.0
2025-03-01,P004,3692,3296,89.3
2025-03-01,P005,2574,2300,89.4
2025-03-01,P006,3961,3778,95.4
2025-03-01,P007,1764,1680,95.3
2025-03-01,P008,2495,2360,94.6
2025-03-01,P009,2811,2491,88.6
2025-03-01,P010,3461,3089,89.3
2025-04-01,P001,3452,3153,91.4
2025-04-01,P002,2470,2246,90.9
2025-04-01,P003,2146,1882,87.7
2025-04-01,P004,2410,2206,91.6
2025-04-01,P005,3610,3288,91.1
2025-04-01,P006,3012,2724,90.5
2025-04-01,P007,1797,1690,94.1
2025-04-01,P008,1833,1747,95.3
2025-04-01,P009,3805,3595,94.5
2025-04-01,P010,3421,3078,90.0
2025-05-01,P001,3518,3248,92.3
2025-05-01,P002,3703,3504,94.6
2025-05-01,P003,2404,2118,88.1
2025-05-01,P004,2267,2138,94.3
2025-05-01,P005,1665,1544,92.8
2025-05-01,P006,1616,1539,95.3
2025-05-01,P007,2825,2607,92.3
2025-05-01,P008,2809,2516,89.6
2025-05-01,P009,1964,1786,90.9
2025-05-01,P010,3055,2746,89.9
2025-06-01,P001,2992,2679,89.6
2025-06-01,P002,2821,2639,93.6
2025-06-01,P003,1775,1635,92.1
2025-06-01,P004,2635,2364,89.7
2025-06-01,P005,2257,2022,89.6
2025-06-01,P006,2014,1908,94.7
2025-06-01,P007,3422,3008,87.9
2025-06-01,P008,2051,1819,88.7
2025-06-01,P009,2459,2193,89.2
2025-06-01,P010,1726,1621,94.0
2025-07-01,P001,3164,2848,90.0
2025-07-01,P002,2328,2103,90.3
2025-07-01,P003,2297,2179,94.9
2025-07-01,P004,3009,2783,92.5
2025-07-01,P005,3434,3084,89.8
2025-07-01,P006,3897,3625,93.0
2025-07-01,P007,1582,1457,92.1
2025-07-01,P008,2140,1958,91.5
2025-07-01,P009,1991,1838,92.3
2025-07-01,P010,1500,1375,91.7
2025-08-01,P001,3794,3467,91.4
2025-08-01,P002,2832,2625,92.7
2025-08-01,P003,3565,3310,92.9
2025-08-01,P004,3761,3321,88.3
2025-08-01,P005,3450,3307,95.9
2025-08-01,P006,3404,3222,94.7
2025-08-01,P007,3240,2890,89.2
2025-08-01,P008,3908,3727,95.4
2025-08-01,P009,3366,2994,89.0
2025-08-01,P010,3611,3377,93.5
2025-09-01,P001,3291,3113,94.6
2025-09-01,P002,3187,2780,87.2
2025-09-01,P003,3546,3294,92.9
2025-09-01,P004,3542,3241,91.5
2025-09-01,P005,2834,2702,95.4
2025-09-01,P006,1545,1454,94.1
2025-09-01,P007,1726,1608,93.2
2025-09-01,P008,2697,2413,89.5
2025-09-01,P009,2990,2779,93.0
2025-09-01,P010,3317,3096,93.3
2025-10-01,P001,3960,3587,90.6
2025-10-01,P002,3997,3799,95.1
2025-10-01,P003,1611,1501,93.2
2025-10-01,P004,1570,1497,95.4
2025-10-01,P005,2447,2285,93.4
2025-10-01,P006,2104,1907,90.6
2025-10-01,P007,2105,1916,91.0
2025-10-01,P008,2148,1935,90.1
2025-10-01,P009,3080,2745,89.1
2025-10-01,P010,2862,2649,92.6
2025-11-01,P001,1821,1705,93.6
2025-11-01,P002,3242,2966,91.5
2025-11-01,P003,1777,1619,91.1
2025-11-01,P004,2808,2494,88.8
2025-11-01,P005,3757,3552,94.6
2025-11-01,P006,3311,2929,88.5
2025-11-01,P007,2793,2569,92.0
2025-11-01,P008,3917,3685,94.1
2025-11-01,P009,3765,3431,91.1
2025-11-01,P010,1640,1571,95.8
2025-12-01,P001,3551,3186,89.7
2025-12-01,P002,3526,3172,90.0
2025-12-01,P003,2791,2620,93.9
2025-12-01,P004,3755,3539,94.3
2025-12-01,P005,2993,2656,88.8
2025-12-01,P006,3105,2796,90.0
2025-12-01,P007,3454,3049,88.3
2025-12-01,P008,3636,3234,89.0
2025-12-01,P009,3019,2635,87.3
2025-12-01,P010,3357,3144,93.7
2026-01-01,P001,1598,1440,90.1
2026-01-01,P002,2277,2155,94.7
2026-01-01,P003,3174,2934,92.5
2026-01-01,P004,3336,2956,88.6
2026-01-01,P005,2026,1860,91.8
2026-01-01,P006,2800,2533,90.5
2026-01-01,P007,2492,2292,92.0
2026-01-01,P008,1615,1525,94.5
2026-01-01,P009,2250,2055,91.4
2026-01-01,P010,3632,3466,95.4
2026-02-01,P001,2419,2202,91.0
2026-02-01,P002,3780,3550,93.9
2026-02-01,P003,1957,1753,89.6
2026-02-01,P004,3849,3407,88.5
2026-02-01,P005,1845,1642,89.0
2026-02-01,P006,1923,1755,91.3
2026-02-01,P007,1510,1432,94.8
2026-02-01,P008,3245,3024,93.2
2026-02-01,P009,3819,3334,87.3
2026-02-01,P010,3667,3313,90.3
2026-03-01,P001,2383,2080,87.3
2026-03-01,P002,3790,3386,89.3
2026-03-01,P003,3555,3158,88.8
2026-03-01,P004,3241,3046,94.0
2026-03-01,P005,3613,3445,95.4
2026-03-01,P006,3234,2942,91.0
2026-03-01,P007,2314,2124,91.8
2026-03-01,P008,3243,2919,90.0
2026-03-01,P009,3194,2791,87.4
2026-03-01,P010,3134,2860,91.3
2026-04-01,P001,3021,2898,96.0
2026-04-01,P002,2933,2700,92.1
2026-04-01,P003,3338,3139,94.1
2026-04-01,P004,2839,2544,89.6
2026-04-01,P005,1512,1358,89.9
2026-04-01,P006,3310,3023,91.3
2026-04-01,P007,2035,1835,90.2
2026-04-01,P008,1548,1387,89.6
2026-04-01,P009,2232,2007,90.0
2026-04-01,P010,3683,3419,92.9
2026-05-01,P001,3556,3269,91.9
2026-05-01,P002,1605,1487,92.7
2026-05-01,P003,2811,2649,94.3
2026-05-01,P004,3665,3336,91.0
2026-05-01,P005,2365,2130,90.1
2026-05-01,P006,3563,3193,89.6
2026-05-01,P007,2973,2796,94.1
2026-05-01,P008,2110,1844,87.4
2026-05-01,P009,1587,1402,88.4
2026-05-01,P010,1967,1714,87.1
2026-06-01,P001,2672,2345,87.8
2026-06-01,P002,1742,1639,94.1
2026-06-01,P003,2740,2526,92.2
2026-06-01,P004,1978,1793,90.7
2026-06-01,P005,1556,1426,91.7
2026-06-01,P006,1986,1804,90.9
2026-06-01,P007,1969,1728,87.8
2026-06-01,P008,3002,2781,92.7
2026-06-01,P009,3288,2886,87.8
2026-06-01,P010,2665,2322,87.1
2026-07-01,P001,2628,2390,91.0
2026-07-01,P002,2959,2586,87.4
2026-07-01,P003,1669,1582,94.8
2026-07-01,P004,2777,2499,90.0
2026-07-01,P005,2732,2385,87.3
2026-07-01,P006,3768,3477,92.3
2026-07-01,P007,2032,1882,92.6
2026-07-01,P008,1594,1445,90.7
2026-07-01,P009,3837,3553,92.6
2026-07-01,P010,1652,1575,95.3
