week_ending,line_id,availability,performance,quality,oee
2023-10-01,L1,0.899,0.862,0.979,0.759
2023-10-01,L2,0.941,0.914,0.967,0.832
2023-10-01,L3,0.89,0.859,0.97,0.742
2023-10-01,L4,0.888,0.918,0.965,0.787
2023-10-08,L1,0.963,0.873,0.965,0.811
2023-10-08,L2,0.956,0.898,0.985,0.846
2023-10-08,L3,0.953,0.892,0.977,0.831
2023-10-08,L4,0.899,0.959,0.979,0.844
2023-10-15,L1,0.892,0.892,0.981,0.781
2023-10-15,L2,0.9,0.863,0.962,0.747
2023-10-15,L3,0.885,0.91,0.964,0.776
2023-10-15,L4,0.889,0.857,0.962,0.733
2023-10-22,L1,0.92,0.916,0.975,0.822
2023-10-22,L2,0.908,0.951,0.966,0.834
2023-10-22,L3,0.91,0.862,0.977,0.766
2023-10-22,L4,0.932,0.853,0.962,0.765
2023-10-29,L1,0.961,0.851,0.981,0.802
2023-10-29,L2,0.948,0.887,0.979,0.823
2023-10-29,L3,0.952,0.876,0.969,0.808
2023-10-29,L4,0.952,0.96,0.969,0.886
2023-11-05,L1,0.913,0.902,0.971,0.8
2023-11-05,L2,0.913,0.879,0.966,0.775
2023-11-05,L3,0.965,0.867,0.965,0.807
2023-11-05,L4,0.964,0.908,0.979,0.857
2023-11-12,L1,0.923,0.861,0.97,0.771
2023-11-12,L2,0.909,0.897,0.964,0.786
2023-11-12,L3,0.932,0.956,0.969,0.863
2023-11-12,L4,0.92,0.899,0.962,0.796
2023-11-19,L1,0.907,0.855,0.972,0.754
2023-11-19,L2,0.925,0.871,0.963,0.776
2023-11-19,L3,0.925,0.925,0.983,0.841
2023-11-19,L4,0.956,0.904,0.98,0.847
2023-11-26,L1,0.949,0.868,0.985,0.811
2023-11-26,L2,0.908,0.901,0.983,0.804
2023-11-26,L3,0.936,0.95,0.983,0.874
2023-11-26,L4,0.934,0.929,0.97,0.842
2023-12-03,L1,0.946,0.945,0.962,0.86
2023-12-03,L2,0.967,0.885,0.984,0.842
2023-12-03,L3,0.888,0.878,0.978,0.763
2023-12-03,L4,0.89,0.882,0.98,0.769
2023-12-10,L1,0.908,0.89,0.968,0.782
2023-12-10,L2,0.917,0.874,0.983,0.788
2023-12-10,L3,0.964,0.899,0.983,0.852
2023-12-10,L4,0.922,0.943,0.978,0.85
2023-12-17,L1,0.888,0.948,0.96,0.808
2023-12-17,L2,0.917,0.916,0.968,0.813
2023-12-17,L3,0.965,0.922,0.974,0.867
2023-12-17,L4,0.923,0.94,0.965,0.837
2023-12-24,L1,0.881,0.863,0.985,0.749
2023-12-24,L2,0.888,0.904,0.982,0.788
2023-12-24,L3,0.888,0.853,0.963,0.729
2023-12-24,L4,0.939,0.854,0.963,0.772
2023-12-31,L1,0.891,0.873,0.966,0.751
2023-12-31,L2,0.888,0.955,0.976,0.828
2023-12-31,L3,0.938,0.9,0.961,0.811
2023-12-31,L4,0.902,0.885,0.975,0.778
2024-01-07,L1,0.912,0.942,0.966,0.83
2024-01-07,L2,0.883,0.913,0.977,0.788
2024-01-07,L3,0.957,0.952,0.983,0.896
2024-01-07,L4,0.906,0.864,0.97,0.759
2024-01-14,L1,0.885,0.948,0.971,0.815
2024-01-14,L2,0.954,0.866,0.967,0.799
2024-01-14,L3,0.891,0.946,0.965,0.813
2024-01-14,L4,0.949,0.869,0.984,0.811
2024-01-21,L1,0.944,0.943,0.981,0.873
2024-01-21,L2,0.903,0.96,0.968,0.839
2024-01-21,L3,0.906,0.894,0.971,0.786
2024-01-21,L4,0.905,0.933,0.964,0.814
2024-01-28,L1,0.901,0.943,0.976,0.829
2024-01-28,L2,0.961,0.947,0.963,0.876
2024-01-28,L3,0.887,0.859,0.983,0.749
2024-01-28,L4,0.904,0.856,0.973,0.753
2024-02-04,L1,0.965,0.916,0.969,0.857
2024-02-04,L2,0.937,0.887,0.964,0.801
2024-02-04,L3,0.905,0.926,0.97,0.813
2024-02-04,L4,0.893,0.943,0.972,0.819
2024-02-11,L1,0.918,0.886,0.979,0.796
2024-02-11,L2,0.901,0.954,0.979,0.842
2024-02-11,L3,0.904,0.937,0.96,0.813
2024-02-11,L4,0.883,0.886,0.981,0.767
2024-02-18,L1,0.889,0.926,0.965,0.794
2024-02-18,L2,0.968,0.952,0.963,0.887
2024-02-18,L3,0.9,0.924,0.976,0.812
2024-02-18,L4,0.947,0.937,0.976,0.866
2024-02-25,L1,0.948,0.851,0.972,0.784
2024-02-25,L2,0.934,0.925,0.976,0.843
2024-02-25,L3,0.928,0.913,0.977,0.828
2024-02-25,L4,0.909,0.932,0.961,0.814
2024-03-03,L1,0.93,0.934,0.966,0.839
2024-03-03,L2,0.881,0.862,0.977,0.742
2024-03-03,L3,0.937,0.956,0.976,0.874
2024-03-03,L4,0.924,0.942,0.966,0.841
2024-03-10,L1,0.904,0.875,0.985,0.779
2024-03-10,L2,0.955,0.944,0.972,0.876
2024-03-10,L3,0.919,0.916,0.961,0.809
2024-03-10,L4,0.94,0.905,0.969,0.824
2024-03-17,L1,0.955,0.89,0.966,0.821
2024-03-17,L2,0.94,0.943,0.972,0.862
2024-03-17,L3,0.958,0.855,0.985,0.807
2024-03-17,L4,0.952,0.874,0.96,0.799
2024-03-24,L1,0.962,0.863,0.968,0.804
2024-03-24,L2,0.916,0.913,0.971,0.812
2024-03-24,L3,0.938,0.931,0.969,0.846
2024-03-24,L4,0.931,0.886,0.98,0.808
2024-03-31,L1,0.964,0.854,0.969,0.798
2024-03-31,L2,0.963,0.867,0.962,0.803
2024-03-31,L3,0.904,0.93,0.97,0.815
2024-03-31,L4,0.925,0.894,0.965,0.798
2024-04-07,L1,0.959,0.917,0.982,0.864
2024-04-07,L2,0.906,0.897,0.976,0.793
2024-04-07,L3,0.888,0.888,0.967,0.763
2024-04-07,L4,0.953,0.929,0.983,0.87
2024-04-14,L1,0.937,0.952,0.97,0.865
2024-04-14,L2,0.947,0.906,0.982,0.843
2024-04-14,L3,0.935,0.906,0.973,0.824
2024-04-14,L4,0.946,0.922,0.97,0.846
2024-04-21,L1,0.952,0.86,0.963,0.788
2024-04-21,L2,0.966,0.94,0.972,0.883
2024-04-21,L3,0.932,0.916,0.982,0.838
2024-04-21,L4,0.893,0.941,0.964,0.81
2024-04-28,L1,0.902,0.859,0.968,0.75
2024-04-28,L2,0.924,0.865,0.96,0.767
2024-04-28,L3,0.942,0.942,0.973,0.863
2024-04-28,L4,0.911,0.933,0.971,0.825
2024-05-05,L1,0.918,0.926,0.977,0.831
2024-05-05,L2,0.966,0.879,0.965,0.819
2024-05-05,L3,0.951,0.905,0.978,0.842
2024-05-05,L4,0.897,0.872,0.976,0.763
2024-05-12,L1,0.901,0.904,0.966,0.787
2024-05-12,L2,0.962,0.861,0.982,0.813
2024-05-12,L3,0.945,0.851,0.966,0.777
2024-05-12,L4,0.883,0.915,0.982,0.793
2024-05-19,L1,0.903,0.891,0.973,0.783
2024-05-19,L2,0.886,0.928,0.967,0.795
2024-05-19,L3,0.911,0.958,0.977,0.853
2024-05-19,L4,0.97,0.865,0.984,0.826
2024-05-26,L1,0.951,0.875,0.982,0.817
2024-05-26,L2,0.938,0.95,0.982,0.875
2024-05-26,L3,0.932,0.889,0.981,0.813
2024-05-26,L4,0.942,0.904,0.975,0.83
2024-06-02,L1,0.967,0.917,0.97,0.86
2024-06-02,L2,0.94,0.87,0.965,0.789
2024-06-02,L3,0.933,0.9,0.966,0.811
2024-06-02,L4,0.945,0.861,0.984,0.801
2024-06-09,L1,0.951,0.858,0.975,0.796
2024-06-09,L2,0.888,0.885,0.963,0.757
2024-06-09,L3,0.96,0.858,0.976,0.804
2024-06-09,L4,0.885,0.853,0.968,0.731
2024-06-16,L1,0.914,0.934,0.961,0.82
2024-06-16,L2,0.958,0.895,0.974,0.835
2024-06-16,L3,0.966,0.942,0.98,0.892
2024-06-16,L4,0.944,0.946,0.964,0.861
2024-06-23,L1,0.893,0.93,0.965,0.801
2024-06-23,L2,0.957,0.95,0.974,0.886
2024-06-23,L3,0.951,0.908,0.968,0.836
2024-06-23,L4,0.943,0.939,0.961,0.851
2024-06-30,L1,0.949,0.934,0.974,0.863
2024-06-30,L2,0.899,0.941,0.963,0.815
2024-06-30,L3,0.923,0.958,0.984,0.87
2024-06-30,L4,0.931,0.898,0.973,0.813
2024-07-07,L1,0.923,0.869,0.966,0.775
2024-07-07,L2,0.969,0.897,0.984,0.855
2024-07-07,L3,0.93,0.865,0.976,0.785
2024-07-07,L4,0.926,0.918,0.98,0.833
2024-07-14,L1,0.899,0.857,0.963,0.742
2024-07-14,L2,0.901,0.952,0.981,0.841
2024-07-14,L3,0.907,0.929,0.974,0.821
2024-07-14,L4,0.951,0.938,0.974,0.869
2024-07-21,L1,0.898,0.92,0.985,0.814
2024-07-21,L2,0.919,0.931,0.966,0.826
2024-07-21,L3,0.891,0.875,0.965,0.752
2024-07-21,L4,0.886,0.878,0.967,0.752
2024-07-28,L1,0.895,0.943,0.968,0.817
2024-07-28,L2,0.883,0.944,0.982,0.819
2024-07-28,L3,0.881,0.885,0.966,0.753
2024-07-28,L4,0.912,0.922,0.973,0.818
2024-08-04,L1,0.892,0.872,0.967,0.752
2024-08-04,L2,0.945,0.923,0.979,0.854
2024-08-04,L3,0.882,0.911,0.964,0.775
2024-08-04,L4,0.939,0.876,0.985,0.81
2024-08-11,L1,0.885,0.952,0.978,0.824
2024-08-11,L2,0.928,0.904,0.975,0.818
2024-08-11,L3,0.93,0.868,0.969,0.782
2024-08-11,L4,0.924,0.889,0.972,0.798
2024-08-18,L1,0.969,0.897,0.967,0.841
2024-08-18,L2,0.909,0.943,0.984,0.843
2024-08-18,L3,0.899,0.854,0.979,0.752
2024-08-18,L4,0.914,0.896,0.982,0.804
2024-08-25,L1,0.885,0.948,0.977,0.82
2024-08-25,L2,0.899,0.95,0.962,0.822
2024-08-25,L3,0.932,0.959,0.978,0.874
2024-08-25,L4,0.943,0.96,0.985,0.892
2024-09-01,L1,0.933,0.887,0.966,0.799
2024-09-01,L2,0.934,0.904,0.978,0.826
2024-09-01,L3,0.956,0.878,0.961,0.807
2024-09-01,L4,0.924,0.919,0.984,0.836
2024-09-08,L1,0.881,0.954,0.972,0.817
2024-09-08,L2,0.937,0.873,0.97,0.793
2024-09-08,L3,0.953,0.914,0.982,0.855
2024-09-08,L4,0.961,0.882,0.983,0.833
2024-09-15,L1,0.927,0.855,0.964,0.764
2024-09-15,L2,0.889,0.87,0.967,0.748
2024-09-15,L3,0.968,0.883,0.967,0.827
2024-09-15,L4,0.93,0.952,0.966,0.855
2024-09-22,L1,0.912,0.937,0.968,0.827
2024-09-22,L2,0.949,0.954,0.981,0.888
2024-09-22,L3,0.932,0.917,0.968,0.827
2024-09-22,L4,0.96,0.892,0.983,0.842
2024-09-29,L1,0.92,0.92,0.963,0.815
2024-09-29,L2,0.953,0.959,0.983,0.898
2024-09-29,L3,0.947,0.854,0.969,0.784
2024-09-29,L4,0.929,0.923,0.975,0.836
2024-10-06,L1,0.956,0.885,0.984,0.833
2024-10-06,L2,0.909,0.951,0.973,0.841
2024-10-06,L3,0.931,0.933,0.98,0.851
2024-10-06,L4,0.956,0.909,0.98,0.852
2024-10-13,L1,0.964,0.879,0.968,0.82
2024-10-13,L2,0.909,0.927,0.985,0.83
2024-10-13,L3,0.947,0.929,0.979,0.861
2024-10-13,L4,0.954,0.899,0.967,0.829
2024-10-20,L1,0.897,0.957,0.967,0.83
2024-10-20,L2,0.963,0.92,0.983,0.871
2024-10-20,L3,0.968,0.951,0.983,0.905
2024-10-20,L4,0.94,0.896,0.98,0.825
2024-10-27,L1,0.905,0.912,0.964,0.796
2024-10-27,L2,0.891,0.893,0.972,0.773
2024-10-27,L3,0.908,0.931,0.977,0.826
2024-10-27,L4,0.883,0.958,0.962,0.814
2024-11-03,L1,0.96,0.945,0.962,0.873
2024-11-03,L2,0.959,0.888,0.976,0.831
2024-11-03,L3,0.885,0.919,0.96,0.781
2024-11-03,L4,0.886,0.878,0.98,0.762
2024-11-10,L1,0.966,0.89,0.973,0.837
2024-11-10,L2,0.881,0.855,0.961,0.724
2024-11-10,L3,0.906,0.852,0.978,0.755
2024-11-10,L4,0.903,0.889,0.976,0.784
2024-11-17,L1,0.915,0.937,0.967,0.829
2024-11-17,L2,0.967,0.939,0.969,0.88
2024-11-17,L3,0.913,0.852,0.985,0.766
2024-11-17,L4,0.93,0.917,0.981,0.837
2024-11-24,L1,0.916,0.865,0.971,0.769
2024-11-24,L2,0.885,0.956,0.973,0.823
2024-11-24,L3,0.943,0.916,0.978,0.845
2024-11-24,L4,0.888,0.906,0.964,0.776
2024-12-01,L1,0.96,0.937,0.97,0.873
2024-12-01,L2,0.896,0.922,0.961,0.794
2024-12-01,L3,0.941,0.89,0.968,0.811
2024-12-01,L4,0.882,0.876,0.968,0.748
2024-12-08,L1,0.882,0.945,0.983,0.819
2024-12-08,L2,0.886,0.905,0.962,0.771
2024-12-08,L3,0.919,0.88,0.984,0.796
2024-12-08,L4,0.924,0.934,0.978,0.844
2024-12-15,L1,0.915,0.871,0.979,0.78
2024-12-15,L2,0.953,0.919,0.977,0.856
2024-12-15,L3,0.96,0.935,0.964,0.865
2024-12-15,L4,0.902,0.914,0.97,0.8
2024-12-22,L1,0.885,0.89,0.984,0.775
2024-12-22,L2,0.889,0.906,0.983,0.792
2024-12-22,L3,0.905,0.915,0.967,0.801
2024-12-22,L4,0.948,0.921,0.975,0.851
2024-12-29,L1,0.948,0.878,0.968,0.806
2024-12-29,L2,0.965,0.91,0.965,0.847
2024-12-29,L3,0.961,0.857,0.962,0.792
2024-12-29,L4,0.952,0.877,0.971,0.811
2025-01-05,L1,0.891,0.954,0.977,0.83
2025-01-05,L2,0.905,0.904,0.978,0.8
2025-01-05,L3,0.954,0.867,0.974,0.806
2025-01-05,L4,0.947,0.886,0.974,0.817
2025-01-12,L1,0.945,0.879,0.981,0.815
2025-01-12,L2,0.967,0.95,0.974,0.895
2025-01-12,L3,0.908,0.948,0.974,0.838
2025-01-12,L4,0.908,0.887,0.979,0.788
2025-01-19,L1,0.929,0.949,0.966,0.852
2025-01-19,L2,0.967,0.914,0.976,0.863
2025-01-19,L3,0.906,0.932,0.98,0.828
2025-01-19,L4,0.924,0.852,0.984,0.775
2025-01-26,L1,0.948,0.903,0.977,0.836
2025-01-26,L2,0.941,0.903,0.98,0.833
2025-01-26,L3,0.957,0.902,0.965,0.833
2025-01-26,L4,0.928,0.885,0.967,0.794
2025-02-02,L1,0.893,0.862,0.962,0.741
2025-02-02,L2,0.928,0.863,0.963,0.771
2025-02-02,L3,0.928,0.899,0.971,0.81
2025-02-02,L4,0.953,0.898,0.977,0.836
2025-02-09,L1,0.916,0.856,0.975,0.764
2025-02-09,L2,0.933,0.916,0.982,0.839
2025-02-09,L3,0.895,0.942,0.963,0.812
2025-02-09,L4,0.932,0.921,0.965,0.828
2025-02-16,L1,0.92,0.945,0.972,0.845
2025-02-16,L2,0.964,0.852,0.98,0.805
2025-02-16,L3,0.918,0.944,0.968,0.839
2025-02-16,L4,0.891,0.919,0.981,0.803
2025-02-23,L1,0.919,0.936,0.98,0.843
2025-02-23,L2,0.946,0.922,0.981,0.856
2025-02-23,L3,0.917,0.855,0.968,0.759
2025-02-23,L4,0.905,0.899,0.984,0.801
2025-03-02,L1,0.963,0.959,0.967,0.893
2025-03-02,L2,0.912,0.9,0.981,0.805
2025-03-02,L3,0.965,0.856,0.984,0.813
2025-03-02,L4,0.97,0.932,0.977,0.883
2025-03-09,L1,0.912,0.956,0.966,0.842
2025-03-09,L2,0.905,0.92,0.98,0.816
2025-03-09,L3,0.942,0.947,0.968,0.864
2025-03-09,L4,0.953,0.865,0.97,0.8
2025-03-16,L1,0.937,0.904,0.984,0.833
2025-03-16,L2,0.904,0.932,0.967,0.815
2025-03-16,L3,0.91,0.887,0.977,0.789
2025-03-16,L4,0.923,0.954,0.983,0.866
2025-03-23,L1,0.941,0.873,0.981,0.806
2025-03-23,L2,0.942,0.957,0.96,0.865
2025-03-23,L3,0.961,0.887,0.985,0.84
2025-03-23,L4,0.961,0.955,0.98,0.899
2025-03-30,L1,0.942,0.868,0.983,0.804
2025-03-30,L2,0.922,0.908,0.978,0.819
2025-03-30,L3,0.95,0.902,0.974,0.835
2025-03-30,L4,0.941,0.947,0.972,0.866
2025-04-06,L1,0.965,0.911,0.985,0.866
2025-04-06,L2,0.956,0.945,0.978,0.884
2025-04-06,L3,0.938,0.897,0.97,0.816
2025-04-06,L4,0.901,0.952,0.98,0.841
2025-04-13,L1,0.929,0.937,0.965,0.84
2025-04-13,L2,0.922,0.925,0.968,0.826
2025-04-13,L3,0.929,0.921,0.979,0.838
2025-04-13,L4,0.967,0.938,0.967,0.877
2025-04-20,L1,0.942,0.855,0.984,0.793
2025-04-20,L2,0.934,0.894,0.963,0.804
2025-04-20,L3,0.912,0.903,0.982,0.809
2025-04-20,L4,0.922,0.908,0.963,0.806
2025-04-27,L1,0.924,0.896,0.967,0.801
2025-04-27,L2,0.97,0.915,0.97,0.861
2025-04-27,L3,0.965,0.897,0.968,0.838
2025-04-27,L4,0.957,0.926,0.98,0.868
2025-05-04,L1,0.911,0.869,0.961,0.761
2025-05-04,L2,0.915,0.858,0.971,0.762
2025-05-04,L3,0.923,0.857,0.976,0.772
2025-05-04,L4,0.893,0.856,0.977,0.747
2025-05-11,L1,0.882,0.857,0.965,0.729
2025-05-11,L2,0.956,0.884,0.978,0.827
2025-05-11,L3,0.882,0.873,0.979,0.754
2025-05-11,L4,0.907,0.87,0.985,0.777
2025-05-18,L1,0.932,0.929,0.979,0.848
2025-05-18,L2,0.905,0.881,0.974,0.777
2025-05-18,L3,0.888,0.892,0.974,0.772
2025-05-18,L4,0.912,0.917,0.963,0.805
2025-05-25,L1,0.938,0.869,0.981,0.8
2025-05-25,L2,0.918,0.879,0.966,0.779
2025-05-25,L3,0.969,0.91,0.974,0.859
2025-05-25,L4,0.969,0.95,0.967,0.89
2025-06-01,L1,0.962,0.915,0.962,0.847
2025-06-01,L2,0.887,0.866,0.98,0.753
2025-06-01,L3,0.954,0.912,0.983,0.855
2025-06-01,L4,0.968,0.959,0.975,0.905
2025-06-08,L1,0.915,0.898,0.971,0.798
2025-06-08,L2,0.932,0.867,0.974,0.787
2025-06-08,L3,0.963,0.941,0.974,0.883
2025-06-08,L4,0.899,0.903,0.982,0.797
2025-06-15,L1,0.941,0.947,0.967,0.862
2025-06-15,L2,0.894,0.905,0.97,0.785
2025-06-15,L3,0.923,0.903,0.968,0.807
2025-06-15,L4,0.929,0.936,0.961,0.836
2025-06-22,L1,0.902,0.94,0.978,0.829
2025-06-22,L2,0.959,0.902,0.963,0.833
2025-06-22,L3,0.951,0.959,0.974,0.888
2025-06-22,L4,0.953,0.894,0.969,0.826
2025-06-29,L1,0.965,0.886,0.965,0.825
2025-06-29,L2,0.918,0.918,0.964,0.812
2025-06-29,L3,0.958,0.922,0.968,0.855
2025-06-29,L4,0.95,0.906,0.977,0.841
2025-07-06,L1,0.893,0.955,0.978,0.834
2025-07-06,L2,0.949,0.904,0.982,0.842
2025-07-06,L3,0.946,0.947,0.973,0.872
2025-07-06,L4,0.955,0.945,0.962,0.868
2025-07-13,L1,0.895,0.908,0.971,0.789
2025-07-13,L2,0.895,0.904,0.966,0.782
2025-07-13,L3,0.951,0.892,0.975,0.827
2025-07-13,L4,0.885,0.852,0.969,0.731
2025-07-20,L1,0.958,0.936,0.975,0.874
2025-07-20,L2,0.958,0.955,0.97,0.887
2025-07-20,L3,0.896,0.932,0.963,0.804
2025-07-20,L4,0.909,0.874,0.977,0.776
