wo_id,product_id,line_id,start_date,end_date,status,planned_hrs,actual_hrs
WO00044,P001,L4,2026-04-14,2026-04-20,Completed,16.6,17.9
WO00045,P005,L3,2026-06-03,2026-06-22,Completed,18.6,18.6
WO00046,P015,L3,2025-06-18,2025-07-06,Completed,59.3,48.4
WO00047,P008,L4,2026-04-28,2026-05-15,Completed,38.2,34.6
WO00048,P009,L1,2025-05-01,2025-05-05,Completed,8.8,7.9
WO00049,P011,L3,2025-06-26,2025-07-15,Completed,15.4,13.9
WO00050,P004,L3,2025-06-18,2025-06-23,Completed,20.0,20.9
WO00051,P001,L3,2025-10-21,2025-11-07,Completed,64.9,64.8
WO00052,P004,L2,2025-09-28,2025-10-07,Completed,45.8,50.6
WO00053,P009,L3,2026-02-24,2026-02-26,Completed,25.2,21.5
WO00054,P015,L2,2026-03-05,2026-03-09,Completed,34.1,40.0
WO00055,P006,L3,2025-05-13,2025-05-28,Completed,48.5,43.6
WO00056,P010,L4,2025-02-27,2025-03-04,Completed,13.2,16.4
WO00057,P011,L4,2025-03-21,2025-04-03,Completed,50.6,59.3
WO00058,P001,L3,2026-04-30,2026-05-13,Completed,9.5,8.3
WO00059,P010,L4,2026-01-11,2026-01-20,Completed,26.3,28.8
WO00060,P001,L3,2025-07-23,2025-08-08,Completed,39.3,32.1
WO00061,P010,L4,2026-04-15,2026-04-17,Completed,29.1,26.3
WO00062,P007,L2,2025-09-01,2025-09-16,Completed,66.1,85.3
WO00063,P005,L4,2025-10-02,2025-10-13,Completed,78.6,94.7
WO00064,P001,L3,2026-07-05,2026-07-17,Completed,70.3,59.2
WO00065,P001,L4,2025-11-24,2025-12-07,Completed,59.6,52.9
WO00066,P003,L4,2026-05-12,2026-06-01,Completed,9.4,8.1
WO00067,P014,L4,2026-06-05,2026-06-16,Completed,12.7,12.4
WO00068,P012,L2,2026-04-11,2026-04-17,Completed,64.5,70.4
WO00069,P007,L3,2025-05-23,2025-05-28,Completed,13.9,17.0
WO00070,P003,L3,2025-09-10,2025-09-28,Completed,23.6,25.4
WO00071,P006,L4,2026-02-04,2026-02-07,Completed,41.2,40.7
WO00072,P008,L2,2025-06-13,2025-06-22,Completed,69.6,88.0
WO00073,P014,L2,2026-03-23,2026-04-06,Completed,5.1,5.6
WO00074,P004,L2,2025-10-17,2025-10-19,Completed,43.0,50.2
WO00075,P013,L2,2026-04-29,2026-05-16,Completed,20.6,25.2
WO00076,P002,L3,2025-07-06,2025-07-19,Completed,35.5,35.6
WO00077,P011,L1,2025-01-23,2025-02-08,Completed,48.8,49.2
WO00078,P004,L1,2025-01-26,2025-01-28,Completed,18.2,15.9
WO00079,P006,L1,2025-07-26,2025-08-09,Completed,54.1,43.7
WO00080,P008,L1,2025-06-09,2025-06-27,Completed,6.7,8.4
WO00081,P008,L1,2025-09-29,2025-10-04,Completed,55.8,50.7
WO00082,P008,L3,2026-04-06,2026-04-12,Completed,41.9,45.4
WO00083,P010,L2,2025-05-28,2025-06-11,Completed,79.2,91.2
WO00084,P010,L3,2025-12-02,2025-12-11,Completed,16.0,19.4
WO00085,P012,L2,2025-09-10,2025-09-18,Completed,75.4,87.9
WO00086,P014,L2,2025-05-25,2025-06-04,Completed,6.3,6.5
WO00087,P013,L1,2025-12-20,2026-01-09,Completed,42.2,47.1
WO00088,P011,L4,2025-03-19,2025-04-05,Completed,5.9,7.1
WO00089,P014,L1,2026-07-02,2026-07-20,Completed,59.0,55.0
WO00090,P004,L2,2026-02-08,2026-02-14,Completed,37.3,48.4
WO00091,P013,L3,2025-12-04,2025-12-09,Completed,18.1,17.7
WO00092,P005,L2,2026-02-04,2026-02-20,Completed,21.7,18.8
WO00093,P012,L4,2025-07-03,2025-07-09,Completed,72.1,61.4
WO00094,P006,L3,2025-09-01,2025-09-06,Completed,28.3,33.6
WO00095,P007,L2,2025-07-10,2025-07-29,Completed,74.9,76.5
WO00096,P006,L1,2025-03-29,2025-04-11,Completed,29.7,34.2
WO00097,P013,L1,2026-03-09,2026-03-10,Completed,45.5,40.3
WO00098,P005,L3,2025-04-19,2025-04-27,Completed,19.1,19.3
WO00099,P014,L1,2025-12-16,2025-12-31,Completed,28.6,25.0
WO00100,P010,L4,2026-02-09,2026-02-19,Completed,72.9,75.8
WO00101,P011,L1,2026-06-09,2026-06-12,Completed,20.1,25.1
WO00102,P011,L1,2026-04-10,2026-04-15,Completed,18.7,20.3
WO00103,P010,L1,2026-07-05,2026-07-14,In Progress,78.0,75.3
WO00104,P014,L1,2026-02-25,2026-03-04,Completed,36.9,42.3
WO00105,P014,L3,2025-03-06,2025-03-19,Completed,38.8,45.3
WO00106,P007,L3,2025-12-30,2026-01-19,Completed,51.0,60.0
WO00107,P002,L4,2026-02-27,2026-03-18,Completed,37.7,31.3
WO00108,P003,L2,2025-07-22,2025-08-04,Completed,24.9,23.7
WO00109,P012,L3,2025-04-17,2025-04-27,Completed,21.8,24.7
WO00110,P012,L3,2025-07-21,2025-07-30,Completed,78.0,74.0
WO00111,P002,L4,2025-06-09,2025-06-23,Completed,19.0,19.9
WO00112,P008,L3,2025-10-07,2025-10-12,Completed,17.8,15.1
WO00113,P003,L3,2025-05-15,2025-06-05,Completed,12.2,14.1
WO00114,P010,L4,2025-07-16,2025-08-02,Completed,11.0,12.8
WO00115,P013,L1,2025-08-27,2025-09-05,Completed,37.7,32.1
WO00116,P006,L1,2025-02-02,2025-02-08,Completed,48.9,48.1
WO00117,P004,L3,2025-01-16,2025-02-02,Completed,59.9,55.0
WO00118,P008,L1,2025-01-25,2025-02-04,Completed,27.9,32.6
WO00119,P006,L1,2025-08-11,2025-08-22,Completed,53.4,62.3
WO00120,P011,L3,2025-08-19,2025-08-22,Completed,57.0,73.0
WO00121,P010,L1,2026-01-25,2026-02-02,Completed,74.7,67.1
WO00122,P006,L3,2026-04-02,2026-04-23,Completed,10.5,10.3
WO00123,P005,L2,2025-09-06,2025-09-27,Completed,52.2,66.4
WO00124,P003,L3,2025-11-06,2025-11-10,Completed,40.8,41.0
WO00125,P010,L2,2025-05-31,2025-06-02,Completed,34.3,36.7
WO00126,P010,L3,2025-12-16,2026-01-03,Completed,56.3,49.9
WO00127,P009,L3,2025-12-21,2026-01-05,Completed,13.0,14.0
WO00128,P010,L1,2026-06-11,2026-06-14,Completed,36.5,32.4
WO00129,P005,L2,2025-04-20,2025-04-30,Completed,28.5,33.2
WO00130,P006,L1,2025-07-25,2025-08-01,Completed,74.0,95.0
WO00131,P002,L2,2026-03-01,2026-03-16,Completed,56.6,69.3
WO00132,P002,L4,2025-04-13,2025-04-27,Completed,66.8,64.1
WO00133,P004,L2,2026-04-09,2026-04-10,Completed,40.8,46.3
WO00134,P012,L2,2026-01-27,2026-02-12,Completed,9.9,10.4
WO00135,P005,L4,2025-01-05,2025-01-19,Completed,50.0,62.9
WO00136,P006,L2,2025-03-21,2025-03-27,Completed,12.2,14.6
WO00137,P014,L3,2025-01-01,2025-01-14,Completed,51.3,52.6
WO00138,P010,L4,2026-04-03,2026-04-08,Completed,68.9,64.5
WO00139,P009,L4,2025-06-23,2025-07-13,Completed,18.8,20.8
WO00140,P002,L4,2026-03-31,2026-04-18,Completed,74.3,82.9
WO00141,P006,L4,2025-09-22,2025-10-08,Completed,77.3,62.4
WO00142,P013,L1,2025-05-28,2025-06-18,Completed,31.6,29.2
WO00143,P002,L4,2025-12-09,2025-12-20,Completed,64.7,60.2
WO00144,P014,L1,2026-03-21,2026-03-25,Completed,26.4,24.2
WO00145,P014,L3,2025-02-20,2025-02-28,Completed,49.8,51.4
WO00146,P014,L4,2026-05-04,2026-05-15,Completed,25.4,25.9
WO00147,P014,L1,2025-10-29,2025-11-01,Completed,23.6,23.1
WO00148,P011,L1,2025-12-28,2026-01-10,Completed,18.9,21.5
WO00149,P001,L2,2026-06-06,2026-06-17,Completed,53.1,46.7
WO00150,P013,L2,2025-07-14,2025-07-18,Completed,75.5,66.0
WO00151,P010,L4,2026-05-13,2026-05-30,Completed,20.4,24.7
WO00152,P005,L2,2026-01-03,2026-01-21,Completed,57.1,64.8
WO00153,P010,L1,2026-04-20,2026-05-05,Completed,35.1,37.1
WO00154,P009,L4,2025-06-01,2025-06-06,Completed,29.4,33.0
WO00155,P005,L2,2026-05-15,2026-05-29,Completed,18.9,18.9
WO00156,P009,L4,2025-04-10,2025-04-13,Completed,39.1,33.5
WO00157,P013,L4,2026-01-15,2026-01-22,Completed,77.4,75.2
WO00158,P013,L3,2025-12-22,2025-12-29,Completed,50.0,63.1
WO00159,P013,L1,2026-03-12,2026-03-31,Completed,43.6,42.2
WO00160,P013,L2,2025-09-27,2025-10-15,Completed,35.4,42.2
WO00161,P001,L4,2025-06-04,2025-06-21,Completed,29.3,33.6
WO00162,P005,L1,2026-04-03,2026-04-22,Completed,19.5,23.7
WO00163,P010,L3,2025-08-13,2025-08-16,Completed,27.7,30.0
WO00164,P002,L3,2025-06-12,2025-06-15,Completed,31.1,29.7
WO00165,P014,L1,2026-02-16,2026-03-03,Completed,68.0,59.4
WO00166,P015,L2,2026-01-05,2026-01-21,Completed,23.9,22.8
WO00167,P013,L3,2025-06-12,2025-06-28,Completed,52.4,54.1
WO00168,P015,L1,2025-07-25,2025-08-06,Completed,23.1,23.8
WO00169,P007,L2,2025-02-21,2025-03-08,Completed,64.0,72.3
WO00170,P008,L4,2025-11-25,2025-11-28,Completed,54.7,43.8
WO00171,P001,L4,2025-12-29,2026-01-02,Completed,51.2,48.2
WO00172,P008,L2,2025-08-22,2025-08-31,Completed,76.2,76.5
WO00173,P006,L1,2025-10-06,2025-10-10,Completed,58.1,48.3
WO00174,P001,L2,2025-06-05,2025-06-10,Completed,8.0,7.0
WO00175,P006,L1,2025-08-04,2025-08-24,Completed,6.2,5.5
WO00176,P012,L3,2025-02-15,2025-02-18,Completed,63.5,53.8
WO00177,P008,L3,2026-04-02,2026-04-08,Completed,50.9,42.1
WO00178,P006,L3,2025-11-26,2025-12-01,Completed,22.3,23.5
WO00179,P012,L1,2025-09-16,2025-10-06,Completed,77.0,80.6
WO00180,P008,L3,2025-11-17,2025-11-30,Completed,74.5,70.1
WO00181,P003,L4,2025-08-26,2025-09-02,Completed,20.0,25.4
WO00182,P013,L3,2026-03-01,2026-03-12,Completed,9.0,11.3
WO00183,P004,L3,2025-07-24,2025-07-26,Completed,46.5,44.0
WO00184,P004,L1,2025-05-01,2025-05-15,Completed,64.4,64.6
WO00185,P013,L3,2025-09-27,2025-10-16,Completed,7.1,7.0
WO00186,P012,L2,2025-10-25,2025-10-29,Completed,77.4,88.3
WO00187,P012,L2,2025-07-28,2025-08-07,Completed,58.6,66.0
WO00188,P015,L1,2026-04-10,2026-04-14,Completed,45.6,55.1
WO00189,P014,L1,2026-06-29,2026-07-05,Open,11.0,10.9
WO00190,P015,L4,2025-07-12,2025-07-31,Completed,16.5,15.0
WO00191,P009,L4,2026-04-18,2026-05-09,Completed,54.6,46.8
WO00192,P002,L1,2025-03-04,2025-03-09,Completed,74.3,68.2
WO00193,P009,L2,2026-02-13,2026-03-04,Completed,55.7,69.9
WO00194,P013,L2,2025-12-31,2026-01-15,Completed,50.2,48.1
WO00195,P013,L3,2026-03-10,2026-03-20,Completed,24.6,20.5
WO00196,P002,L2,2025-12-24,2026-01-03,Completed,73.2,75.1
WO00197,P003,L4,2025-09-12,2025-10-01,Completed,78.5,90.3
WO00198,P003,L3,2025-01-18,2025-01-24,Completed,21.6,24.9
WO00199,P010,L2,2025-02-28,2025-03-08,Completed,9.3,10.4
WO00200,P010,L1,2025-09-25,2025-10-06,Completed,4.8,3.9
WO00201,P011,L1,2025-07-15,2025-08-04,Completed,55.3,65.5
WO00202,P003,L4,2025-09-05,2025-09-25,Completed,29.8,32.4
WO00203,P011,L1,2025-01-26,2025-02-08,Completed,68.6,71.4
WO00204,P004,L2,2026-06-17,2026-06-23,Completed,37.8,48.6
WO00205,P006,L2,2025-10-30,2025-11-17,Completed,54.9,67.5
WO00206,P012,L3,2026-02-03,2026-02-16,Completed,43.6,47.4
WO00207,P003,L2,2026-01-06,2026-01-24,Completed,30.2,29.2
WO00208,P003,L1,2025-03-17,2025-03-18,Completed,55.7,47.7
WO00209,P011,L3,2025-11-14,2025-11-24,Completed,62.8,67.5
WO00210,P005,L4,2025-05-25,2025-05-26,Completed,37.9,31.4
WO00211,P002,L4,2025-01-15,2025-01-22,Completed,55.6,49.2
WO00212,P012,L4,2026-04-13,2026-04-24,Completed,50.8,42.0
WO00213,P006,L3,2026-06-27,2026-07-05,Open,47.6,38.7
WO00214,P003,L1,2025-10-08,2025-10-12,Completed,59.0,54.0
WO00215,P008,L2,2026-06-05,2026-06-08,Completed,8.2,7.2
WO00216,P013,L4,2025-06-26,2025-07-16,Completed,30.0,36.5
WO00217,P006,L3,2025-04-28,2025-05-03,Completed,36.8,38.0
WO00218,P011,L1,2026-05-21,2026-06-10,Completed,36.4,46.0
WO00219,P011,L2,2025-08-01,2025-08-02,Completed,64.6,56.8
WO00220,P002,L4,2026-02-01,2026-02-15,Completed,37.2,39.7
WO00221,P010,L2,2025-05-01,2025-05-07,Completed,41.2,41.6
WO00222,P002,L2,2025-08-08,2025-08-18,Completed,31.7,39.5
WO00223,P006,L2,2026-01-12,2026-01-25,Completed,75.2,75.1
WO00224,P002,L2,2025-11-30,2025-12-20,Completed,6.5,8.1
WO00225,P010,L3,2025-11-01,2025-11-04,Completed,61.1,64.1
WO00226,P015,L2,2026-03-26,2026-04-09,Completed,68.3,80.4
WO00227,P013,L2,2025-12-24,2026-01-07,Completed,75.1,89.0
WO00228,P006,L4,2025-11-16,2025-12-02,Completed,37.2,40.6
WO00229,P015,L3,2026-05-24,2026-06-09,Completed,58.9,56.6
WO00230,P009,L4,2026-01-10,2026-01-12,Completed,34.1,37.5
WO00231,P013,L4,2025-10-14,2025-10-25,Completed,9.1,9.0
WO00232,P011,L1,2025-11-17,2025-12-07,Completed,14.4,18.7
WO00233,P006,L4,2026-05-31,2026-06-15,Completed,4.2,5.2
WO00234,P007,L3,2026-01-22,2026-02-11,Completed,42.0,41.1
WO00235,P014,L1,2025-11-03,2025-11-16,Completed,34.9,28.0
WO00236,P011,L4,2025-08-14,2025-08-31,Completed,57.5,69.5
WO00237,P003,L3,2025-02-02,2025-02-12,Completed,11.8,10.3
WO00238,P008,L3,2025-01-01,2025-01-22,Completed,52.6,42.8
WO00239,P010,L2,2025-07-04,2025-07-15,Completed,17.3,15.4
WO00240,P013,L2,2025-01-13,2025-01-19,Completed,48.1,54.6
WO00241,P005,L3,2026-01-27,2026-02-01,Completed,72.3,71.5
WO00242,P006,L1,2025-10-28,2025-11-14,Completed,39.3,43.0
WO00243,P008,L1,2025-11-19,2025-11-23,Completed,14.0,15.4
WO00244,P006,L3,2026-01-14,2026-02-01,Completed,49.5,57.7
WO00245,P009,L3,2025-08-17,2025-09-07,Completed,79.2,72.4
WO00246,P009,L3,2025-03-10,2025-03-24,Completed,48.9,44.6
WO00247,P006,L3,2025-05-27,2025-06-01,Completed,45.8,47.5
WO00248,P011,L3,2025-03-23,2025-03-28,Completed,79.3,86.1
WO00249,P001,L1,2025-04-02,2025-04-18,Completed,54.7,64.4
WO00250,P008,L2,2025-03-06,2025-03-10,Completed,10.0,12.5
WO00251,P007,L2,2025-08-03,2025-08-17,Completed,68.6,74.2
WO00252,P010,L1,2025-02-25,2025-03-08,Completed,54.9,51.7
WO00253,P013,L3,2026-02-03,2026-02-24,Completed,68.6,76.1
WO00254,P008,L3,2025-03-05,2025-03-06,Completed,68.4,67.1
WO00255,P008,L3,2026-06-17,2026-06-24,Completed,23.9,27.2
WO00256,P005,L3,2025-10-07,2025-10-13,Completed,10.8,12.5
WO00257,P003,L1,2026-06-06,2026-06-16,Completed,65.8,81.5
WO00258,P003,L4,2025-11-25,2025-12-04,Completed,47.3,57.5
WO00259,P009,L4,2025-06-28,2025-07-09,Completed,29.0,33.4
WO00260,P005,L1,2025-12-09,2025-12-13,Completed,50.1,54.5
WO00261,P008,L3,2026-04-04,2026-04-19,Completed,78.6,101.5
WO00262,P014,L4,2026-01-24,2026-01-25,Completed,79.0,90.1
WO00263,P002,L4,2025-10-10,2025-10-14,Completed,20.1,19.7
WO00264,P002,L2,2025-09-26,2025-10-14,Completed,19.6,24.0
WO00265,P006,L3,2026-01-09,2026-01-27,Completed,77.7,81.0
WO00266,P012,L1,2026-02-24,2026-03-15,Completed,51.1,44.2
WO00267,P003,L4,2025-04-24,2025-05-06,Completed,33.5,38.1
WO00268,P015,L3,2025-01-30,2025-02-13,Completed,71.4,87.5
WO00269,P011,L2,2026-05-25,2026-06-08,Completed,13.5,10.9
WO00270,P012,L2,2025-12-29,2026-01-01,Completed,54.0,43.9
WO00271,P010,L3,2026-01-10,2026-01-29,Completed,57.8,57.3
WO00272,P002,L3,2026-04-26,2026-05-03,Completed,57.5,63.3
WO00273,P015,L2,2025-12-21,2026-01-11,Completed,54.2,48.8
WO00274,P008,L3,2026-06-09,2026-06-18,Completed,49.0,41.3
WO00275,P012,L4,2026-06-26,2026-07-12,Completed,70.2,60.1
WO00276,P002,L1,2025-05-03,2025-05-11,Completed,21.8,22.6
WO00277,P006,L2,2025-08-02,2025-08-09,Completed,11.1,10.2
WO00278,P005,L1,2026-03-29,2026-03-30,Completed,54.9,68.0
WO00279,P013,L1,2025-05-29,2025-06-14,Completed,42.2,50.0
WO00280,P007,L2,2025-09-09,2025-09-26,Completed,40.9,49.3
WO00281,P011,L1,2026-06-09,2026-06-12,Completed,18.6,23.7
WO00282,P003,L1,2026-06-04,2026-06-09,Completed,17.8,14.7
WO00283,P005,L3,2025-09-02,2025-09-13,Completed,12.5,13.1
WO00284,P013,L1,2026-03-02,2026-03-11,Completed,48.5,50.3
WO00285,P013,L1,2025-10-25,2025-10-30,Completed,54.8,53.2
WO00286,P010,L1,2025-01-16,2025-02-06,Completed,18.2,17.2
WO00287,P003,L3,2025-04-10,2025-04-26,Completed,7.3,6.3
WO00288,P013,L2,2025-04-08,2025-04-16,Completed,41.6,47.3
WO00289,P004,L3,2025-02-05,2025-02-13,Completed,79.0,99.0
WO00290,P014,L3,2026-04-30,2026-05-19,Completed,17.0,19.6
WO00291,P011,L1,2026-05-25,2026-06-02,Completed,20.9,26.4
WO00292,P009,L1,2025-08-27,2025-09-10,Completed,42.1,49.7
WO00293,P001,L1,2025-12-09,2025-12-14,Completed,50.6,63.9
WO00294,P008,L4,2026-01-12,2026-01-22,Completed,34.7,29.2
WO00295,P007,L4,2025-01-09,2025-01-30,Completed,8.1,7.1
WO00296,P009,L2,2025-04-19,2025-04-24,Completed,24.4,25.1
WO00297,P013,L4,2026-03-20,2026-03-30,Completed,58.6,65.5
WO00298,P011,L2,2026-02-03,2026-02-08,Completed,66.9,57.8
WO00299,P013,L2,2025-12-07,2025-12-09,Completed,52.1,44.3
WO00300,P004,L3,2025-09-20,2025-10-10,Completed,32.7,41.2
WO00301,P015,L3,2025-01-28,2025-02-16,Completed,14.1,15.3
WO00302,P014,L3,2026-06-05,2026-06-24,Completed,74.7,69.3
WO00303,P005,L3,2026-03-26,2026-03-31,Completed,30.7,31.7
WO00304,P003,L1,2025-10-23,2025-11-08,Completed,23.1,28.1
WO00305,P003,L1,2026-04-04,2026-04-16,Completed,35.3,38.3
WO00306,P010,L1,2025-09-27,2025-10-10,Completed,28.7,35.5
WO00307,P005,L3,2025-11-09,2025-11-23,Completed,56.7,55.7
WO00308,P005,L1,2025-10-27,2025-11-07,Completed,16.2,14.1
WO00309,P015,L4,2025-11-02,2025-11-15,Completed,28.2,22.8
WO00310,P009,L2,2025-01-26,2025-02-04,Completed,22.1,18.6
WO00311,P015,L3,2025-06-08,2025-06-11,Completed,22.1,24.3
WO00312,P004,L4,2026-05-27,2026-06-07,Completed,23.8,21.6
WO00313,P004,L4,2026-05-12,2026-05-28,Completed,72.1,62.5
WO00314,P013,L4,2025-05-05,2025-05-17,Completed,23.1,20.2
WO00315,P005,L1,2025-06-18,2025-06-29,Completed,77.8,100.7
WO00316,P001,L2,2026-06-24,2026-07-01,In Progress,24.9,21.1
WO00317,P008,L2,2025-07-04,2025-07-12,Completed,78.1,95.9
WO00318,P015,L2,2025-02-14,2025-03-01,Completed,26.6,22.2
WO00319,P008,L3,2025-08-10,2025-08-26,Completed,7.7,8.8
WO00320,P014,L4,2025-08-30,2025-09-05,Completed,21.8,27.4
WO00321,P010,L4,2026-04-12,2026-04-19,Completed,21.2,20.9
WO00322,P002,L1,2026-06-28,2026-07-09,Completed,73.6,65.8
WO00323,P008,L3,2025-12-31,2026-01-18,Completed,71.8,85.6
WO00324,P007,L2,2025-06-12,2025-06-15,Completed,44.1,41.5
WO00325,P013,L3,2025-04-13,2025-04-15,Completed,46.3,45.1
WO00326,P009,L1,2026-06-25,2026-06-29,Completed,73.3,87.9
WO00327,P010,L3,2025-07-05,2025-07-23,Completed,13.1,15.8
WO00328,P012,L2,2025-10-20,2025-10-25,Completed,63.3,50.7
WO00329,P005,L2,2025-07-25,2025-08-13,Completed,60.6,75.5
WO00330,P006,L3,2025-07-12,2025-07-22,Completed,18.9,17.8
WO00331,P011,L4,2025-04-12,2025-05-02,Completed,37.8,42.1
WO00332,P005,L1,2025-08-09,2025-08-15,Completed,26.1,24.5
WO00333,P004,L1,2025-01-26,2025-02-15,Completed,53.0,60.4
WO00334,P013,L4,2025-08-19,2025-08-23,Completed,32.6,29.7
WO00335,P005,L2,2025-01-04,2025-01-21,Completed,53.8,60.9
WO00336,P013,L2,2025-11-10,2025-11-19,Completed,40.5,37.2
WO00337,P010,L1,2026-05-13,2026-05-17,Completed,72.1,60.7
WO00338,P015,L2,2026-01-10,2026-01-26,Completed,51.1,54.7
WO00339,P010,L4,2025-03-21,2025-03-23,Completed,15.1,18.5
WO00340,P010,L2,2026-04-28,2026-05-04,Completed,79.7,75.4
WO00341,P010,L3,2025-06-30,2025-07-02,Completed,37.5,40.7
WO00342,P011,L1,2025-12-31,2026-01-05,Completed,66.0,70.6
WO00343,P002,L1,2026-04-20,2026-05-06,Completed,42.5,41.6
WO00344,P007,L4,2026-01-02,2026-01-04,Completed,74.8,92.7
WO00345,P001,L1,2026-01-17,2026-01-26,Completed,26.6,21.6
WO00346,P003,L4,2026-03-25,2026-04-07,Completed,8.5,9.6
WO00347,P003,L2,2025-04-10,2025-04-23,Completed,14.5,17.7
WO00348,P006,L1,2025-01-26,2025-01-28,Completed,5.5,5.5
WO00349,P007,L3,2026-04-28,2026-05-08,Completed,22.2,26.4
WO00350,P008,L2,2025-10-04,2025-10-19,Completed,77.8,94.0
WO00351,P002,L3,2026-01-10,2026-01-27,Completed,9.7,9.6
WO00352,P014,L1,2025-06-30,2025-07-04,Completed,17.2,20.7
WO00353,P009,L2,2025-07-16,2025-07-30,Completed,18.7,22.9
WO00354,P003,L3,2025-04-26,2025-04-29,Completed,14.6,16.5
WO00355,P015,L1,2025-07-30,2025-08-02,Completed,8.0,7.9
WO00356,P004,L4,2025-01-26,2025-02-07,Completed,6.8,8.1
WO00357,P011,L3,2025-06-28,2025-07-10,Completed,16.2,21.0
WO00358,P010,L2,2025-11-30,2025-12-10,Completed,68.5,82.3
WO00359,P006,L3,2026-05-22,2026-06-04,Completed,20.9,17.5
WO00360,P010,L1,2025-11-01,2025-11-13,Completed,30.9,33.9
WO00361,P014,L1,2025-07-31,2025-08-13,Completed,29.7,29.0
WO00362,P012,L3,2025-06-12,2025-06-19,Completed,37.5,48.5
WO00363,P005,L4,2026-03-11,2026-03-26,Completed,69.9,82.0
WO00364,P003,L2,2026-02-24,2026-03-12,Completed,33.6,35.2
WO00365,P011,L4,2025-01-13,2025-01-22,Completed,65.2,84.6
WO00366,P006,L2,2025-05-27,2025-06-06,Completed,59.0,52.2
WO00367,P001,L3,2026-03-14,2026-03-23,Completed,77.7,67.9
WO00368,P005,L4,2026-06-30,2026-07-02,Open,32.5,29.7
WO00369,P010,L4,2025-02-10,2025-03-03,Completed,18.4,22.5
WO00370,P013,L4,2025-08-16,2025-08-19,Completed,12.2,10.0
WO00371,P006,L4,2025-12-18,2025-12-26,Completed,71.5,77.4
WO00372,P006,L2,2025-04-05,2025-04-09,Completed,62.7,70.2
WO00373,P011,L3,2025-10-14,2025-10-20,Completed,23.4,19.8
WO00374,P001,L3,2025-08-07,2025-08-28,Completed,39.4,50.7
WO00375,P001,L4,2025-01-28,2025-02-14,Completed,65.1,59.9
WO00376,P009,L3,2025-12-27,2026-01-13,Completed,53.0,67.6
