month,part_id,category,qty_on_hand,qty_on_order,unit_cost,total_value
2023-02-01,PT0036,MRO,4906,1787,191.75,940725.5
2023-02-01,PT0037,Finished Goods,2597,1915,151.55,393575.35
2023-02-01,PT0038,WIP,837,971,21.19,17736.03
2023-02-01,PT0039,Packaging,3327,266,421.93,1403761.11
2023-02-01,PT0040,MRO,1330,1647,353.36,469968.8
2023-03-01,PT0001,Raw Material,2628,370,442.22,1162154.16
2023-03-01,PT0002,WIP,4554,1168,166.49,758195.46
2023-03-01,PT0003,Packaging,3799,1405,453.12,1721402.88
2023-03-01,PT0004,WIP,1674,323,29.76,49818.24
2023-03-01,PT0005,Raw Material,3300,764,201.13,663729.0
2023-03-01,PT0006,MRO,918,93,277.31,254570.58
2023-03-01,PT0007,MRO,4409,1390,31.02,136767.18
2023-03-01,PT0008,MRO,588,1770,364.86,214537.68
2023-03-01,PT0009,Raw Material,813,437,395.14,321248.82
2023-03-01,PT0010,Finished Goods,1252,732,2.95,3693.4
2023-03-01,PT0011,Raw Material,3385,552,461.1,1560823.5
2023-03-01,PT0012,WIP,3805,861,73.76,280656.8
2023-03-01,PT0013,Finished Goods,4762,1323,120.81,575297.22
2023-03-01,PT0014,Finished Goods,3440,693,370.54,1274657.6
2023-03-01,PT0015,WIP,2967,124,445.25,1321056.75
2023-03-01,PT0016,Finished Goods,2380,1022,472.05,1123479.0
2023-03-01,PT0017,MRO,2207,162,326.7,721026.9
2023-03-01,PT0018,Raw Material,171,321,483.05,82601.55
2023-03-01,PT0019,Packaging,4744,1796,182.96,867962.24
2023-03-01,PT0020,Finished Goods,4550,1100,95.26,433433.0
2023-03-01,PT0021,MRO,4961,1309,168.17,834291.37
2023-03-01,PT0022,Packaging,2642,1154,240.63,635744.46
2023-03-01,PT0023,WIP,621,1378,31.13,19331.73
2023-03-01,PT0024,Finished Goods,1390,1970,427.87,594739.3
2023-03-01,PT0025,Packaging,1399,1562,358.47,501499.53
2023-03-01,PT0026,WIP,860,817,26.5,22790.0
2023-03-01,PT0027,Finished Goods,217,1864,354.02,76822.34
2023-03-01,PT0028,WIP,1146,1235,305.11,349656.06
2023-03-01,PT0029,MRO,2337,603,223.48,522272.76
2023-03-01,PT0030,Finished Goods,1241,1214,112.15,139178.15
2023-03-01,PT0031,Finished Goods,3790,1075,168.99,640472.1
2023-03-01,PT0032,MRO,4136,1419,460.25,1903594.0
2023-03-01,PT0033,Finished Goods,490,604,426.21,208842.9
2023-03-01,PT0034,MRO,1110,536,457.54,507869.4
2023-03-01,PT0035,MRO,3988,307,349.6,1394204.8
2023-03-01,PT0036,Packaging,2473,210,104.35,258057.55
2023-03-01,PT0037,Packaging,3409,922,386.13,1316317.17
2023-03-01,PT0038,Raw Material,4936,1172,13.01,64217.36
2023-03-01,PT0039,MRO,2438,355,272.24,663721.12
2023-03-01,PT0040,Packaging,4792,1167,247.54,1186211.68
2023-04-01,PT0001,WIP,2177,268,34.36,74801.72
2023-04-01,PT0002,Raw Material,1087,867,64.59,70209.33
2023-04-01,PT0003,Finished Goods,3898,1985,246.61,961285.78
2023-04-01,PT0004,Raw Material,1524,582,469.32,715243.68
2023-04-01,PT0005,Packaging,64,701,288.21,18445.44
2023-04-01,PT0006,Finished Goods,4743,1163,229.07,1086479.01
2023-04-01,PT0007,Raw Material,4381,1522,177.0,775437.0
2023-04-01,PT0008,Finished Goods,2923,1827,112.8,329714.4
2023-04-01,PT0009,MRO,1008,1332,171.51,172882.08
2023-04-01,PT0010,WIP,1876,587,482.06,904344.56
2023-04-01,PT0011,WIP,2304,114,445.98,1027537.92
2023-04-01,PT0012,MRO,4261,1581,336.28,1432889.08
2023-04-01,PT0013,Raw Material,1823,145,202.45,369066.35
2023-04-01,PT0014,WIP,2445,488,287.62,703230.9
2023-04-01,PT0015,Finished Goods,4472,1535,452.65,2024250.8
2023-04-01,PT0016,Finished Goods,218,1520,415.95,90677.1
2023-04-01,PT0017,MRO,1061,319,103.47,109781.67
2023-04-01,PT0018,Packaging,875,1626,81.41,71233.75
2023-04-01,PT0019,Raw Material,2577,1305,90.55,233347.35
2023-04-01,PT0020,WIP,4235,161,48.17,203999.95
2023-04-01,PT0021,Finished Goods,4111,1996,126.03,518109.33
2023-04-01,PT0022,Packaging,1831,1571,246.27,450920.37
2023-04-01,PT0023,MRO,3783,106,309.2,1169703.6
2023-04-01,PT0024,MRO,281,909,30.6,8598.6
2023-04-01,PT0025,Raw Material,213,1307,302.48,64428.24
2023-04-01,PT0026,MRO,3202,1369,452.5,1448905.0
2023-04-01,PT0027,WIP,3365,367,92.0,309580.0
2023-04-01,PT0028,Finished Goods,1706,266,346.91,591828.46
2023-04-01,PT0029,MRO,1302,6,164.0,213528.0
2023-04-01,PT0030,MRO,480,522,295.07,141633.6
2023-04-01,PT0031,MRO,4255,1272,21.84,92929.2
2023-04-01,PT0032,WIP,4286,1021,215.25,922561.5
2023-04-01,PT0033,MRO,1385,1434,322.67,446897.95
2023-04-01,PT0034,WIP,3610,1711,301.8,1089498.0
2023-04-01,PT0035,WIP,941,1660,190.1,178884.1
2023-04-01,PT0036,Packaging,2320,548,147.51,342223.2
2023-04-01,PT0037,Raw Material,4852,1116,420.52,2040363.04
2023-04-01,PT0038,WIP,3018,926,476.22,1437231.96
2023-04-01,PT0039,Packaging,1406,818,76.62,107727.72
2023-04-01,PT0040,WIP,196,206,360.69,70695.24
2023-05-01,PT0001,MRO,2932,214,390.08,1143714.56
2023-05-01,PT0002,Finished Goods,4779,642,293.58,1403018.82
2023-05-01,PT0003,WIP,2377,914,234.91,558381.07
2023-05-01,PT0004,Packaging,4097,1961,403.54,1653303.38
2023-05-01,PT0005,Raw Material,2765,1504,176.74,488686.1
2023-05-01,PT0006,WIP,1727,144,95.65,165187.55
2023-05-01,PT0007,MRO,1915,145,279.52,535280.8
2023-05-01,PT0008,WIP,4105,674,311.85,1280144.25
2023-05-01,PT0009,MRO,3515,1534,427.03,1501010.45
2023-05-01,PT0010,Raw Material,3158,738,417.15,1317359.7
2023-05-01,PT0011,Raw Material,217,1642,71.26,15463.42
2023-05-01,PT0012,Raw Material,1455,1021,381.69,555358.95
2023-05-01,PT0013,Packaging,4662,730,207.15,965733.3
2023-05-01,PT0014,Packaging,3851,115,325.93,1255156.43
2023-05-01,PT0015,Raw Material,1075,1929,171.87,184760.25
2023-05-01,PT0016,Finished Goods,487,1791,112.17,54626.79
2023-05-01,PT0017,MRO,72,677,95.76,6894.72
2023-05-01,PT0018,WIP,3188,1224,430.54,1372561.52
2023-05-01,PT0019,WIP,4607,957,84.82,390765.74
2023-05-01,PT0020,Packaging,1424,1451,440.06,626645.44
2023-05-01,PT0021,MRO,3202,1586,140.97,451385.94
2023-05-01,PT0022,WIP,4273,1385,88.86,379698.78
2023-05-01,PT0023,Packaging,1642,181,232.04,381009.68
2023-05-01,PT0024,Raw Material,2900,334,362.86,1052294.0
2023-05-01,PT0025,Finished Goods,1740,1103,369.03,642112.2
2023-05-01,PT0026,MRO,265,910,67.15,17794.75
2023-05-01,PT0027,Finished Goods,1629,1500,217.73,354682.17
2023-05-01,PT0028,Raw Material,2505,514,152.31,381536.55
2023-05-01,PT0029,Packaging,992,1215,131.64,130586.88
2023-05-01,PT0030,Packaging,2263,646,183.73,415780.99
2023-05-01,PT0031,Packaging,3198,360,471.1,1506577.8
2023-05-01,PT0032,Finished Goods,4579,569,325.36,1489823.44
2023-05-01,PT0033,Raw Material,1205,1570,468.52,564566.6
2023-05-01,PT0034,MRO,659,1728,218.06,143701.54
2023-05-01,PT0035,Finished Goods,1922,1363,219.85,422551.7
2023-05-01,PT0036,MRO,95,1325,257.23,24436.85
2023-05-01,PT0037,MRO,949,1834,30.87,29295.63
2023-05-01,PT0038,Packaging,776,1323,77.8,60372.8
2023-05-01,PT0039,Raw Material,1618,183,383.82,621020.76
2023-05-01,PT0040,Packaging,1119,38,212.18,237429.42
2023-06-01,PT0001,MRO,913,560,173.85,158725.05
2023-06-01,PT0002,Finished Goods,3107,848,402.33,1250039.31
2023-06-01,PT0003,MRO,682,1268,461.49,314736.18
2023-06-01,PT0004,MRO,3811,1405,391.4,1491625.4
2023-06-01,PT0005,MRO,805,1474,386.67,311269.35
2023-06-01,PT0006,Finished Goods,2264,480,28.84,65293.76
2023-06-01,PT0007,Finished Goods,714,2,482.49,344497.86
2023-06-01,PT0008,WIP,3097,700,191.74,593818.78
2023-06-01,PT0009,MRO,2541,945,185.12,470389.92
2023-06-01,PT0010,Finished Goods,3284,742,204.79,672530.36
2023-06-01,PT0011,MRO,1190,1204,428.26,509629.4
2023-06-01,PT0012,MRO,2514,171,233.95,588150.3
2023-06-01,PT0013,Raw Material,3598,1064,165.37,595001.26
2023-06-01,PT0014,Finished Goods,1294,494,298.9,386776.6
2023-06-01,PT0015,WIP,2482,1825,28.8,71481.6
2023-06-01,PT0016,MRO,1572,240,369.57,580964.04
2023-06-01,PT0017,Finished Goods,241,1769,341.68,82344.88
2023-06-01,PT0018,MRO,3123,1947,406.77,1270342.71
2023-06-01,PT0019,Finished Goods,3841,450,108.8,417900.8
2023-06-01,PT0020,Raw Material,2477,337,157.85,390994.45
2023-06-01,PT0021,Packaging,4070,1452,290.27,1181398.9
2023-06-01,PT0022,Packaging,3473,305,36.42,126486.66
2023-06-01,PT0023,Packaging,4764,1644,100.15,477114.6
2023-06-01,PT0024,MRO,510,980,56.27,28697.7
2023-06-01,PT0025,Raw Material,463,884,416.78,192969.14
2023-06-01,PT0026,MRO,4997,111,61.25,306066.25
2023-06-01,PT0027,WIP,3815,118,211.65,807444.75
2023-06-01,PT0028,Finished Goods,2255,242,280.51,632550.05
2023-06-01,PT0029,Raw Material,4753,1310,224.51,1067096.03
2023-06-01,PT0030,MRO,3578,1381,216.28,773849.84
2023-06-01,PT0031,WIP,4762,583,52.64,250671.68
2023-06-01,PT0032,MRO,4700,1904,216.33,1016751.0
2023-06-01,PT0033,Packaging,448,1125,189.34,84824.32
2023-06-01,PT0034,MRO,3492,1694,133.33,465588.36
2023-06-01,PT0035,Raw Material,1275,1239,418.9,534097.5
2023-06-01,PT0036,Packaging,4253,1371,108.16,460004.48
2023-06-01,PT0037,MRO,2597,1458,263.56,684465.32
2023-06-01,PT0038,MRO,4663,1104,220.74,1029310.62
2023-06-01,PT0039,Packaging,1304,524,439.8,573499.2
2023-06-01,PT0040,WIP,3353,1087,222.17,744936.01
2023-07-01,PT0001,MRO,3579,362,262.03,937805.37
2023-07-01,PT0002,MRO,4164,383,478.49,1992432.36
2023-07-01,PT0003,WIP,342,1167,8.39,2869.38
2023-07-01,PT0004,MRO,2707,527,33.77,91415.39
2023-07-01,PT0005,MRO,4886,726,395.44,1932119.84
2023-07-01,PT0006,Raw Material,1642,1744,58.31,95745.02
2023-07-01,PT0007,WIP,1290,1488,188.09,242636.1
2023-07-01,PT0008,Raw Material,2733,782,34.17,93386.61
2023-07-01,PT0009,MRO,4325,1980,371.48,1606651.0
2023-07-01,PT0010,Raw Material,4438,326,136.16,604278.08
2023-07-01,PT0011,Packaging,2456,1540,90.56,222415.36
2023-07-01,PT0012,MRO,1025,1312,151.39,155174.75
2023-07-01,PT0013,WIP,3491,1622,219.33,765681.03
2023-07-01,PT0014,Finished Goods,2331,1372,29.49,68741.19
2023-07-01,PT0015,WIP,1824,1353,322.84,588860.16
2023-07-01,PT0016,Raw Material,4719,836,182.81,862680.39
2023-07-01,PT0017,WIP,4462,175,228.88,1021262.56
2023-07-01,PT0018,WIP,563,746,59.51,33504.13
2023-07-01,PT0019,Raw Material,660,1452,249.86,164907.6
2023-07-01,PT0020,WIP,4803,1645,186.43,895423.29
2023-07-01,PT0021,Raw Material,3655,1216,15.21,55592.55
2023-07-01,PT0022,Raw Material,2550,576,149.11,380230.5
2023-07-01,PT0023,Packaging,2893,1397,128.78,372560.54
2023-07-01,PT0024,Packaging,854,1238,33.82,28882.28
2023-07-01,PT0025,WIP,1325,1012,299.83,397274.75
2023-07-01,PT0026,Packaging,812,1772,274.94,223251.28
2023-07-01,PT0027,Raw Material,1365,888,302.74,413240.1
2023-07-01,PT0028,Packaging,222,1277,290.32,64451.04
2023-07-01,PT0029,Packaging,3539,1960,409.68,1449857.52
2023-07-01,PT0030,Raw Material,4331,148,311.54,1349279.74
2023-07-01,PT0031,Finished Goods,711,878,151.26,107545.86
2023-07-01,PT0032,MRO,3234,196,422.8,1367335.2
2023-07-01,PT0033,Raw Material,3872,1402,232.61,900665.92
2023-07-01,PT0034,WIP,2329,334,405.51,944432.79
2023-07-01,PT0035,Raw Material,3890,102,199.95,777805.5
2023-07-01,PT0036,Packaging,2854,1516,470.08,1341608.32
2023-07-01,PT0037,Packaging,2873,1135,361.5,1038589.5
2023-07-01,PT0038,WIP,145,522,137.66,19960.7
2023-07-01,PT0039,Packaging,4019,1457,314.93,1265703.67
2023-07-01,PT0040,Packaging,2690,1437,472.92,1272154.8
2023-08-01,PT0001,MRO,105,68,87.73,9211.65
2023-08-01,PT0002,WIP,734,748,30.83,22629.22
2023-08-01,PT0003,Raw Material,4309,1771,362.64,1562615.76
2023-08-01,PT0004,MRO,2897,1207,47.07,136361.79
2023-08-01,PT0005,Packaging,1508,1583,296.28,446790.24
2023-08-01,PT0006,WIP,2538,1297,333.62,846727.56
2023-08-01,PT0007,MRO,873,1249,204.83,178816.59
2023-08-01,PT0008,Finished Goods,2886,1769,287.08,828512.88
2023-08-01,PT0009,Packaging,1533,743,452.29,693360.57
2023-08-01,PT0010,Raw Material,360,169,291.56,104961.6
2023-08-01,PT0011,Raw Material,3355,475,68.26,229012.3
2023-08-01,PT0012,WIP,1146,296,129.09,147937.14
2023-08-01,PT0013,MRO,4033,1428,446.08,1799040.64
2023-08-01,PT0014,MRO,2731,1182,28.97,79117.07
2023-08-01,PT0015,Finished Goods,1405,865,412.79,579969.95
2023-08-01,PT0016,Packaging,3002,1518,85.64,257091.28
2023-08-01,PT0017,Finished Goods,2329,524,129.84,302397.36
2023-08-01,PT0018,Packaging,798,493,382.63,305338.74
2023-08-01,PT0019,Packaging,1010,247,308.21,311292.1
2023-08-01,PT0020,Finished Goods,2826,977,315.14,890585.64
2023-08-01,PT0021,MRO,866,1376,292.97,253712.02
2023-08-01,PT0022,Finished Goods,890,431,422.32,375864.8
2023-08-01,PT0023,Packaging,3019,754,265.78,802389.82
2023-08-01,PT0024,WIP,1727,963,78.3,135224.1
2023-08-01,PT0025,Finished Goods,1817,1248,9.22,16752.74
2023-08-01,PT0026,MRO,3841,654,119.37,458500.17
2023-08-01,PT0027,WIP,1275,1395,396.13,505065.75
2023-08-01,PT0028,WIP,1972,514,73.53,145001.16
2023-08-01,PT0029,WIP,1725,1165,48.82,84214.5
2023-08-01,PT0030,Finished Goods,4003,1621,387.38,1550682.14
2023-08-01,PT0031,Packaging,2719,1931,429.92,1168952.48
2023-08-01,PT0032,MRO,103,1005,82.49,8496.47
2023-08-01,PT0033,WIP,3112,38,430.23,1338875.76
2023-08-01,PT0034,Raw Material,2171,1754,205.3,445706.3
2023-08-01,PT0035,Finished Goods,4336,90,374.65,1624482.4
2023-08-01,PT0036,Finished Goods,1448,1255,379.78,549921.44
2023-08-01,PT0037,Finished Goods,4482,326,22.6,101293.2
2023-08-01,PT0038,Packaging,3042,1504,185.39,563956.38
2023-08-01,PT0039,Finished Goods,1522,1180,254.16,386831.52
2023-08-01,PT0040,WIP,3751,47,420.97,1579058.47
2023-09-01,PT0001,MRO,1338,1290,425.48,569292.24
2023-09-01,PT0002,Finished Goods,3843,1482,421.76,1620823.68
2023-09-01,PT0003,WIP,4339,123,186.11,807531.29
2023-09-01,PT0004,Finished Goods,1139,1692,172.37,196329.43
2023-09-01,PT0005,WIP,1711,1919,204.22,349420.42
2023-09-01,PT0006,Raw Material,3819,764,471.47,1800543.93
2023-09-01,PT0007,Raw Material,3081,405,33.15,102135.15
2023-09-01,PT0008,WIP,3730,1530,309.33,1153800.9
2023-09-01,PT0009,Raw Material,1811,1711,479.31,868030.41
2023-09-01,PT0010,Finished Goods,2389,1919,372.57,890069.73
2023-09-01,PT0011,MRO,2814,1550,232.56,654423.84
2023-09-01,PT0012,MRO,4513,1043,413.2,1864771.6
2023-09-01,PT0013,MRO,4044,183,104.57,422881.08
2023-09-01,PT0014,WIP,4884,1203,478.85,2338703.4
2023-09-01,PT0015,Packaging,4350,63,230.5,1002675.0
2023-09-01,PT0016,Finished Goods,1559,1105,122.24,190572.16
2023-09-01,PT0017,Packaging,666,1634,268.24,178647.84
2023-09-01,PT0018,WIP,1876,1349,342.4,642342.4
2023-09-01,PT0019,Packaging,2754,927,190.84,525573.36
2023-09-01,PT0020,Finished Goods,4037,1622,410.23,1656098.51
2023-09-01,PT0021,MRO,2410,680,132.69,319782.9
2023-09-01,PT0022,Raw Material,2734,1898,78.99,215958.66
2023-09-01,PT0023,MRO,1434,313,77.14,110618.76
2023-09-01,PT0024,Raw Material,1733,1607,263.85,457252.05
2023-09-01,PT0025,Finished Goods,2150,1385,374.8,805820.0
2023-09-01,PT0026,Finished Goods,1127,1204,388.49,437828.23
2023-09-01,PT0027,Packaging,3217,249,334.08,1074735.36
2023-09-01,PT0028,WIP,3716,153,252.34,937695.44
2023-09-01,PT0029,Packaging,3130,90,329.53,1031428.9
2023-09-01,PT0030,MRO,1708,1239,277.67,474260.36
2023-09-01,PT0031,Packaging,658,75,129.39,85138.62
2023-09-01,PT0032,MRO,4385,408,320.0,1403200.0
2023-09-01,PT0033,Packaging,1204,144,350.11,421532.44
2023-09-01,PT0034,MRO,4819,1057,72.8,350823.2
2023-09-01,PT0035,MRO,1569,992,9.6,15062.4
2023-09-01,PT0036,Packaging,4108,1628,182.6,750120.8
2023-09-01,PT0037,Raw Material,2060,863,364.47,750808.2
2023-09-01,PT0038,WIP,3001,771,308.39,925478.39
2023-09-01,PT0039,Packaging,3451,1869,163.2,563203.2
2023-09-01,PT0040,WIP,333,1406,154.96,51601.68
2023-10-01,PT0001,Packaging,2508,150,187.45,470124.6
2023-10-01,PT0002,WIP,1427,1120,105.88,151090.76
2023-10-01,PT0003,Packaging,4821,1382,266.09,1282819.89
2023-10-01,PT0004,Raw Material,4542,1821,329.33,1495816.86
2023-10-01,PT0005,Packaging,4301,1916,369.05,1587284.05
2023-10-01,PT0006,MRO,4353,140,370.42,1612438.26
2023-10-01,PT0007,Raw Material,79,942,429.22,33908.38
2023-10-01,PT0008,Raw Material,1478,1872,138.73,205042.94
2023-10-01,PT0009,WIP,260,500,342.18,88966.8
2023-10-01,PT0010,MRO,4208,1331,249.22,1048717.76
2023-10-01,PT0011,Finished Goods,4191,586,476.1,1995335.1
2023-10-01,PT0012,Finished Goods,2278,428,379.84,865275.52
2023-10-01,PT0013,MRO,975,1721,67.31,65627.25
2023-10-01,PT0014,WIP,4099,1015,86.35,353948.65
2023-10-01,PT0015,MRO,4629,1600,104.99,485998.71
2023-10-01,PT0016,WIP,645,1464,376.81,243042.45
2023-10-01,PT0017,Packaging,4181,112,39.13,163602.53
2023-10-01,PT0018,Finished Goods,2483,1430,114.89,285271.87
2023-10-01,PT0019,WIP,4893,960,25.01,122373.93
2023-10-01,PT0020,Packaging,2748,1963,469.83,1291092.84
2023-10-01,PT0021,MRO,2191,361,249.84,547399.44
2023-10-01,PT0022,Raw Material,4605,1554,270.44,1245376.2
2023-10-01,PT0023,Raw Material,4355,1737,34.2,148941.0
2023-10-01,PT0024,MRO,1410,1225,137.25,193522.5
2023-10-01,PT0025,Raw Material,1921,214,346.72,666049.12
2023-10-01,PT0026,Raw Material,3215,730,79.45,255431.75
2023-10-01,PT0027,Packaging,2582,793,336.27,868249.14
2023-10-01,PT0028,Raw Material,1124,1405,107.3,120605.2
2023-10-01,PT0029,WIP,641,1002,54.07,34658.87
2023-10-01,PT0030,Packaging,188,631,57.18,10749.84
2023-10-01,PT0031,WIP,1201,1011,341.82,410525.82
2023-10-01,PT0032,Finished Goods,4567,188,256.24,1170248.08
2023-10-01,PT0033,Raw Material,1416,49,259.7,367735.2
2023-10-01,PT0034,MRO,2193,238,108.0,236844.0
2023-10-01,PT0035,MRO,3765,342,168.51,634440.15
2023-10-01,PT0036,MRO,4690,210,45.65,214098.5
2023-10-01,PT0037,Raw Material,1895,198,279.84,530296.8
2023-10-01,PT0038,Raw Material,618,941,11.48,7094.64
2023-10-01,PT0039,Packaging,1531,1551,320.38,490501.78
2023-10-01,PT0040,Finished Goods,3301,1776,33.59,110880.59
2023-11-01,PT0001,WIP,4500,1335,77.82,350190.0
2023-11-01,PT0002,Raw Material,3726,1955,38.77,144457.02
2023-11-01,PT0003,Raw Material,4684,1336,87.72,410880.48
2023-11-01,PT0004,Packaging,795,1705,430.79,342478.05
2023-11-01,PT0005,Packaging,662,1772,152.91,101226.42
2023-11-01,PT0006,Finished Goods,3224,168,189.79,611882.96
2023-11-01,PT0007,WIP,343,1916,396.2,135896.6
2023-11-01,PT0008,MRO,4071,320,241.5,983146.5
2023-11-01,PT0009,Raw Material,2362,746,307.81,727047.22
2023-11-01,PT0010,Raw Material,4730,1957,338.37,1600490.1
2023-11-01,PT0011,Packaging,1726,1412,5.97,10304.22
2023-11-01,PT0012,Finished Goods,1744,742,112.84,196792.96
2023-11-01,PT0013,Raw Material,3345,1454,56.56,189193.2
2023-11-01,PT0014,WIP,2716,1995,205.74,558789.84
2023-11-01,PT0015,Raw Material,4770,557,19.71,94016.7
2023-11-01,PT0016,MRO,4025,500,455.26,1832421.5
2023-11-01,PT0017,Raw Material,3025,1363,426.37,1289769.25
2023-11-01,PT0018,Raw Material,2818,205,393.39,1108573.02
2023-11-01,PT0019,WIP,1078,60,109.3,117825.4
2023-11-01,PT0020,Packaging,1713,112,193.48,331431.24
2023-11-01,PT0021,Packaging,1277,600,405.34,517619.18
2023-11-01,PT0022,Raw Material,814,1306,233.02,189678.28
2023-11-01,PT0023,WIP,3487,849,165.57,577342.59
2023-11-01,PT0024,Finished Goods,4665,102,117.75,549303.75
2023-11-01,PT0025,WIP,1895,1353,386.26,731962.7
2023-11-01,PT0026,Packaging,3014,984,463.74,1397712.36
2023-11-01,PT0027,Finished Goods,878,1204,99.3,87185.4
2023-11-01,PT0028,Finished Goods,209,1438,424.01,88618.09
2023-11-01,PT0029,Raw Material,4577,611,15.85,72545.45
2023-11-01,PT0030,Raw Material,3139,999,191.57,601338.23
2023-11-01,PT0031,Finished Goods,2590,881,23.63,61201.7
2023-11-01,PT0032,Packaging,1043,548,118.86,123970.98
2023-11-01,PT0033,MRO,195,461,177.51,34614.45
2023-11-01,PT0034,Packaging,3082,1776,125.86,387900.52
2023-11-01,PT0035,Finished Goods,2429,795,249.0,604821.0
2023-11-01,PT0036,Finished Goods,530,200,312.67,165715.1
2023-11-01,PT0037,Packaging,4947,43,53.43,264318.21
2023-11-01,PT0038,WIP,67,194,105.57,7073.19
2023-11-01,PT0039,MRO,911,1228,474.16,431959.76
