NCRID,Date,SiteID,WorkCenterID,PartID,SupplierID,DefectType,Qty,Disposition
NCR-0051,2024-11-11,SITE-01,WC-008,PN-10087,,Assembly,33,Scrap
NCR-0052,2024-09-30,SITE-04,WC-012,PN-10069,,Material,2,Rework
NCR-0053,2025-05-12,SITE-02,WC-001,PN-10174,,Cosmetic,27,Scrap
NCR-0054,2025-06-23,SITE-02,WC-002,PN-10014,,Cosmetic,44,Scrap
NCR-0055,2025-03-31,SITE-04,WC-004,PN-10247,SUP-001,Documentation,5,Rework
NCR-0056,2025-12-22,SITE-03,WC-006,PN-10240,SUP-001,Assembly,34,Rework
NCR-0057,2026-03-09,SITE-03,WC-006,PN-10232,SUP-009,Assembly,15,Use As Is
NCR-0058,2024-11-04,SITE-03,WC-012,PN-10134,SUP-012,Material,55,Return to Supplier
NCR-0059,2026-06-22,SITE-04,WC-007,PN-10013,SUP-001,Dimensional,40,Scrap
NCR-0060,2025-11-17,SITE-02,WC-004,PN-10146,SUP-001,Cosmetic,60,Return to Supplier
NCR-0061,2025-07-28,SITE-03,WC-002,PN-10146,SUP-001,Assembly,58,Rework
NCR-0062,2024-12-16,SITE-04,WC-002,PN-10129,,Assembly,12,Scrap
NCR-0063,2026-03-09,SITE-03,WC-005,PN-10228,,Assembly,39,Use As Is
NCR-0064,2025-08-18,SITE-04,WC-007,PN-10117,,Material,27,Use As Is
NCR-0065,2025-05-05,SITE-04,WC-010,PN-10111,,Documentation,7,Scrap
NCR-0066,2025-07-07,SITE-03,WC-008,PN-10035,,Material,12,Scrap
NCR-0067,2024-08-26,SITE-01,WC-012,PN-10060,SUP-022,Cosmetic,10,Scrap
NCR-0068,2024-08-05,SITE-01,WC-007,PN-10107,SUP-001,Documentation,33,Return to Supplier
NCR-0069,2024-08-19,SITE-04,WC-010,PN-10152,,Assembly,31,Rework
NCR-0070,2025-10-13,SITE-04,WC-010,PN-10214,,Dimensional,36,Return to Supplier
NCR-0071,2024-09-02,SITE-01,WC-008,PN-10000,,Cosmetic,46,Return to Supplier
NCR-0072,2024-10-28,SITE-02,WC-006,PN-10182,,Dimensional,59,Rework
NCR-0073,2025-04-14,SITE-02,WC-004,PN-10114,SUP-041,Material,11,Rework
NCR-0074,2024-11-11,SITE-02,WC-001,PN-10076,SUP-053,Cosmetic,2,Return to Supplier
NCR-0075,2025-03-17,SITE-02,WC-009,PN-10213,,Cosmetic,57,Rework
NCR-0076,2024-07-22,SITE-04,WC-002,PN-10064,,Dimensional,50,Scrap
NCR-0077,2025-05-19,SITE-03,WC-004,PN-10249,,Dimensional,54,Scrap
NCR-0078,2025-09-08,SITE-04,WC-002,PN-10247,,Dimensional,3,Return to Supplier
NCR-0079,2026-01-05,SITE-04,WC-005,PN-10136,SUP-001,Assembly,14,Return to Supplier
NCR-0080,2026-05-18,SITE-02,WC-002,PN-10249,,Documentation,39,Return to Supplier
NCR-0081,2025-12-29,SITE-03,WC-004,PN-10027,,Dimensional,29,Use As Is
NCR-0082,2026-02-09,SITE-02,WC-010,PN-10236,,Documentation,6,Scrap
NCR-0083,2024-07-08,SITE-03,WC-005,PN-10101,,Material,50,Rework
NCR-0084,2026-01-12,SITE-03,WC-006,PN-10182,,Cosmetic,57,Return to Supplier
NCR-0085,2026-02-23,SITE-01,WC-001,PN-10249,,Dimensional,21,Use As Is
NCR-0086,2026-03-09,SITE-03,WC-002,PN-10009,SUP-001,Material,4,Return to Supplier
NCR-0087,2025-07-28,SITE-01,WC-011,PN-10145,,Material,41,Return to Supplier
NCR-0088,2025-05-12,SITE-04,WC-012,PN-10010,,Material,53,Use As Is
NCR-0089,2026-05-04,SITE-02,WC-010,PN-10019,,Material,8,Rework
NCR-0090,2025-03-10,SITE-01,WC-005,PN-10224,,Documentation,42,Scrap
NCR-0091,2026-01-19,SITE-04,WC-002,PN-10175,SUP-008,Cosmetic,44,Scrap
NCR-0092,2024-12-30,SITE-01,WC-011,PN-10246,SUP-001,Dimensional,39,Use As Is
NCR-0093,2026-06-22,SITE-03,WC-011,PN-10059,SUP-001,Cosmetic,14,Return to Supplier
NCR-0094,2024-10-28,SITE-04,WC-008,PN-10186,,Assembly,4,Scrap
NCR-0095,2025-12-22,SITE-03,WC-006,PN-10155,,Cosmetic,45,Use As Is
NCR-0096,2026-01-12,SITE-03,WC-009,PN-10002,,Documentation,9,Scrap
NCR-0097,2026-02-02,SITE-03,WC-009,PN-10032,,Material,7,Use As Is
NCR-0098,2026-04-20,SITE-01,WC-007,PN-10189,,Material,7,Rework
NCR-0099,2024-10-14,SITE-02,WC-008,PN-10120,SUP-011,Cosmetic,54,Rework
NCR-0100,2025-03-03,SITE-02,WC-011,PN-10246,,Dimensional,31,Return to Supplier
NCR-0101,2025-04-21,SITE-03,WC-010,PN-10172,,Material,14,Rework
NCR-0102,2026-06-29,SITE-04,WC-011,PN-10003,,Documentation,24,Return to Supplier
NCR-0103,2025-03-03,SITE-02,WC-009,PN-10177,,Dimensional,9,Scrap
NCR-0104,2025-09-01,SITE-04,WC-005,PN-10131,,Dimensional,26,Rework
NCR-0105,2025-11-10,SITE-04,WC-002,PN-10149,,Documentation,4,Return to Supplier
