WeekStart,WorkCenterID,SiteID,UnitsProduced,UnitsScrapped,ScrapPct,ScrapCostUSD
2025-02-17,WC-001,SITE-01,4460,104,2.34,5120.45
2025-02-24,WC-001,SITE-01,3928,82,2.09,1992.02
2025-03-03,WC-001,SITE-01,2944,70,2.4,2120.32
2025-03-10,WC-001,SITE-01,3093,71,2.31,3174.49
2025-03-17,WC-001,SITE-01,3981,94,2.37,4208.59
2025-03-24,WC-001,SITE-01,4558,87,1.93,2484.93
2025-03-31,WC-001,SITE-01,3043,63,2.1,1818.03
2025-04-07,WC-001,SITE-01,5253,108,2.06,5804.44
2025-04-14,WC-001,SITE-01,3114,64,2.06,2441.09
2025-04-21,WC-001,SITE-01,2459,45,1.87,2319.99
2025-04-28,WC-001,SITE-01,2919,59,2.04,2557.12
2025-05-05,WC-001,SITE-01,5263,122,2.33,7235.87
2025-05-12,WC-001,SITE-01,2718,56,2.07,1737.02
2025-05-19,WC-001,SITE-01,3071,64,2.11,1437.47
2025-05-26,WC-001,SITE-01,5674,116,2.06,2390.27
2025-06-02,WC-001,SITE-01,3686,88,2.41,3010.47
2025-06-09,WC-001,SITE-01,5801,117,2.02,3058.33
2025-06-16,WC-001,SITE-01,4369,82,1.88,1733.03
2025-06-23,WC-001,SITE-01,2508,54,2.19,1938.12
2025-06-30,WC-001,SITE-01,4764,97,2.04,3517.73
2025-07-07,WC-001,SITE-01,2560,51,2.0,2782.3
2025-07-14,WC-001,SITE-01,4278,96,2.25,3402.89
2025-07-21,WC-001,SITE-01,4001,78,1.97,4497.66
2025-07-28,WC-001,SITE-01,2802,52,1.88,2656.45
2025-08-04,WC-001,SITE-01,4527,93,2.07,2330.74
2025-08-11,WC-001,SITE-01,5247,94,1.81,3553.28
2025-08-18,WC-001,SITE-01,2570,48,1.88,2563.09
2025-08-25,WC-001,SITE-01,4148,82,1.99,3880.03
2025-09-01,WC-001,SITE-01,2958,68,2.31,3246.09
2025-09-08,WC-001,SITE-01,2581,53,2.06,975.87
2025-09-15,WC-001,SITE-01,4615,91,1.98,3636.32
2025-09-22,WC-001,SITE-01,4370,96,2.21,3134.24
2025-09-29,WC-001,SITE-01,2796,51,1.85,2789.91
2025-10-06,WC-001,SITE-01,4160,88,2.12,1862.94
2025-10-13,WC-001,SITE-01,4584,100,2.19,5489.02
2025-10-20,WC-001,SITE-01,4409,83,1.9,3301.88
2025-10-27,WC-001,SITE-01,3485,63,1.81,1446.18
2025-11-03,WC-001,SITE-01,3464,74,2.16,4388.59
2025-11-10,WC-001,SITE-01,2306,43,1.89,1977.71
2025-11-17,WC-001,SITE-01,2589,54,2.09,1912.89
2025-11-24,WC-001,SITE-01,3225,75,2.35,3485.75
2025-12-01,WC-001,SITE-01,4490,87,1.94,4892.97
2025-12-08,WC-001,SITE-01,4847,114,2.37,5414.84
2025-12-15,WC-001,SITE-01,2539,53,2.09,2806.21
2025-12-22,WC-001,SITE-01,2774,50,1.81,1206.08
2025-12-29,WC-001,SITE-01,2364,56,2.38,2136.44
2026-01-05,WC-001,SITE-01,3899,72,1.86,2647.14
2026-01-12,WC-001,SITE-01,2799,63,2.26,1658.97
2026-01-19,WC-001,SITE-01,2799,57,2.04,3084.59
2026-01-26,WC-001,SITE-01,4232,89,2.11,3671.67
2026-02-02,WC-001,SITE-01,4797,92,1.92,3066.1
2026-02-09,WC-001,SITE-01,3320,69,2.08,3440.97
2026-02-16,WC-001,SITE-01,2599,56,2.16,1635.99
2026-02-23,WC-001,SITE-01,3926,82,2.11,2105.17
2026-03-02,WC-001,SITE-01,4429,96,2.17,4267.0
2026-03-09,WC-001,SITE-01,5318,96,1.82,4543.51
2026-03-16,WC-001,SITE-01,2787,51,1.86,2049.64
2026-03-23,WC-001,SITE-01,4192,81,1.94,2563.79
2026-03-30,WC-001,SITE-01,2598,57,2.23,2744.69
2026-04-06,WC-001,SITE-01,3555,68,1.92,3837.44
2026-04-13,WC-001,SITE-01,4901,115,2.36,2506.44
2026-04-20,WC-001,SITE-01,4235,79,1.88,2077.77
2026-04-27,WC-001,SITE-01,4537,89,1.97,3980.73
2026-05-04,WC-001,SITE-01,4465,97,2.18,4048.6
2026-05-11,WC-001,SITE-01,3901,91,2.35,1670.43
2026-05-18,WC-001,SITE-01,2335,55,2.39,1691.24
2026-05-25,WC-001,SITE-01,4520,107,2.38,4118.5
2026-06-01,WC-001,SITE-01,4230,85,2.02,2037.16
2026-06-08,WC-001,SITE-01,2588,55,2.13,2653.34
2026-06-15,WC-001,SITE-01,4917,94,1.92,4343.51
2026-06-22,WC-001,SITE-01,4071,84,2.08,4940.13
2026-06-29,WC-001,SITE-01,2739,55,2.02,2821.31
2026-07-06,WC-001,SITE-01,3006,65,2.17,2450.05
2024-07-08,WC-002,SITE-01,5265,141,2.68,6054.01
2024-07-15,WC-002,SITE-01,6459,144,2.24,4148.29
2024-07-22,WC-002,SITE-01,5955,120,2.02,5400.75
2024-07-29,WC-002,SITE-01,5060,111,2.2,5193.11
2024-08-05,WC-002,SITE-01,3617,89,2.48,1854.49
2024-08-12,WC-002,SITE-01,5475,109,2.0,4871.91
2024-08-19,WC-002,SITE-01,6000,132,2.21,6470.97
2024-08-26,WC-002,SITE-01,4439,95,2.16,4730.62
2024-09-02,WC-002,SITE-01,4302,105,2.45,3468.67
2024-09-09,WC-002,SITE-01,5914,137,2.32,5814.21
2024-09-16,WC-002,SITE-01,6711,179,2.67,6632.26
2024-09-23,WC-002,SITE-01,5814,155,2.67,5343.03
2024-09-30,WC-002,SITE-01,7235,168,2.33,9985.5
2024-10-07,WC-002,SITE-01,4681,95,2.03,1769.53
2024-10-14,WC-002,SITE-01,6301,151,2.41,3522.15
2024-10-21,WC-002,SITE-01,6029,160,2.66,8909.53
2024-10-28,WC-002,SITE-01,5282,135,2.56,3636.33
2024-11-04,WC-002,SITE-01,4654,96,2.08,3371.82
2024-11-11,WC-002,SITE-01,4537,109,2.41,5188.15
2024-11-18,WC-002,SITE-01,6609,160,2.43,3071.42
2024-11-25,WC-002,SITE-01,5141,126,2.47,5453.77
2024-12-02,WC-002,SITE-01,5371,129,2.42,3363.85
2024-12-09,WC-002,SITE-01,6324,139,2.21,3573.09
2024-12-16,WC-002,SITE-01,3682,76,2.07,3587.74
2024-12-23,WC-002,SITE-01,5780,127,2.21,4894.91
2024-12-30,WC-002,SITE-01,6673,138,2.07,2775.42
2025-01-06,WC-002,SITE-01,4577,103,2.27,4173.1
2025-01-13,WC-002,SITE-01,4334,95,2.21,3056.11
2025-01-20,WC-002,SITE-01,4028,82,2.06,4398.99
2025-01-27,WC-002,SITE-01,5439,108,2.0,2914.5
2025-02-03,WC-002,SITE-01,3840,88,2.3,3822.6
2025-02-10,WC-002,SITE-01,3357,89,2.67,3932.84
2025-02-17,WC-002,SITE-01,5083,119,2.36,3613.26
2025-02-24,WC-002,SITE-01,6250,148,2.38,2945.36
2025-03-03,WC-002,SITE-01,4438,106,2.4,2447.89
2025-03-10,WC-002,SITE-01,5021,118,2.37,5538.85
2025-03-17,WC-002,SITE-01,3478,79,2.3,4614.82
2025-03-24,WC-002,SITE-01,3346,73,2.2,3234.38
2025-03-31,WC-002,SITE-01,4653,121,2.61,5324.66
2025-04-07,WC-002,SITE-01,5917,132,2.24,7666.52
2025-04-14,WC-002,SITE-01,3865,77,2.0,1900.26
2025-04-21,WC-002,SITE-01,3039,72,2.39,2980.72
2025-04-28,WC-002,SITE-01,7167,182,2.54,7862.11
2025-05-05,WC-002,SITE-01,7206,183,2.54,9535.38
2025-05-12,WC-002,SITE-01,6135,144,2.36,5672.5
2025-05-19,WC-002,SITE-01,5185,134,2.6,5942.41
2025-05-26,WC-002,SITE-01,4059,96,2.37,3145.03
2025-06-02,WC-002,SITE-01,5329,109,2.05,3092.32
2025-06-09,WC-002,SITE-01,5491,115,2.11,4209.4
2025-06-16,WC-002,SITE-01,5462,123,2.26,4352.49
2025-06-23,WC-002,SITE-01,5035,117,2.33,2892.44
2025-06-30,WC-002,SITE-01,6240,161,2.59,7568.12
2025-07-07,WC-002,SITE-01,6742,148,2.2,5958.18
2025-07-14,WC-002,SITE-01,3845,79,2.07,1772.29
2025-07-21,WC-002,SITE-01,3942,91,2.33,3721.14
2025-07-28,WC-002,SITE-01,3098,71,2.32,4185.53
2025-08-04,WC-002,SITE-01,3741,93,2.5,4699.26
2025-08-11,WC-002,SITE-01,6209,129,2.09,6026.8
2025-08-18,WC-002,SITE-01,4442,104,2.36,2592.65
2025-08-25,WC-002,SITE-01,5820,119,2.05,2753.17
2025-09-01,WC-002,SITE-01,5882,141,2.41,4845.13
2025-09-08,WC-002,SITE-01,3196,69,2.19,3328.7
2025-09-15,WC-002,SITE-01,5065,129,2.55,5283.9
2025-09-22,WC-002,SITE-01,5088,134,2.65,3138.99
2025-09-29,WC-002,SITE-01,6928,163,2.36,3012.38
2025-10-06,WC-002,SITE-01,3787,88,2.33,3185.21
2025-10-13,WC-002,SITE-01,4431,115,2.61,5890.8
2025-10-20,WC-002,SITE-01,4141,96,2.33,3766.27
2025-10-27,WC-002,SITE-01,6573,160,2.44,7442.16
2025-11-03,WC-002,SITE-01,4465,113,2.54,4554.95
2025-11-10,WC-002,SITE-01,7014,180,2.57,9243.23
2025-11-17,WC-002,SITE-01,6820,173,2.55,6854.29
2025-11-24,WC-002,SITE-01,3892,94,2.42,5432.43
2025-12-01,WC-002,SITE-01,5490,118,2.15,7037.56
2025-12-08,WC-002,SITE-01,3658,74,2.04,4403.45
2025-12-15,WC-002,SITE-01,3672,88,2.42,3894.5
2025-12-22,WC-002,SITE-01,6512,144,2.22,7904.8
2025-12-29,WC-002,SITE-01,3724,82,2.21,3640.96
2026-01-05,WC-002,SITE-01,7385,177,2.4,3538.69
2026-01-12,WC-002,SITE-01,3828,96,2.51,2002.27
2026-01-19,WC-002,SITE-01,4751,132,2.79,4293.65
2026-01-26,WC-002,SITE-01,6579,169,2.58,6061.28
2026-02-02,WC-002,SITE-01,6548,164,2.51,7489.75
2026-02-09,WC-002,SITE-01,4279,114,2.68,5362.08
2026-02-16,WC-002,SITE-01,3879,116,3.0,6065.16
2026-02-23,WC-002,SITE-01,5753,180,3.13,9648.94
2026-03-02,WC-002,SITE-01,5261,177,3.37,9268.77
2026-03-09,WC-002,SITE-01,6124,188,3.08,9781.08
2026-03-16,WC-002,SITE-01,3170,103,3.27,3216.46
2026-03-23,WC-002,SITE-01,5795,208,3.6,5198.71
2026-03-30,WC-002,SITE-01,5523,173,3.14,4966.87
2026-04-06,WC-002,SITE-01,4715,165,3.51,3756.81
2026-04-13,WC-002,SITE-01,3599,129,3.6,6406.12
2026-04-20,WC-002,SITE-01,5814,237,4.08,12348.62
2026-04-27,WC-002,SITE-01,2872,119,4.17,4154.35
2026-05-04,WC-002,SITE-01,3439,145,4.24,5062.46
2026-05-11,WC-002,SITE-01,5989,235,3.93,9945.84
2026-05-18,WC-002,SITE-01,3839,170,4.44,8274.65
2026-05-25,WC-002,SITE-01,3968,178,4.51,4768.54
2026-06-01,WC-002,SITE-01,4333,195,4.52,5734.94
2026-06-08,WC-002,SITE-01,5868,262,4.47,5615.19
2026-06-15,WC-002,SITE-01,6388,282,4.42,10603.9
2026-06-22,WC-002,SITE-01,3137,150,4.79,6395.83
2026-06-29,WC-002,SITE-01,5997,287,4.8,13621.8
2026-07-06,WC-002,SITE-01,4391,221,5.05,9067.2
2024-07-08,WC-003,SITE-01,6813,143,2.1,6446.16
2024-07-15,WC-003,SITE-01,3851,82,2.14,4410.51
2024-07-22,WC-003,SITE-01,8346,150,1.8,6620.59
2024-07-29,WC-003,SITE-01,5074,104,2.06,4691.77
2024-08-05,WC-003,SITE-01,7535,165,2.19,4153.92
2024-08-12,WC-003,SITE-01,7105,152,2.15,2844.09
2024-08-19,WC-003,SITE-01,7461,146,1.96,3449.68
2024-08-26,WC-003,SITE-01,6711,124,1.85,7114.88
2024-09-02,WC-003,SITE-01,6149,115,1.88,5498.16
2024-09-09,WC-003,SITE-01,5048,85,1.69,2489.42
2024-09-16,WC-003,SITE-01,7755,140,1.81,8277.14
2024-09-23,WC-003,SITE-01,3711,65,1.76,1301.75
2024-09-30,WC-003,SITE-01,6637,113,1.71,3279.52
2024-10-07,WC-003,SITE-01,7324,139,1.91,7600.27
2024-10-14,WC-003,SITE-01,8830,195,2.21,7673.02
2024-10-21,WC-003,SITE-01,3631,66,1.84,2794.55
2024-10-28,WC-003,SITE-01,5515,111,2.02,6237.66
2024-11-04,WC-003,SITE-01,7790,137,1.77,3836.1
2024-11-11,WC-003,SITE-01,4958,90,1.83,3516.69
2024-11-18,WC-003,SITE-01,4737,97,2.05,3265.61
2024-11-25,WC-003,SITE-01,5688,99,1.75,5113.44
2024-12-02,WC-003,SITE-01,5160,101,1.97,4370.35
2024-12-09,WC-003,SITE-01,7610,142,1.87,7412.08
2024-12-16,WC-003,SITE-01,3839,85,2.22,2828.16
2024-12-23,WC-003,SITE-01,4236,94,2.24,2647.13
2024-12-30,WC-003,SITE-01,7700,167,2.18,3279.36
2025-01-06,WC-003,SITE-01,4345,77,1.78,2770.59
2025-01-13,WC-003,SITE-01,5821,118,2.04,3485.05
2025-01-20,WC-003,SITE-01,5334,117,2.2,2699.94
2025-01-27,WC-003,SITE-01,7566,165,2.19,5267.83
2025-02-03,WC-003,SITE-01,5229,112,2.16,5212.73
2025-02-10,WC-003,SITE-01,8334,178,2.14,7553.62
2025-02-17,WC-003,SITE-01,8083,172,2.14,7019.0
2025-02-24,WC-003,SITE-01,4041,83,2.07,4780.26
2025-03-03,WC-003,SITE-01,4479,93,2.09,1781.05
2025-03-10,WC-003,SITE-01,5042,91,1.81,2528.32
2025-03-17,WC-003,SITE-01,5952,102,1.73,4124.72
2025-03-24,WC-003,SITE-01,8192,146,1.79,4873.3
2025-03-31,WC-003,SITE-01,5424,119,2.21,3436.25
2025-04-07,WC-003,SITE-01,7380,138,1.87,7215.45
2025-04-14,WC-003,SITE-01,6689,112,1.68,5203.78
2025-04-21,WC-003,SITE-01,4540,89,1.97,3591.3
2025-04-28,WC-003,SITE-01,4456,85,1.91,3555.07
2025-05-05,WC-003,SITE-01,5143,85,1.66,5095.71
2025-05-12,WC-003,SITE-01,4081,68,1.68,1476.43
2025-05-19,WC-003,SITE-01,7269,130,1.79,5096.81
2025-05-26,WC-003,SITE-01,7353,141,1.93,3997.38
2025-06-02,WC-003,SITE-01,4164,76,1.83,3108.17
2025-06-09,WC-003,SITE-01,7124,120,1.69,5969.76
2025-06-16,WC-003,SITE-01,7013,128,1.83,2620.72
2025-06-23,WC-003,SITE-01,8272,144,1.75,7933.62
2025-06-30,WC-003,SITE-01,4885,107,2.2,2323.58
2025-07-07,WC-003,SITE-01,7751,137,1.77,4072.73
2025-07-14,WC-003,SITE-01,6271,136,2.18,5705.96
2025-07-21,WC-003,SITE-01,9285,175,1.89,7770.2
2025-07-28,WC-003,SITE-01,4777,106,2.23,4697.84
2025-08-04,WC-003,SITE-01,6694,124,1.86,4832.35
2025-08-11,WC-003,SITE-01,5633,106,1.89,4203.07
2025-08-18,WC-003,SITE-01,6049,122,2.02,2290.4
2025-08-25,WC-003,SITE-01,6480,142,2.2,4513.46
2025-09-01,WC-003,SITE-01,5576,108,1.95,5839.84
2025-09-08,WC-003,SITE-01,4901,82,1.69,1990.16
2025-09-15,WC-003,SITE-01,3458,61,1.79,2208.38
2025-09-22,WC-003,SITE-01,7838,138,1.77,2750.58
2025-09-29,WC-003,SITE-01,7768,166,2.14,6961.72
2025-10-06,WC-003,SITE-01,8407,184,2.2,7108.06
2025-10-13,WC-003,SITE-01,5829,108,1.86,3109.34
2025-10-20,WC-003,SITE-01,7631,160,2.1,4048.02
2025-10-27,WC-003,SITE-01,5892,119,2.03,4304.69
2025-11-03,WC-003,SITE-01,7190,122,1.71,6313.32
2025-11-10,WC-003,SITE-01,3946,83,2.12,2120.29
2025-11-17,WC-003,SITE-01,5225,110,2.11,4808.37
2025-11-24,WC-003,SITE-01,8034,152,1.9,3939.29
2025-12-01,WC-003,SITE-01,4403,91,2.07,3092.33
2025-12-08,WC-003,SITE-01,7968,164,2.06,8095.69
2025-12-15,WC-003,SITE-01,8046,172,2.14,8844.06
2025-12-22,WC-003,SITE-01,6526,130,2.0,6890.36
2025-12-29,WC-003,SITE-01,7499,167,2.24,5769.94
2026-01-05,WC-003,SITE-01,4662,103,2.22,3974.14
2026-01-12,WC-003,SITE-01,5267,92,1.76,3966.11
2026-01-19,WC-003,SITE-01,8095,143,1.77,3347.87
2026-01-26,WC-003,SITE-01,5973,100,1.68,5240.22
2026-02-02,WC-003,SITE-01,8270,167,2.03,8369.47
2026-02-09,WC-003,SITE-01,5381,97,1.82,3610.03
2026-02-16,WC-003,SITE-01,5349,94,1.76,2761.01
2026-02-23,WC-003,SITE-01,7400,152,2.06,6049.15
2026-03-02,WC-003,SITE-01,8412,177,2.11,10360.18
2026-03-09,WC-003,SITE-01,5553,92,1.67,5095.87
2026-03-16,WC-003,SITE-01,4242,92,2.17,5443.09
2026-03-23,WC-003,SITE-01,7406,137,1.85,5108.46
2026-03-30,WC-003,SITE-01,4366,76,1.76,3164.48
2026-04-06,WC-003,SITE-01,6472,113,1.75,2186.63
2026-04-13,WC-003,SITE-01,5593,95,1.7,3014.6
2026-04-20,WC-003,SITE-01,7920,165,2.09,8042.5
2026-04-27,WC-003,SITE-01,8656,180,2.09,3752.91
2026-05-04,WC-003,SITE-01,4196,71,1.7,1809.9
2026-05-11,WC-003,SITE-01,5649,107,1.9,4065.41
2026-05-18,WC-003,SITE-01,8567,167,1.95,5051.62
2026-05-25,WC-003,SITE-01,3741,64,1.72,1663.14
2026-06-01,WC-003,SITE-01,6041,122,2.03,6354.05
2026-06-08,WC-003,SITE-01,4458,98,2.22,3427.89
2026-06-15,WC-003,SITE-01,5457,108,1.99,4633.11
2026-06-22,WC-003,SITE-01,4959,108,2.19,3519.47
2026-06-29,WC-003,SITE-01,8414,184,2.19,4890.99
2026-07-06,WC-003,SITE-01,6668,137,2.06,7259.84
2024-07-08,WC-004,SITE-02,5629,117,2.09,5548.65
2024-07-15,WC-004,SITE-02,3052,58,1.91,1474.48
2024-07-22,WC-004,SITE-02,3314,82,2.49,1882.4
2024-07-29,WC-004,SITE-02,3567,67,1.89,3351.98
2024-08-05,WC-004,SITE-02,5538,134,2.43,3296.14
2024-08-12,WC-004,SITE-02,3872,72,1.88,1960.47
2024-08-19,WC-004,SITE-02,4051,90,2.24,2948.25
2024-08-26,WC-004,SITE-02,4109,100,2.45,4902.71
2024-09-02,WC-004,SITE-02,2763,61,2.21,1454.75
2024-09-09,WC-004,SITE-02,5230,100,1.92,4496.55
2024-09-16,WC-004,SITE-02,4828,105,2.19,2510.79
2024-09-23,WC-004,SITE-02,4142,94,2.27,2018.81
2024-09-30,WC-004,SITE-02,3871,76,1.97,1989.55
2024-10-07,WC-004,SITE-02,3593,73,2.05,3763.36
2024-10-14,WC-004,SITE-02,6294,125,2.0,4813.19
2024-10-21,WC-004,SITE-02,5725,107,1.87,3092.67
2024-10-28,WC-004,SITE-02,4117,99,2.41,5745.58
2024-11-04,WC-004,SITE-02,3359,80,2.4,4622.53
2024-11-11,WC-004,SITE-02,5739,130,2.28,2757.91
2024-11-18,WC-004,SITE-02,5644,110,1.96,2117.62
2024-11-25,WC-004,SITE-02,3960,81,2.07,4063.85
2024-12-02,WC-004,SITE-02,4097,102,2.49,1958.26
2024-12-09,WC-004,SITE-02,3834,70,1.85,2285.45
2024-12-16,WC-004,SITE-02,3399,65,1.92,3523.08
2024-12-23,WC-004,SITE-02,3977,97,2.44,2552.65
2024-12-30,WC-004,SITE-02,4002,89,2.24,2704.1
2025-01-06,WC-004,SITE-02,3342,82,2.48,3618.59
2025-01-13,WC-004,SITE-02,4188,100,2.41,4234.52
2025-01-20,WC-004,SITE-02,5609,118,2.11,6381.34
2025-01-27,WC-004,SITE-02,2542,57,2.28,1376.35
2025-02-03,WC-004,SITE-02,3463,72,2.08,3562.98
2025-02-10,WC-004,SITE-02,5190,106,2.05,2987.0
2025-02-17,WC-004,SITE-02,4563,99,2.17,4755.76
2025-02-24,WC-004,SITE-02,3963,79,2.01,4494.94
2025-03-03,WC-004,SITE-02,3012,69,2.32,3872.99
2025-03-10,WC-004,SITE-02,3661,69,1.89,3782.75
2025-03-17,WC-004,SITE-02,3080,68,2.22,2822.28
2025-03-24,WC-004,SITE-02,3475,71,2.06,2234.17
2025-03-31,WC-004,SITE-02,3802,83,2.19,2132.87
2025-04-07,WC-004,SITE-02,3913,92,2.37,4017.42
2025-04-14,WC-004,SITE-02,4129,84,2.05,3219.41
2025-04-21,WC-004,SITE-02,2895,61,2.13,3243.05
2025-04-28,WC-004,SITE-02,5654,139,2.46,7596.59
2025-05-05,WC-004,SITE-02,3421,68,1.99,3298.41
2025-05-12,WC-004,SITE-02,3323,62,1.89,2507.62
2025-05-19,WC-004,SITE-02,2755,60,2.21,1366.51
2025-05-26,WC-004,SITE-02,5128,126,2.46,3955.31
2025-06-02,WC-004,SITE-02,5720,112,1.97,5674.49
2025-06-09,WC-004,SITE-02,4224,85,2.03,1802.02
2025-06-16,WC-004,SITE-02,4841,101,2.09,2727.09
2025-06-23,WC-004,SITE-02,3014,71,2.37,1522.11
2025-06-30,WC-004,SITE-02,2873,65,2.28,3776.52
2025-07-07,WC-004,SITE-02,3900,97,2.49,2149.91
2025-07-14,WC-004,SITE-02,5950,130,2.19,4331.16
2025-07-21,WC-004,SITE-02,3632,69,1.91,3531.69
2025-07-28,WC-004,SITE-02,3614,84,2.35,4152.08
2025-08-04,WC-004,SITE-02,5254,102,1.95,3673.83
2025-08-11,WC-004,SITE-02,4338,103,2.39,3706.26
2025-08-18,WC-004,SITE-02,4497,87,1.94,3149.63
2025-08-25,WC-004,SITE-02,5015,121,2.43,3320.32
2025-09-01,WC-004,SITE-02,5288,121,2.29,6143.95
2025-09-08,WC-004,SITE-02,5735,141,2.47,3418.72
2025-09-15,WC-004,SITE-02,4055,88,2.19,4411.99
2025-09-22,WC-004,SITE-02,4270,93,2.18,2871.98
2025-09-29,WC-004,SITE-02,5275,116,2.21,5394.94
2025-10-06,WC-004,SITE-02,5326,118,2.23,2382.04
2025-10-13,WC-004,SITE-02,3027,70,2.33,2752.71
2025-10-20,WC-004,SITE-02,3712,90,2.45,2664.08
2025-10-27,WC-004,SITE-02,5618,114,2.04,5392.01
2025-11-03,WC-004,SITE-02,2607,57,2.19,1096.63
2025-11-10,WC-004,SITE-02,4093,86,2.12,4013.16
2025-11-17,WC-004,SITE-02,5195,128,2.47,2823.97
2025-11-24,WC-004,SITE-02,3350,79,2.37,4439.63
2025-12-01,WC-004,SITE-02,4101,82,2.01,1615.49
2025-12-08,WC-004,SITE-02,5357,128,2.4,6224.54
2025-12-15,WC-004,SITE-02,5385,102,1.91,3609.33
2025-12-22,WC-004,SITE-02,4636,103,2.24,3064.09
2025-12-29,WC-004,SITE-02,3942,90,2.3,1728.49
2026-01-05,WC-004,SITE-02,4119,95,2.32,5010.4
2026-01-12,WC-004,SITE-02,3004,57,1.91,2534.88
2026-01-19,WC-004,SITE-02,2568,57,2.22,1478.96
2026-01-26,WC-004,SITE-02,3686,81,2.22,4041.85
2026-02-02,WC-004,SITE-02,3417,79,2.33,3624.68
2026-02-09,WC-004,SITE-02,2985,62,2.08,2032.38
2026-02-16,WC-004,SITE-02,4232,88,2.1,3454.26
2026-02-23,WC-004,SITE-02,2904,69,2.4,3692.71
2026-03-02,WC-004,SITE-02,3187,68,2.16,2642.44
2026-03-09,WC-004,SITE-02,4140,96,2.34,2875.04
2026-03-16,WC-004,SITE-02,3714,73,1.99,3014.91
2026-03-23,WC-004,SITE-02,4224,101,2.41,3737.44
2026-03-30,WC-004,SITE-02,2690,65,2.45,1857.77
2026-04-06,WC-004,SITE-02,4592,91,2.0,4584.77
2026-04-13,WC-004,SITE-02,3415,75,2.21,3559.03
2026-04-20,WC-004,SITE-02,2945,70,2.41,4182.82
2026-04-27,WC-004,SITE-02,3650,80,2.2,3625.18
2026-05-04,WC-004,SITE-02,6005,117,1.95,5260.8
2026-05-11,WC-004,SITE-02,4876,114,2.35,3763.87
2026-05-18,WC-004,SITE-02,3293,70,2.14,3547.85
2026-05-25,WC-004,SITE-02,3073,63,2.08,3380.9
2026-06-01,WC-004,SITE-02,5756,137,2.39,7363.81
2026-06-08,WC-004,SITE-02,2945,65,2.24,2403.73
2026-06-15,WC-004,SITE-02,4406,100,2.29,3963.97
2026-06-22,WC-004,SITE-02,5692,133,2.34,4948.11
2026-06-29,WC-004,SITE-02,5533,128,2.32,3655.28
2026-07-06,WC-004,SITE-02,4913,121,2.48,2534.42
2024-07-08,WC-005,SITE-02,4430,62,1.41,3299.06
2024-07-15,WC-005,SITE-02,5914,76,1.3,4043.13
2024-07-22,WC-005,SITE-02,6240,84,1.35,3391.48
2024-07-29,WC-005,SITE-02,4423,57,1.29,2307.69
2024-08-05,WC-005,SITE-02,4988,63,1.27,1798.29
2024-08-12,WC-005,SITE-02,3165,44,1.41,1976.52
2024-08-19,WC-005,SITE-02,3944,52,1.34,1890.26
2024-08-26,WC-005,SITE-02,6336,78,1.24,2865.45
2024-09-02,WC-005,SITE-02,3552,49,1.38,2013.45
2024-09-09,WC-005,SITE-02,6147,81,1.32,1585.23
2024-09-16,WC-005,SITE-02,3239,40,1.24,1289.72
2024-09-23,WC-005,SITE-02,5886,84,1.43,4907.03
2024-09-30,WC-005,SITE-02,3404,45,1.33,1733.43
2024-10-07,WC-005,SITE-02,5658,67,1.19,2831.84
