PartID,PartName,Commodity,ProgramID,PrimarySupplierID,StandardCostUSD,UOM
PN-10028,Forgings Housing R2,Forgings,PGM-002,SUP-029,69.42,EA
PN-10029,Coatings Housing R2,Coatings,PGM-003,SUP-030,350.36,EA
PN-10030,Machined Panel R5,Machined Castings,PGM-004,SUP-031,510.21,EA
PN-10031,Sheet Housing R4,Sheet Metal,PGM-005,SUP-032,562.88,EA
PN-10032,Electronics Manifold R3,Electronics,PGM-006,SUP-033,183.17,EA
PN-10033,Fasteners Manifold R2,Fasteners,PGM-007,SUP-034,234.58,EA
PN-10034,Composites Shaft R3,Composites,PGM-008,SUP-035,395.15,EA
PN-10035,Wire Housing R1,Wire Harness,PGM-009,SUP-036,396.04,EA
PN-10036,Bearings Housing R1,Bearings,PGM-001,SUP-037,462.54,EA
PN-10037,Seals Cover R2,Seals & Gaskets,PGM-002,SUP-038,794.07,EA
PN-10038,Forgings Housing R2,Forgings,PGM-003,SUP-039,321.66,EA
PN-10039,Coatings Shaft R4,Coatings,PGM-004,SUP-040,710.68,EA
PN-10040,Machined Cover R5,Machined Castings,PGM-005,SUP-041,836.47,EA
PN-10041,Sheet Bracket R5,Sheet Metal,PGM-006,SUP-042,262.88,EA
PN-10042,Electronics Housing R2,Electronics,PGM-007,SUP-043,233.62,EA
PN-10043,Fasteners Housing R5,Fasteners,PGM-008,SUP-044,142.27,EA
PN-10044,Composites Cover R5,Composites,PGM-009,SUP-045,188.51,EA
PN-10045,Wire Manifold R2,Wire Harness,PGM-001,SUP-046,588.12,EA
PN-10046,Bearings Cover R5,Bearings,PGM-002,SUP-047,421.39,EA
PN-10047,Seals Bracket R1,Seals & Gaskets,PGM-003,SUP-048,543.53,EA
PN-10048,Forgings Cover R1,Forgings,PGM-004,SUP-049,14.97,EA
PN-10049,Coatings Shaft R3,Coatings,PGM-005,SUP-050,147.41,EA
PN-10050,Machined Plate R5,Machined Castings,PGM-006,SUP-051,603.35,EA
PN-10051,Sheet Bracket R1,Sheet Metal,PGM-007,SUP-052,75.05,EA
PN-10052,Electronics Shaft R5,Electronics,PGM-008,SUP-053,42.19,EA
PN-10053,Fasteners Manifold R5,Fasteners,PGM-009,SUP-054,475.02,EA
PN-10054,Composites Ring R2,Composites,PGM-001,SUP-055,47.05,EA
PN-10055,Wire Manifold R1,Wire Harness,PGM-002,SUP-056,765.3,EA
PN-10056,Bearings Panel R2,Bearings,PGM-003,SUP-057,570.89,EA
PN-10057,Seals Manifold R5,Seals & Gaskets,PGM-004,SUP-058,752.9,EA
PN-10058,Forgings Ring R5,Forgings,PGM-005,SUP-059,640.06,EA
PN-10059,Coatings Panel R2,Coatings,PGM-006,SUP-060,830.06,EA
PN-10060,Machined Shaft R4,Machined Castings,PGM-007,SUP-061,32.77,EA
PN-10061,Sheet Manifold R4,Sheet Metal,PGM-008,SUP-062,684.27,EA
PN-10062,Electronics Panel R3,Electronics,PGM-009,SUP-063,145.41,EA
PN-10063,Fasteners Housing R4,Fasteners,PGM-001,SUP-064,742.88,EA
PN-10064,Composites Plate R2,Composites,PGM-002,SUP-065,179.24,EA
PN-10065,Wire Plate R3,Wire Harness,PGM-003,SUP-066,267.75,EA
PN-10066,Bearings Panel R2,Bearings,PGM-004,SUP-067,31.83,EA
PN-10067,Seals Panel R4,Seals & Gaskets,PGM-005,SUP-068,287.08,EA
PN-10068,Forgings Housing R3,Forgings,PGM-006,SUP-069,306.26,EA
PN-10069,Coatings Ring R5,Coatings,PGM-007,SUP-070,289.5,EA
PN-10070,Machined Bracket R1,Machined Castings,PGM-008,SUP-001,746.96,EA
PN-10071,Sheet Cover R2,Sheet Metal,PGM-009,SUP-002,498.53,EA
PN-10072,Electronics Cover R1,Electronics,PGM-001,SUP-003,102.84,EA
PN-10073,Fasteners Ring R3,Fasteners,PGM-002,SUP-004,622.52,EA
PN-10074,Composites Manifold R4,Composites,PGM-003,SUP-005,520.0,EA
PN-10075,Wire Housing R4,Wire Harness,PGM-004,SUP-006,765.78,EA
PN-10076,Bearings Panel R3,Bearings,PGM-005,SUP-007,49.2,EA
PN-10077,Seals Ring R1,Seals & Gaskets,PGM-006,SUP-008,447.69,EA
PN-10078,Forgings Panel R3,Forgings,PGM-007,SUP-009,373.43,EA
PN-10079,Coatings Manifold R5,Coatings,PGM-008,SUP-010,275.06,EA
PN-10080,Machined Housing R3,Machined Castings,PGM-009,SUP-011,436.97,EA
PN-10081,Sheet Ring R3,Sheet Metal,PGM-001,SUP-012,349.21,EA
PN-10082,Electronics Cover R5,Electronics,PGM-002,SUP-013,118.67,EA
PN-10083,Fasteners Ring R4,Fasteners,PGM-003,SUP-014,579.59,EA
PN-10084,Composites Shaft R5,Composites,PGM-004,SUP-015,488.91,EA
PN-10085,Wire Ring R5,Wire Harness,PGM-005,SUP-016,710.66,EA
PN-10086,Bearings Cover R3,Bearings,PGM-006,SUP-017,188.13,EA
PN-10087,Seals Manifold R4,Seals & Gaskets,PGM-007,SUP-018,382.22,EA
PN-10088,Forgings Panel R5,Forgings,PGM-008,SUP-019,408.53,EA
PN-10089,Coatings Shaft R1,Coatings,PGM-009,SUP-020,249.81,EA
PN-10090,Machined Manifold R1,Machined Castings,PGM-001,SUP-021,697.84,EA
PN-10091,Sheet Panel R3,Sheet Metal,PGM-002,SUP-022,200.25,EA
PN-10092,Electronics Panel R2,Electronics,PGM-003,SUP-023,32.47,EA
PN-10093,Fasteners Panel R4,Fasteners,PGM-004,SUP-024,524.25,EA
PN-10094,Composites Housing R4,Composites,PGM-005,SUP-025,359.3,EA
PN-10095,Wire Panel R4,Wire Harness,PGM-006,SUP-026,426.29,EA
PN-10096,Bearings Panel R2,Bearings,PGM-007,SUP-027,561.78,EA
PN-10097,Seals Bracket R1,Seals & Gaskets,PGM-008,SUP-028,664.32,EA
PN-10098,Forgings Panel R2,Forgings,PGM-009,SUP-029,685.84,EA
PN-10099,Coatings Plate R1,Coatings,PGM-001,SUP-030,479.11,EA
PN-10100,Machined Housing R4,Machined Castings,PGM-002,SUP-031,123.74,EA
PN-10101,Sheet Plate R5,Sheet Metal,PGM-003,SUP-032,839.85,EA
PN-10102,Electronics Manifold R4,Electronics,PGM-004,SUP-033,525.4,EA
PN-10103,Fasteners Ring R5,Fasteners,PGM-005,SUP-034,385.68,EA
PN-10104,Composites Shaft R4,Composites,PGM-006,SUP-035,389.16,EA
PN-10105,Wire Panel R3,Wire Harness,PGM-007,SUP-036,653.75,EA
PN-10106,Bearings Plate R2,Bearings,PGM-008,SUP-037,242.11,EA
PN-10107,Seals Housing R3,Seals & Gaskets,PGM-009,SUP-038,208.51,EA
PN-10108,Forgings Manifold R3,Forgings,PGM-001,SUP-039,760.36,EA
PN-10109,Coatings Housing R2,Coatings,PGM-002,SUP-040,138.4,EA
PN-10110,Machined Ring R2,Machined Castings,PGM-003,SUP-041,603.98,EA
PN-10111,Sheet Housing R4,Sheet Metal,PGM-004,SUP-042,353.57,EA
PN-10112,Electronics Plate R4,Electronics,PGM-005,SUP-043,64.18,EA
PN-10113,Fasteners Ring R4,Fasteners,PGM-006,SUP-044,770.25,EA
PN-10114,Composites Bracket R5,Composites,PGM-007,SUP-045,330.76,EA
PN-10115,Wire Bracket R3,Wire Harness,PGM-008,SUP-046,262.24,EA
PN-10116,Bearings Ring R4,Bearings,PGM-009,SUP-047,463.03,EA
PN-10117,Seals Panel R4,Seals & Gaskets,PGM-001,SUP-048,195.88,EA
PN-10118,Forgings Ring R4,Forgings,PGM-002,SUP-049,36.32,EA
PN-10119,Coatings Manifold R4,Coatings,PGM-003,SUP-050,618.86,EA
PN-10120,Machined Plate R2,Machined Castings,PGM-004,SUP-051,833.85,EA
PN-10121,Sheet Bracket R4,Sheet Metal,PGM-005,SUP-052,508.01,EA
PN-10122,Electronics Bracket R1,Electronics,PGM-006,SUP-053,550.62,EA
PN-10123,Fasteners Shaft R4,Fasteners,PGM-007,SUP-054,164.29,EA
PN-10124,Composites Cover R4,Composites,PGM-008,SUP-055,286.32,EA
PN-10125,Wire Plate R3,Wire Harness,PGM-009,SUP-056,294.83,EA
PN-10126,Bearings Ring R3,Bearings,PGM-001,SUP-057,642.18,EA
PN-10127,Seals Ring R3,Seals & Gaskets,PGM-002,SUP-058,711.66,EA
PN-10128,Forgings Plate R1,Forgings,PGM-003,SUP-059,639.68,EA
PN-10129,Coatings Bracket R3,Coatings,PGM-004,SUP-060,199.9,EA
PN-10130,Machined Housing R1,Machined Castings,PGM-005,SUP-061,644.05,EA
PN-10131,Sheet Panel R2,Sheet Metal,PGM-006,SUP-062,715.27,EA
PN-10132,Electronics Shaft R2,Electronics,PGM-007,SUP-063,117.77,EA
PN-10133,Fasteners Housing R5,Fasteners,PGM-008,SUP-064,806.22,EA
PN-10134,Composites Plate R3,Composites,PGM-009,SUP-065,654.66,EA
PN-10135,Wire Shaft R5,Wire Harness,PGM-001,SUP-066,520.87,EA
PN-10136,Bearings Housing R2,Bearings,PGM-002,SUP-067,820.44,EA
PN-10137,Seals Housing R5,Seals & Gaskets,PGM-003,SUP-068,33.52,EA
PN-10138,Forgings Cover R5,Forgings,PGM-004,SUP-069,579.62,EA
PN-10139,Coatings Ring R4,Coatings,PGM-005,SUP-070,800.95,EA
PN-10140,Machined Panel R1,Machined Castings,PGM-006,SUP-001,508.18,EA
PN-10141,Sheet Panel R1,Sheet Metal,PGM-007,SUP-002,596.25,EA
PN-10142,Electronics Cover R5,Electronics,PGM-008,SUP-003,687.03,EA
PN-10143,Fasteners Bracket R3,Fasteners,PGM-009,SUP-004,458.44,EA
PN-10144,Composites Manifold R1,Composites,PGM-001,SUP-005,436.0,EA
PN-10145,Wire Manifold R1,Wire Harness,PGM-002,SUP-006,723.94,EA
PN-10146,Bearings Plate R1,Bearings,PGM-003,SUP-007,375.29,EA
PN-10147,Seals Manifold R4,Seals & Gaskets,PGM-004,SUP-008,604.72,EA
PN-10148,Forgings Ring R2,Forgings,PGM-005,SUP-009,626.92,EA
PN-10149,Coatings Cover R5,Coatings,PGM-006,SUP-010,689.27,EA
PN-10150,Machined Plate R4,Machined Castings,PGM-007,SUP-011,377.01,EA
PN-10151,Sheet Cover R3,Sheet Metal,PGM-008,SUP-012,725.74,EA
PN-10152,Electronics Housing R3,Electronics,PGM-009,SUP-013,750.81,EA
PN-10153,Fasteners Panel R4,Fasteners,PGM-001,SUP-014,489.53,EA
PN-10154,Composites Ring R3,Composites,PGM-002,SUP-015,36.05,EA
PN-10155,Wire Manifold R2,Wire Harness,PGM-003,SUP-016,420.57,EA
PN-10156,Bearings Manifold R3,Bearings,PGM-004,SUP-017,297.2,EA
PN-10157,Seals Cover R5,Seals & Gaskets,PGM-005,SUP-018,20.51,EA
PN-10158,Forgings Panel R1,Forgings,PGM-006,SUP-019,214.26,EA
PN-10159,Coatings Ring R4,Coatings,PGM-007,SUP-020,477.24,EA
PN-10160,Machined Panel R4,Machined Castings,PGM-008,SUP-021,553.27,EA
PN-10161,Sheet Plate R4,Sheet Metal,PGM-009,SUP-022,676.48,EA
PN-10162,Electronics Housing R3,Electronics,PGM-001,SUP-023,197.7,EA
PN-10163,Fasteners Panel R3,Fasteners,PGM-002,SUP-024,568.4,EA
PN-10164,Composites Manifold R4,Composites,PGM-003,SUP-025,475.81,EA
PN-10165,Wire Manifold R4,Wire Harness,PGM-004,SUP-026,847.18,EA
PN-10166,Bearings Manifold R3,Bearings,PGM-005,SUP-027,600.99,EA
PN-10167,Seals Cover R3,Seals & Gaskets,PGM-006,SUP-028,222.68,EA
PN-10168,Forgings Housing R2,Forgings,PGM-007,SUP-029,276.43,EA
PN-10169,Coatings Shaft R2,Coatings,PGM-008,SUP-030,193.33,EA
PN-10170,Machined Plate R3,Machined Castings,PGM-009,SUP-031,619.2,EA
PN-10171,Sheet Cover R1,Sheet Metal,PGM-001,SUP-032,709.74,EA
PN-10172,Electronics Cover R2,Electronics,PGM-002,SUP-033,314.42,EA
PN-10173,Fasteners Cover R1,Fasteners,PGM-003,SUP-034,605.32,EA
PN-10174,Composites Shaft R3,Composites,PGM-004,SUP-035,50.14,EA
PN-10175,Wire Bracket R5,Wire Harness,PGM-005,SUP-036,256.81,EA
PN-10176,Bearings Shaft R4,Bearings,PGM-006,SUP-037,97.97,EA
PN-10177,Seals Bracket R5,Seals & Gaskets,PGM-007,SUP-038,250.28,EA
PN-10178,Forgings Plate R4,Forgings,PGM-008,SUP-039,297.51,EA
PN-10179,Coatings Bracket R3,Coatings,PGM-009,SUP-040,800.61,EA
PN-10180,Machined Plate R1,Machined Castings,PGM-001,SUP-041,700.93,EA
PN-10181,Sheet Ring R4,Sheet Metal,PGM-002,SUP-042,74.08,EA
PN-10182,Electronics Bracket R2,Electronics,PGM-003,SUP-043,137.03,EA
PN-10183,Fasteners Cover R1,Fasteners,PGM-004,SUP-044,844.9,EA
PN-10184,Composites Housing R5,Composites,PGM-005,SUP-045,652.6,EA
PN-10185,Wire Panel R5,Wire Harness,PGM-006,SUP-046,330.76,EA
PN-10186,Bearings Plate R3,Bearings,PGM-007,SUP-047,732.82,EA
PN-10187,Seals Ring R3,Seals & Gaskets,PGM-008,SUP-048,488.51,EA
PN-10188,Forgings Bracket R5,Forgings,PGM-009,SUP-049,816.57,EA
PN-10189,Coatings Housing R2,Coatings,PGM-001,SUP-050,536.18,EA
PN-10190,Machined Cover R1,Machined Castings,PGM-002,SUP-051,143.61,EA
PN-10191,Sheet Shaft R5,Sheet Metal,PGM-003,SUP-052,74.9,EA
PN-10192,Electronics Bracket R4,Electronics,PGM-004,SUP-053,389.52,EA
PN-10193,Fasteners Plate R3,Fasteners,PGM-005,SUP-054,39.35,EA
PN-10194,Composites Cover R3,Composites,PGM-006,SUP-055,601.1,EA
PN-10195,Wire Plate R1,Wire Harness,PGM-007,SUP-056,588.03,EA
PN-10196,Bearings Cover R5,Bearings,PGM-008,SUP-057,566.07,EA
PN-10197,Seals Panel R4,Seals & Gaskets,PGM-009,SUP-058,108.18,EA
PN-10198,Forgings Panel R2,Forgings,PGM-001,SUP-059,773.25,EA
PN-10199,Coatings Shaft R1,Coatings,PGM-002,SUP-060,61.98,EA
PN-10200,Machined Cover R5,Machined Castings,PGM-003,SUP-061,639.63,EA
PN-10201,Sheet Cover R4,Sheet Metal,PGM-004,SUP-062,116.21,EA
PN-10202,Electronics Cover R4,Electronics,PGM-005,SUP-063,801.96,EA
PN-10203,Fasteners Plate R4,Fasteners,PGM-006,SUP-064,79.41,EA
PN-10204,Composites Bracket R4,Composites,PGM-007,SUP-065,627.54,EA
PN-10205,Wire Cover R1,Wire Harness,PGM-008,SUP-066,88.53,EA
PN-10206,Bearings Bracket R3,Bearings,PGM-009,SUP-067,494.89,EA
PN-10207,Seals Shaft R4,Seals & Gaskets,PGM-001,SUP-068,446.89,EA
PN-10208,Forgings Plate R3,Forgings,PGM-002,SUP-069,164.09,EA
PN-10209,Coatings Ring R4,Coatings,PGM-003,SUP-070,824.07,EA
PN-10210,Machined Plate R3,Machined Castings,PGM-004,SUP-001,354.2,EA
PN-10211,Sheet Manifold R1,Sheet Metal,PGM-005,SUP-002,730.78,EA
PN-10212,Electronics Manifold R4,Electronics,PGM-006,SUP-003,593.3,EA
PN-10213,Fasteners Cover R4,Fasteners,PGM-007,SUP-004,693.77,EA
PN-10214,Composites Bracket R4,Composites,PGM-008,SUP-005,85.79,EA
PN-10215,Wire Cover R3,Wire Harness,PGM-009,SUP-006,109.14,EA
PN-10216,Bearings Ring R5,Bearings,PGM-001,SUP-007,703.29,EA
PN-10217,Seals Bracket R5,Seals & Gaskets,PGM-002,SUP-008,399.14,EA
PN-10218,Forgings Bracket R2,Forgings,PGM-003,SUP-009,446.45,EA
PN-10219,Coatings Plate R4,Coatings,PGM-004,SUP-010,648.87,EA
PN-10220,Machined Panel R3,Machined Castings,PGM-005,SUP-011,472.25,EA
PN-10221,Sheet Cover R4,Sheet Metal,PGM-006,SUP-012,750.15,EA
PN-10222,Electronics Plate R1,Electronics,PGM-007,SUP-013,36.19,EA
PN-10223,Fasteners Panel R2,Fasteners,PGM-008,SUP-014,272.41,EA
PN-10224,Composites Bracket R5,Composites,PGM-009,SUP-015,353.9,EA
PN-10225,Wire Panel R1,Wire Harness,PGM-001,SUP-016,398.69,EA
PN-10226,Bearings Housing R2,Bearings,PGM-002,SUP-017,429.64,EA
PN-10227,Seals Cover R5,Seals & Gaskets,PGM-003,SUP-018,603.13,EA
PN-10228,Forgings Ring R4,Forgings,PGM-004,SUP-019,833.45,EA
PN-10229,Coatings Panel R4,Coatings,PGM-005,SUP-020,473.96,EA
PN-10230,Machined Ring R2,Machined Castings,PGM-006,SUP-021,784.53,EA
PN-10231,Sheet Shaft R1,Sheet Metal,PGM-007,SUP-022,243.5,EA
PN-10232,Electronics Ring R3,Electronics,PGM-008,SUP-023,794.9,EA
PN-10233,Fasteners Cover R1,Fasteners,PGM-009,SUP-024,249.02,EA
PN-10234,Composites Cover R5,Composites,PGM-001,SUP-025,497.98,EA
PN-10235,Wire Plate R2,Wire Harness,PGM-002,SUP-026,386.21,EA
PN-10236,Bearings Plate R3,Bearings,PGM-003,SUP-027,290.58,EA
PN-10237,Seals Ring R4,Seals & Gaskets,PGM-004,SUP-028,793.73,EA
PN-10238,Forgings Panel R2,Forgings,PGM-005,SUP-029,491.17,EA
PN-10239,Coatings Panel R4,Coatings,PGM-006,SUP-030,48.58,EA
PN-10240,Machined Plate R4,Machined Castings,PGM-007,SUP-031,335.53,EA
PN-10241,Sheet Shaft R4,Sheet Metal,PGM-008,SUP-032,820.52,EA
PN-10242,Electronics Shaft R5,Electronics,PGM-009,SUP-033,820.97,EA
PN-10243,Fasteners Manifold R1,Fasteners,PGM-001,SUP-034,744.57,EA
PN-10244,Composites Plate R1,Composites,PGM-002,SUP-035,452.75,EA
PN-10245,Wire Plate R1,Wire Harness,PGM-003,SUP-036,617.41,EA
PN-10246,Bearings Ring R2,Bearings,PGM-004,SUP-037,74.71,EA
PN-10247,Seals Cover R3,Seals & Gaskets,PGM-005,SUP-038,534.29,EA
PN-10248,Forgings Ring R1,Forgings,PGM-006,SUP-039,725.78,EA
PN-10249,Coatings Ring R3,Coatings,PGM-007,SUP-040,537.26,EA
PN-10250,Machined Plate R5,Machined Castings,PGM-008,SUP-041,42.08,EA
PN-10251,Sheet Housing R2,Sheet Metal,PGM-009,SUP-042,540.91,EA
PN-10252,Electronics Cover R2,Electronics,PGM-001,SUP-043,637.79,EA
PN-10253,Fasteners Ring R1,Fasteners,PGM-002,SUP-044,649.19,EA
PN-10254,Composites Housing R4,Composites,PGM-003,SUP-045,151.41,EA
PN-10255,Wire Cover R1,Wire Harness,PGM-004,SUP-046,50.54,EA
PN-10256,Bearings Bracket R3,Bearings,PGM-005,SUP-047,312.39,EA
PN-10257,Seals Ring R2,Seals & Gaskets,PGM-006,SUP-048,216.64,EA
PN-10258,Forgings Ring R5,Forgings,PGM-007,SUP-049,583.35,EA
PN-10259,Coatings Shaft R2,Coatings,PGM-008,SUP-050,158.71,EA
