Month,WorkCenterID,SiteID,CapacityUnits,PlannedUnits,UtilizationPct
2027-08-01,WC-003,SITE-01,5763,4775,82.9
2027-09-01,WC-003,SITE-01,2206,1963,89.0
2027-10-01,WC-003,SITE-01,2826,2031,71.9
2027-11-01,WC-003,SITE-01,2254,1993,88.4
2027-12-01,WC-003,SITE-01,3928,2953,75.2
2026-01-01,WC-004,SITE-02,5236,4225,80.7
2026-02-01,WC-004,SITE-02,2393,1824,76.2
2026-03-01,WC-004,SITE-02,2931,2183,74.5
2026-04-01,WC-004,SITE-02,4392,4003,91.1
2026-05-01,WC-004,SITE-02,2763,2150,77.8
2026-06-01,WC-004,SITE-02,2760,2126,77.0
2026-07-01,WC-004,SITE-02,3103,2311,74.5
2026-08-01,WC-004,SITE-02,5581,4850,86.9
2026-09-01,WC-004,SITE-02,4470,3536,79.1
2026-10-01,WC-004,SITE-02,4982,4457,89.5
2026-11-01,WC-004,SITE-02,5212,4602,88.3
2026-12-01,WC-004,SITE-02,3879,3660,94.4
2027-01-01,WC-004,SITE-02,1827,1727,94.5
2027-02-01,WC-004,SITE-02,3990,2974,74.5
2027-03-01,WC-004,SITE-02,4599,3368,73.2
2027-04-01,WC-004,SITE-02,5439,4449,81.8
2027-05-01,WC-004,SITE-02,5515,4504,81.7
2027-06-01,WC-004,SITE-02,3718,2919,78.5
2027-07-01,WC-004,SITE-02,2238,2114,94.5
2027-08-01,WC-004,SITE-02,2021,1825,90.3
2027-09-01,WC-004,SITE-02,6172,4440,71.9
2027-10-01,WC-004,SITE-02,3723,2782,74.7
2027-11-01,WC-004,SITE-02,2629,2460,93.6
2027-12-01,WC-004,SITE-02,4092,3607,88.1
2026-01-01,WC-005,SITE-02,3532,2760,78.1
2026-02-01,WC-005,SITE-02,2215,1629,73.5
2026-03-01,WC-005,SITE-02,4829,3732,77.3
2026-04-01,WC-005,SITE-02,4323,4004,92.6
2026-05-01,WC-005,SITE-02,5423,4893,90.2
2026-06-01,WC-005,SITE-02,3432,2789,81.3
2026-07-01,WC-005,SITE-02,3791,3176,83.8
2026-08-01,WC-005,SITE-02,2859,2638,92.3
2026-09-01,WC-005,SITE-02,2837,2408,84.9
2026-10-01,WC-005,SITE-02,4596,4245,92.4
2026-11-01,WC-005,SITE-02,4821,3655,75.8
2026-12-01,WC-005,SITE-02,6289,4531,72.0
2027-01-01,WC-005,SITE-02,3533,2920,82.6
2027-02-01,WC-005,SITE-02,5579,4198,75.2
2027-03-01,WC-005,SITE-02,2186,1691,77.4
2027-04-01,WC-005,SITE-02,3299,2997,90.8
2027-05-01,WC-005,SITE-02,3752,2934,78.2
2027-06-01,WC-005,SITE-02,2491,1917,77.0
2027-07-01,WC-005,SITE-02,2031,1755,86.4
2027-08-01,WC-005,SITE-02,3895,2999,77.0
2027-09-01,WC-005,SITE-02,2807,2543,90.6
2027-10-01,WC-005,SITE-02,5894,4585,77.8
2027-11-01,WC-005,SITE-02,5552,4278,77.1
2027-12-01,WC-005,SITE-02,5025,4246,84.5
2026-01-01,WC-006,SITE-02,2648,2260,85.3
2026-02-01,WC-006,SITE-02,2341,1990,85.0
2026-03-01,WC-006,SITE-02,3581,2763,77.2
2026-04-01,WC-006,SITE-02,3472,2699,77.7
2026-05-01,WC-006,SITE-02,3621,2780,76.8
2026-06-01,WC-006,SITE-02,5408,4747,87.8
2026-07-01,WC-006,SITE-02,2458,2066,84.1
2026-08-01,WC-006,SITE-02,2346,2106,89.8
2026-09-01,WC-006,SITE-02,4719,3420,72.5
2026-10-01,WC-006,SITE-02,4356,3933,90.3
2026-11-01,WC-006,SITE-02,2989,2644,88.5
2026-12-01,WC-006,SITE-02,3354,3110,92.7
2027-01-01,WC-006,SITE-02,5991,4983,83.2
2027-02-01,WC-006,SITE-02,3252,2434,74.8
2027-03-01,WC-006,SITE-02,6813,4995,73.3
2027-04-01,WC-006,SITE-02,6394,4800,75.1
2027-05-01,WC-006,SITE-02,5706,4351,76.3
2027-06-01,WC-006,SITE-02,1970,1874,95.1
2027-07-01,WC-006,SITE-02,5897,4563,77.4
2027-08-01,WC-006,SITE-02,1933,1592,82.4
2027-09-01,WC-006,SITE-02,3065,2341,76.4
2027-10-01,WC-006,SITE-02,2399,2269,94.6
2027-11-01,WC-006,SITE-02,6225,4881,78.4
2027-12-01,WC-006,SITE-02,4059,3567,87.9
2026-01-01,WC-007,SITE-03,5450,4760,87.3
2026-02-01,WC-007,SITE-03,2389,1988,83.2
2026-03-01,WC-007,SITE-03,5807,4808,82.8
2026-04-01,WC-007,SITE-03,4072,3304,81.1
2026-05-01,WC-007,SITE-03,5834,4769,81.7
2026-06-01,WC-007,SITE-03,5578,4092,73.4
2026-07-01,WC-007,SITE-03,2372,1799,75.8
2026-08-01,WC-007,SITE-03,3527,2522,71.5
2026-09-01,WC-007,SITE-03,5774,4739,82.1
2026-10-01,WC-007,SITE-03,4377,4016,91.8
2026-11-01,WC-007,SITE-03,3297,2575,78.1
2026-12-01,WC-007,SITE-03,3901,2883,73.9
2027-01-01,WC-007,SITE-03,3908,3453,88.4
2027-02-01,WC-007,SITE-03,2976,2751,92.4
2027-03-01,WC-007,SITE-03,5743,4735,82.4
2027-04-01,WC-007,SITE-03,5095,3656,71.8
2027-05-01,WC-007,SITE-03,3185,2395,75.2
2027-06-01,WC-007,SITE-03,2671,2088,78.2
2027-07-01,WC-007,SITE-03,5345,4997,93.5
2027-08-01,WC-007,SITE-03,2052,1814,88.4
2027-09-01,WC-007,SITE-03,2160,1649,76.3
2027-10-01,WC-007,SITE-03,3200,2465,77.0
2027-11-01,WC-007,SITE-03,5201,4169,80.2
2027-12-01,WC-007,SITE-03,1885,1735,92.0
2026-01-01,WC-008,SITE-03,4666,4225,90.5
2026-02-01,WC-008,SITE-03,6191,4446,71.8
2026-03-01,WC-008,SITE-03,1750,1652,94.4
2026-04-01,WC-008,SITE-03,5912,4247,71.8
2026-05-01,WC-008,SITE-03,6002,4873,81.2
2026-06-01,WC-008,SITE-03,2499,2258,90.4
2026-07-01,WC-008,SITE-03,4340,3147,72.5
2026-08-01,WC-008,SITE-03,5658,4961,87.7
2026-09-01,WC-008,SITE-03,2194,1581,72.1
2026-10-01,WC-008,SITE-03,2122,1652,77.9
2026-11-01,WC-008,SITE-03,4001,3221,80.5
2026-12-01,WC-008,SITE-03,3849,3467,90.1
2027-01-01,WC-008,SITE-03,4336,3954,91.2
2027-02-01,WC-008,SITE-03,6533,4783,73.2
2027-03-01,WC-008,SITE-03,5365,4953,92.3
2027-04-01,WC-008,SITE-03,2231,1620,72.6
2027-05-01,WC-008,SITE-03,2572,2205,85.7
2027-06-01,WC-008,SITE-03,4591,3837,83.6
2027-07-01,WC-008,SITE-03,2197,1736,79.0
2027-08-01,WC-008,SITE-03,2541,2241,88.2
2027-09-01,WC-008,SITE-03,2415,1853,76.7
2027-10-01,WC-008,SITE-03,3283,2466,75.1
2027-11-01,WC-008,SITE-03,6187,4566,73.8
2027-12-01,WC-008,SITE-03,4496,3905,86.9
2026-01-01,WC-009,SITE-03,6164,4600,74.6
2026-02-01,WC-009,SITE-03,1727,1591,92.1
2026-03-01,WC-009,SITE-03,5260,4517,85.9
2026-04-01,WC-009,SITE-03,1672,1587,94.9
2026-05-01,WC-009,SITE-03,5024,3724,74.1
2026-06-01,WC-009,SITE-03,5215,4454,85.4
2026-07-01,WC-009,SITE-03,3009,2167,72.0
2026-08-01,WC-009,SITE-03,2743,1969,71.8
2026-09-01,WC-009,SITE-03,4535,3368,74.3
2026-10-01,WC-009,SITE-03,4485,4206,93.8
2026-11-01,WC-009,SITE-03,3218,2378,73.9
2026-12-01,WC-009,SITE-03,5844,4537,77.6
2027-01-01,WC-009,SITE-03,4093,3200,78.2
2027-02-01,WC-009,SITE-03,3172,2604,82.1
2027-03-01,WC-009,SITE-03,3984,3575,89.7
2027-04-01,WC-009,SITE-03,5590,4343,77.7
2027-05-01,WC-009,SITE-03,4722,4469,94.6
2027-06-01,WC-009,SITE-03,2113,1972,93.3
2027-07-01,WC-009,SITE-03,6181,4462,72.2
2027-08-01,WC-009,SITE-03,3573,2838,79.4
2027-09-01,WC-009,SITE-03,2102,1913,91.0
2027-10-01,WC-009,SITE-03,2123,1535,72.3
2027-11-01,WC-009,SITE-03,4581,3926,85.7
2027-12-01,WC-009,SITE-03,2672,2402,89.9
2026-01-01,WC-010,SITE-04,5379,4438,82.5
2026-02-01,WC-010,SITE-04,5310,4706,88.6
2026-03-01,WC-010,SITE-04,4958,3571,72.0
2026-04-01,WC-010,SITE-04,3682,3347,90.9
2026-05-01,WC-010,SITE-04,2985,2172,72.8
2026-06-01,WC-010,SITE-04,1923,1531,79.6
2026-07-01,WC-010,SITE-04,5418,4111,75.9
2026-08-01,WC-010,SITE-04,3288,2700,82.1
2026-09-01,WC-010,SITE-04,4453,3864,86.8
2026-10-01,WC-010,SITE-04,6859,4996,72.8
2026-11-01,WC-010,SITE-04,1940,1715,88.4
2026-12-01,WC-010,SITE-04,4147,3188,76.9
2027-01-01,WC-010,SITE-04,5405,4539,84.0
2027-02-01,WC-010,SITE-04,3815,2969,77.8
2027-03-01,WC-010,SITE-04,3793,3556,93.8
2027-04-01,WC-010,SITE-04,3155,2899,91.9
2027-05-01,WC-010,SITE-04,4443,3715,83.6
2027-06-01,WC-010,SITE-04,3180,2361,74.2
2027-07-01,WC-010,SITE-04,5189,3986,76.8
2027-08-01,WC-010,SITE-04,4344,4049,93.2
2027-09-01,WC-010,SITE-04,3405,3094,90.9
2027-10-01,WC-010,SITE-04,6463,4656,72.0
2027-11-01,WC-010,SITE-04,6030,4379,72.6
2027-12-01,WC-010,SITE-04,2456,2065,84.1
2026-01-01,WC-011,SITE-04,4800,3484,72.6
2026-02-01,WC-011,SITE-04,5734,4800,83.7
2026-03-01,WC-011,SITE-04,2228,1682,75.5
2026-04-01,WC-011,SITE-04,4444,3343,75.2
2026-05-01,WC-011,SITE-04,6090,4403,72.3
2026-06-01,WC-011,SITE-04,4217,3619,85.8
2026-07-01,WC-011,SITE-04,2637,2355,89.3
2026-08-01,WC-011,SITE-04,3830,2858,74.6
2026-09-01,WC-011,SITE-04,6380,4866,76.3
2026-10-01,WC-011,SITE-04,5940,4698,79.1
2026-11-01,WC-011,SITE-04,2114,1789,84.6
2026-12-01,WC-011,SITE-04,3208,2409,75.1
2027-01-01,WC-011,SITE-04,4945,4610,93.2
2027-02-01,WC-011,SITE-04,4496,4159,92.5
2027-03-01,WC-011,SITE-04,4065,3054,75.1
2027-04-01,WC-011,SITE-04,2259,1803,79.8
2027-05-01,WC-011,SITE-04,3828,3204,83.7
2027-06-01,WC-011,SITE-04,5509,4855,88.1
2027-07-01,WC-011,SITE-04,2503,2184,87.3
2027-08-01,WC-011,SITE-04,5524,4252,77.0
2027-09-01,WC-011,SITE-04,5350,4031,75.3
2027-10-01,WC-011,SITE-04,4027,2903,72.1
2027-11-01,WC-011,SITE-04,1846,1641,88.9
2027-12-01,WC-011,SITE-04,2522,1935,76.7
2026-01-01,WC-012,SITE-04,6558,4799,73.2
2026-02-01,WC-012,SITE-04,5135,3799,74.0
2026-03-01,WC-012,SITE-04,2515,2090,83.1
2026-04-01,WC-012,SITE-04,4222,3086,73.1
2026-05-01,WC-012,SITE-04,3984,3078,77.3
2026-06-01,WC-012,SITE-04,2168,1920,88.6
2026-07-01,WC-012,SITE-04,6140,4971,81.0
2026-08-01,WC-012,SITE-04,4641,3435,74.0
2026-09-01,WC-012,SITE-04,5528,4271,77.3
2026-10-01,WC-012,SITE-04,5976,4621,77.3
2026-11-01,WC-012,SITE-04,3220,2657,82.5
2026-12-01,WC-012,SITE-04,4838,4258,88.0
2027-01-01,WC-012,SITE-04,3030,2264,74.7
2027-02-01,WC-012,SITE-04,3301,2588,78.4
2027-03-01,WC-012,SITE-04,4555,3999,87.8
2027-04-01,WC-012,SITE-04,5619,4977,88.6
2027-05-01,WC-012,SITE-04,2800,2310,82.5
2027-06-01,WC-012,SITE-04,4047,3106,76.7
2027-07-01,WC-012,SITE-04,3254,2777,85.3
2027-08-01,WC-012,SITE-04,4428,4211,95.1
2027-09-01,WC-012,SITE-04,4649,4322,93.0
2027-10-01,WC-012,SITE-04,2805,2207,78.7
2027-11-01,WC-012,SITE-04,1812,1592,87.9
2027-12-01,WC-012,SITE-04,3164,2893,91.4
