Month,ProgramID,Customer,RevenueUSD,Units
2026-03-01,PGM-002,Cascade Defense Systems,831545.88,401
2026-04-01,PGM-002,Cascade Defense Systems,837223.69,645
2026-05-01,PGM-002,Cascade Defense Systems,816108.9,640
2026-06-01,PGM-002,Cascade Defense Systems,813803.09,402
2026-07-01,PGM-002,Cascade Defense Systems,726363.59,392
2024-08-01,PGM-003,Meridian Motors,681520.58,357
2024-09-01,PGM-003,Meridian Motors,689229.82,661
2024-10-01,PGM-003,Meridian Motors,736573.72,310
2024-11-01,PGM-003,Meridian Motors,719579.47,840
2024-12-01,PGM-003,Meridian Motors,821385.89,972
2025-01-01,PGM-003,Meridian Motors,767977.59,401
2025-02-01,PGM-003,Meridian Motors,788300.36,776
2025-03-01,PGM-003,Meridian Motors,753135.1,366
2025-04-01,PGM-003,Meridian Motors,775133.0,384
2025-05-01,PGM-003,Meridian Motors,802232.49,334
2025-06-01,PGM-003,Meridian Motors,777752.95,629
2025-07-01,PGM-003,Meridian Motors,743636.61,365
2025-08-01,PGM-003,Meridian Motors,717630.81,325
2025-09-01,PGM-003,Meridian Motors,750112.72,426
2025-10-01,PGM-003,Meridian Motors,789790.37,715
2025-11-01,PGM-003,Meridian Motors,787148.37,349
2025-12-01,PGM-003,Meridian Motors,825140.61,449
2026-01-01,PGM-003,Meridian Motors,694137.96,460
2026-02-01,PGM-003,Meridian Motors,648599.96,374
2026-03-01,PGM-003,Meridian Motors,711458.07,431
2026-04-01,PGM-003,Meridian Motors,708591.9,755
2026-05-01,PGM-003,Meridian Motors,728576.55,507
2026-06-01,PGM-003,Meridian Motors,653639.45,488
2026-07-01,PGM-003,Meridian Motors,703544.19,549
2024-08-01,PGM-004,Vantage Robotics,540197.48,282
2024-09-01,PGM-004,Vantage Robotics,527928.3,434
2024-10-01,PGM-004,Vantage Robotics,523013.39,245
2024-11-01,PGM-004,Vantage Robotics,595648.94,362
2024-12-01,PGM-004,Vantage Robotics,588270.76,254
2025-01-01,PGM-004,Vantage Robotics,563246.88,281
2025-02-01,PGM-004,Vantage Robotics,581120.95,252
2025-03-01,PGM-004,Vantage Robotics,564644.41,312
2025-04-01,PGM-004,Vantage Robotics,557637.74,562
2025-05-01,PGM-004,Vantage Robotics,539402.79,258
2025-06-01,PGM-004,Vantage Robotics,534775.54,494
2025-07-01,PGM-004,Vantage Robotics,545644.32,229
2025-08-01,PGM-004,Vantage Robotics,549881.01,252
2025-09-01,PGM-004,Vantage Robotics,561231.88,275
2025-10-01,PGM-004,Vantage Robotics,617855.81,664
2025-11-01,PGM-004,Vantage Robotics,639310.18,295
2025-12-01,PGM-004,Vantage Robotics,661540.09,826
2026-01-01,PGM-004,Vantage Robotics,635685.5,278
2026-02-01,PGM-004,Vantage Robotics,603291.86,572
2026-03-01,PGM-004,Vantage Robotics,640720.5,405
2026-04-01,PGM-004,Vantage Robotics,607405.22,499
2026-05-01,PGM-004,Vantage Robotics,629504.6,420
2026-06-01,PGM-004,Vantage Robotics,575762.67,493
2026-07-01,PGM-004,Vantage Robotics,584580.53,285
2024-08-01,PGM-005,Helios Energy,796552.79,321
2024-09-01,PGM-005,Helios Energy,829023.67,361
2024-10-01,PGM-005,Helios Energy,850970.16,586
2024-11-01,PGM-005,Helios Energy,934329.23,404
2024-12-01,PGM-005,Helios Energy,872050.96,823
2025-01-01,PGM-005,Helios Energy,838413.68,379
2025-02-01,PGM-005,Helios Energy,861402.94,363
2025-03-01,PGM-005,Helios Energy,914122.37,539
2025-04-01,PGM-005,Helios Energy,901649.35,792
2025-05-01,PGM-005,Helios Energy,853024.53,761
2025-06-01,PGM-005,Helios Energy,864999.86,768
2025-07-01,PGM-005,Helios Energy,830886.83,606
2025-08-01,PGM-005,Helios Energy,890997.68,512
2025-09-01,PGM-005,Helios Energy,944334.08,410
2025-10-01,PGM-005,Helios Energy,898552.74,757
2025-11-01,PGM-005,Helios Energy,914217.79,619
2025-12-01,PGM-005,Helios Energy,931465.76,701
2026-01-01,PGM-005,Helios Energy,950527.0,779
2026-02-01,PGM-005,Helios Energy,934885.29,516
2026-03-01,PGM-005,Helios Energy,948181.45,705
2026-04-01,PGM-005,Helios Energy,926983.15,492
2026-05-01,PGM-005,Helios Energy,992867.44,481
2026-06-01,PGM-005,Helios Energy,936558.62,388
2026-07-01,PGM-005,Helios Energy,881173.71,666
2024-08-01,PGM-006,Atlas Rail,184589.84,115
2024-09-01,PGM-006,Atlas Rail,180509.69,114
2024-10-01,PGM-006,Atlas Rail,184956.64,100
2024-11-01,PGM-006,Atlas Rail,195055.27,144
2024-12-01,PGM-006,Atlas Rail,190561.75,85
2025-01-01,PGM-006,Atlas Rail,196600.79,117
2025-02-01,PGM-006,Atlas Rail,200835.23,127
2025-03-01,PGM-006,Atlas Rail,209403.96,124
2025-04-01,PGM-006,Atlas Rail,203562.94,167
2025-05-01,PGM-006,Atlas Rail,194080.84,134
2025-06-01,PGM-006,Atlas Rail,205176.82,121
2025-07-01,PGM-006,Atlas Rail,196202.04,84
2025-08-01,PGM-006,Atlas Rail,186135.5,74
2025-09-01,PGM-006,Atlas Rail,197687.79,146
2025-10-01,PGM-006,Atlas Rail,209328.74,94
2025-11-01,PGM-006,Atlas Rail,217572.12,194
2025-12-01,PGM-006,Atlas Rail,232689.39,120
2026-01-01,PGM-006,Atlas Rail,197968.95,113
2026-02-01,PGM-006,Atlas Rail,208762.23,85
2026-03-01,PGM-006,Atlas Rail,233501.5,118
2026-04-01,PGM-006,Atlas Rail,211250.74,96
2026-05-01,PGM-006,Atlas Rail,209122.03,87
2026-06-01,PGM-006,Atlas Rail,202878.25,130
2026-07-01,PGM-006,Atlas Rail,214802.44,123
2024-08-01,PGM-007,BlueLark Medical,384655.47,343
2024-09-01,PGM-007,BlueLark Medical,407988.53,165
2024-10-01,PGM-007,BlueLark Medical,406633.03,229
2024-11-01,PGM-007,BlueLark Medical,431921.94,178
2024-12-01,PGM-007,BlueLark Medical,420645.06,187
2025-01-01,PGM-007,BlueLark Medical,398835.83,250
2025-02-01,PGM-007,BlueLark Medical,433792.66,433
2025-03-01,PGM-007,BlueLark Medical,425699.72,201
2025-04-01,PGM-007,BlueLark Medical,406774.77,164
2025-05-01,PGM-007,BlueLark Medical,386821.3,455
2025-06-01,PGM-007,BlueLark Medical,406505.54,271
2025-07-01,PGM-007,BlueLark Medical,397614.44,396
2025-08-01,PGM-007,BlueLark Medical,406506.9,216
2025-09-01,PGM-007,BlueLark Medical,429177.95,171
2025-10-01,PGM-007,BlueLark Medical,427385.14,176
2025-11-01,PGM-007,BlueLark Medical,444549.44,341
2025-12-01,PGM-007,BlueLark Medical,452797.46,245
2026-01-01,PGM-007,BlueLark Medical,399377.88,257
2026-02-01,PGM-007,BlueLark Medical,408932.66,241
2026-03-01,PGM-007,BlueLark Medical,453437.32,272
2026-04-01,PGM-007,BlueLark Medical,433184.83,325
2026-05-01,PGM-007,BlueLark Medical,438349.49,357
2026-06-01,PGM-007,BlueLark Medical,409953.75,314
2026-07-01,PGM-007,BlueLark Medical,404563.09,398
2024-08-01,PGM-008,Ironclad Industrial,884732.93,594
2024-09-01,PGM-008,Ironclad Industrial,902314.65,586
2024-10-01,PGM-008,Ironclad Industrial,901008.31,810
2024-11-01,PGM-008,Ironclad Industrial,904331.83,654
2024-12-01,PGM-008,Ironclad Industrial,945501.83,546
2025-01-01,PGM-008,Ironclad Industrial,898739.28,785
2025-02-01,PGM-008,Ironclad Industrial,1009239.28,899
2025-03-01,PGM-008,Ironclad Industrial,1015080.11,406
2025-04-01,PGM-008,Ironclad Industrial,957050.84,1059
2025-05-01,PGM-008,Ironclad Industrial,933547.54,1123
2025-06-01,PGM-008,Ironclad Industrial,949121.0,937
2025-07-01,PGM-008,Ironclad Industrial,947365.72,397
2025-08-01,PGM-008,Ironclad Industrial,979747.68,851
2025-09-01,PGM-008,Ironclad Industrial,1048120.67,835
2025-10-01,PGM-008,Ironclad Industrial,1080275.67,1199
2025-11-01,PGM-008,Ironclad Industrial,1083872.22,694
2025-12-01,PGM-008,Ironclad Industrial,1154769.62,757
2026-01-01,PGM-008,Ironclad Industrial,1065709.69,709
2026-02-01,PGM-008,Ironclad Industrial,1152320.51,589
2026-03-01,PGM-008,Ironclad Industrial,1154126.2,1190
2026-04-01,PGM-008,Ironclad Industrial,1165832.91,483
2026-05-01,PGM-008,Ironclad Industrial,1188473.18,625
2026-06-01,PGM-008,Ironclad Industrial,1071408.23,449
2026-07-01,PGM-008,Ironclad Industrial,1176323.24,558
2024-08-01,PGM-009,Sterling Marine,605983.52,354
2024-09-01,PGM-009,Sterling Marine,653888.07,780
2024-10-01,PGM-009,Sterling Marine,648692.35,382
2024-11-01,PGM-009,Sterling Marine,643840.85,311
2024-12-01,PGM-009,Sterling Marine,703580.51,584
2025-01-01,PGM-009,Sterling Marine,648233.69,470
2025-02-01,PGM-009,Sterling Marine,691464.88,283
2025-03-01,PGM-009,Sterling Marine,718410.03,325
2025-04-01,PGM-009,Sterling Marine,689294.9,725
2025-05-01,PGM-009,Sterling Marine,715694.4,299
2025-06-01,PGM-009,Sterling Marine,689628.23,418
2025-07-01,PGM-009,Sterling Marine,648252.42,359
2025-08-01,PGM-009,Sterling Marine,641324.13,687
2025-09-01,PGM-009,Sterling Marine,713323.83,340
2025-10-01,PGM-009,Sterling Marine,725914.99,304
2025-11-01,PGM-009,Sterling Marine,750714.72,431
2025-12-01,PGM-009,Sterling Marine,739362.81,791
2026-01-01,PGM-009,Sterling Marine,767133.21,603
2026-02-01,PGM-009,Sterling Marine,777765.07,324
2026-03-01,PGM-009,Sterling Marine,799838.82,331
2026-04-01,PGM-009,Sterling Marine,773618.47,379
2026-05-01,PGM-009,Sterling Marine,769030.57,375
2026-06-01,PGM-009,Sterling Marine,761449.73,331
2026-07-01,PGM-009,Sterling Marine,696956.51,382
