dept,account_id,account_name,Q1_budget,Q2_budget,Q3_budget,Q4_budget
EHS,7600,Marketing,6360,6300,6396,6300
EHS,8000,Research & Development,6259,6238,6284,6193
EHS,9000,Capital Expenditure,10586,10302,10639,10511
Executive,6000,Cost of Goods Sold,434776,435372,435885,439279
Executive,6100,Direct Materials,186229,183422,181591,180513
Executive,6200,Direct Labor,130586,134648,130433,130201
Executive,6300,Manufacturing Overhead,74269,74488,74471,73945
Executive,7000,Salaries & Benefits,146942,147628,149756,144687
Executive,7100,Travel & Entertainment,21754,22296,21748,22388
Executive,7200,Professional Services,36562,36440,37246,36609
Executive,7300,Facilities,44194,43275,43528,43401
Executive,7400,Depreciation,29312,29492,29056,29819
Executive,7500,IT & Software,21767,21635,21768,21973
Executive,7600,Marketing,22457,22111,22094,21693
Executive,8000,Research & Development,22473,21844,22208,21846
Executive,9000,Capital Expenditure,37233,36104,36818,37291
