month,dept,headcount
2024-07-01,Quality,20
2024-08-01,Quality,21
2024-09-01,Quality,20
2024-10-01,Quality,20
2024-11-01,Quality,21
2024-12-01,Quality,20
2025-01-01,Quality,23
2025-02-01,Quality,21
2025-03-01,Quality,21
2025-04-01,Quality,22
2025-05-01,Quality,22
2025-06-01,Quality,22
2025-07-01,Quality,21
2025-08-01,Quality,22
2025-09-01,Quality,21
2025-10-01,Quality,23
2025-11-01,Quality,23
2025-12-01,Quality,21
2026-01-01,Quality,20
2026-02-01,Quality,22
2026-03-01,Quality,22
2026-04-01,Quality,20
2026-05-01,Quality,22
2026-06-01,Quality,22
2026-07-01,Quality,20
2023-01-01,Sales,25
2023-02-01,Sales,25
2023-03-01,Sales,26
2023-04-01,Sales,24
2023-05-01,Sales,26
2023-06-01,Sales,26
2023-07-01,Sales,24
2023-08-01,Sales,25
2023-09-01,Sales,26
2023-10-01,Sales,26
2023-11-01,Sales,25
2023-12-01,Sales,24
2024-01-01,Sales,26
2024-02-01,Sales,26
2024-03-01,Sales,26
2024-04-01,Sales,26
2024-05-01,Sales,28
2024-06-01,Sales,28
2024-07-01,Sales,27
2024-08-01,Sales,27
2024-09-01,Sales,27
2024-10-01,Sales,27
2024-11-01,Sales,26
2024-12-01,Sales,26
2025-01-01,Sales,28
2025-02-01,Sales,29
2025-03-01,Sales,27
2025-04-01,Sales,27
2025-05-01,Sales,29
2025-06-01,Sales,29
2025-07-01,Sales,29
2025-08-01,Sales,29
2025-09-01,Sales,29
2025-10-01,Sales,28
2025-11-01,Sales,29
2025-12-01,Sales,27
2026-01-01,Sales,28
2026-02-01,Sales,27
2026-03-01,Sales,26
2026-04-01,Sales,28
2026-05-01,Sales,28
2026-06-01,Sales,28
2026-07-01,Sales,26
2023-01-01,EHS,6
2023-02-01,EHS,5
2023-03-01,EHS,5
2023-04-01,EHS,6
2023-05-01,EHS,4
2023-06-01,EHS,4
2023-07-01,EHS,5
2023-08-01,EHS,5
2023-09-01,EHS,4
2023-10-01,EHS,4
2023-11-01,EHS,5
2023-12-01,EHS,6
2024-01-01,EHS,7
2024-02-01,EHS,5
2024-03-01,EHS,7
2024-04-01,EHS,5
2024-05-01,EHS,6
2024-06-01,EHS,6
2024-07-01,EHS,5
2024-08-01,EHS,6
2024-09-01,EHS,7
2024-10-01,EHS,6
2024-11-01,EHS,6
2024-12-01,EHS,7
2025-01-01,EHS,7
2025-02-01,EHS,5
2025-03-01,EHS,6
2025-04-01,EHS,5
2025-05-01,EHS,5
2025-06-01,EHS,7
2025-07-01,EHS,5
2025-08-01,EHS,5
2025-09-01,EHS,6
2025-10-01,EHS,5
2025-11-01,EHS,5
2025-12-01,EHS,5
2026-01-01,EHS,6
2026-02-01,EHS,7
2026-03-01,EHS,6
2026-04-01,EHS,7
2026-05-01,EHS,7
2026-06-01,EHS,7
2026-07-01,EHS,6
2023-01-01,Executive,3
2023-02-01,Executive,4
2023-03-01,Executive,3
2023-04-01,Executive,2
2023-05-01,Executive,4
2023-06-01,Executive,4
2023-07-01,Executive,4
2023-08-01,Executive,4
2023-09-01,Executive,2
2023-10-01,Executive,3
2023-11-01,Executive,2
2023-12-01,Executive,3
2024-01-01,Executive,2
2024-02-01,Executive,4
2024-03-01,Executive,2
2024-04-01,Executive,2
2024-05-01,Executive,4
2024-06-01,Executive,3
2024-07-01,Executive,3
2024-08-01,Executive,4
2024-09-01,Executive,4
2024-10-01,Executive,4
2024-11-01,Executive,4
2024-12-01,Executive,4
2025-01-01,Executive,2
2025-02-01,Executive,3
2025-03-01,Executive,4
2025-04-01,Executive,3
2025-05-01,Executive,4
2025-06-01,Executive,2
2025-07-01,Executive,2
2025-08-01,Executive,2
2025-09-01,Executive,2
2025-10-01,Executive,3
2025-11-01,Executive,2
2025-12-01,Executive,3
2026-01-01,Executive,4
2026-02-01,Executive,4
2026-03-01,Executive,2
2026-04-01,Executive,3
2026-05-01,Executive,4
2026-06-01,Executive,4
2026-07-01,Executive,4
