emp_id,course_id,course_name,completion_date,score
E1014,EHS-002,Forklift Certification,2025-05-15,63
E1014,FIN-001,Financial Compliance,2024-03-28,76
E1015,MFG-001,Lean Manufacturing Basics,2024-01-28,74
E1015,FIN-001,Financial Compliance,2026-06-06,85
E1015,MFG-002,5S Workplace Organization,2025-08-20,78
E1015,ENG-001,CAD Software Proficiency,2026-01-12,85
E1015,EHS-001,Safety Fundamentals,2024-02-13,51
E1015,QA-001,Quality Management System,2025-05-27,89
E1017,MFG-002,5S Workplace Organization,2026-04-26,88
E1017,HR-001,Anti-Harassment Training,2026-04-06,78
E1017,EHS-002,Forklift Certification,2025-06-20,61
E1017,QA-001,Quality Management System,2026-06-05,95
E1017,MFG-001,Lean Manufacturing Basics,2025-02-14,84
E1017,EHS-001,Safety Fundamentals,2024-02-09,83
E1017,FIN-001,Financial Compliance,2025-01-23,96
E1017,IT-001,Information Security Awareness,2026-06-19,92
E1017,HR-002,Code of Conduct,2026-02-22,43
E1018,ENG-001,CAD Software Proficiency,2026-05-02,75
E1018,EHS-002,Forklift Certification,2026-02-17,90
E1018,MFG-002,5S Workplace Organization,2025-03-03,94
E1018,MFG-001,Lean Manufacturing Basics,2025-06-08,80
E1018,QA-001,Quality Management System,2025-01-17,79
E1018,FIN-001,Financial Compliance,2026-06-13,87
E1018,HR-002,Code of Conduct,2024-02-15,56
E1018,IT-001,Information Security Awareness,2026-04-03,63
E1018,HR-001,Anti-Harassment Training,2025-06-04,63
E1018,EHS-001,Safety Fundamentals,2026-06-01,13
E1019,MFG-002,5S Workplace Organization,2026-02-21,91
E1019,EHS-001,Safety Fundamentals,2025-06-12,6
E1019,ENG-001,CAD Software Proficiency,2024-08-11,92
E1019,FIN-001,Financial Compliance,2026-05-16,97
E1019,QA-001,Quality Management System,2026-03-23,93
E1019,IT-001,Information Security Awareness,2024-02-25,84
E1019,HR-001,Anti-Harassment Training,2024-01-11,45
E1019,HR-002,Code of Conduct,2026-03-18,66
E1020,EHS-002,Forklift Certification,2025-10-07,72
E1020,EHS-001,Safety Fundamentals,2024-07-07,58
E1020,HR-001,Anti-Harassment Training,2024-12-11,13
E1020,HR-002,Code of Conduct,2025-01-21,86
E1020,FIN-001,Financial Compliance,2026-01-25,89
E1020,MFG-002,5S Workplace Organization,2025-11-19,86
E1020,ENG-001,CAD Software Proficiency,2024-08-01,91
E1021,ENG-001,CAD Software Proficiency,2026-04-17,99
E1021,MFG-002,5S Workplace Organization,2024-12-19,75
E1022,EHS-002,Forklift Certification,2025-07-20,75
E1022,MFG-002,5S Workplace Organization,2025-07-11,79
E1022,MFG-001,Lean Manufacturing Basics,2025-03-05,83
E1022,IT-001,Information Security Awareness,2026-06-24,65
E1023,ENG-001,CAD Software Proficiency,2026-03-22,86
E1023,MFG-001,Lean Manufacturing Basics,2026-02-23,90
E1023,HR-002,Code of Conduct,2024-09-18,88
E1023,EHS-002,Forklift Certification,2026-03-23,67
E1023,MFG-002,5S Workplace Organization,2025-09-16,88
E1023,IT-001,Information Security Awareness,2026-06-23,53
E1024,IT-001,Information Security Awareness,2024-05-25,100
E1024,MFG-002,5S Workplace Organization,2024-05-22,78
E1024,EHS-001,Safety Fundamentals,2024-01-23,100
E1024,FIN-001,Financial Compliance,2025-04-25,92
E1024,QA-001,Quality Management System,2024-06-27,93
E1024,MFG-001,Lean Manufacturing Basics,2024-10-28,91
E1024,HR-002,Code of Conduct,2026-05-28,28
E1024,ENG-001,CAD Software Proficiency,2026-06-18,87
E1024,HR-001,Anti-Harassment Training,2024-09-26,89
E1024,EHS-002,Forklift Certification,2025-12-22,63
E1025,MFG-002,5S Workplace Organization,2026-04-27,77
E1025,FIN-001,Financial Compliance,2026-06-23,95
E1025,MFG-001,Lean Manufacturing Basics,2025-10-18,93
E1025,IT-001,Information Security Awareness,2026-02-25,92
E1025,EHS-001,Safety Fundamentals,2024-05-15,22
E1025,QA-001,Quality Management System,2026-01-06,76
E1025,HR-001,Anti-Harassment Training,2026-05-04,48
E1025,ENG-001,CAD Software Proficiency,2024-07-09,92
E1026,HR-001,Anti-Harassment Training,2026-02-02,19
E1026,FIN-001,Financial Compliance,2025-10-02,99
E1026,IT-001,Information Security Awareness,2026-05-27,84
E1026,EHS-001,Safety Fundamentals,2025-08-26,73
E1026,ENG-001,CAD Software Proficiency,2026-03-03,100
E1026,HR-002,Code of Conduct,2026-03-17,28
E1027,ENG-001,CAD Software Proficiency,2026-05-13,77
E1027,EHS-002,Forklift Certification,2025-04-07,81
E1027,HR-001,Anti-Harassment Training,2025-06-10,27
E1027,HR-002,Code of Conduct,2026-05-16,71
E1028,EHS-002,Forklift Certification,2025-04-21,99
E1028,MFG-001,Lean Manufacturing Basics,2026-02-02,91
E1029,MFG-002,5S Workplace Organization,2026-03-17,95
E1029,EHS-002,Forklift Certification,2026-04-16,62
E1029,FIN-001,Financial Compliance,2025-11-07,85
E1029,HR-001,Anti-Harassment Training,2026-01-04,21
E1029,IT-001,Information Security Awareness,2026-05-01,80
E1029,QA-001,Quality Management System,2024-04-22,78
E1029,EHS-001,Safety Fundamentals,2026-04-27,13
E1031,ENG-001,CAD Software Proficiency,2024-01-15,97
E1031,MFG-002,5S Workplace Organization,2025-01-03,72
E1031,EHS-002,Forklift Certification,2024-03-26,76
E1031,MFG-001,Lean Manufacturing Basics,2026-01-19,77
E1031,FIN-001,Financial Compliance,2025-07-13,89
E1032,MFG-002,5S Workplace Organization,2026-05-03,94
E1032,MFG-001,Lean Manufacturing Basics,2026-05-02,92
E1032,EHS-001,Safety Fundamentals,2024-06-17,13
E1032,HR-002,Code of Conduct,2025-11-10,77
E1032,ENG-001,CAD Software Proficiency,2024-05-25,89
E1032,QA-001,Quality Management System,2025-07-27,66
E1032,IT-001,Information Security Awareness,2025-03-18,28
E1032,HR-001,Anti-Harassment Training,2024-12-13,69
E1033,HR-001,Anti-Harassment Training,2024-02-02,0
E1033,IT-001,Information Security Awareness,2026-05-13,68
E1033,MFG-001,Lean Manufacturing Basics,2026-01-10,76
E1033,EHS-001,Safety Fundamentals,2026-06-24,44
E1033,ENG-001,CAD Software Proficiency,2024-07-21,91
E1033,QA-001,Quality Management System,2024-03-06,79
E1034,HR-002,Code of Conduct,2026-04-21,70
E1034,EHS-002,Forklift Certification,2024-05-22,64
E1034,HR-001,Anti-Harassment Training,2025-02-07,92
E1034,MFG-001,Lean Manufacturing Basics,2026-04-11,81
E1034,IT-001,Information Security Awareness,2024-11-21,30
E1034,EHS-001,Safety Fundamentals,2024-05-20,8
E1035,MFG-001,Lean Manufacturing Basics,2026-03-23,88
E1035,QA-001,Quality Management System,2024-10-19,88
E1035,ENG-001,CAD Software Proficiency,2025-07-06,75
E1035,HR-001,Anti-Harassment Training,2025-04-26,28
E1035,IT-001,Information Security Awareness,2026-06-21,55
E1036,MFG-001,Lean Manufacturing Basics,2025-05-16,87
E1036,HR-001,Anti-Harassment Training,2024-03-21,77
E1036,FIN-001,Financial Compliance,2024-05-28,79
E1036,HR-002,Code of Conduct,2026-02-09,93
E1036,MFG-002,5S Workplace Organization,2026-01-24,72
E1036,QA-001,Quality Management System,2024-09-21,66
E1037,FIN-001,Financial Compliance,2024-06-13,82
E1037,HR-002,Code of Conduct,2026-06-28,37
E1037,EHS-001,Safety Fundamentals,2024-08-17,65
E1037,IT-001,Information Security Awareness,2024-07-12,64
E1037,HR-001,Anti-Harassment Training,2024-11-08,78
E1037,MFG-002,5S Workplace Organization,2026-02-25,86
E1037,ENG-001,CAD Software Proficiency,2024-08-06,80
E1037,MFG-001,Lean Manufacturing Basics,2026-05-22,74
E1038,MFG-001,Lean Manufacturing Basics,2024-01-22,76
E1038,EHS-001,Safety Fundamentals,2026-03-13,60
E1038,HR-002,Code of Conduct,2025-01-02,83
E1038,MFG-002,5S Workplace Organization,2025-02-23,86
E1038,QA-001,Quality Management System,2026-03-27,81
E1038,EHS-002,Forklift Certification,2026-05-19,71
E1038,ENG-001,CAD Software Proficiency,2025-11-13,86
E1038,IT-001,Information Security Awareness,2026-06-27,9
E1038,HR-001,Anti-Harassment Training,2026-03-13,28
E1039,MFG-002,5S Workplace Organization,2024-04-03,86
E1039,MFG-001,Lean Manufacturing Basics,2026-03-07,74
E1039,ENG-001,CAD Software Proficiency,2024-03-12,94
E1039,HR-002,Code of Conduct,2026-01-22,29
E1039,FIN-001,Financial Compliance,2025-06-24,78
E1039,IT-001,Information Security Awareness,2025-11-16,61
E1039,EHS-001,Safety Fundamentals,2024-10-06,82
E1039,HR-001,Anti-Harassment Training,2025-01-08,5
E1039,QA-001,Quality Management System,2024-10-19,75
E1039,EHS-002,Forklift Certification,2024-11-17,62
E1040,EHS-001,Safety Fundamentals,2026-04-20,72
E1040,HR-001,Anti-Harassment Training,2026-01-24,93
E1040,IT-001,Information Security Awareness,2026-03-03,27
E1040,EHS-002,Forklift Certification,2025-10-16,90
E1041,HR-002,Code of Conduct,2026-02-20,84
E1041,MFG-002,5S Workplace Organization,2026-03-06,93
E1041,HR-001,Anti-Harassment Training,2026-03-15,76
E1041,ENG-001,CAD Software Proficiency,2026-01-08,87
E1042,HR-001,Anti-Harassment Training,2026-01-06,60
E1042,EHS-002,Forklift Certification,2026-05-02,94
E1042,EHS-001,Safety Fundamentals,2026-01-03,61
E1042,ENG-001,CAD Software Proficiency,2026-02-20,92
E1042,IT-001,Information Security Awareness,2024-11-21,55
E1042,MFG-001,Lean Manufacturing Basics,2026-04-12,71
E1042,HR-002,Code of Conduct,2026-05-14,29
E1042,QA-001,Quality Management System,2025-07-12,71
E1043,HR-001,Anti-Harassment Training,2026-04-09,24
E1043,IT-001,Information Security Awareness,2024-12-24,0
E1043,QA-001,Quality Management System,2026-05-04,98
E1043,MFG-002,5S Workplace Organization,2024-07-21,76
E1043,EHS-002,Forklift Certification,2026-03-14,83
E1043,EHS-001,Safety Fundamentals,2024-03-14,83
E1043,FIN-001,Financial Compliance,2026-03-09,92
E1043,HR-002,Code of Conduct,2025-10-12,78
E1044,MFG-002,5S Workplace Organization,2024-06-18,87
E1044,HR-002,Code of Conduct,2025-05-10,73
E1044,FIN-001,Financial Compliance,2025-12-13,98
E1044,IT-001,Information Security Awareness,2024-11-04,95
E1044,QA-001,Quality Management System,2024-08-26,75
E1044,ENG-001,CAD Software Proficiency,2024-04-17,87
E1045,ENG-001,CAD Software Proficiency,2024-08-20,88
E1045,EHS-001,Safety Fundamentals,2024-02-09,28
E1045,HR-001,Anti-Harassment Training,2025-02-20,4
E1045,HR-002,Code of Conduct,2026-04-13,78
E1045,MFG-001,Lean Manufacturing Basics,2026-05-10,92
E1045,FIN-001,Financial Compliance,2026-01-25,80
E1045,IT-001,Information Security Awareness,2026-04-15,1
E1046,ENG-001,CAD Software Proficiency,2026-05-23,82
E1046,IT-001,Information Security Awareness,2026-02-22,4
E1046,HR-002,Code of Conduct,2025-04-21,0
E1046,EHS-001,Safety Fundamentals,2024-02-09,99
E1046,FIN-001,Financial Compliance,2025-06-22,87
E1047,FIN-001,Financial Compliance,2025-12-27,92
E1047,HR-002,Code of Conduct,2026-03-12,35
E1047,EHS-001,Safety Fundamentals,2024-10-07,58
E1047,MFG-001,Lean Manufacturing Basics,2025-10-01,78
E1047,MFG-002,5S Workplace Organization,2024-07-17,73
E1047,QA-001,Quality Management System,2026-01-17,83
E1047,IT-001,Information Security Awareness,2025-02-26,65
E1047,HR-001,Anti-Harassment Training,2025-09-27,73
E1048,QA-001,Quality Management System,2025-11-15,66
E1048,MFG-002,5S Workplace Organization,2025-02-09,72
E1048,FIN-001,Financial Compliance,2025-11-26,82
E1048,ENG-001,CAD Software Proficiency,2026-06-08,100
E1048,EHS-002,Forklift Certification,2025-07-12,93
E1048,HR-001,Anti-Harassment Training,2026-01-23,33
E1049,IT-001,Information Security Awareness,2025-02-18,22
E1049,EHS-002,Forklift Certification,2025-06-12,73
E1049,MFG-002,5S Workplace Organization,2026-03-06,93
E1049,MFG-001,Lean Manufacturing Basics,2026-02-16,93
E1049,QA-001,Quality Management System,2024-04-24,80
E1050,HR-002,Code of Conduct,2025-03-25,13
E1050,FIN-001,Financial Compliance,2024-02-22,96
E1050,ENG-001,CAD Software Proficiency,2025-10-01,99
E1050,MFG-002,5S Workplace Organization,2026-01-28,85
E1050,EHS-002,Forklift Certification,2025-10-11,91
E1050,IT-001,Information Security Awareness,2026-03-16,23
E1051,IT-001,Information Security Awareness,2026-01-17,44
E1051,MFG-002,5S Workplace Organization,2025-11-25,75
E1051,HR-002,Code of Conduct,2025-02-23,66
E1051,ENG-001,CAD Software Proficiency,2025-06-23,75
E1051,FIN-001,Financial Compliance,2024-11-07,87
E1051,EHS-002,Forklift Certification,2026-01-11,83
E1051,EHS-001,Safety Fundamentals,2026-03-06,70
E1051,HR-001,Anti-Harassment Training,2025-04-09,60
E1051,MFG-001,Lean Manufacturing Basics,2026-03-12,75
E1051,QA-001,Quality Management System,2025-07-07,91
E1052,MFG-001,Lean Manufacturing Basics,2026-06-08,73
E1052,MFG-002,5S Workplace Organization,2026-03-26,77
E1052,IT-001,Information Security Awareness,2026-04-28,48
E1052,HR-002,Code of Conduct,2024-03-26,94
E1052,EHS-002,Forklift Certification,2024-08-26,60
E1052,QA-001,Quality Management System,2024-07-16,73
E1052,FIN-001,Financial Compliance,2026-05-18,98
E1053,QA-001,Quality Management System,2024-12-06,68
E1053,IT-001,Information Security Awareness,2024-05-16,80
E1053,ENG-001,CAD Software Proficiency,2024-08-24,85
E1053,FIN-001,Financial Compliance,2025-06-12,92
E1053,MFG-002,5S Workplace Organization,2026-03-12,70
E1053,EHS-001,Safety Fundamentals,2025-02-12,86
E1053,HR-002,Code of Conduct,2026-02-19,73
E1054,HR-001,Anti-Harassment Training,2025-10-10,59
E1054,IT-001,Information Security Awareness,2026-02-28,21
E1054,MFG-001,Lean Manufacturing Basics,2026-03-14,90
E1054,FIN-001,Financial Compliance,2026-05-13,77
E1054,QA-001,Quality Management System,2024-03-11,79
E1054,ENG-001,CAD Software Proficiency,2025-06-21,84
E1054,HR-002,Code of Conduct,2026-03-20,82
E1054,MFG-002,5S Workplace Organization,2025-05-15,94
E1054,EHS-002,Forklift Certification,2025-12-19,93
E1054,EHS-001,Safety Fundamentals,2025-07-06,23
E1055,HR-001,Anti-Harassment Training,2026-03-24,89
E1055,HR-002,Code of Conduct,2026-01-07,21
E1056,EHS-002,Forklift Certification,2026-01-04,76
E1056,FIN-001,Financial Compliance,2026-02-03,95
E1056,ENG-001,CAD Software Proficiency,2025-05-08,82
E1056,HR-002,Code of Conduct,2026-03-15,80
E1056,IT-001,Information Security Awareness,2024-03-17,21
E1056,EHS-001,Safety Fundamentals,2024-01-22,45
E1056,MFG-001,Lean Manufacturing Basics,2025-08-15,87
E1056,QA-001,Quality Management System,2025-09-15,73
E1057,HR-001,Anti-Harassment Training,2024-08-10,46
E1057,QA-001,Quality Management System,2025-05-05,84
E1057,MFG-002,5S Workplace Organization,2024-01-17,94
E1057,IT-001,Information Security Awareness,2024-06-10,60
E1057,MFG-001,Lean Manufacturing Basics,2026-01-23,85
E1057,ENG-001,CAD Software Proficiency,2025-05-01,99
E1057,FIN-001,Financial Compliance,2025-05-20,82
E1057,EHS-002,Forklift Certification,2024-09-12,72
E1057,HR-002,Code of Conduct,2025-09-14,50
E1057,EHS-001,Safety Fundamentals,2024-03-23,94
E1058,MFG-002,5S Workplace Organization,2026-06-18,95
E1058,HR-002,Code of Conduct,2025-07-07,8
E1058,IT-001,Information Security Awareness,2024-03-10,14
E1058,EHS-001,Safety Fundamentals,2026-04-20,57
E1058,ENG-001,CAD Software Proficiency,2025-12-20,90
E1058,EHS-002,Forklift Certification,2024-06-01,69
E1058,HR-001,Anti-Harassment Training,2024-09-01,23
E1058,QA-001,Quality Management System,2024-05-09,73
E1059,EHS-001,Safety Fundamentals,2025-08-12,59
E1059,HR-002,Code of Conduct,2026-01-11,10
E1059,EHS-002,Forklift Certification,2024-01-09,85
E1059,QA-001,Quality Management System,2024-09-16,76
E1059,FIN-001,Financial Compliance,2024-05-27,87
E1059,ENG-001,CAD Software Proficiency,2024-02-25,97
E1059,MFG-002,5S Workplace Organization,2024-07-25,84
E1059,IT-001,Information Security Awareness,2024-12-02,25
E1059,HR-001,Anti-Harassment Training,2025-12-25,12
E1060,HR-002,Code of Conduct,2025-08-21,38
E1060,QA-001,Quality Management System,2024-06-02,78
E1060,MFG-002,5S Workplace Organization,2024-04-21,83
E1060,MFG-001,Lean Manufacturing Basics,2025-01-06,95
E1060,HR-001,Anti-Harassment Training,2025-10-04,50
E1060,ENG-001,CAD Software Proficiency,2024-01-02,93
E1060,EHS-002,Forklift Certification,2026-04-23,98
E1060,IT-001,Information Security Awareness,2024-06-25,11
E1060,EHS-001,Safety Fundamentals,2024-03-16,11
E1060,FIN-001,Financial Compliance,2026-05-11,99
E1061,EHS-001,Safety Fundamentals,2026-02-23,68
E1061,MFG-001,Lean Manufacturing Basics,2024-03-16,77
E1062,ENG-001,CAD Software Proficiency,2025-12-05,83
E1062,MFG-001,Lean Manufacturing Basics,2024-08-23,84
E1062,QA-001,Quality Management System,2026-03-18,96
E1062,FIN-001,Financial Compliance,2024-10-06,92
E1062,EHS-002,Forklift Certification,2025-06-24,89
E1062,EHS-001,Safety Fundamentals,2025-10-28,70
E1062,HR-002,Code of Conduct,2024-02-17,19
E1063,IT-001,Information Security Awareness,2024-10-28,46
E1063,FIN-001,Financial Compliance,2026-02-11,98
E1063,MFG-001,Lean Manufacturing Basics,2024-11-18,82
E1063,HR-002,Code of Conduct,2024-09-22,63
E1063,EHS-001,Safety Fundamentals,2026-02-20,36
E1063,ENG-001,CAD Software Proficiency,2025-07-21,85
E1063,MFG-002,5S Workplace Organization,2024-02-17,91
E1063,HR-001,Anti-Harassment Training,2024-01-27,16
E1063,QA-001,Quality Management System,2024-01-07,71
E1064,HR-002,Code of Conduct,2024-06-08,77
E1064,EHS-002,Forklift Certification,2026-01-01,73
E1064,EHS-001,Safety Fundamentals,2026-04-27,10
E1064,IT-001,Information Security Awareness,2025-11-02,46
E1064,MFG-001,Lean Manufacturing Basics,2026-06-14,81
E1064,FIN-001,Financial Compliance,2026-01-27,94
E1064,MFG-002,5S Workplace Organization,2025-09-02,93
E1064,HR-001,Anti-Harassment Training,2024-05-03,27
E1064,ENG-001,CAD Software Proficiency,2026-01-04,98
E1065,ENG-001,CAD Software Proficiency,2026-02-19,95
E1065,MFG-002,5S Workplace Organization,2024-09-24,87
E1065,HR-002,Code of Conduct,2025-12-04,98
E1065,EHS-002,Forklift Certification,2026-05-12,89
E1065,IT-001,Information Security Awareness,2026-06-14,13
E1066,HR-001,Anti-Harassment Training,2025-11-06,68
E1066,ENG-001,CAD Software Proficiency,2026-04-12,85
E1066,MFG-002,5S Workplace Organization,2026-03-28,81
E1066,IT-001,Information Security Awareness,2025-11-14,92
E1067,FIN-001,Financial Compliance,2025-08-13,75
E1067,HR-002,Code of Conduct,2026-01-10,76
E1067,ENG-001,CAD Software Proficiency,2024-09-05,84
E1067,QA-001,Quality Management System,2024-05-08,78
E1067,IT-001,Information Security Awareness,2025-01-25,88
E1067,HR-001,Anti-Harassment Training,2025-09-17,71
E1067,MFG-001,Lean Manufacturing Basics,2026-05-05,73
E1068,QA-001,Quality Management System,2024-03-09,88
E1068,MFG-001,Lean Manufacturing Basics,2026-02-08,78
E1069,EHS-002,Forklift Certification,2025-03-16,96
E1069,MFG-002,5S Workplace Organization,2024-10-21,79
E1069,HR-002,Code of Conduct,2024-12-26,73
E1069,MFG-001,Lean Manufacturing Basics,2025-02-25,71
E1069,EHS-001,Safety Fundamentals,2025-06-27,55
E1069,HR-001,Anti-Harassment Training,2025-02-28,98
E1070,FIN-001,Financial Compliance,2026-01-11,92
E1070,EHS-001,Safety Fundamentals,2026-02-11,64
E1070,MFG-002,5S Workplace Organization,2026-02-05,71
E1070,ENG-001,CAD Software Proficiency,2026-06-13,89
E1070,HR-001,Anti-Harassment Training,2026-05-17,11
E1072,MFG-002,5S Workplace Organization,2025-02-16,88
E1072,IT-001,Information Security Awareness,2026-01-18,51
E1072,FIN-001,Financial Compliance,2025-02-13,91
E1072,EHS-002,Forklift Certification,2025-12-05,68
E1072,QA-001,Quality Management System,2025-09-07,96
E1073,FIN-001,Financial Compliance,2026-05-03,78
E1073,HR-002,Code of Conduct,2026-04-14,46
E1073,ENG-001,CAD Software Proficiency,2025-04-11,86
E1073,EHS-002,Forklift Certification,2026-06-01,79
E1073,EHS-001,Safety Fundamentals,2024-06-20,56
E1073,HR-001,Anti-Harassment Training,2026-02-15,5
E1073,QA-001,Quality Management System,2024-04-22,88
E1073,MFG-002,5S Workplace Organization,2024-12-28,72
E1074,EHS-001,Safety Fundamentals,2025-01-11,88
E1074,HR-002,Code of Conduct,2024-05-15,60
E1074,HR-001,Anti-Harassment Training,2024-06-07,94
E1075,HR-002,Code of Conduct,2026-06-17,5
E1075,FIN-001,Financial Compliance,2025-03-02,84
E1075,IT-001,Information Security Awareness,2024-12-20,34
E1075,QA-001,Quality Management System,2024-08-21,65
E1075,ENG-001,CAD Software Proficiency,2024-07-22,83
E1075,MFG-002,5S Workplace Organization,2026-06-12,73
E1075,EHS-002,Forklift Certification,2024-05-28,84
E1075,HR-001,Anti-Harassment Training,2024-07-17,90
E1075,EHS-001,Safety Fundamentals,2024-06-16,76
E1075,MFG-001,Lean Manufacturing Basics,2026-01-06,76
E1076,QA-001,Quality Management System,2026-02-01,87
E1076,ENG-001,CAD Software Proficiency,2026-03-12,95
E1076,EHS-001,Safety Fundamentals,2025-04-17,35
E1076,FIN-001,Financial Compliance,2024-11-09,87
E1076,EHS-002,Forklift Certification,2024-09-09,74
E1076,IT-001,Information Security Awareness,2024-06-13,84
E1076,HR-001,Anti-Harassment Training,2024-02-24,48
E1076,MFG-001,Lean Manufacturing Basics,2026-06-20,90
E1076,HR-002,Code of Conduct,2026-02-14,30
E1076,MFG-002,5S Workplace Organization,2026-02-14,79
E1077,QA-001,Quality Management System,2024-05-23,98
E1077,ENG-001,CAD Software Proficiency,2024-07-25,79
E1077,HR-001,Anti-Harassment Training,2026-05-06,40
E1077,EHS-002,Forklift Certification,2024-09-18,67
E1077,MFG-001,Lean Manufacturing Basics,2024-06-27,74
E1077,MFG-002,5S Workplace Organization,2026-01-25,80
E1077,IT-001,Information Security Awareness,2025-07-10,56
E1078,HR-001,Anti-Harassment Training,2026-05-09,77
E1078,HR-002,Code of Conduct,2026-05-08,76
E1078,EHS-002,Forklift Certification,2024-04-22,61
E1078,QA-001,Quality Management System,2025-02-23,95
E1078,MFG-002,5S Workplace Organization,2024-09-28,89
E1078,EHS-001,Safety Fundamentals,2025-12-21,47
E1079,MFG-002,5S Workplace Organization,2024-04-08,71
E1079,QA-001,Quality Management System,2025-01-09,91
E1079,ENG-001,CAD Software Proficiency,2024-12-22,81
E1079,EHS-002,Forklift Certification,2024-02-06,88
E1080,MFG-001,Lean Manufacturing Basics,2025-10-24,88
E1080,QA-001,Quality Management System,2026-05-17,67
E1080,HR-002,Code of Conduct,2026-01-15,58
E1080,ENG-001,CAD Software Proficiency,2024-04-17,92
E1080,MFG-002,5S Workplace Organization,2025-12-02,87
E1080,EHS-001,Safety Fundamentals,2025-09-25,80
