month,dept,turnover_count,turnover_rate_pct
2025-04-01,Executive,0,0.0
2025-05-01,Executive,0,0.0
2025-06-01,Executive,0,0.0
2025-07-01,Executive,0,0.0
2025-08-01,Executive,0,0.0
2025-09-01,Executive,0,0.0
2025-10-01,Executive,0,0.0
2025-11-01,Executive,0,0.0
2025-12-01,Executive,0,0.0
2026-01-01,Executive,0,0.0
2026-02-01,Executive,0,0.0
2026-03-01,Executive,0,0.0
2026-04-01,Executive,0,0.0
2026-05-01,Executive,0,0.0
2026-06-01,Executive,0,0.0
2026-07-01,Executive,0,0.0
