ecr_id,project_id,date,type,description,status,cost_impact
ECR0052,EPRJ-002,2025-05-06,Design Change,ECR for EPRJ-002: drawing update required,Implemented,33300.0
ECR0053,EPRJ-007,2024-08-29,Material Substitution,ECR for EPRJ-007: process change required,Open,-1000.0
ECR0054,EPRJ-005,2025-08-23,Design Change,ECR for EPRJ-005: supplier change required,Rejected,14500.0
ECR0055,EPRJ-006,2024-04-04,Drawing Update,ECR for EPRJ-006: material substitution required,Rejected,25500.0
ECR0056,EPRJ-002,2024-10-09,Design Change,ECR for EPRJ-002: drawing update required,Approved,12500.0
ECR0057,EPRJ-007,2026-03-08,Material Substitution,ECR for EPRJ-007: material substitution required,Rejected,20400.0
ECR0058,EPRJ-006,2025-12-14,Drawing Update,ECR for EPRJ-006: design change required,Rejected,32500.0
ECR0059,EPRJ-002,2024-07-01,Supplier Change,ECR for EPRJ-002: supplier change required,Under Review,-1700.0
ECR0060,EPRJ-002,2025-05-19,Drawing Update,ECR for EPRJ-002: design change required,Rejected,14000.0
ECR0061,EPRJ-001,2024-01-02,Drawing Update,ECR for EPRJ-001: supplier change required,Rejected,1300.0
ECR0062,EPRJ-003,2026-01-24,Process Change,ECR for EPRJ-003: material substitution required,Rejected,8800.0
ECR0063,EPRJ-005,2024-07-19,Design Change,ECR for EPRJ-005: material substitution required,Implemented,-5000.0
ECR0064,EPRJ-008,2025-05-27,Design Change,ECR for EPRJ-008: drawing update required,Approved,26900.0
ECR0065,EPRJ-007,2024-12-14,Process Change,ECR for EPRJ-007: supplier change required,Open,36700.0
ECR0066,EPRJ-007,2025-07-09,Process Change,ECR for EPRJ-007: supplier change required,Implemented,27300.0
ECR0067,EPRJ-008,2025-12-14,Material Substitution,ECR for EPRJ-008: material substitution required,Open,8600.0
ECR0068,EPRJ-004,2026-01-09,Material Substitution,ECR for EPRJ-004: drawing update required,Implemented,24100.0
ECR0069,EPRJ-007,2025-05-28,Material Substitution,ECR for EPRJ-007: drawing update required,Approved,18500.0
ECR0070,EPRJ-006,2026-01-25,Supplier Change,ECR for EPRJ-006: process change required,Approved,34600.0
ECR0071,EPRJ-006,2025-05-10,Drawing Update,ECR for EPRJ-006: process change required,Under Review,30300.0
ECR0072,EPRJ-001,2025-08-16,Drawing Update,ECR for EPRJ-001: process change required,Under Review,2200.0
ECR0073,EPRJ-001,2025-06-01,Material Substitution,ECR for EPRJ-001: material substitution required,Under Review,600.0
ECR0074,EPRJ-006,2025-04-16,Process Change,ECR for EPRJ-006: design change required,Under Review,13500.0
ECR0075,EPRJ-003,2025-03-07,Material Substitution,ECR for EPRJ-003: process change required,Open,14700.0
ECR0076,EPRJ-005,2026-05-08,Process Change,ECR for EPRJ-005: drawing update required,Under Review,40300.0
ECR0077,EPRJ-002,2024-10-20,Material Substitution,ECR for EPRJ-002: drawing update required,Rejected,33500.0
ECR0078,EPRJ-003,2024-05-28,Process Change,ECR for EPRJ-003: drawing update required,Rejected,35400.0
ECR0079,EPRJ-007,2024-01-03,Supplier Change,ECR for EPRJ-007: material substitution required,Implemented,5100.0
ECR0080,EPRJ-001,2025-05-07,Design Change,ECR for EPRJ-001: design change required,Under Review,43100.0
ECR0081,EPRJ-005,2024-11-19,Supplier Change,ECR for EPRJ-005: drawing update required,Approved,21300.0
ECR0082,EPRJ-002,2025-10-06,Supplier Change,ECR for EPRJ-002: material substitution required,Implemented,18000.0
ECR0083,EPRJ-007,2025-09-19,Material Substitution,ECR for EPRJ-007: material substitution required,Implemented,18900.0
ECR0084,EPRJ-004,2024-09-08,Material Substitution,ECR for EPRJ-004: supplier change required,Rejected,20300.0
ECR0085,EPRJ-007,2025-07-21,Supplier Change,ECR for EPRJ-007: drawing update required,Implemented,20600.0
ECR0086,EPRJ-003,2024-12-19,Drawing Update,ECR for EPRJ-003: material substitution required,Implemented,20600.0
ECR0087,EPRJ-007,2025-07-05,Drawing Update,ECR for EPRJ-007: process change required,Under Review,100.0
ECR0088,EPRJ-003,2024-09-12,Drawing Update,ECR for EPRJ-003: supplier change required,Implemented,11600.0
ECR0089,EPRJ-004,2025-05-06,Drawing Update,ECR for EPRJ-004: material substitution required,Approved,22200.0
ECR0090,EPRJ-003,2024-04-26,Supplier Change,ECR for EPRJ-003: design change required,Rejected,24000.0
ECR0091,EPRJ-005,2025-09-03,Material Substitution,ECR for EPRJ-005: material substitution required,Approved,15200.0
ECR0092,EPRJ-003,2025-08-31,Supplier Change,ECR for EPRJ-003: process change required,Open,40400.0
ECR0093,EPRJ-007,2025-04-19,Material Substitution,ECR for EPRJ-007: drawing update required,Rejected,2700.0
ECR0094,EPRJ-003,2025-07-01,Design Change,ECR for EPRJ-003: drawing update required,Rejected,-600.0
ECR0095,EPRJ-008,2025-04-12,Drawing Update,ECR for EPRJ-008: supplier change required,Rejected,32100.0
ECR0096,EPRJ-008,2025-11-17,Supplier Change,ECR for EPRJ-008: drawing update required,Open,30600.0
ECR0097,EPRJ-002,2025-09-15,Supplier Change,ECR for EPRJ-002: drawing update required,Approved,-2700.0
ECR0098,EPRJ-007,2025-05-28,Supplier Change,ECR for EPRJ-007: supplier change required,Under Review,42500.0
ECR0099,EPRJ-004,2024-02-03,Drawing Update,ECR for EPRJ-004: process change required,Open,13100.0
ECR0100,EPRJ-007,2024-06-10,Material Substitution,ECR for EPRJ-007: drawing update required,Open,43700.0
ECR0101,EPRJ-001,2025-12-27,Material Substitution,ECR for EPRJ-001: process change required,Implemented,6800.0
ECR0102,EPRJ-008,2025-05-25,Process Change,ECR for EPRJ-008: design change required,Implemented,4400.0
ECR0103,EPRJ-005,2026-03-09,Supplier Change,ECR for EPRJ-005: supplier change required,Rejected,25300.0
ECR0104,EPRJ-007,2024-03-24,Supplier Change,ECR for EPRJ-007: process change required,Open,5600.0
ECR0105,EPRJ-007,2024-08-31,Drawing Update,ECR for EPRJ-007: material substitution required,Approved,42200.0
ECR0106,EPRJ-008,2025-02-16,Supplier Change,ECR for EPRJ-008: supplier change required,Approved,37400.0
ECR0107,EPRJ-008,2026-02-22,Drawing Update,ECR for EPRJ-008: supplier change required,Approved,2400.0
ECR0108,EPRJ-001,2024-01-12,Supplier Change,ECR for EPRJ-001: process change required,Under Review,18300.0
ECR0109,EPRJ-006,2025-06-21,Design Change,ECR for EPRJ-006: design change required,Implemented,33700.0
ECR0110,EPRJ-007,2025-03-20,Supplier Change,ECR for EPRJ-007: material substitution required,Approved,40000.0
ECR0111,EPRJ-006,2025-12-07,Process Change,ECR for EPRJ-006: design change required,Approved,-4200.0
ECR0112,EPRJ-001,2024-11-13,Drawing Update,ECR for EPRJ-001: material substitution required,Approved,20200.0
ECR0113,EPRJ-008,2025-01-18,Process Change,ECR for EPRJ-008: process change required,Under Review,8700.0
ECR0114,EPRJ-007,2026-05-11,Supplier Change,ECR for EPRJ-007: drawing update required,Open,9700.0
ECR0115,EPRJ-001,2025-05-14,Supplier Change,ECR for EPRJ-001: supplier change required,Rejected,20000.0
ECR0116,EPRJ-008,2024-05-25,Material Substitution,ECR for EPRJ-008: drawing update required,Approved,2500.0
ECR0117,EPRJ-007,2026-01-17,Process Change,ECR for EPRJ-007: material substitution required,Under Review,28700.0
ECR0118,EPRJ-001,2024-01-11,Design Change,ECR for EPRJ-001: material substitution required,Rejected,2400.0
ECR0119,EPRJ-006,2026-01-29,Drawing Update,ECR for EPRJ-006: drawing update required,Implemented,-2000.0
ECR0120,EPRJ-008,2026-02-21,Drawing Update,ECR for EPRJ-008: supplier change required,Under Review,39600.0
