LineNum,Account ID,GL,Dept,Account Description,TransDate,Period,Transaction Type,Reference,Amount,Line Description,ID,Name,Job ID,Job Description,Job Type,Vendor ID,Vendor Name,Customer ID,Customer Name,FS Index,FS Index Name,Dir vs Indir,Prod,Org,Fixed v Var,Cost Pools,OH Calc,FS Seq 1,FS Seq 2,FS Level 1,FS Level 2 (Rev/COGS),FS Level 3 (COGS),FS Level 4 (COGS)
39049,52100-1000,52100,1000,COGS - OSP - NE,1/1/2019,19-01,General Journal Entry,12-07A-AP Packing,-134,PO29040-Integrated Quality Services-DYE PENETRANT,,,LAT611EC,UOP Russell,,,,,,1000-50000,COGS - New equipment,Dir,NE,_0,Var,Dir,No,2100,2110,COGS,Mat,_0,NE
39050,52100-1000,52100,1000,COGS - OSP - NE,1/1/2019,19-01,General Journal Entry,12-07A-AP Packing,-133,PO29040-Integrated Quality Services-COMP INLET SP,,,LAT615EC,UOP Russell,,,,,,1000-50000,COGS - New equipment,Dir,NE,_0,Var,Dir,No,2100,2110,COGS,Mat,_0,NE
39051,52100-1000,52100,1000,COGS - OSP - NE,1/1/2019,19-01,General Journal Entry,12-07A-AP Packing,-133,PO29040-Integrated Quality Services-COMPRESSOR CA,,,LAT615EC,UOP Russell,,,,,,1000-50000,COGS - New equipment,Dir,NE,_0,Var,Dir,No,2100,2110,COGS,Mat,_0,NE
39052,52100-1000,52100,1000,COGS - OSP - NE,1/1/2019,19-01,General Journal Entry,12-07A-AP Packing,-109.5,PO29040-Integrated Quality Services-MILEAGE 146 @,,,LAT611EC,UOP Russell,,,,,,1000-50000,COGS - New equipment,Dir,NE,_0,Var,Dir,No,2100,2110,COGS,Mat,_0,NE
39053,52100-1000,52100,1000,COGS - OSP - NE,1/1/2019,19-01,General Journal Entry,12-07A-AP Packing,-300,PO29040-Integrated Quality Services-TRAVEL TIME,,,LAT615EC,UOP Russell,,,,,,1000-50000,COGS - New equipment,Dir,NE,_0,Var,Dir,No,2100,2110,COGS,Mat,_0,NE
39054,52100-3000,52100,3000,COGS - OSP - RP,1/1/2019,19-01,General Journal Entry,12-07A-AP Packing,-750,PO28855-Raly & Tony-BEARING THRUST WASHER FOR COM,,,47701022,LA County Sanitation,,,,,,3000-50000,COGS - Repairs,Dir,RP,_0,Var,Dir,No,2300,2130,COGS,Mat,_0,RP
39055,52100-1000,52100,1000,COGS - OSP - NE,1/1/2019,19-01,General Journal Entry,12-07A-AP Packing,"-1,800.00",PO28855-Raly & Tony-BEARING THRUST WASHER FOR COM,,,LAT615EC,UOP Russell,,,,,,1000-50000,COGS - New equipment,Dir,NE,_0,Var,Dir,No,2100,2110,COGS,Mat,_0,NE
39056,82300-2012,82300,2012,Maintenance - Machn Shop,1/1/2019,19-01,General Journal Entry,12-07A-AP Packing,-900,"PO28716-SERVICE INDUSTRIAL REBUILDERS-12"""" CUSHMA",,,MACHINING,MACHINING,,,,,,2000-82300,Maintenance,Indir - Fac OH,Split,Machn Shop,Var,Fac OH,Yes,2200,2320,COGS,OH,_0,RD
39057,85100-1011,85100,1011,Indirect Supplies - Packaging,1/1/2019,19-01,General Journal Entry,12-07A-AP Packing,-157.18,PO28866-Thyssenkrupp Onlinemetals-COPPER RECTANGL,,,PACKAGING,PACKAGING/WELDING,,,,,,1000-85100,Indirect supplies,Indir - Fac OH,Split,Packaging,Var,Fac OH,Yes,2100,2310,COGS,OH,_0,NE
39058,85200-0020,85200,20,Auto Expense - Indir Ops,1/1/2019,19-01,General Journal Entry,12-07B - Amex,-425.97,AMEX-Gas- Auto,,,,,,,,,,0020-85200,Auto expense,Indir,_0,Indir Ops,Fixed,Fac OH,Yes,3020,_0,Indir Ops,_0,_0,_0
39059,87210-0040,87210,40,Meals & Entertainmt - Sales,1/1/2019,19-01,General Journal Entry,12-07B - Amex,-802.91,AMEX-Meals & Entert,,,,,,,,,,0040-87210,Meals & entertainment,Indir,_0,Sales,Var,SGA,Yes,4040,_0,Sales,_0,_0,_0
39060,85100-0050,85100,50,Indirect Supplies - Admin,1/1/2019,19-01,General Journal Entry,12-07B - Amex,-14.2,AMEX-Home depot,,,,,,,,,,0050-85100,Indirect supplies,Indir,_0,Admin,Var,Fixed,Yes,4050,_0,Admin,_0,_0,_0
39061,88100-0050,88100,50,IT Expense - Admin,1/1/2019,19-01,General Journal Entry,12-07B - Amex,-546.41,AMEX-Apple software for Danny,,,,,,,,,,0050-88100,IT expense,Indir,_0,Admin,Fixed,Fixed,Yes,4050,_0,Admin,_0,_0,_0
39062,87200-0040,87200,40,Travel - Sales,1/1/2019,19-01,General Journal Entry,12-07B - Amex,"-2,619.30",AMEX-Trip to London December 2018 (balance),,,,,,,,,,0040-87200,Travel,Indir,_0,Sales,Var,SGA,Yes,4040,_0,Sales,_0,_0,_0
39063,88510-0050,88510,50,Gifts Expense - Admin,1/1/2019,19-01,General Journal Entry,12-07B - Amex,"-1,005.91",AMEX-Christmas gifts for customers,,,,,,,,,,0050-88510,Gifts expense,Indir,_0,Admin,Fixed,Fixed,Yes,4050,_0,Admin,_0,_0,_0
39064,87100-0050,87100,50,Dues & Subscriptions - Admin,1/1/2019,19-01,General Journal Entry,12-07B - Amex,-650,AMEX-State of Nevada subscription renewal,,,,,,,,,,0050-87100,Dues & subscriptions,Indir,_0,Admin,Fixed,Fixed,Yes,4050,_0,Admin,_0,_0,_0
39065,87100-0050,87100,50,Dues & Subscriptions - Admin,1/1/2019,19-01,General Journal Entry,12-07B - Amex,-631,AMEX-DMW vehicle registration for Dominique,,,,,,,,,,0050-87100,Dues & subscriptions,Indir,_0,Admin,Fixed,Fixed,Yes,4050,_0,Admin,_0,_0,_0
39066,88100-0040,88100,40,IT Expense - Sales,1/1/2019,19-01,General Journal Entry,12-07B - Amex,-105,AMEX-Troy - Survey Monkey.com,,,,,,,,,,0040-88100,IT expense,Indir,_0,Sales,Fixed,SGA,Yes,4040,_0,Sales,_0,_0,_0
39067,51100-4000,51100,4000,COGS - Materials - FS,1/1/2019,19-01,General Journal Entry,12-07B - Amex,-650.94,AMEX-Todd - 87700496 - Lucid Energy,,,87700496,Lucid,,,,,,4000-50000,COGS - Field services,Dir,FS,_0,Var,Dir,No,2400,2140,COGS,Mat,_0,FS
39068,51100-4000,51100,4000,COGS - Materials - FS,1/1/2019,19-01,General Journal Entry,12-07B - Amex,-224.87,AMEX-Todd - 87700495 - Superior Pipeline,,,87700495,Superior,,,,,,4000-50000,COGS - Field services,Dir,FS,_0,Var,Dir,No,2400,2140,COGS,Mat,_0,FS
39069,87200-0040,87200,40,Travel - Sales,1/1/2019,19-01,General Journal Entry,12-07B - Amex,-55,AMEX-Rusty - Travel (Kinder Morgan),,,,,,,,,,0040-87200,Travel,Indir,_0,Sales,Var,SGA,Yes,4040,_0,Sales,_0,_0,_0
39070,87210-0040,87210,40,Meals & Entertainmt - Sales,1/1/2019,19-01,General Journal Entry,12-07B - Amex,-49.39,AMEX-Rusty - Lunch (Kinder Morgan),,,,,,,,,,0040-87210,Meals & entertainment,Indir,_0,Sales,Var,SGA,Yes,4040,_0,Sales,_0,_0,_0
39071,85100-0050,85100,50,Indirect Supplies - Admin,1/1/2019,19-01,General Journal Entry,12-07B - Amex,-205.87,AMEX-Mary - Office Supplies,,,,,,,,,,0050-85100,Indirect supplies,Indir,_0,Admin,Var,Fixed,Yes,4050,_0,Admin,_0,_0,_0
39072,86200-0040,86200,40,Advertising Exp,1/1/2019,19-01,General Journal Entry,12-07B - Amex,-312.62,AMEX-Mary - Pens for Marketing (Shawne),,,,,,,,,,0040-86200,Advertising exp,Indir,_0,Sales,Var,SGA,Yes,4040,_0,Sales,_0,_0,_0
39073,87100-0040,87100,40,Dues & Subscriptions - Sales,1/1/2019,19-01,General Journal Entry,12-07B - Amex,-599,AMEX-Mary - Subscription to ARIBA for customer sa,,,,,,,,,,0040-87100,Dues & subscriptions,Indir,_0,Sales,Fixed,SGA,Yes,4040,_0,Sales,_0,_0,_0
39074,87210-0040,87210,40,Meals & Entertainmt - Sales,1/1/2019,19-01,General Journal Entry,12-07B - Amex,-58.78,AMEX-Mary - Lunch for Cal Energy,,,,,,,,,,0040-87210,Meals & entertainment,Indir,_0,Sales,Var,SGA,Yes,4040,_0,Sales,_0,_0,_0
39075,84810-0050,84810,50,Safety Expense,1/1/2019,19-01,General Journal Entry,12-07B - Amex,-175.71,AMEX-Mary - Respirators for Welders,,,,,,,,,,0050-84810,Safety expense,Indir,_0,Admin,Fixed,Fixed,Yes,4050,_0,Admin,_0,_0,_0
39076,88520-0050,88520,50,Employee Relations,1/1/2019,19-01,General Journal Entry,12-07B - Amex,-50.52,AMEX-Mary - Christmas Party drinks,,,,,,,,,,0050-88520,Employee relations,Indir,_0,Admin,Fixed,Fixed,Yes,4050,_0,Admin,_0,_0,_0
39077,51100-4000,51100,4000,COGS - Materials - FS,1/1/2019,19-01,General Journal Entry,12-07B - Amex,-932.5,AMEX-David H. - 87700497 - Oneok,,,87700497,Oneok,,,,,,4000-50000,COGS - Field services,Dir,FS,_0,Var,Dir,No,2400,2140,COGS,Mat,_0,FS
39078,21200-0000,21200,0,Accrued Expenses,1/1/2019,19-01,General Journal Entry,12-07B - Amex,"10,115.90",AMEX-American Business Gold,,,,,,,,,,21200,Accrued expenses,_0,_0,_0,_0,_0,_0,_0,_0,_0,_0,_0,_0
39079,51100-1000,51100,1000,COGS - Materials - NE,1/1/2019,19-01,General Journal Entry,12-07E - Sunbelt,"-2,525.90",Sunbelt Rentals - Inv 76929837-0013,,,LAT608EC,Linde,,,,,,1000-50000,COGS - New equipment,Dir,NE,_0,Var,Dir,No,2100,2110,COGS,Mat,_0,NE
39080,51100-1000,51100,1000,COGS - Materials - NE,1/1/2019,19-01,General Journal Entry,12-07E - Sunbelt,"-2,525.90",Sunbelt Rentals - Inv 76929837-0013,,,LAT607EC,Optimized Process Designs,,,,,,1000-50000,COGS - New equipment,Dir,NE,_0,Var,Dir,No,2100,2110,COGS,Mat,_0,NE
39081,51100-1000,51100,1000,COGS - Materials - NE,1/1/2019,19-01,General Journal Entry,12-07E - Sunbelt,"-2,525.90",Sunbelt Rentals - Inv 76929837-0013,,,LAT611EC,UOP Russell,,,,,,1000-50000,COGS - New equipment,Dir,NE,_0,Var,Dir,No,2100,2110,COGS,Mat,_0,NE
39082,21200-0000,21200,0,Accrued Expenses,1/1/2019,19-01,General Journal Entry,12-07E - Sunbelt,"7,577.70",Sunbelt Rentals - Inv 76929837-0013,,,,,,,,,,21200,Accrued expenses,_0,_0,_0,_0,_0,_0,_0,_0,_0,_0,_0,_0
39083,85200-0050,85200,50,Auto Expense - Admin,1/1/2019,19-01,General Journal Entry,12-07H Audi S5,"1,350.39",Dominique - Audi S5 payment for Jan 2019,,,,,,,,,,0050-85200,Auto expense,Indir,_0,Admin,Fixed,Fixed,Yes,4050,_0,Admin,_0,_0,_0
39084,14200-0000,14200,0,Prepaid Expenses,1/1/2019,19-01,General Journal Entry,12-07H Audi S5,"-1,350.39",Dominique - Audi S5 payment for Jan 2019,,,,,,,,,,14200,Prepaid expenses,_0,_0,_0,_0,_0,_0,_0,_0,_0,_0,_0,_0
39085,51100-1000,51100,1000,COGS - Materials - NE,1/1/2019,19-01,General Journal Entry,12-07I- Atlas Copco,"-2,891.05",Accrue Atlas Copco 12/17/18-12/31/18,,,LAT608EC,Linde,,,,,,1000-50000,COGS - New equipment,Dir,NE,_0,Var,Dir,No,2100,2110,COGS,Mat,_0,NE
39086,51100-1000,51100,1000,COGS - Materials - NE,1/1/2019,19-01,General Journal Entry,12-07I- Atlas Copco,"-2,891.05",Accrue Atlas Copco 12/17/18-12/31/18,,,LAT607EC,Optimized Process Designs,,,,,,1000-50000,COGS - New equipment,Dir,NE,_0,Var,Dir,No,2100,2110,COGS,Mat,_0,NE
39087,51100-1000,51100,1000,COGS - Materials - NE,1/1/2019,19-01,General Journal Entry,12-07I- Atlas Copco,"-2,891.05",Accrue Atlas Copco 12/17/18-12/31/18,,,LAT611EC,UOP Russell,,,,,,1000-50000,COGS - New equipment,Dir,NE,_0,Var,Dir,No,2100,2110,COGS,Mat,_0,NE
39088,21200-0000,21200,0,Accrued Expenses,1/1/2019,19-01,General Journal Entry,12-07I- Atlas Copco,"8,673.15",Accrue Atlas Copco 12/17/18-12/31/18,,,,,,,,,,21200,Accrued expenses,_0,_0,_0,_0,_0,_0,_0,_0,_0,_0,_0,_0
39089,86200-0040,86200,40,Advertising Exp,1/1/2019,19-01,General Journal Entry,12-07J JP Enerprises,"-3,100.00",JP Enterprises - IN16746_1812 Services rendered 1,,,,,,,,,,0040-86200,Advertising exp,Indir,_0,Sales,Var,SGA,Yes,4040,_0,Sales,_0,_0,_0
39090,86200-0040,86200,40,Advertising Exp,1/1/2019,19-01,General Journal Entry,12-07J JP Enerprises,"-4,448.00",JP Enterprises - IN16281_1810 Services rendered f,,,,,,,,,,0040-86200,Advertising exp,Indir,_0,Sales,Var,SGA,Yes,4040,_0,Sales,_0,_0,_0
39091,21200-0000,21200,0,Accrued Expenses,1/1/2019,19-01,General Journal Entry,12-07J JP Enerprises,"7,548.00",Accrue JP Enterprises invoices,,,,,,,,,,21200,Accrued expenses,_0,_0,_0,_0,_0,_0,_0,_0,_0,_0,_0,_0
39092,88200-0050,88200,50,Legal - Admin,1/1/2019,19-01,General Journal Entry,12-07K Poole & Shaff,-306,Poole & Shafffery IN43095,,,,,,,,,,0050-88200,Legal,Indir,_0,Admin,Var,Fixed,Yes,4050,_0,Admin,_0,_0,_0
39093,21200-0000,21200,0,Accrued Expenses,1/1/2019,19-01,General Journal Entry,12-07K Poole & Shaff,306,Poole & Shafffery IN43095,,,,,,,,,,21200,Accrued expenses,_0,_0,_0,_0,_0,_0,_0,_0,_0,_0,_0,_0
39094,86200-0040,86200,40,Advertising Exp,1/1/2019,19-01,General Journal Entry,12-07L Misc AP,-900,Est 2018 JP Enterprise advertising invoice,,,,,,,,,,0040-86200,Advertising exp,Indir,_0,Sales,Var,SGA,Yes,4040,_0,Sales,_0,_0,_0
39095,21200-0000,21200,0,Accrued Expenses,1/1/2019,19-01,General Journal Entry,12-07L Misc AP,900,Est 2018 JP Enterprise advertising invoice,,,,,,,,,,21200,Accrued expenses,_0,_0,_0,_0,_0,_0,_0,_0,_0,_0,_0,_0
39096,84810-0050,84810,50,Safety Expense,1/1/2019,19-01,General Journal Entry,12-07L Misc AP,-900,Arbor Environment - Onsite Qualitative Fit Testin,,,,,,,,,,0050-84810,Safety expense,Indir,_0,Admin,Fixed,Fixed,Yes,4050,_0,Admin,_0,_0,_0
39097,21200-0000,21200,0,Accrued Expenses,1/1/2019,19-01,General Journal Entry,12-07L Misc AP,900,Arbor Environment - Onsite Qualitative Fit Testin,,,,,,,,,,21200,Accrued expenses,_0,_0,_0,_0,_0,_0,_0,_0,_0,_0,_0,_0
39098,62000-1000,62000,1000,Freight In - NE,1/1/2019,19-01,General Journal Entry,12-07L Misc AP,-341.4,UPS,,,LAT609EC,UOP Russell,,,,,,1000-62000,Freight In,Dir,NE,_0,Var,Fac OH,No,2100,2110,COGS,Mat,_0,NE
39099,21200-0000,21200,0,Accrued Expenses,1/1/2019,19-01,General Journal Entry,12-07L Misc AP,341.4,UPS,,,,,,,,,,21200,Accrued expenses,_0,_0,_0,_0,_0,_0,_0,_0,_0,_0,_0,_0
39100,62000-1000,62000,1000,Freight In - NE,1/1/2019,19-01,General Journal Entry,12-07L Misc AP,4.13,UPS,,,LAT610EC,OPD,,,,,,1000-62000,Freight In,Dir,NE,_0,Var,Fac OH,No,2100,2110,COGS,Mat,_0,NE
39101,62000-1000,62000,1000,Freight In - NE,1/1/2019,19-01,General Journal Entry,12-07L Misc AP,4.13,UPS,,,LAT614EC,OPD,,,,,,1000-62000,Freight In,Dir,NE,_0,Var,Fac OH,No,2100,2110,COGS,Mat,_0,NE
39102,62000-1000,62000,1000,Freight In - NE,1/1/2019,19-01,General Journal Entry,12-07L Misc AP,4.13,UPS,,,LAT619EC,Linde,,,,,,1000-62000,Freight In,Dir,NE,_0,Var,Fac OH,No,2100,2110,COGS,Mat,_0,NE
39103,21200-0000,21200,0,Accrued Expenses,1/1/2019,19-01,General Journal Entry,12-07L Misc AP,-12.39,UPS,,,,,,,,,,21200,Accrued expenses,_0,_0,_0,_0,_0,_0,_0,_0,_0,_0,_0,_0
39104,88210-0050,88210,50,Audit & Tax Fees,1/1/2019,19-01,General Journal Entry,12-07M - Meloni Hrib,"-7,976.00",Meloni Hribal - December charges,,,,,,,,,,0050-88210,Audit & tax fees,Indir,_0,Admin,Fixed,Fixed,Yes,4050,_0,Admin,_0,_0,_0
39105,21200-0000,21200,0,Accrued Expenses,1/1/2019,19-01,General Journal Entry,12-07M - Meloni Hrib,"7,976.00",Meloni Hribal - December charges,,,,,,,,,,21200,Accrued expenses,_0,_0,_0,_0,_0,_0,_0,_0,_0,_0,_0,_0
39106,82300-0050,82300,50,Maintenance - Admin,1/1/2019,19-01,General Journal Entry,12-07N - Copier Head,-266.75,"Copiers Headquarters- BROTHER, SHARP- CONTRACT IN",,,,,,,,,,0050-82300,Maintenance,Indir,_0,Admin,Fixed,Fixed,Yes,4050,_0,Admin,_0,_0,_0
39107,21200-0000,21200,0,Accrued Expenses,1/1/2019,19-01,General Journal Entry,12-07N - Copier Head,266.75,"Copiers Headquarters- BROTHER, SHARP- CONTRACT IN",,,,,,,,,,21200,Accrued expenses,_0,_0,_0,_0,_0,_0,_0,_0,_0,_0,_0,_0
39108,85100-1011,85100,1011,Indirect Supplies - Packaging,1/1/2019,19-01,General Journal Entry,12-07O - Praxair,-670.39,Praxair - Cylinder Rent Summary,,,,,,,,,,1000-85100,Indirect supplies,Indir - Fac OH,Split,Packaging,Var,Fac OH,Yes,2100,2310,COGS,OH,_0,NE
39109,21200-0000,21200,0,Accrued Expenses,1/1/2019,19-01,General Journal Entry,12-07O - Praxair,670.39,Praxair - Cylinder Rent Summary,,,,,,,,,,21200,Accrued expenses,_0,_0,_0,_0,_0,_0,_0,_0,_0,_0,_0,_0
39110,62000-1000,62000,1000,Freight In - NE,1/1/2019,19-01,General Journal Entry,12-07P - Transgroup,-227.25,Transgroup - 21218-12136,,,LAT607EC,Optimized Process Designs,,,,,,1000-62000,Freight In,Dir,NE,_0,Var,Fac OH,No,2100,2110,COGS,Mat,_0,NE
39111,62000-1000,62000,1000,Freight In - NE,1/1/2019,19-01,General Journal Entry,12-07P - Transgroup,-227.25,Transgroup - 21218-12136,,,LAT610EC,OPD,,,,,,1000-62000,Freight In,Dir,NE,_0,Var,Fac OH,No,2100,2110,COGS,Mat,_0,NE
39112,21200-0000,21200,0,Accrued Expenses,1/1/2019,19-01,General Journal Entry,12-07P - Transgroup,454.5,Transgroup - 21218-12136,,,,,,,,,,21200,Accrued expenses,_0,_0,_0,_0,_0,_0,_0,_0,_0,_0,_0,_0
39113,80300-0050,80300,50,Med Insur Exp - Admin,1/1/2019,19-01,General Journal Entry,12-10G-Health Insura,"15,698.03",Kaiser Premium for 01/2019,,,,,,,,,,0050-80300,Medical insur exp,Indir - Split,_0,Admin,Fixed,Fixed,Split,4050,_0,Admin,_0,_0,_0
39114,14200-0000,14200,0,Prepaid Expenses,1/1/2019,19-01,General Journal Entry,12-10G-Health Insura,"-15,698.03",Kaiser Premium for 01/2019,,,,,,,,,,14200,Prepaid expenses,_0,_0,_0,_0,_0,_0,_0,_0,_0,_0,_0,_0
39115,80300-0050,80300,50,Med Insur Exp - Admin,1/1/2019,19-01,General Journal Entry,12-10G-Health Insura,"42,738.60",Blue Shield Premium for 01/2019,,,,,,,,,,0050-80300,Medical insur exp,Indir - Split,_0,Admin,Fixed,Fixed,Split,4050,_0,Admin,_0,_0,_0
39116,14200-0000,14200,0,Prepaid Expenses,1/1/2019,19-01,General Journal Entry,12-10G-Health Insura,"-42,738.60",Blue Shield Premium for 01/2019,,,,,,,,,,14200,Prepaid expenses,_0,_0,_0,_0,_0,_0,_0,_0,_0,_0,_0,_0
39117,80300-0050,80300,50,Med Insur Exp - Admin,1/1/2019,19-01,General Journal Entry,12-10G-Health Insura,"7,118.28",Ameritas Premium for 01/2019,,,,,,,,,,0050-80300,Medical insur exp,Indir - Split,_0,Admin,Fixed,Fixed,Split,4050,_0,Admin,_0,_0,_0
39118,14200-0000,14200,0,Prepaid Expenses,1/1/2019,19-01,General Journal Entry,12-10G-Health Insura,"-7,118.28",Ameritas Premium for 01/2019,,,,,,,,,,14200,Prepaid expenses,_0,_0,_0,_0,_0,_0,_0,_0,_0,_0,_0,_0
39119,82210-0050,82210,50,Insurance - Admin,1/1/2019,19-01,General Journal Entry,12-10I- Lincoln/Sunl,371.18,Lincoln Financial for 01/2019,,,,,,,,,,0050-82210,Insurance,Indir,_0,Admin,Fixed,Fixed,Yes,4050,_0,Admin,_0,_0,_0
