Month,Scenario,Version,AccountNumber,AccountName,ForecastUSD
2026-05-01,Forecast,FY26-F2,4100,Service Revenue,705609.21
2026-05-01,Forecast,FY26-F2,5000,Direct Material,1171928.3
2026-05-01,Forecast,FY26-F2,5100,Direct Labor,1007977.13
2026-05-01,Forecast,FY26-F2,5200,Manufacturing Overhead,797141.15
2026-05-01,Forecast,FY26-F2,5300,Scrap & Rework,159321.18
2026-05-01,Forecast,FY26-F2,6000,Engineering Labor,804099.99
2026-05-01,Forecast,FY26-F2,6100,Non-Recurring Engineering,328524.77
2026-05-01,Forecast,FY26-F2,6200,Sales & Marketing,334561.55
2026-05-01,Forecast,FY26-F2,6300,General & Administrative,409589.65
2026-05-01,Forecast,FY26-F2,6400,IT & Systems,136236.79
2026-05-01,Forecast,FY26-F2,6500,Facilities & EHS,103793.76
2026-05-01,Forecast,FY26-F2,7000,Depreciation,213248.48
2026-06-01,Forecast,FY26-F2,4000,Product Revenue,6035020.96
2026-06-01,Forecast,FY26-F2,4100,Service Revenue,676066.67
2026-06-01,Forecast,FY26-F2,5000,Direct Material,1228116.83
2026-06-01,Forecast,FY26-F2,5100,Direct Labor,1100413.99
2026-06-01,Forecast,FY26-F2,5200,Manufacturing Overhead,710085.19
2026-06-01,Forecast,FY26-F2,5300,Scrap & Rework,162490.1
2026-06-01,Forecast,FY26-F2,6000,Engineering Labor,838856.24
2026-06-01,Forecast,FY26-F2,6100,Non-Recurring Engineering,332813.29
2026-06-01,Forecast,FY26-F2,6200,Sales & Marketing,332826.83
2026-06-01,Forecast,FY26-F2,6300,General & Administrative,430780.72
2026-06-01,Forecast,FY26-F2,6400,IT & Systems,135158.69
2026-06-01,Forecast,FY26-F2,6500,Facilities & EHS,101990.35
2026-06-01,Forecast,FY26-F2,7000,Depreciation,188662.32
2026-07-01,Forecast,FY26-F2,4000,Product Revenue,6093271.41
2026-07-01,Forecast,FY26-F2,4100,Service Revenue,642409.05
2026-07-01,Forecast,FY26-F2,5000,Direct Material,1295727.01
2026-07-01,Forecast,FY26-F2,5100,Direct Labor,1023693.11
2026-07-01,Forecast,FY26-F2,5200,Manufacturing Overhead,794274.0
2026-07-01,Forecast,FY26-F2,5300,Scrap & Rework,161262.59
2026-07-01,Forecast,FY26-F2,6000,Engineering Labor,876224.0
2026-07-01,Forecast,FY26-F2,6100,Non-Recurring Engineering,337672.17
2026-07-01,Forecast,FY26-F2,6200,Sales & Marketing,338933.31
2026-07-01,Forecast,FY26-F2,6300,General & Administrative,406318.87
2026-07-01,Forecast,FY26-F2,6400,IT & Systems,141612.87
2026-07-01,Forecast,FY26-F2,6500,Facilities & EHS,102379.61
2026-07-01,Forecast,FY26-F2,7000,Depreciation,188169.39
2026-08-01,Forecast,FY26-F2,4000,Product Revenue,6079306.23
2026-08-01,Forecast,FY26-F2,4100,Service Revenue,641650.67
2026-08-01,Forecast,FY26-F2,5000,Direct Material,1222862.6
2026-08-01,Forecast,FY26-F2,5100,Direct Labor,1080264.7
2026-08-01,Forecast,FY26-F2,5200,Manufacturing Overhead,752447.21
2026-08-01,Forecast,FY26-F2,5300,Scrap & Rework,167167.11
2026-08-01,Forecast,FY26-F2,6000,Engineering Labor,834195.26
2026-08-01,Forecast,FY26-F2,6100,Non-Recurring Engineering,343926.32
2026-08-01,Forecast,FY26-F2,6200,Sales & Marketing,309770.07
2026-08-01,Forecast,FY26-F2,6300,General & Administrative,411388.37
2026-08-01,Forecast,FY26-F2,6400,IT & Systems,133858.54
2026-08-01,Forecast,FY26-F2,6500,Facilities & EHS,105248.24
2026-08-01,Forecast,FY26-F2,7000,Depreciation,188378.62
2026-09-01,Forecast,FY26-F2,4000,Product Revenue,5958378.47
2026-09-01,Forecast,FY26-F2,4100,Service Revenue,678784.4
2026-09-01,Forecast,FY26-F2,5000,Direct Material,1172058.24
2026-09-01,Forecast,FY26-F2,5100,Direct Labor,1051001.08
2026-09-01,Forecast,FY26-F2,5200,Manufacturing Overhead,752241.29
2026-09-01,Forecast,FY26-F2,5300,Scrap & Rework,162642.42
2026-09-01,Forecast,FY26-F2,6000,Engineering Labor,871914.44
2026-09-01,Forecast,FY26-F2,6100,Non-Recurring Engineering,321117.14
2026-09-01,Forecast,FY26-F2,6200,Sales & Marketing,331608.37
2026-09-01,Forecast,FY26-F2,6300,General & Administrative,377058.13
2026-09-01,Forecast,FY26-F2,6400,IT & Systems,131164.2
2026-09-01,Forecast,FY26-F2,6500,Facilities & EHS,102640.35
2026-09-01,Forecast,FY26-F2,7000,Depreciation,202821.13
2026-10-01,Forecast,FY26-F2,4000,Product Revenue,5794057.12
2026-10-01,Forecast,FY26-F2,4100,Service Revenue,685363.23
2026-10-01,Forecast,FY26-F2,5000,Direct Material,1279039.99
2026-10-01,Forecast,FY26-F2,5100,Direct Labor,1077950.34
2026-10-01,Forecast,FY26-F2,5200,Manufacturing Overhead,776237.84
2026-10-01,Forecast,FY26-F2,5300,Scrap & Rework,156174.19
2026-10-01,Forecast,FY26-F2,6000,Engineering Labor,801708.66
2026-10-01,Forecast,FY26-F2,6100,Non-Recurring Engineering,351660.71
2026-10-01,Forecast,FY26-F2,6200,Sales & Marketing,344161.59
2026-10-01,Forecast,FY26-F2,6300,General & Administrative,399568.4
2026-10-01,Forecast,FY26-F2,6400,IT & Systems,127918.99
2026-10-01,Forecast,FY26-F2,6500,Facilities & EHS,105048.9
2026-10-01,Forecast,FY26-F2,7000,Depreciation,201589.92
2026-11-01,Forecast,FY26-F2,4000,Product Revenue,6286737.29
2026-11-01,Forecast,FY26-F2,4100,Service Revenue,714986.22
2026-11-01,Forecast,FY26-F2,5000,Direct Material,1325636.09
2026-11-01,Forecast,FY26-F2,5100,Direct Labor,1044036.46
2026-11-01,Forecast,FY26-F2,5200,Manufacturing Overhead,764754.89
2026-11-01,Forecast,FY26-F2,5300,Scrap & Rework,168909.72
2026-11-01,Forecast,FY26-F2,6000,Engineering Labor,800421.3
2026-11-01,Forecast,FY26-F2,6100,Non-Recurring Engineering,337554.61
2026-11-01,Forecast,FY26-F2,6200,Sales & Marketing,337196.07
2026-11-01,Forecast,FY26-F2,6300,General & Administrative,417398.07
2026-11-01,Forecast,FY26-F2,6400,IT & Systems,138329.74
2026-11-01,Forecast,FY26-F2,6500,Facilities & EHS,92988.6
2026-11-01,Forecast,FY26-F2,7000,Depreciation,194330.71
2026-12-01,Forecast,FY26-F2,4000,Product Revenue,6052613.44
2026-12-01,Forecast,FY26-F2,4100,Service Revenue,669208.73
2026-12-01,Forecast,FY26-F2,5000,Direct Material,1262727.66
2026-12-01,Forecast,FY26-F2,5100,Direct Labor,1020577.47
2026-12-01,Forecast,FY26-F2,5200,Manufacturing Overhead,754763.3
2026-12-01,Forecast,FY26-F2,5300,Scrap & Rework,160079.91
2026-12-01,Forecast,FY26-F2,6000,Engineering Labor,869224.77
2026-12-01,Forecast,FY26-F2,6100,Non-Recurring Engineering,348154.52
2026-12-01,Forecast,FY26-F2,6200,Sales & Marketing,348665.29
2026-12-01,Forecast,FY26-F2,6300,General & Administrative,424414.82
2026-12-01,Forecast,FY26-F2,6400,IT & Systems,140439.11
2026-12-01,Forecast,FY26-F2,6500,Facilities & EHS,100399.16
2026-12-01,Forecast,FY26-F2,7000,Depreciation,200447.8
2027-01-01,Forecast,FY26-F2,4000,Product Revenue,6039293.92
2027-01-01,Forecast,FY26-F2,4100,Service Revenue,658149.11
2027-01-01,Forecast,FY26-F2,5000,Direct Material,1209934.26
2027-01-01,Forecast,FY26-F2,5100,Direct Labor,1076516.19
2027-01-01,Forecast,FY26-F2,5200,Manufacturing Overhead,771220.43
2027-01-01,Forecast,FY26-F2,5300,Scrap & Rework,165950.82
2027-01-01,Forecast,FY26-F2,6000,Engineering Labor,883816.73
2027-01-01,Forecast,FY26-F2,6100,Non-Recurring Engineering,325560.7
2027-01-01,Forecast,FY26-F2,6200,Sales & Marketing,341381.44
2027-01-01,Forecast,FY26-F2,6300,General & Administrative,414587.91
2027-01-01,Forecast,FY26-F2,6400,IT & Systems,130865.85
2027-01-01,Forecast,FY26-F2,6500,Facilities & EHS,105117.96
2027-01-01,Forecast,FY26-F2,7000,Depreciation,210508.12
2027-02-01,Forecast,FY26-F2,4000,Product Revenue,6188982.38
2027-02-01,Forecast,FY26-F2,4100,Service Revenue,628993.28
2027-02-01,Forecast,FY26-F2,5000,Direct Material,1219508.73
2027-02-01,Forecast,FY26-F2,5100,Direct Labor,1022260.08
2027-02-01,Forecast,FY26-F2,5200,Manufacturing Overhead,746908.91
2027-02-01,Forecast,FY26-F2,5300,Scrap & Rework,169770.45
2027-02-01,Forecast,FY26-F2,6000,Engineering Labor,842770.56
2027-02-01,Forecast,FY26-F2,6100,Non-Recurring Engineering,343088.58
2027-02-01,Forecast,FY26-F2,6200,Sales & Marketing,346831.79
2027-02-01,Forecast,FY26-F2,6300,General & Administrative,414782.89
2027-02-01,Forecast,FY26-F2,6400,IT & Systems,141096.38
2027-02-01,Forecast,FY26-F2,6500,Facilities & EHS,99570.74
2027-02-01,Forecast,FY26-F2,7000,Depreciation,194939.26
2027-03-01,Forecast,FY26-F2,4000,Product Revenue,6033206.25
2027-03-01,Forecast,FY26-F2,4100,Service Revenue,653902.62
2027-03-01,Forecast,FY26-F2,5000,Direct Material,1205457.59
2027-03-01,Forecast,FY26-F2,5100,Direct Labor,977504.07
2027-03-01,Forecast,FY26-F2,5200,Manufacturing Overhead,810356.77
2027-03-01,Forecast,FY26-F2,5300,Scrap & Rework,166405.72
2027-03-01,Forecast,FY26-F2,6000,Engineering Labor,833805.87
2027-03-01,Forecast,FY26-F2,6100,Non-Recurring Engineering,345325.95
2027-03-01,Forecast,FY26-F2,6200,Sales & Marketing,328145.8
2027-03-01,Forecast,FY26-F2,6300,General & Administrative,430275.53
2027-03-01,Forecast,FY26-F2,6400,IT & Systems,136985.02
2027-03-01,Forecast,FY26-F2,6500,Facilities & EHS,100097.24
2027-03-01,Forecast,FY26-F2,7000,Depreciation,190946.86
2027-04-01,Forecast,FY26-F2,4000,Product Revenue,5975860.82
2027-04-01,Forecast,FY26-F2,4100,Service Revenue,711128.88
2027-04-01,Forecast,FY26-F2,5000,Direct Material,1244233.77
2027-04-01,Forecast,FY26-F2,5100,Direct Labor,1056030.98
2027-04-01,Forecast,FY26-F2,5200,Manufacturing Overhead,759583.13
2027-04-01,Forecast,FY26-F2,5300,Scrap & Rework,152405.01
2027-04-01,Forecast,FY26-F2,6000,Engineering Labor,838223.51
2027-04-01,Forecast,FY26-F2,6100,Non-Recurring Engineering,331329.26
2027-04-01,Forecast,FY26-F2,6200,Sales & Marketing,343871.28
2027-04-01,Forecast,FY26-F2,6300,General & Administrative,398138.37
2027-04-01,Forecast,FY26-F2,6400,IT & Systems,132352.77
2027-04-01,Forecast,FY26-F2,6500,Facilities & EHS,96761.71
2027-04-01,Forecast,FY26-F2,7000,Depreciation,210259.4
2027-05-01,Forecast,FY26-F2,4000,Product Revenue,6139208.77
2027-05-01,Forecast,FY26-F2,4100,Service Revenue,680783.35
2027-05-01,Forecast,FY26-F2,5000,Direct Material,1269080.54
2027-05-01,Forecast,FY26-F2,5100,Direct Labor,975150.14
2027-05-01,Forecast,FY26-F2,5200,Manufacturing Overhead,808705.71
2027-05-01,Forecast,FY26-F2,5300,Scrap & Rework,168974.12
2027-05-01,Forecast,FY26-F2,6000,Engineering Labor,893328.3
2027-05-01,Forecast,FY26-F2,6100,Non-Recurring Engineering,358595.23
2027-05-01,Forecast,FY26-F2,6200,Sales & Marketing,329965.07
2027-05-01,Forecast,FY26-F2,6300,General & Administrative,391905.14
2027-05-01,Forecast,FY26-F2,6400,IT & Systems,137518.7
2027-05-01,Forecast,FY26-F2,6500,Facilities & EHS,95936.65
2027-05-01,Forecast,FY26-F2,7000,Depreciation,204191.43
2027-06-01,Forecast,FY26-F2,4000,Product Revenue,6340621.26
2027-06-01,Forecast,FY26-F2,4100,Service Revenue,657669.52
2027-06-01,Forecast,FY26-F2,5000,Direct Material,1330320.2
2027-06-01,Forecast,FY26-F2,5100,Direct Labor,1059832.2
2027-06-01,Forecast,FY26-F2,5200,Manufacturing Overhead,760468.65
2027-06-01,Forecast,FY26-F2,5300,Scrap & Rework,169000.14
2027-06-01,Forecast,FY26-F2,6000,Engineering Labor,816768.0
2027-06-01,Forecast,FY26-F2,6100,Non-Recurring Engineering,356643.37
2027-06-01,Forecast,FY26-F2,6200,Sales & Marketing,317231.86
2027-06-01,Forecast,FY26-F2,6300,General & Administrative,380834.4
2027-06-01,Forecast,FY26-F2,6400,IT & Systems,136953.36
2027-06-01,Forecast,FY26-F2,6500,Facilities & EHS,99886.43
2027-06-01,Forecast,FY26-F2,7000,Depreciation,206097.06
2027-07-01,Forecast,FY26-F2,4000,Product Revenue,5704900.9
2027-07-01,Forecast,FY26-F2,4100,Service Revenue,635373.3
2027-07-01,Forecast,FY26-F2,5000,Direct Material,1308488.65
2027-07-01,Forecast,FY26-F2,5100,Direct Labor,973725.72
2027-07-01,Forecast,FY26-F2,5200,Manufacturing Overhead,783173.94
2027-07-01,Forecast,FY26-F2,5300,Scrap & Rework,169765.42
2027-07-01,Forecast,FY26-F2,6000,Engineering Labor,863894.09
2027-07-01,Forecast,FY26-F2,6100,Non-Recurring Engineering,326864.91
2027-07-01,Forecast,FY26-F2,6200,Sales & Marketing,326519.83
2027-07-01,Forecast,FY26-F2,6300,General & Administrative,374960.36
2027-07-01,Forecast,FY26-F2,6400,IT & Systems,132376.86
2027-07-01,Forecast,FY26-F2,6500,Facilities & EHS,99781.3
2027-07-01,Forecast,FY26-F2,7000,Depreciation,204296.0
2027-08-01,Forecast,FY26-F2,4000,Product Revenue,6371703.92
2027-08-01,Forecast,FY26-F2,4100,Service Revenue,689669.3
2027-08-01,Forecast,FY26-F2,5000,Direct Material,1197404.2
2027-08-01,Forecast,FY26-F2,5100,Direct Labor,1080497.82
2027-08-01,Forecast,FY26-F2,5200,Manufacturing Overhead,753270.08
2027-08-01,Forecast,FY26-F2,5300,Scrap & Rework,169474.84
2027-08-01,Forecast,FY26-F2,6000,Engineering Labor,823924.0
2027-08-01,Forecast,FY26-F2,6100,Non-Recurring Engineering,327629.36
2027-08-01,Forecast,FY26-F2,6200,Sales & Marketing,325208.82
2027-08-01,Forecast,FY26-F2,6300,General & Administrative,408861.03
2027-08-01,Forecast,FY26-F2,6400,IT & Systems,139101.93
2027-08-01,Forecast,FY26-F2,6500,Facilities & EHS,94788.26
2027-08-01,Forecast,FY26-F2,7000,Depreciation,187482.83
2027-09-01,Forecast,FY26-F2,4000,Product Revenue,6325646.98
2027-09-01,Forecast,FY26-F2,4100,Service Revenue,673058.12
2027-09-01,Forecast,FY26-F2,5000,Direct Material,1313958.4
2027-09-01,Forecast,FY26-F2,5100,Direct Labor,949821.52
2027-09-01,Forecast,FY26-F2,5200,Manufacturing Overhead,734210.57
2027-09-01,Forecast,FY26-F2,5300,Scrap & Rework,167634.85
2027-09-01,Forecast,FY26-F2,6000,Engineering Labor,818308.58
2027-09-01,Forecast,FY26-F2,6100,Non-Recurring Engineering,346420.35
2027-09-01,Forecast,FY26-F2,6200,Sales & Marketing,362737.4
2027-09-01,Forecast,FY26-F2,6300,General & Administrative,400944.45
2027-09-01,Forecast,FY26-F2,6400,IT & Systems,136845.55
2027-09-01,Forecast,FY26-F2,6500,Facilities & EHS,96070.45
2027-09-01,Forecast,FY26-F2,7000,Depreciation,192628.57
2027-10-01,Forecast,FY26-F2,4000,Product Revenue,5705509.12
2027-10-01,Forecast,FY26-F2,4100,Service Revenue,655055.51
2027-10-01,Forecast,FY26-F2,5000,Direct Material,1292631.78
2027-10-01,Forecast,FY26-F2,5100,Direct Labor,1043978.75
2027-10-01,Forecast,FY26-F2,5200,Manufacturing Overhead,809907.23
2027-10-01,Forecast,FY26-F2,5300,Scrap & Rework,164275.96
2027-10-01,Forecast,FY26-F2,6000,Engineering Labor,821136.28
2027-10-01,Forecast,FY26-F2,6100,Non-Recurring Engineering,342725.22
2027-10-01,Forecast,FY26-F2,6200,Sales & Marketing,354907.01
2027-10-01,Forecast,FY26-F2,6300,General & Administrative,388221.3
2027-10-01,Forecast,FY26-F2,6400,IT & Systems,145227.4
2027-10-01,Forecast,FY26-F2,6500,Facilities & EHS,103461.98
2027-10-01,Forecast,FY26-F2,7000,Depreciation,213676.85
2027-11-01,Forecast,FY26-F2,4000,Product Revenue,5971174.97
2027-11-01,Forecast,FY26-F2,4100,Service Revenue,647226.66
2027-11-01,Forecast,FY26-F2,5000,Direct Material,1320078.87
2027-11-01,Forecast,FY26-F2,5100,Direct Labor,1035676.69
2027-11-01,Forecast,FY26-F2,5200,Manufacturing Overhead,706809.4
2027-11-01,Forecast,FY26-F2,5300,Scrap & Rework,150643.11
2027-11-01,Forecast,FY26-F2,6000,Engineering Labor,839606.75
2027-11-01,Forecast,FY26-F2,6100,Non-Recurring Engineering,334463.07
2027-11-01,Forecast,FY26-F2,6200,Sales & Marketing,335062.76
2027-11-01,Forecast,FY26-F2,6300,General & Administrative,428160.55
2027-11-01,Forecast,FY26-F2,6400,IT & Systems,136050.42
2027-11-01,Forecast,FY26-F2,6500,Facilities & EHS,104178.89
2027-11-01,Forecast,FY26-F2,7000,Depreciation,187200.91
2027-12-01,Forecast,FY26-F2,4000,Product Revenue,5723292.6
2027-12-01,Forecast,FY26-F2,4100,Service Revenue,662370.49
2027-12-01,Forecast,FY26-F2,5000,Direct Material,1184441.8
2027-12-01,Forecast,FY26-F2,5100,Direct Labor,988804.35
2027-12-01,Forecast,FY26-F2,5200,Manufacturing Overhead,717386.53
2027-12-01,Forecast,FY26-F2,5300,Scrap & Rework,164070.93
2027-12-01,Forecast,FY26-F2,6000,Engineering Labor,880497.0
2027-12-01,Forecast,FY26-F2,6100,Non-Recurring Engineering,324949.99
2027-12-01,Forecast,FY26-F2,6200,Sales & Marketing,357021.38
2027-12-01,Forecast,FY26-F2,6300,General & Administrative,407821.17
2027-12-01,Forecast,FY26-F2,6400,IT & Systems,139493.97
2027-12-01,Forecast,FY26-F2,6500,Facilities & EHS,100456.18
2027-12-01,Forecast,FY26-F2,7000,Depreciation,202958.7
