Month,AccountNumber,AccountName,AmountUSD
2026-03-01,6300,General & Administrative,407058.19
2026-03-01,6400,IT & Systems,135686.06
2026-03-01,6500,Facilities & EHS,101764.55
2026-03-01,7000,Depreciation,203529.09
2026-04-01,4000,Product Revenue,6047311.1
2026-04-01,4100,Service Revenue,671923.46
2026-04-01,5000,Direct Material,1520212.93
2026-04-01,5100,Direct Labor,1105845.76
2026-04-01,5200,Manufacturing Overhead,712922.0
2026-04-01,5300,Scrap & Rework,185194.04
2026-04-01,6000,Engineering Labor,690398.59
2026-04-01,6100,Non-Recurring Engineering,276159.44
2026-04-01,6200,Sales & Marketing,335961.73
2026-04-01,6300,General & Administrative,403154.07
2026-04-01,6400,IT & Systems,134384.69
2026-04-01,6500,Facilities & EHS,100788.52
2026-04-01,7000,Depreciation,201577.04
2026-05-01,4000,Product Revenue,6127695.3
2026-05-01,4100,Service Revenue,680855.03
2026-05-01,5000,Direct Material,1230492.42
2026-05-01,5100,Direct Labor,909137.11
2026-05-01,5200,Manufacturing Overhead,816685.26
2026-05-01,5300,Scrap & Rework,130381.6
2026-05-01,6000,Engineering Labor,770369.81
2026-05-01,6100,Non-Recurring Engineering,308147.92
2026-05-01,6200,Sales & Marketing,340427.52
2026-05-01,6300,General & Administrative,408513.02
2026-05-01,6400,IT & Systems,136171.01
2026-05-01,6500,Facilities & EHS,102128.25
2026-05-01,7000,Depreciation,204256.51
2026-06-01,4000,Product Revenue,5784296.24
2026-06-01,4100,Service Revenue,642699.58
2026-06-01,5000,Direct Material,1368876.38
2026-06-01,5100,Direct Labor,973702.18
2026-06-01,5200,Manufacturing Overhead,763322.22
2026-06-01,5300,Scrap & Rework,118703.96
2026-06-01,6000,Engineering Labor,527432.7
2026-06-01,6100,Non-Recurring Engineering,210973.08
2026-06-01,6200,Sales & Marketing,321349.79
2026-06-01,6300,General & Administrative,385619.75
2026-06-01,6400,IT & Systems,128539.92
2026-06-01,6500,Facilities & EHS,96404.94
2026-06-01,7000,Depreciation,192809.87
2026-07-01,4000,Product Revenue,5728226.63
2026-07-01,4100,Service Revenue,636469.63
2026-07-01,5000,Direct Material,1998976.55
2026-07-01,5100,Direct Labor,979940.36
2026-07-01,5200,Manufacturing Overhead,580555.39
2026-07-01,5300,Scrap & Rework,99966.97
2026-07-01,6000,Engineering Labor,775084.77
2026-07-01,6100,Non-Recurring Engineering,310033.91
2026-07-01,6200,Sales & Marketing,318234.81
2026-07-01,6300,General & Administrative,381881.78
2026-07-01,6400,IT & Systems,127293.93
2026-07-01,6500,Facilities & EHS,95470.44
2026-07-01,7000,Depreciation,190940.89
