opportunity_id,customer_id,stage,value,probability_pct,expected_close,weighted_value
OPP0031,CUS048,Closed Won,629600.0,100,2026-11-26,629600.0
OPP0032,CUS006,Closed Lost,1111400.0,0,2026-10-27,0.0
OPP0033,CUS047,Qualification,438800.0,25,2026-11-18,109700.0
OPP0034,CUS044,Prospecting,760500.0,10,2026-11-22,76000.0
OPP0035,CUS026,Proposal,1098700.0,50,2026-07-08,549400.0
OPP0036,CUS041,Closed Lost,1198200.0,0,2026-09-16,0.0
OPP0037,CUS021,Closed Won,513900.0,100,2026-08-19,513900.0
OPP0038,CUS007,Closed Won,965400.0,100,2026-08-22,965400.0
OPP0039,CUS026,Closed Lost,231800.0,0,2026-09-09,0.0
OPP0040,CUS020,Closed Won,307000.0,100,2026-08-19,307000.0
OPP0041,CUS012,Negotiation,144700.0,75,2026-11-11,108500.0
OPP0042,CUS017,Prospecting,1416200.0,10,2026-08-17,141600.0
OPP0043,CUS021,Negotiation,1347200.0,75,2026-07-05,1010400.0
OPP0044,CUS004,Closed Lost,715700.0,0,2026-12-03,0.0
OPP0045,CUS050,Proposal,315900.0,50,2026-11-22,158000.0
OPP0046,CUS018,Qualification,106400.0,25,2026-09-12,26600.0
OPP0047,CUS044,Closed Lost,538700.0,0,2026-09-25,0.0
OPP0048,CUS015,Closed Lost,496400.0,0,2026-09-25,0.0
OPP0049,CUS003,Negotiation,1144300.0,75,2026-11-23,858200.0
OPP0050,CUS038,Closed Lost,634400.0,0,2026-10-23,0.0
OPP0051,CUS033,Closed Won,818600.0,100,2026-11-06,818600.0
OPP0052,CUS042,Closed Lost,1348800.0,0,2026-08-26,0.0
OPP0053,CUS007,Prospecting,1116900.0,10,2026-10-25,111700.0
OPP0054,CUS009,Closed Lost,1007500.0,0,2026-09-01,0.0
OPP0055,CUS050,Closed Won,482800.0,100,2026-07-04,482800.0
OPP0056,CUS012,Proposal,618700.0,50,2026-12-15,309400.0
OPP0057,CUS024,Closed Lost,750400.0,0,2026-12-01,0.0
OPP0058,CUS018,Prospecting,1415400.0,10,2026-07-23,141500.0
OPP0059,CUS020,Closed Won,655600.0,100,2026-10-03,655600.0
OPP0060,CUS034,Negotiation,404200.0,75,2026-09-05,303200.0
OPP0061,CUS028,Qualification,1160100.0,25,2026-09-27,290000.0
OPP0062,CUS032,Prospecting,1051200.0,10,2026-11-18,105100.0
OPP0063,CUS027,Negotiation,146200.0,75,2026-07-04,109600.0
OPP0064,CUS033,Negotiation,712600.0,75,2026-07-08,534400.0
OPP0065,CUS016,Qualification,506300.0,25,2026-07-23,126600.0
OPP0066,CUS019,Closed Lost,458300.0,0,2026-07-15,0.0
OPP0067,CUS016,Qualification,479200.0,25,2026-10-22,119800.0
OPP0068,CUS028,Closed Won,860300.0,100,2026-11-28,860300.0
OPP0069,CUS031,Closed Lost,1340900.0,0,2026-11-26,0.0
OPP0070,CUS044,Prospecting,1138300.0,10,2026-12-25,113800.0
OPP0071,CUS004,Proposal,1202200.0,50,2026-08-17,601100.0
OPP0072,CUS007,Negotiation,677400.0,75,2026-11-24,508000.0
OPP0073,CUS033,Closed Won,870800.0,100,2026-09-13,870800.0
OPP0074,CUS037,Qualification,443400.0,25,2026-07-10,110800.0
OPP0075,CUS034,Prospecting,180300.0,10,2026-12-07,18000.0
OPP0076,CUS004,Prospecting,779700.0,10,2026-09-08,78000.0
OPP0077,CUS009,Qualification,148500.0,25,2026-09-12,37100.0
OPP0078,CUS045,Negotiation,1228000.0,75,2026-07-17,921000.0
OPP0079,CUS008,Qualification,709000.0,25,2026-11-03,177200.0
OPP0080,CUS031,Prospecting,56800.0,10,2026-09-08,5700.0
OPP0081,CUS049,Negotiation,424400.0,75,2026-12-27,318300.0
OPP0082,CUS010,Proposal,1335200.0,50,2026-12-16,667600.0
OPP0083,CUS019,Prospecting,1459400.0,10,2026-12-11,145900.0
OPP0084,CUS014,Negotiation,228700.0,75,2026-07-21,171500.0
OPP0085,CUS043,Qualification,328100.0,25,2026-07-27,82000.0
OPP0086,CUS022,Proposal,186100.0,50,2026-07-04,93000.0
OPP0087,CUS038,Prospecting,969100.0,10,2026-07-13,96900.0
OPP0088,CUS001,Negotiation,176100.0,75,2026-12-13,132100.0
OPP0089,CUS042,Closed Won,325800.0,100,2026-07-12,325800.0
OPP0090,CUS009,Qualification,136200.0,25,2026-12-10,34000.0
OPP0091,CUS017,Qualification,978900.0,25,2026-10-26,244700.0
OPP0092,CUS029,Closed Lost,1479800.0,0,2026-08-24,0.0
OPP0093,CUS049,Proposal,1229000.0,50,2026-11-09,614500.0
OPP0094,CUS043,Qualification,491000.0,25,2026-10-04,122800.0
OPP0095,CUS008,Negotiation,185300.0,75,2026-12-11,139000.0
OPP0096,CUS043,Closed Won,867000.0,100,2026-11-10,867000.0
OPP0097,CUS018,Closed Lost,234000.0,0,2026-12-03,0.0
OPP0098,CUS035,Proposal,1280300.0,50,2026-09-11,640200.0
OPP0099,CUS014,Negotiation,1150700.0,75,2026-09-18,863000.0
OPP0100,CUS010,Negotiation,806700.0,75,2026-12-21,605000.0
OPP0101,CUS040,Proposal,113500.0,50,2026-07-09,56800.0
OPP0102,CUS040,Closed Won,1230100.0,100,2026-12-10,1230100.0
OPP0103,CUS003,Qualification,1203600.0,25,2026-08-07,300900.0
OPP0104,CUS023,Closed Won,571400.0,100,2026-08-27,571400.0
OPP0105,CUS023,Closed Won,107500.0,100,2026-08-22,107500.0
OPP0106,CUS048,Closed Lost,516600.0,0,2026-12-06,0.0
OPP0107,CUS033,Closed Won,69600.0,100,2026-07-26,69600.0
OPP0108,CUS032,Proposal,92200.0,50,2026-10-23,46100.0
OPP0109,CUS043,Closed Won,154800.0,100,2026-12-21,154800.0
OPP0110,CUS029,Qualification,557100.0,25,2026-09-05,139300.0
OPP0111,CUS023,Qualification,438700.0,25,2026-12-16,109700.0
OPP0112,CUS032,Negotiation,736600.0,75,2026-09-25,552400.0
OPP0113,CUS018,Closed Won,601000.0,100,2026-11-08,601000.0
OPP0114,CUS003,Proposal,655000.0,50,2026-07-02,327500.0
OPP0115,CUS028,Prospecting,595100.0,10,2026-11-28,59500.0
OPP0116,CUS033,Qualification,600500.0,25,2026-11-14,150100.0
OPP0117,CUS009,Closed Lost,1015600.0,0,2026-09-26,0.0
OPP0118,CUS024,Qualification,757800.0,25,2026-11-08,189400.0
OPP0119,CUS036,Proposal,1357200.0,50,2026-09-21,678600.0
OPP0120,CUS025,Prospecting,884600.0,10,2026-08-04,88500.0
