order_id,customer_id,product_id,order_date,ship_date,qty,unit_price,revenue
ORD10031,CUS039,P008,2023-01-10,2023-02-09,445,42.05,18712.25
ORD10032,CUS033,P015,2023-01-08,2023-02-18,259,60.12,15571.08
ORD10033,CUS047,P010,2023-01-12,2023-02-25,31,517.18,16032.58
ORD10034,CUS003,P011,2023-01-13,2023-02-03,316,601.92,190206.72
ORD10035,CUS035,P014,2023-01-20,2023-02-21,453,208.45,94427.85
ORD10036,CUS006,P004,2023-01-20,2023-02-12,425,346.58,147296.5
ORD10037,CUS007,P002,2023-01-17,2023-02-17,293,304.27,89151.11
ORD10038,CUS004,P006,2023-01-16,2023-02-24,133,178.84,23785.72
ORD10039,CUS008,P002,2023-01-19,2023-02-27,26,268.6,6983.6
ORD10040,CUS030,P013,2023-01-20,2023-02-13,85,39.92,3393.2
ORD10041,CUS015,P010,2023-01-18,2023-02-01,253,418.86,105971.58
ORD10042,CUS018,P006,2023-01-20,2023-02-20,161,421.2,67813.2
ORD10043,CUS045,P013,2023-01-15,2023-02-06,480,553.47,265665.6
ORD10044,CUS006,P008,2023-01-28,2023-02-15,158,347.08,54838.64
ORD10045,CUS005,P014,2023-01-26,2023-03-02,383,226.2,86634.6
ORD10046,CUS018,P007,2023-01-28,2023-03-14,421,344.68,145110.28
ORD10047,CUS027,P003,2023-01-28,2023-03-09,102,229.76,23435.52
ORD10048,CUS045,P013,2023-01-26,2023-03-05,482,27.29,13153.78
ORD10049,CUS015,P001,2023-01-23,2023-03-02,47,635.39,29863.33
ORD10050,CUS020,P001,2023-01-23,2023-03-01,258,695.69,179488.02
ORD10051,CUS029,P001,2023-01-23,2023-03-02,274,356.06,97560.44
ORD10052,CUS022,P015,2023-01-28,2023-02-14,211,220.12,46445.32
ORD10053,CUS026,P007,2023-01-23,2023-03-05,434,31.9,13844.6
ORD10054,CUS003,P003,2023-01-27,2023-02-15,341,547.46,186683.86
ORD10055,CUS001,P010,2023-02-02,2023-02-23,15,734.15,11012.25
ORD10056,CUS038,P001,2023-02-02,2023-02-23,94,73.43,6902.42
ORD10057,CUS048,P004,2023-02-03,2023-02-18,83,325.99,27057.17
ORD10058,CUS002,P010,2023-01-31,2023-03-07,90,593.06,53375.4
ORD10059,CUS050,P008,2023-02-04,2023-03-13,301,410.68,123614.68
ORD10060,CUS039,P006,2023-01-30,2023-02-20,304,560.65,170437.6
ORD10061,CUS012,P007,2023-01-29,2023-02-15,329,616.2,202729.8
ORD10062,CUS028,P001,2023-01-30,2023-03-14,188,781.72,146963.36
ORD10063,CUS032,P015,2023-01-31,2023-03-06,141,694.34,97901.94
ORD10064,CUS041,P010,2023-01-30,2023-02-15,173,260.81,45120.13
ORD10065,CUS036,P010,2023-01-31,2023-03-04,483,296.74,143325.42
ORD10066,CUS033,P002,2023-01-29,2023-02-13,332,487.87,161972.84
ORD10067,CUS036,P010,2023-02-08,2023-03-16,332,314.07,104271.24
ORD10068,CUS014,P005,2023-02-11,2023-03-15,400,297.39,118956.0
ORD10069,CUS026,P003,2023-02-11,2023-03-07,315,680.22,214269.3
ORD10070,CUS024,P003,2023-02-05,2023-03-22,325,433.41,140858.25
ORD10071,CUS021,P012,2023-02-08,2023-03-18,16,218.66,3498.56
ORD10072,CUS027,P002,2023-02-11,2023-03-23,440,140.12,61652.8
ORD10073,CUS035,P007,2023-02-05,2023-03-19,15,269.47,4042.05
ORD10074,CUS041,P003,2023-02-11,2023-03-23,471,785.24,369848.04
ORD10075,CUS002,P003,2023-02-06,2023-03-14,419,845.3,354180.7
ORD10076,CUS024,P009,2023-02-07,2023-02-22,46,333.93,15360.78
ORD10077,CUS013,P011,2023-02-05,2023-02-23,235,215.08,50543.8
ORD10078,CUS047,P011,2023-02-05,2023-03-18,264,692.39,182790.96
ORD10079,CUS021,P007,2023-02-05,2023-03-13,279,388.03,108260.37
ORD10080,CUS004,P006,2023-02-06,2023-03-03,140,274.33,38406.2
ORD10081,CUS014,P004,2023-02-09,2023-03-15,167,389.93,65118.31
ORD10082,CUS017,P001,2023-02-10,2023-03-20,145,628.84,91181.8
ORD10083,CUS024,P004,2023-02-05,2023-03-11,365,799.65,291872.25
ORD10084,CUS030,P010,2023-02-05,2023-03-11,380,404.69,153782.2
ORD10085,CUS037,P015,2023-02-10,2023-03-01,398,555.46,221073.08
ORD10086,CUS041,P010,2023-02-16,2023-03-27,232,820.65,190390.8
ORD10087,CUS020,P014,2023-02-17,2023-03-28,307,202.22,62081.54
ORD10088,CUS022,P007,2023-02-12,2023-03-13,109,751.91,81958.19
ORD10089,CUS046,P010,2023-02-15,2023-03-17,331,578.21,191387.51
ORD10090,CUS030,P007,2023-02-16,2023-03-02,201,591.5,118891.5
ORD10091,CUS004,P013,2023-02-13,2023-03-14,391,597.6,233661.6
ORD10092,CUS031,P013,2023-02-17,2023-03-08,287,243.92,70005.04
ORD10093,CUS001,P013,2023-02-17,2023-03-09,298,178.13,53082.74
ORD10094,CUS002,P010,2023-02-14,2023-03-27,260,224.56,58385.6
ORD10095,CUS013,P014,2023-02-18,2023-03-13,363,607.84,220645.92
ORD10096,CUS045,P008,2023-02-13,2023-03-07,117,491.56,57512.52
ORD10097,CUS026,P005,2023-02-14,2023-03-02,105,741.58,77865.9
ORD10098,CUS009,P006,2023-02-13,2023-03-09,427,350.7,149748.9
ORD10099,CUS030,P007,2023-02-16,2023-03-13,142,161.4,22918.8
ORD10100,CUS031,P015,2023-02-13,2023-03-09,124,619.77,76851.48
ORD10101,CUS022,P011,2023-02-13,2023-03-01,79,221.6,17506.4
ORD10102,CUS002,P010,2023-02-19,2023-03-21,362,843.05,305184.1
ORD10103,CUS005,P007,2023-02-23,2023-03-21,126,652.94,82270.44
ORD10104,CUS012,P009,2023-02-21,2023-03-25,80,200.24,16019.2
ORD10105,CUS020,P008,2023-02-24,2023-03-14,319,512.57,163509.83
ORD10106,CUS010,P015,2023-02-23,2023-03-09,419,579.95,242999.05
ORD10107,CUS022,P014,2023-02-21,2023-03-12,178,720.26,128206.28
ORD10108,CUS045,P006,2023-02-20,2023-03-30,39,779.74,30409.86
ORD10109,CUS029,P006,2023-02-22,2023-03-12,113,479.67,54202.71
ORD10110,CUS015,P002,2023-02-19,2023-03-05,376,711.68,267591.68
ORD10111,CUS019,P004,2023-02-20,2023-03-15,104,663.1,68962.4
ORD10112,CUS041,P012,2023-03-04,2023-03-27,477,130.83,62405.91
ORD10113,CUS029,P008,2023-03-01,2023-03-28,114,799.87,91185.18
ORD10114,CUS027,P015,2023-03-03,2023-03-19,498,353.7,176142.6
ORD10115,CUS020,P012,2023-03-01,2023-03-16,483,687.19,331912.77
ORD10116,CUS001,P004,2023-03-02,2023-04-08,36,221.38,7969.68
ORD10117,CUS003,P006,2023-03-02,2023-04-05,96,539.72,51813.12
ORD10118,CUS020,P003,2023-03-03,2023-04-04,53,625.54,33153.62
ORD10119,CUS003,P011,2023-03-01,2023-04-03,382,69.26,26457.32
ORD10120,CUS032,P005,2023-02-26,2023-04-08,252,669.74,168774.48
ORD10121,CUS024,P009,2023-02-27,2023-04-09,242,371.7,89951.4
ORD10122,CUS024,P010,2023-02-26,2023-04-08,435,156.92,68260.2
ORD10123,CUS003,P004,2023-03-03,2023-04-11,107,689.0,73723.0
ORD10124,CUS043,P006,2023-03-03,2023-04-11,462,813.04,375624.48
ORD10125,CUS017,P007,2023-03-03,2023-03-21,154,498.28,76735.12
ORD10126,CUS021,P010,2023-03-08,2023-04-04,63,456.24,28743.12
ORD10127,CUS014,P010,2023-03-10,2023-04-24,393,498.81,196032.33
ORD10128,CUS035,P012,2023-03-07,2023-03-25,141,518.96,73173.36
ORD10129,CUS046,P009,2023-03-08,2023-03-24,311,635.58,197665.38
ORD10130,CUS021,P014,2023-03-07,2023-03-21,453,257.73,116751.69
ORD10131,CUS045,P013,2023-03-10,2023-04-06,83,704.43,58467.69
ORD10132,CUS050,P014,2023-03-08,2023-04-09,120,130.24,15628.8
ORD10133,CUS048,P004,2023-03-09,2023-04-08,467,339.33,158467.11
ORD10134,CUS009,P002,2023-03-06,2023-03-24,348,740.29,257620.92
ORD10135,CUS007,P006,2023-03-09,2023-04-10,297,794.55,235981.35
ORD10136,CUS015,P005,2023-03-05,2023-03-19,368,85.42,31434.56
ORD10137,CUS044,P008,2023-03-08,2023-04-01,80,775.44,62035.2
ORD10138,CUS038,P009,2023-03-17,2023-04-19,490,435.61,213448.9
ORD10139,CUS012,P014,2023-03-17,2023-04-10,184,353.1,64970.4
ORD10140,CUS030,P012,2023-03-16,2023-04-30,42,723.98,30407.16
ORD10141,CUS050,P009,2023-03-16,2023-04-08,475,821.28,390108.0
ORD10142,CUS014,P008,2023-03-16,2023-04-29,39,297.11,11587.29
ORD10143,CUS035,P014,2023-03-14,2023-04-01,208,455.78,94802.24
ORD10144,CUS025,P012,2023-03-12,2023-04-07,367,621.75,228182.25
ORD10145,CUS037,P011,2023-03-14,2023-04-22,166,410.72,68179.52
ORD10146,CUS037,P010,2023-03-16,2023-04-16,210,45.21,9494.1
ORD10147,CUS044,P006,2023-03-16,2023-04-26,361,391.15,141205.15
ORD10148,CUS018,P010,2023-03-18,2023-04-25,108,753.97,81428.76
ORD10149,CUS035,P004,2023-03-12,2023-04-23,88,191.1,16816.8
ORD10150,CUS008,P001,2023-03-18,2023-04-04,303,751.05,227568.15
ORD10151,CUS027,P002,2023-03-15,2023-04-23,77,31.11,2395.47
ORD10152,CUS027,P006,2023-03-14,2023-04-17,385,395.94,152436.9
ORD10153,CUS033,P007,2023-03-14,2023-04-18,265,574.05,152123.25
ORD10154,CUS034,P007,2023-03-14,2023-04-17,394,650.89,256450.66
ORD10155,CUS032,P006,2023-03-12,2023-04-06,140,412.96,57814.4
ORD10156,CUS018,P001,2023-03-12,2023-03-29,207,457.11,94621.77
ORD10157,CUS022,P009,2023-03-18,2023-04-27,423,463.04,195865.92
ORD10158,CUS009,P005,2023-03-17,2023-04-03,192,83.82,16093.44
ORD10159,CUS023,P005,2023-03-21,2023-04-10,88,169.48,14914.24
ORD10160,CUS017,P014,2023-03-21,2023-04-20,45,660.12,29705.4
ORD10161,CUS038,P010,2023-03-22,2023-04-23,12,143.57,1722.84
ORD10162,CUS013,P004,2023-03-23,2023-05-02,477,465.89,222229.53
ORD10163,CUS028,P001,2023-03-23,2023-04-20,438,287.58,125960.04
ORD10164,CUS031,P014,2023-03-19,2023-04-06,241,41.4,9977.4
ORD10165,CUS016,P007,2023-03-20,2023-04-05,461,538.32,248165.52
ORD10166,CUS018,P003,2023-03-20,2023-04-29,41,168.02,6888.82
ORD10167,CUS045,P006,2023-03-24,2023-04-10,286,529.46,151425.56
ORD10168,CUS035,P004,2023-03-19,2023-04-19,392,82.06,32167.52
ORD10169,CUS018,P011,2023-03-23,2023-04-06,308,660.38,203397.04
ORD10170,CUS041,P002,2023-03-25,2023-05-08,315,424.95,133859.25
ORD10171,CUS037,P015,2023-03-22,2023-04-13,440,250.01,110004.4
ORD10172,CUS010,P009,2023-03-21,2023-04-11,117,324.13,37923.21
ORD10173,CUS018,P009,2023-03-26,2023-04-28,172,779.36,134049.92
ORD10174,CUS030,P004,2023-03-28,2023-05-05,394,595.32,234556.08
ORD10175,CUS020,P009,2023-03-26,2023-04-29,265,553.18,146592.7
ORD10176,CUS015,P010,2023-03-28,2023-04-12,464,302.85,140522.4
ORD10177,CUS041,P013,2023-03-30,2023-04-15,81,567.74,45986.94
ORD10178,CUS028,P001,2023-03-27,2023-04-26,148,146.39,21665.72
ORD10179,CUS003,P013,2023-03-27,2023-04-15,191,776.86,148380.26
ORD10180,CUS039,P013,2023-03-27,2023-05-01,276,256.3,70738.8
ORD10181,CUS002,P008,2023-03-27,2023-04-29,88,58.72,5167.36
ORD10182,CUS007,P010,2023-03-31,2023-05-12,350,404.36,141526.0
ORD10183,CUS019,P009,2023-03-29,2023-05-11,195,527.97,102954.15
ORD10184,CUS008,P011,2023-03-28,2023-04-15,272,766.97,208615.84
ORD10185,CUS048,P005,2023-03-31,2023-04-24,113,28.05,3169.65
ORD10186,CUS034,P013,2023-03-31,2023-04-22,439,525.26,230589.14
ORD10187,CUS042,P009,2023-04-01,2023-05-10,366,449.3,164443.8
ORD10188,CUS018,P002,2023-03-30,2023-05-09,91,226.87,20645.17
ORD10189,CUS050,P004,2023-03-27,2023-05-07,25,632.88,15822.0
ORD10190,CUS047,P009,2023-04-05,2023-05-06,94,403.88,37964.72
ORD10191,CUS031,P005,2023-04-06,2023-05-03,60,725.68,43540.8
ORD10192,CUS029,P004,2023-04-07,2023-04-21,206,357.36,73616.16
ORD10193,CUS038,P004,2023-04-07,2023-04-26,200,101.12,20224.0
ORD10194,CUS034,P015,2023-04-08,2023-04-27,249,471.23,117336.27
ORD10195,CUS010,P005,2023-04-08,2023-05-01,463,339.72,157290.36
ORD10196,CUS024,P014,2023-04-04,2023-05-07,222,538.86,119626.92
ORD10197,CUS038,P014,2023-04-02,2023-05-12,485,151.03,73249.55
ORD10198,CUS009,P008,2023-04-07,2023-04-30,122,564.35,68850.7
ORD10199,CUS008,P008,2023-04-06,2023-04-21,87,754.22,65617.14
ORD10200,CUS015,P008,2023-04-07,2023-04-24,28,609.45,17064.6
ORD10201,CUS049,P007,2023-04-04,2023-05-05,456,684.55,312154.8
ORD10202,CUS035,P011,2023-04-07,2023-05-19,38,578.66,21989.08
ORD10203,CUS018,P013,2023-04-12,2023-05-24,307,291.44,89472.08
ORD10204,CUS017,P002,2023-04-14,2023-05-26,225,434.53,97769.25
ORD10205,CUS021,P004,2023-04-13,2023-05-01,429,749.79,321659.91
ORD10206,CUS035,P009,2023-04-13,2023-04-29,441,398.26,175632.66
ORD10207,CUS014,P008,2023-04-13,2023-05-01,190,506.13,96164.7
ORD10208,CUS021,P008,2023-04-13,2023-04-30,295,504.35,148783.25
ORD10209,CUS024,P009,2023-04-13,2023-05-21,95,359.11,34115.45
ORD10210,CUS036,P004,2023-04-13,2023-05-13,291,447.17,130126.47
ORD10211,CUS027,P004,2023-04-13,2023-04-28,450,153.33,68998.5
ORD10212,CUS002,P011,2023-04-12,2023-05-21,50,149.52,7476.0
ORD10213,CUS038,P007,2023-04-14,2023-05-04,102,119.48,12186.96
ORD10214,CUS041,P013,2023-04-14,2023-04-29,333,726.02,241764.66
ORD10215,CUS048,P002,2023-04-13,2023-05-03,89,790.93,70392.77
ORD10216,CUS042,P013,2023-04-13,2023-05-21,443,565.92,250702.56
ORD10217,CUS049,P002,2023-04-13,2023-05-05,427,691.95,295462.65
ORD10218,CUS042,P014,2023-04-12,2023-04-26,478,356.48,170397.44
ORD10219,CUS049,P014,2023-04-20,2023-05-06,457,122.7,56073.9
ORD10220,CUS030,P010,2023-04-17,2023-05-15,256,667.95,170995.2
ORD10221,CUS038,P009,2023-04-17,2023-05-25,293,525.52,153977.36
ORD10222,CUS015,P004,2023-04-18,2023-05-29,348,275.63,95919.24
ORD10223,CUS030,P015,2023-04-16,2023-05-15,375,285.85,107193.75
ORD10224,CUS027,P008,2023-04-18,2023-05-31,271,531.7,144090.7
ORD10225,CUS034,P013,2023-04-21,2023-05-19,107,304.11,32539.77
ORD10226,CUS045,P008,2023-04-16,2023-05-31,236,219.8,51872.8
ORD10227,CUS007,P013,2023-04-17,2023-05-14,61,291.4,17775.4
ORD10228,CUS022,P011,2023-04-16,2023-05-20,235,582.8,136958.0
ORD10229,CUS003,P006,2023-04-17,2023-05-06,278,419.71,116679.38
ORD10230,CUS039,P011,2023-04-21,2023-05-19,274,250.92,68752.08
ORD10231,CUS018,P005,2023-04-16,2023-05-19,198,835.03,165335.94
ORD10232,CUS035,P004,2023-04-16,2023-05-04,169,77.71,13132.99
ORD10233,CUS031,P001,2023-04-21,2023-05-11,395,150.72,59534.4
ORD10234,CUS015,P011,2023-04-22,2023-05-26,445,65.61,29196.45
ORD10235,CUS026,P009,2023-04-19,2023-05-10,176,542.92,95553.92
ORD10236,CUS026,P014,2023-04-22,2023-05-10,390,55.92,21808.8
ORD10237,CUS041,P008,2023-04-22,2023-06-03,326,393.29,128212.54
ORD10238,CUS010,P004,2023-04-28,2023-05-31,421,666.83,280735.43
ORD10239,CUS018,P006,2023-04-26,2023-05-28,144,364.91,52547.04
ORD10240,CUS031,P010,2023-04-29,2023-05-31,22,779.86,17156.92
ORD10241,CUS015,P014,2023-04-29,2023-06-09,381,731.39,278659.59
ORD10242,CUS020,P014,2023-04-23,2023-05-11,231,204.79,47306.49
ORD10243,CUS009,P010,2023-04-25,2023-06-08,121,650.67,78731.07
ORD10244,CUS033,P011,2023-04-24,2023-05-15,191,505.39,96529.49
ORD10245,CUS032,P006,2023-04-26,2023-05-20,317,775.76,245915.92
ORD10246,CUS010,P011,2023-05-03,2023-05-31,63,444.96,28032.48
ORD10247,CUS036,P013,2023-05-05,2023-06-01,373,56.14,20940.22
ORD10248,CUS037,P014,2023-04-30,2023-06-04,296,328.84,97336.64
ORD10249,CUS046,P011,2023-05-02,2023-05-26,430,212.08,91194.4
ORD10250,CUS012,P005,2023-04-30,2023-06-07,447,843.95,377245.65
ORD10251,CUS024,P002,2023-05-04,2023-06-09,330,634.56,209404.8
ORD10252,CUS035,P004,2023-05-04,2023-06-14,418,345.98,144619.64
ORD10253,CUS030,P015,2023-05-01,2023-06-03,159,680.64,108221.76
ORD10254,CUS031,P012,2023-05-02,2023-06-09,100,624.9,62490.0
ORD10255,CUS023,P012,2023-05-05,2023-06-10,288,258.83,74543.04
ORD10256,CUS006,P015,2023-05-05,2023-06-19,147,636.1,93506.7
ORD10257,CUS040,P002,2023-05-03,2023-05-21,236,27.42,6471.12
ORD10258,CUS001,P003,2023-05-01,2023-05-19,272,573.13,155891.36
ORD10259,CUS026,P010,2023-05-04,2023-05-22,340,713.16,242474.4
ORD10260,CUS019,P015,2023-04-30,2023-05-28,413,654.65,270370.45
ORD10261,CUS018,P011,2023-05-03,2023-06-10,367,758.72,278450.24
ORD10262,CUS046,P010,2023-05-02,2023-05-29,365,426.65,155727.25
ORD10263,CUS029,P005,2023-04-30,2023-05-22,312,693.55,216387.6
ORD10264,CUS009,P009,2023-05-10,2023-06-11,350,550.46,192661.0
ORD10265,CUS016,P004,2023-05-13,2023-05-28,425,150.04,63767.0
ORD10266,CUS041,P006,2023-05-12,2023-05-27,304,623.96,189683.84
ORD10267,CUS038,P007,2023-05-12,2023-06-06,69,485.21,33479.49
ORD10268,CUS013,P007,2023-05-10,2023-06-21,245,126.57,31009.65
ORD10269,CUS048,P007,2023-05-10,2023-06-19,232,810.85,188117.2
ORD10270,CUS001,P003,2023-05-09,2023-06-17,478,223.42,106794.76
ORD10271,CUS012,P013,2023-05-07,2023-05-29,416,725.45,301787.2
ORD10272,CUS009,P003,2023-05-12,2023-06-09,147,531.32,78104.04
ORD10273,CUS035,P001,2023-05-07,2023-06-03,381,386.12,147111.72
ORD10274,CUS028,P009,2023-05-08,2023-06-17,259,320.42,82988.78
ORD10275,CUS048,P001,2023-05-07,2023-06-20,452,398.18,179977.36
ORD10276,CUS005,P006,2023-05-08,2023-06-10,151,696.76,105210.76
ORD10277,CUS008,P005,2023-05-09,2023-05-24,325,160.47,52152.75
ORD10278,CUS016,P013,2023-05-13,2023-06-18,42,402.78,16916.76
ORD10279,CUS026,P015,2023-05-09,2023-06-19,461,278.42,128351.62
ORD10280,CUS025,P014,2023-05-07,2023-05-28,291,341.58,99399.78
ORD10281,CUS032,P013,2023-05-08,2023-06-15,121,79.85,9661.85
ORD10282,CUS038,P013,2023-05-13,2023-06-18,386,771.29,297717.94
ORD10283,CUS025,P015,2023-05-11,2023-06-15,192,505.68,97090.56
ORD10284,CUS011,P011,2023-05-08,2023-06-22,360,386.9,139284.0
ORD10285,CUS017,P013,2023-05-14,2023-06-16,321,62.11,19937.31
ORD10286,CUS014,P015,2023-05-20,2023-06-23,11,827.56,9103.16
ORD10287,CUS048,P013,2023-05-16,2023-06-20,42,626.1,26296.2
ORD10288,CUS014,P014,2023-05-20,2023-06-20,409,263.05,107587.45
ORD10289,CUS044,P005,2023-05-18,2023-06-26,256,141.06,36111.36
ORD10290,CUS035,P015,2023-05-18,2023-06-15,303,25.65,7771.95
ORD10291,CUS031,P013,2023-05-15,2023-06-12,43,233.47,10039.21
ORD10292,CUS024,P005,2023-05-17,2023-06-05,201,591.48,118887.48
ORD10293,CUS019,P010,2023-05-20,2023-06-15,86,320.02,27521.72
ORD10294,CUS008,P005,2023-05-19,2023-07-01,279,451.57,125988.03
ORD10295,CUS038,P014,2023-05-16,2023-06-12,42,135.56,5693.52
ORD10296,CUS045,P001,2023-05-16,2023-05-30,308,290.84,89578.72
ORD10297,CUS016,P008,2023-05-17,2023-06-27,227,103.18,23421.86
ORD10298,CUS013,P001,2023-05-19,2023-06-25,267,67.57,18041.19
ORD10299,CUS007,P012,2023-05-19,2023-07-02,134,95.76,12831.84
ORD10300,CUS014,P010,2023-05-14,2023-06-17,57,799.11,45549.27
ORD10301,CUS017,P004,2023-05-17,2023-06-30,283,365.36,103396.88
ORD10302,CUS041,P002,2023-05-20,2023-06-03,258,683.71,176397.18
ORD10303,CUS005,P009,2023-05-17,2023-06-06,33,532.49,17572.17
ORD10304,CUS026,P011,2023-05-18,2023-06-21,226,273.48,61806.48
ORD10305,CUS022,P013,2023-05-17,2023-06-03,218,554.91,120970.38
ORD10306,CUS001,P003,2023-05-27,2023-07-07,430,502.0,215860.0
ORD10307,CUS013,P004,2023-05-27,2023-06-14,200,802.2,160440.0
ORD10308,CUS012,P012,2023-05-26,2023-06-21,16,358.5,5736.0
ORD10309,CUS004,P003,2023-05-22,2023-06-08,104,816.12,84876.48
ORD10310,CUS028,P014,2023-05-23,2023-06-27,475,598.68,284373.0
ORD10311,CUS044,P006,2023-05-27,2023-06-18,96,262.85,25233.6
ORD10312,CUS007,P002,2023-05-23,2023-06-15,23,358.07,8235.61
ORD10313,CUS031,P001,2023-05-21,2023-06-24,48,236.28,11341.44
ORD10314,CUS048,P010,2023-05-25,2023-06-17,19,103.74,1971.06
ORD10315,CUS026,P007,2023-05-22,2023-06-18,444,635.66,282233.04
ORD10316,CUS010,P003,2023-05-22,2023-06-13,152,55.82,8484.64
ORD10317,CUS021,P004,2023-05-27,2023-06-18,104,573.49,59642.96
ORD10318,CUS004,P006,2023-05-24,2023-06-15,345,47.71,16459.95
ORD10319,CUS043,P012,2023-05-25,2023-06-10,445,87.31,38852.95
ORD10320,CUS049,P004,2023-05-23,2023-06-25,117,209.49,24510.33
ORD10321,CUS007,P004,2023-05-22,2023-06-16,196,174.77,34254.92
ORD10322,CUS025,P002,2023-05-27,2023-06-23,91,225.69,20537.79
ORD10323,CUS039,P005,2023-05-23,2023-07-02,357,258.73,92366.61
ORD10324,CUS014,P005,2023-05-29,2023-07-07,162,662.32,107295.84
ORD10325,CUS020,P010,2023-05-31,2023-07-11,416,29.11,12109.76
ORD10326,CUS017,P010,2023-06-01,2023-07-12,229,184.49,42248.21
ORD10327,CUS012,P012,2023-05-28,2023-07-03,136,385.74,52460.64
ORD10328,CUS030,P011,2023-06-02,2023-07-16,330,771.55,254611.5
ORD10329,CUS016,P005,2023-06-02,2023-07-09,100,538.01,53801.0
ORD10330,CUS015,P006,2023-05-31,2023-06-19,181,592.9,107314.9
ORD10331,CUS025,P007,2023-05-30,2023-07-04,298,723.83,215701.34
ORD10332,CUS018,P008,2023-06-03,2023-07-11,90,330.03,29702.7
ORD10333,CUS016,P014,2023-06-02,2023-06-19,327,780.8,255321.6
ORD10334,CUS020,P002,2023-06-06,2023-07-20,410,843.91,346003.1
ORD10335,CUS015,P004,2023-06-07,2023-07-14,91,263.05,23937.55
ORD10336,CUS029,P013,2023-06-06,2023-07-15,232,618.74,143547.68
ORD10337,CUS043,P004,2023-06-06,2023-07-03,297,503.96,149676.12
ORD10338,CUS045,P012,2023-06-07,2023-06-29,400,547.88,219152.0
ORD10339,CUS050,P010,2023-06-08,2023-07-13,392,231.12,90599.04
ORD10340,CUS019,P004,2023-06-09,2023-07-17,262,787.12,206225.44
ORD10341,CUS010,P005,2023-06-04,2023-07-09,253,92.48,23397.44
ORD10342,CUS042,P008,2023-06-10,2023-07-20,496,187.13,92816.48
ORD10343,CUS041,P009,2023-06-05,2023-07-09,148,200.31,29645.88
ORD10344,CUS043,P005,2023-06-07,2023-07-12,266,642.99,171035.34
ORD10345,CUS016,P011,2023-06-08,2023-06-23,221,672.45,148611.45
ORD10346,CUS026,P012,2023-06-08,2023-07-01,161,491.54,79137.94
ORD10347,CUS038,P011,2023-06-05,2023-06-23,222,104.35,23165.7
ORD10348,CUS015,P011,2023-06-15,2023-07-04,61,349.76,21335.36
ORD10349,CUS033,P011,2023-06-12,2023-07-25,55,49.11,2701.05
ORD10350,CUS002,P008,2023-06-17,2023-07-14,252,132.91,33493.32
ORD10351,CUS004,P008,2023-06-16,2023-07-10,406,709.83,288190.98
ORD10352,CUS001,P002,2023-06-13,2023-07-24,427,422.63,180463.01
ORD10353,CUS036,P015,2023-06-16,2023-07-01,294,764.4,224733.6
ORD10354,CUS025,P012,2023-06-13,2023-07-10,70,133.75,9362.5
ORD10355,CUS008,P005,2023-06-14,2023-07-10,313,658.78,206198.14
ORD10356,CUS050,P008,2023-06-14,2023-07-09,175,555.02,97128.5
ORD10357,CUS010,P012,2023-06-15,2023-07-09,208,720.02,149764.16
