AssetID,Type,SiteID,AssignedTo,PurchaseDate,Status
AST-00045,Desktop,SITE-02,EMP-100316,2024-06-01,Active
AST-00046,Desktop,SITE-03,EMP-100665,2025-12-01,Retired
AST-00047,Laptop,SITE-04,EMP-100153,2022-01-01,Retired
AST-00048,License,SITE-04,EMP-100251,2021-11-01,Retired
AST-00049,Mobile,SITE-03,EMP-100611,2021-06-01,Retired
AST-00050,Laptop,SITE-03,EMP-100334,2021-04-01,Active
AST-00051,Network,SITE-01,EMP-100675,2021-06-01,Retired
AST-00052,Server,SITE-03,EMP-100807,2021-01-01,Active
AST-00053,Network,SITE-02,EMP-100371,2025-07-01,Retired
AST-00054,Desktop,SITE-01,EMP-100057,2023-05-01,Active
AST-00055,Mobile,SITE-02,EMP-100560,2023-01-01,Active
AST-00056,Laptop,SITE-01,EMP-100221,2026-03-01,Active
AST-00057,Laptop,SITE-04,EMP-100714,2024-09-01,Active
AST-00058,Desktop,SITE-02,EMP-100467,2024-05-01,Retired
AST-00059,Laptop,SITE-04,EMP-100180,2021-09-01,Active
AST-00060,Laptop,SITE-03,EMP-100557,2022-05-01,Retired
AST-00061,Desktop,SITE-04,EMP-100565,2026-05-01,Active
AST-00062,Desktop,SITE-01,EMP-100614,2025-09-01,Retired
AST-00063,Laptop,SITE-02,EMP-100804,2024-11-01,Retired
AST-00064,Mobile,SITE-04,EMP-100187,2024-07-01,Active
AST-00065,Laptop,SITE-03,EMP-100104,2021-07-01,Active
AST-00066,Laptop,SITE-03,EMP-100217,2022-05-01,Retired
AST-00067,Desktop,SITE-01,EMP-100643,2023-11-01,Retired
AST-00068,Laptop,SITE-04,EMP-100001,2023-09-01,Retired
AST-00069,License,SITE-01,EMP-100646,2022-07-01,Active
AST-00070,Server,SITE-03,EMP-100232,2026-03-01,Active
AST-00071,Mobile,SITE-02,EMP-100570,2021-11-01,Active
AST-00072,Mobile,SITE-04,EMP-100679,2026-11-01,Active
AST-00073,Laptop,SITE-02,EMP-100528,2022-12-01,Active
AST-00074,License,SITE-03,EMP-100218,2021-09-01,Retired
AST-00075,Server,SITE-01,EMP-100204,2026-05-01,Retired
AST-00076,Server,SITE-02,EMP-100079,2025-09-01,Active
AST-00077,Desktop,SITE-03,EMP-100380,2023-03-01,Retired
AST-00078,Laptop,SITE-01,EMP-100716,2026-05-01,Retired
AST-00079,Laptop,SITE-02,EMP-100229,2023-03-01,Active
AST-00080,Server,SITE-03,EMP-100705,2025-06-01,Active
AST-00081,Desktop,SITE-02,EMP-100310,2026-02-01,Active
AST-00082,Laptop,SITE-02,EMP-100435,2026-11-01,Active
AST-00083,Mobile,SITE-01,EMP-100818,2025-10-01,Active
AST-00084,Server,SITE-04,EMP-100432,2021-10-01,Retired
AST-00085,Desktop,SITE-04,EMP-100546,2026-02-01,Retired
AST-00086,Desktop,SITE-01,EMP-100116,2026-05-01,Retired
AST-00087,Laptop,SITE-03,EMP-100108,2025-03-01,Active
AST-00088,Server,SITE-01,EMP-100609,2026-08-01,Active
AST-00089,Desktop,SITE-02,EMP-100019,2021-08-01,Retired
AST-00090,License,SITE-04,EMP-100346,2024-07-01,Active
AST-00091,Server,SITE-03,EMP-100541,2024-02-01,Retired
AST-00092,Network,SITE-02,EMP-100516,2025-01-01,Active
AST-00093,Laptop,SITE-04,EMP-100464,2023-08-01,Retired
AST-00094,Server,SITE-01,EMP-100433,2025-10-01,Active
AST-00095,Server,SITE-01,EMP-100181,2023-10-01,Active
AST-00096,Server,SITE-02,EMP-100685,2026-06-01,Active
AST-00097,Laptop,SITE-02,EMP-100119,2026-07-01,Active
AST-00098,Mobile,SITE-04,EMP-100065,2025-11-01,Active
AST-00099,Mobile,SITE-01,EMP-100805,2023-07-01,Active
AST-00100,License,SITE-02,EMP-100366,2023-11-01,Retired
AST-00101,Network,SITE-01,EMP-100429,2023-10-01,Retired
AST-00102,License,SITE-04,EMP-100368,2022-10-01,Active
AST-00103,Network,SITE-02,EMP-100772,2025-08-01,Retired
AST-00104,License,SITE-01,EMP-100458,2021-08-01,Retired
AST-00105,Server,SITE-02,EMP-100815,2026-07-01,Retired
AST-00106,License,SITE-03,EMP-100797,2025-09-01,Active
AST-00107,License,SITE-04,EMP-100016,2023-01-01,Active
AST-00108,Network,SITE-04,EMP-100811,2021-12-01,Active
AST-00109,Server,SITE-03,EMP-100347,2026-09-01,Active
AST-00110,Server,SITE-02,EMP-100170,2024-01-01,Active
AST-00111,Network,SITE-03,EMP-100504,2022-01-01,Active
AST-00112,Server,SITE-02,EMP-100704,2021-09-01,Active
AST-00113,Server,SITE-02,EMP-100685,2023-06-01,Active
AST-00114,Network,SITE-02,EMP-100789,2026-11-01,Retired
AST-00115,Mobile,SITE-02,EMP-100257,2021-01-01,Retired
AST-00116,Mobile,SITE-02,EMP-100229,2025-06-01,Retired
AST-00117,Mobile,SITE-04,EMP-100748,2021-07-01,Active
AST-00118,License,SITE-02,EMP-100068,2021-04-01,Active
AST-00119,Mobile,SITE-02,EMP-100498,2025-04-01,Active
AST-00120,Mobile,SITE-02,EMP-100187,2023-08-01,Retired
AST-00121,Laptop,SITE-01,EMP-100477,2023-03-01,Active
AST-00122,Network,SITE-02,EMP-100589,2025-02-01,Retired
AST-00123,Desktop,SITE-04,EMP-100466,2024-02-01,Active
AST-00124,Laptop,SITE-01,EMP-100201,2024-11-01,Active
AST-00125,Desktop,SITE-02,EMP-100433,2023-07-01,Active
AST-00126,Server,SITE-03,EMP-100772,2023-12-01,Active
AST-00127,Mobile,SITE-02,EMP-100194,2025-03-01,Active
AST-00128,Network,SITE-03,EMP-100162,2025-06-01,Active
AST-00129,Desktop,SITE-04,EMP-100172,2025-05-01,Retired
AST-00130,Server,SITE-01,EMP-100661,2021-07-01,Retired
AST-00131,License,SITE-02,EMP-100702,2025-05-01,Active
AST-00132,License,SITE-01,EMP-100566,2021-05-01,Retired
AST-00133,License,SITE-01,EMP-100602,2025-05-01,Active
AST-00134,Laptop,SITE-01,EMP-100208,2022-11-01,Retired
AST-00135,Mobile,SITE-01,EMP-100114,2022-04-01,Active
AST-00136,Mobile,SITE-01,EMP-100417,2021-10-01,Active
AST-00137,License,SITE-04,EMP-100593,2023-03-01,Active
AST-00138,License,SITE-03,EMP-100016,2023-11-01,Active
AST-00139,Desktop,SITE-01,EMP-100098,2021-02-01,Retired
AST-00140,Mobile,SITE-04,EMP-100346,2025-09-01,Retired
AST-00141,Laptop,SITE-01,EMP-100184,2025-04-01,Active
AST-00142,Network,SITE-04,EMP-100458,2024-03-01,Active
AST-00143,Network,SITE-01,EMP-100588,2025-10-01,Active
AST-00144,Laptop,SITE-03,EMP-100604,2026-03-01,Active
AST-00145,Laptop,SITE-01,EMP-100815,2021-04-01,Active
AST-00146,License,SITE-01,EMP-100463,2022-11-01,Active
AST-00147,Server,SITE-04,EMP-100468,2025-06-01,Retired
AST-00148,Desktop,SITE-01,EMP-100081,2021-08-01,Retired
AST-00149,Mobile,SITE-01,EMP-100229,2026-08-01,Retired
AST-00150,License,SITE-04,EMP-100763,2024-07-01,Active
AST-00151,License,SITE-03,EMP-100113,2023-02-01,Retired
AST-00152,License,SITE-04,EMP-100319,2026-03-01,Retired
AST-00153,Server,SITE-01,EMP-100416,2024-03-01,Retired
AST-00154,License,SITE-04,EMP-100667,2022-04-01,Retired
AST-00155,Network,SITE-04,EMP-100008,2024-06-01,Active
AST-00156,Laptop,SITE-02,EMP-100777,2026-08-01,Active
AST-00157,License,SITE-03,EMP-100157,2023-01-01,Active
AST-00158,Server,SITE-02,EMP-100373,2025-10-01,Active
AST-00159,Desktop,SITE-02,EMP-100544,2023-10-01,Retired
AST-00160,Mobile,SITE-02,EMP-100206,2021-04-01,Active
AST-00161,Network,SITE-03,EMP-100464,2022-04-01,Active
AST-00162,License,SITE-01,EMP-100121,2024-09-01,Retired
AST-00163,Network,SITE-01,EMP-100236,2022-05-01,Retired
AST-00164,License,SITE-03,EMP-100630,2026-06-01,Active
AST-00165,Desktop,SITE-02,EMP-100652,2022-05-01,Active
AST-00166,Desktop,SITE-03,EMP-100183,2025-05-01,Active
AST-00167,Mobile,SITE-04,EMP-100289,2021-04-01,Active
AST-00168,Desktop,SITE-03,EMP-100717,2022-07-01,Retired
AST-00169,Mobile,SITE-04,EMP-100742,2024-11-01,Retired
AST-00170,Mobile,SITE-03,EMP-100338,2024-01-01,Active
AST-00171,Network,SITE-04,EMP-100262,2024-07-01,Active
AST-00172,Mobile,SITE-04,EMP-100134,2023-11-01,Retired
AST-00173,License,SITE-04,EMP-100646,2021-09-01,Retired
AST-00174,Laptop,SITE-01,EMP-100093,2024-11-01,Active
AST-00175,Network,SITE-02,EMP-100595,2023-09-01,Retired
AST-00176,Network,SITE-03,EMP-100424,2024-12-01,Retired
AST-00177,Desktop,SITE-03,EMP-100733,2022-10-01,Active
AST-00178,License,SITE-03,EMP-100748,2021-10-01,Retired
AST-00179,Network,SITE-01,EMP-100082,2023-11-01,Active
AST-00180,Laptop,SITE-03,EMP-100477,2021-06-01,Active
AST-00181,Network,SITE-01,EMP-100218,2026-10-01,Retired
AST-00182,Network,SITE-02,EMP-100716,2026-11-01,Active
AST-00183,Network,SITE-04,EMP-100021,2022-10-01,Active
AST-00184,Desktop,SITE-03,EMP-100285,2024-08-01,Active
AST-00185,License,SITE-02,EMP-100331,2024-02-01,Retired
AST-00186,License,SITE-01,EMP-100773,2023-08-01,Active
AST-00187,Mobile,SITE-03,EMP-100479,2021-10-01,Retired
AST-00188,Desktop,SITE-01,EMP-100495,2025-04-01,Active
AST-00189,License,SITE-03,EMP-100294,2023-04-01,Retired
AST-00190,Laptop,SITE-04,EMP-100372,2023-10-01,Active
AST-00191,Desktop,SITE-02,EMP-100643,2022-03-01,Active
AST-00192,Server,SITE-03,EMP-100569,2021-09-01,Active
AST-00193,License,SITE-02,EMP-100134,2024-11-01,Retired
AST-00194,Mobile,SITE-01,EMP-100589,2025-06-01,Retired
AST-00195,Server,SITE-02,EMP-100295,2023-12-01,Retired
AST-00196,Network,SITE-04,EMP-100332,2023-03-01,Active
AST-00197,Mobile,SITE-04,EMP-100667,2022-09-01,Active
AST-00198,Desktop,SITE-04,EMP-100176,2026-02-01,Active
AST-00199,Mobile,SITE-02,EMP-100633,2021-12-01,Active
AST-00200,Laptop,SITE-03,EMP-100795,2022-11-01,Retired
AST-00201,Network,SITE-02,EMP-100151,2021-03-01,Active
AST-00202,Network,SITE-01,EMP-100591,2025-04-01,Active
AST-00203,Laptop,SITE-03,EMP-100320,2024-04-01,Active
AST-00204,Mobile,SITE-02,EMP-100815,2022-11-01,Retired
AST-00205,Mobile,SITE-01,EMP-100296,2026-09-01,Active
AST-00206,Network,SITE-01,EMP-100610,2023-05-01,Active
AST-00207,Network,SITE-03,EMP-100374,2026-08-01,Active
AST-00208,Network,SITE-03,EMP-100749,2023-02-01,Active
AST-00209,Desktop,SITE-02,EMP-100075,2023-11-01,Retired
AST-00210,Network,SITE-04,EMP-100518,2025-09-01,Active
AST-00211,License,SITE-02,EMP-100384,2022-12-01,Active
AST-00212,Server,SITE-01,EMP-100556,2026-12-01,Active
AST-00213,Laptop,SITE-02,EMP-100483,2025-02-01,Active
AST-00214,Network,SITE-01,EMP-100028,2026-01-01,Active
AST-00215,Network,SITE-02,EMP-100207,2023-11-01,Active
AST-00216,Server,SITE-01,EMP-100035,2022-09-01,Active
AST-00217,Network,SITE-02,EMP-100659,2026-08-01,Active
AST-00218,Server,SITE-03,EMP-100257,2026-08-01,Active
AST-00219,Server,SITE-04,EMP-100763,2023-03-01,Active
AST-00220,Mobile,SITE-01,EMP-100092,2025-05-01,Active
AST-00221,Server,SITE-03,EMP-100236,2022-07-01,Active
AST-00222,Laptop,SITE-03,EMP-100073,2024-01-01,Retired
AST-00223,Mobile,SITE-04,EMP-100467,2021-04-01,Active
AST-00224,Network,SITE-04,EMP-100420,2023-04-01,Active
AST-00225,Laptop,SITE-02,EMP-100704,2023-03-01,Active
AST-00226,License,SITE-02,EMP-100737,2025-11-01,Retired
AST-00227,Desktop,SITE-02,EMP-100053,2022-11-01,Retired
AST-00228,License,SITE-04,EMP-100258,2022-04-01,Retired
AST-00229,Server,SITE-02,EMP-100811,2022-05-01,Active
AST-00230,Server,SITE-01,EMP-100722,2022-12-01,Active
AST-00231,Desktop,SITE-02,EMP-100216,2026-09-01,Retired
AST-00232,Server,SITE-04,EMP-100149,2024-12-01,Retired
AST-00233,Server,SITE-01,EMP-100608,2021-09-01,Active
AST-00234,Laptop,SITE-02,EMP-100783,2021-04-01,Active
AST-00235,Desktop,SITE-03,EMP-100108,2026-06-01,Retired
AST-00236,License,SITE-04,EMP-100571,2021-07-01,Active
AST-00237,Desktop,SITE-01,EMP-100424,2025-02-01,Active
AST-00238,Desktop,SITE-04,EMP-100682,2021-10-01,Active
AST-00239,Server,SITE-04,EMP-100818,2026-01-01,Retired
AST-00240,Mobile,SITE-01,EMP-100433,2021-05-01,Active
AST-00241,Desktop,SITE-04,EMP-100655,2025-02-01,Retired
AST-00242,License,SITE-04,EMP-100472,2025-11-01,Active
AST-00243,Server,SITE-02,EMP-100267,2024-01-01,Active
AST-00244,Server,SITE-01,EMP-100418,2026-08-01,Active
AST-00245,Mobile,SITE-02,EMP-100541,2022-11-01,Active
AST-00246,Network,SITE-02,EMP-100145,2024-03-01,Retired
AST-00247,Server,SITE-02,EMP-100352,2026-02-01,Active
AST-00248,Network,SITE-04,EMP-100052,2022-06-01,Active
AST-00249,Network,SITE-03,EMP-100638,2023-07-01,Active
AST-00250,Server,SITE-04,EMP-100765,2022-08-01,Active
AST-00251,Desktop,SITE-01,EMP-100191,2024-12-01,Active
AST-00252,Laptop,SITE-01,EMP-100779,2022-05-01,Retired
AST-00253,Mobile,SITE-04,EMP-100693,2026-08-01,Active
AST-00254,Server,SITE-04,EMP-100630,2024-08-01,Active
AST-00255,Laptop,SITE-04,EMP-100306,2026-11-01,Active
AST-00256,Network,SITE-04,EMP-100440,2024-11-01,Active
AST-00257,Mobile,SITE-02,EMP-100116,2024-08-01,Active
AST-00258,Desktop,SITE-01,EMP-100711,2021-05-01,Active
AST-00259,Network,SITE-01,EMP-100620,2022-03-01,Retired
AST-00260,Network,SITE-02,EMP-100309,2022-12-01,Active
AST-00261,Network,SITE-03,EMP-100171,2022-10-01,Active
AST-00262,Network,SITE-02,EMP-100506,2022-07-01,Active
AST-00263,Server,SITE-01,EMP-100682,2026-10-01,Retired
AST-00264,Server,SITE-03,EMP-100268,2023-05-01,Active
AST-00265,Desktop,SITE-04,EMP-100661,2023-09-01,Retired
AST-00266,Laptop,SITE-02,EMP-100202,2026-12-01,Active
AST-00267,Mobile,SITE-04,EMP-100281,2026-07-01,Active
AST-00268,Mobile,SITE-04,EMP-100775,2023-09-01,Active
AST-00269,Mobile,SITE-02,EMP-100800,2022-06-01,Active
AST-00270,Laptop,SITE-01,EMP-100668,2025-04-01,Active
AST-00271,Laptop,SITE-01,EMP-100050,2025-11-01,Active
AST-00272,Laptop,SITE-01,EMP-100035,2022-04-01,Retired
AST-00273,Laptop,SITE-01,EMP-100115,2025-11-01,Active
AST-00274,License,SITE-01,EMP-100229,2025-02-01,Active
AST-00275,Network,SITE-02,EMP-100002,2024-09-01,Active
AST-00276,Network,SITE-02,EMP-100068,2023-02-01,Retired
AST-00277,Network,SITE-01,EMP-100238,2024-11-01,Retired
AST-00278,Mobile,SITE-03,EMP-100743,2025-11-01,Active
AST-00279,Network,SITE-02,EMP-100468,2026-05-01,Active
AST-00280,Network,SITE-01,EMP-100112,2021-04-01,Retired
AST-00281,Mobile,SITE-04,EMP-100385,2021-10-01,Active
AST-00282,Network,SITE-02,EMP-100403,2025-04-01,Retired
AST-00283,License,SITE-02,EMP-100402,2022-05-01,Active
AST-00284,License,SITE-04,EMP-100153,2021-08-01,Retired
AST-00285,Network,SITE-02,EMP-100148,2025-09-01,Active
AST-00286,Network,SITE-04,EMP-100166,2022-09-01,Retired
AST-00287,Desktop,SITE-02,EMP-100430,2025-02-01,Active
AST-00288,Desktop,SITE-02,EMP-100149,2024-04-01,Retired
AST-00289,Mobile,SITE-02,EMP-100453,2023-06-01,Retired
AST-00290,Network,SITE-02,EMP-100180,2021-10-01,Retired
AST-00291,Mobile,SITE-04,EMP-100403,2024-10-01,Active
AST-00292,Server,SITE-01,EMP-100405,2024-01-01,Active
AST-00293,License,SITE-03,EMP-100480,2024-07-01,Active
AST-00294,Network,SITE-02,EMP-100719,2023-06-01,Active
AST-00295,Desktop,SITE-04,EMP-100403,2023-02-01,Retired
AST-00296,Desktop,SITE-01,EMP-100286,2026-06-01,Active
AST-00297,Laptop,SITE-02,EMP-100766,2021-01-01,Active
AST-00298,Mobile,SITE-01,EMP-100052,2026-03-01,Active
AST-00299,Desktop,SITE-02,EMP-100779,2026-12-01,Retired
AST-00300,License,SITE-02,EMP-100316,2021-02-01,Active
AST-00301,Mobile,SITE-02,EMP-100215,2024-06-01,Active
AST-00302,Mobile,SITE-03,EMP-100102,2022-09-01,Active
AST-00303,Desktop,SITE-02,EMP-100106,2021-11-01,Active
AST-00304,Laptop,SITE-04,EMP-100022,2023-09-01,Active
AST-00305,Desktop,SITE-03,EMP-100244,2025-11-01,Retired
AST-00306,Laptop,SITE-02,EMP-100700,2023-02-01,Active
AST-00307,Laptop,SITE-01,EMP-100011,2022-05-01,Retired
AST-00308,Network,SITE-02,EMP-100184,2022-03-01,Retired
AST-00309,License,SITE-01,EMP-100549,2026-03-01,Active
AST-00310,Desktop,SITE-03,EMP-100358,2024-12-01,Active
AST-00311,Network,SITE-04,EMP-100805,2025-09-01,Retired
AST-00312,License,SITE-01,EMP-100149,2024-03-01,Active
AST-00313,Mobile,SITE-04,EMP-100420,2021-08-01,Active
AST-00314,Network,SITE-01,EMP-100295,2023-04-01,Active
AST-00315,Server,SITE-02,EMP-100634,2026-12-01,Active
AST-00316,License,SITE-02,EMP-100423,2024-02-01,Active
AST-00317,Laptop,SITE-04,EMP-100059,2025-07-01,Active
AST-00318,Mobile,SITE-02,EMP-100638,2021-10-01,Retired
AST-00319,Mobile,SITE-02,EMP-100554,2023-09-01,Retired
AST-00320,Laptop,SITE-01,EMP-100072,2026-07-01,Active
AST-00321,Laptop,SITE-04,EMP-100137,2026-10-01,Retired
AST-00322,Desktop,SITE-03,EMP-100397,2026-12-01,Active
AST-00323,Desktop,SITE-02,EMP-100087,2021-07-01,Active
AST-00324,Mobile,SITE-03,EMP-100794,2025-01-01,Active
AST-00325,Network,SITE-02,EMP-100498,2025-05-01,Retired
AST-00326,License,SITE-03,EMP-100300,2023-03-01,Active
AST-00327,License,SITE-03,EMP-100746,2024-08-01,Active
AST-00328,Server,SITE-01,EMP-100673,2022-01-01,Active
AST-00329,Mobile,SITE-04,EMP-100807,2026-11-01,Active
AST-00330,Mobile,SITE-04,EMP-100064,2021-04-01,Retired
AST-00331,Server,SITE-04,EMP-100582,2026-04-01,Retired
AST-00332,Network,SITE-01,EMP-100677,2026-11-01,Active
AST-00333,Mobile,SITE-01,EMP-100091,2026-09-01,Retired
AST-00334,Server,SITE-01,EMP-100331,2021-11-01,Active
AST-00335,Network,SITE-03,EMP-100675,2022-07-01,Retired
AST-00336,Mobile,SITE-01,EMP-100730,2024-06-01,Active
AST-00337,Network,SITE-02,EMP-100508,2022-02-01,Retired
AST-00338,Server,SITE-01,EMP-100103,2021-07-01,Active
AST-00339,Mobile,SITE-01,EMP-100622,2025-06-01,Retired
AST-00340,Mobile,SITE-02,EMP-100536,2021-11-01,Active
AST-00341,Laptop,SITE-04,EMP-100303,2026-02-01,Active
AST-00342,Mobile,SITE-01,EMP-100574,2023-09-01,Retired
AST-00343,Mobile,SITE-03,EMP-100583,2026-07-01,Retired
AST-00344,Server,SITE-04,EMP-100559,2024-06-01,Retired
AST-00345,Network,SITE-04,EMP-100750,2026-09-01,Active
AST-00346,Server,SITE-03,EMP-100712,2022-06-01,Active
AST-00347,Server,SITE-02,EMP-100567,2025-08-01,Retired
AST-00348,Desktop,SITE-02,EMP-100048,2021-12-01,Retired
AST-00349,Mobile,SITE-02,EMP-100431,2021-05-01,Retired
AST-00350,Network,SITE-02,EMP-100544,2025-03-01,Retired
AST-00351,Mobile,SITE-03,EMP-100586,2022-01-01,Retired
AST-00352,Network,SITE-04,EMP-100590,2023-10-01,Retired
AST-00353,Network,SITE-04,EMP-100225,2022-05-01,Retired
AST-00354,Laptop,SITE-02,EMP-100805,2024-04-01,Active
AST-00355,License,SITE-01,EMP-100784,2026-05-01,Active
AST-00356,Mobile,SITE-04,EMP-100154,2026-09-01,Retired
AST-00357,License,SITE-03,EMP-100431,2021-10-01,Active
AST-00358,Network,SITE-04,EMP-100755,2024-01-01,Retired
AST-00359,License,SITE-01,EMP-100282,2024-07-01,Active
AST-00360,License,SITE-01,EMP-100340,2025-11-01,Retired
AST-00361,Laptop,SITE-04,EMP-100691,2025-08-01,Retired
AST-00362,License,SITE-02,EMP-100739,2025-12-01,Active
AST-00363,Network,SITE-02,EMP-100164,2021-10-01,Active
AST-00364,License,SITE-02,EMP-100415,2025-02-01,Retired
AST-00365,Desktop,SITE-03,EMP-100109,2024-12-01,Active
AST-00366,Mobile,SITE-01,EMP-100013,2025-05-01,Active
AST-00367,Server,SITE-04,EMP-100627,2023-02-01,Active
AST-00368,License,SITE-02,EMP-100262,2024-01-01,Active
AST-00369,License,SITE-03,EMP-100252,2025-08-01,Active
AST-00370,Network,SITE-03,EMP-100235,2021-09-01,Retired
AST-00371,Network,SITE-04,EMP-100117,2023-05-01,Active
AST-00372,Laptop,SITE-01,EMP-100286,2021-01-01,Active
AST-00373,Desktop,SITE-02,EMP-100028,2025-03-01,Active
AST-00374,Network,SITE-03,EMP-100546,2023-01-01,Retired
AST-00375,Server,SITE-03,EMP-100060,2023-08-01,Active
AST-00376,License,SITE-01,EMP-100479,2021-02-01,Retired
AST-00377,Network,SITE-01,EMP-100649,2024-05-01,Retired
AST-00378,Laptop,SITE-04,EMP-100531,2024-10-01,Retired
AST-00379,License,SITE-01,EMP-100154,2025-09-01,Active
AST-00380,Desktop,SITE-01,EMP-100204,2024-11-01,Active
AST-00381,Network,SITE-04,EMP-100673,2026-07-01,Active
AST-00382,Server,SITE-01,EMP-100732,2022-01-01,Retired
AST-00383,Network,SITE-04,EMP-100209,2026-11-01,Retired
AST-00384,Laptop,SITE-03,EMP-100040,2025-11-01,Active
AST-00385,Laptop,SITE-03,EMP-100554,2024-12-01,Retired
AST-00386,Server,SITE-03,EMP-100635,2026-03-01,Active
AST-00387,Mobile,SITE-04,EMP-100482,2024-09-01,Active
AST-00388,Network,SITE-03,EMP-100655,2025-12-01,Active
AST-00389,Laptop,SITE-04,EMP-100310,2023-09-01,Active
AST-00390,Network,SITE-04,EMP-100667,2021-10-01,Retired
AST-00391,Server,SITE-02,EMP-100204,2025-07-01,Active
AST-00392,Network,SITE-01,EMP-100488,2022-05-01,Active
AST-00393,Mobile,SITE-03,EMP-100156,2023-09-01,Active
AST-00394,License,SITE-04,EMP-100663,2023-11-01,Active
AST-00395,License,SITE-02,EMP-100600,2025-09-01,Retired
AST-00396,Server,SITE-04,EMP-100732,2026-07-01,Active
AST-00397,Laptop,SITE-04,EMP-100471,2023-04-01,Active
AST-00398,Desktop,SITE-04,EMP-100045,2021-12-01,Retired
AST-00399,Network,SITE-02,EMP-100131,2024-06-01,Retired
AST-00400,Server,SITE-01,EMP-100717,2021-05-01,Retired
AST-00401,Laptop,SITE-03,EMP-100208,2023-10-01,Active
AST-00402,Mobile,SITE-03,EMP-100574,2026-06-01,Retired
AST-00403,Desktop,SITE-02,EMP-100692,2025-05-01,Retired
AST-00404,Network,SITE-04,EMP-100013,2026-10-01,Active
AST-00405,Desktop,SITE-02,EMP-100365,2021-09-01,Active
AST-00406,Server,SITE-02,EMP-100262,2023-08-01,Active
AST-00407,Server,SITE-01,EMP-100085,2022-06-01,Retired
AST-00408,License,SITE-04,EMP-100536,2023-04-01,Active
AST-00409,Server,SITE-02,EMP-100472,2022-03-01,Active
AST-00410,Network,SITE-01,EMP-100676,2025-02-01,Active
AST-00411,Mobile,SITE-04,EMP-100505,2025-06-01,Active
AST-00412,Network,SITE-01,EMP-100456,2023-03-01,Active
AST-00413,License,SITE-04,EMP-100775,2026-10-01,Active
AST-00414,Network,SITE-01,EMP-100613,2022-06-01,Active
AST-00415,Desktop,SITE-01,EMP-100711,2024-03-01,Active
AST-00416,Network,SITE-04,EMP-100511,2025-07-01,Active
AST-00417,Network,SITE-02,EMP-100265,2022-08-01,Retired
AST-00418,License,SITE-03,EMP-100409,2022-01-01,Retired
AST-00419,Server,SITE-03,EMP-100224,2025-01-01,Active
AST-00420,Desktop,SITE-01,EMP-100676,2023-08-01,Retired
