IncidentID,OpenedDate,Category,Priority,SiteID,ResolutionHours,Status
INC-00042,2026-06-13,Network,P3,SITE-01,4.6,Resolved
INC-00043,2026-02-12,Network,P1,SITE-01,47.7,Open
INC-00044,2026-01-17,Security,P4,SITE-03,54.7,Resolved
INC-00045,2026-04-25,Application,P1,SITE-03,71.9,Resolved
INC-00046,2026-01-15,Security,P1,SITE-01,6.9,Resolved
INC-00047,2026-02-13,Hardware,P3,SITE-03,21.9,Resolved
INC-00048,2026-02-09,Application,P4,SITE-04,55.0,Resolved
INC-00049,2026-03-24,Hardware,P1,SITE-02,46.4,Open
INC-00050,2026-01-04,Network,P3,SITE-03,33.2,Resolved
INC-00051,2026-05-25,Network,P4,SITE-01,67.0,Resolved
INC-00052,2026-06-10,Security,P3,SITE-04,33.7,Resolved
INC-00053,2026-01-01,Application,P2,SITE-01,34.4,Resolved
INC-00054,2026-02-16,Hardware,P1,SITE-01,11.1,Resolved
INC-00055,2026-05-25,Security,P3,SITE-01,32.3,Resolved
INC-00056,2026-04-08,Hardware,P3,SITE-03,42.8,Open
INC-00057,2026-06-01,Security,P3,SITE-02,50.9,Open
INC-00058,2026-03-09,Access,P3,SITE-01,63.4,Resolved
INC-00059,2026-06-13,Hardware,P4,SITE-02,19.1,Open
INC-00060,2026-02-16,Network,P4,SITE-01,11.4,Resolved
INC-00061,2026-04-12,Security,P4,SITE-04,10.9,Resolved
INC-00062,2026-01-08,Security,P3,SITE-02,56.9,Open
INC-00063,2026-05-10,Network,P2,SITE-01,54.3,Open
INC-00064,2026-04-26,Hardware,P1,SITE-03,66.0,Resolved
INC-00065,2026-05-28,Application,P4,SITE-03,61.0,Resolved
INC-00066,2026-04-07,Network,P1,SITE-03,49.5,Resolved
INC-00067,2026-02-05,Hardware,P2,SITE-04,13.5,Open
INC-00068,2026-06-20,Network,P4,SITE-02,30.1,Resolved
INC-00069,2026-03-22,Application,P2,SITE-01,5.1,Resolved
INC-00070,2026-03-17,Application,P2,SITE-02,45.2,Resolved
INC-00071,2026-01-22,Security,P3,SITE-01,19.5,Open
INC-00072,2026-01-06,Security,P3,SITE-04,35.7,Resolved
INC-00073,2026-02-07,Hardware,P1,SITE-02,9.2,Resolved
INC-00074,2026-01-17,Security,P2,SITE-04,62.1,Resolved
INC-00075,2026-02-24,Security,P3,SITE-01,52.9,Open
INC-00076,2026-06-21,Hardware,P2,SITE-03,54.4,Open
INC-00077,2026-03-04,Network,P2,SITE-03,15.3,Resolved
INC-00078,2026-06-19,Application,P1,SITE-03,70.7,Resolved
INC-00079,2026-04-07,Network,P1,SITE-02,5.6,Resolved
INC-00080,2026-06-01,Network,P2,SITE-04,63.4,Resolved
INC-00081,2026-04-06,Hardware,P3,SITE-04,68.6,Open
INC-00082,2026-06-08,Access,P2,SITE-02,71.6,Resolved
INC-00083,2026-02-01,Application,P1,SITE-01,57.2,Resolved
INC-00084,2026-03-07,Application,P3,SITE-01,8.4,Resolved
INC-00085,2026-02-21,Hardware,P2,SITE-01,48.5,Resolved
INC-00086,2026-06-15,Application,P3,SITE-04,39.9,Resolved
INC-00087,2026-06-04,Security,P3,SITE-02,66.0,Resolved
INC-00088,2026-04-28,Application,P3,SITE-01,25.2,Resolved
INC-00089,2026-02-06,Hardware,P4,SITE-03,57.3,Open
INC-00090,2026-01-22,Hardware,P3,SITE-01,19.4,Open
