month,category,budget,actual,variance
2023-12-01,Fasteners,10119,9445,-674
2023-12-01,Tooling,7950,7817,-133
2023-12-01,MRO,5331,5386,55
2023-12-01,Chemicals,3747,3587,-160
2023-12-01,Packaging,2881,2900,19
2023-12-01,Services,6745,6647,-98
2024-01-01,Raw Materials,71926,76802,4876
2024-01-01,Fasteners,10035,9698,-337
2024-01-01,Tooling,7890,7355,-535
2024-01-01,MRO,5495,5546,51
2024-01-01,Chemicals,3830,4058,228
2024-01-01,Packaging,2884,2797,-87
2024-01-01,Services,6512,6941,429
2024-02-01,Raw Materials,72205,70958,-1247
2024-02-01,Fasteners,10209,9622,-587
2024-02-01,Tooling,8136,8020,-116
2024-02-01,MRO,5283,5039,-244
2024-02-01,Chemicals,3857,3902,45
2024-02-01,Packaging,2861,2810,-51
2024-02-01,Services,6512,6672,160
2024-03-01,Raw Materials,72323,72154,-169
2024-03-01,Fasteners,9931,9291,-640
2024-03-01,Tooling,7771,8101,330
2024-03-01,MRO,5382,5647,265
2024-03-01,Chemicals,3751,3491,-260
2024-03-01,Packaging,2927,2784,-143
2024-03-01,Services,6734,6902,168
2024-04-01,Raw Materials,72417,70714,-1703
2024-04-01,Fasteners,9745,9219,-526
2024-04-01,Tooling,7786,7812,26
2024-04-01,MRO,5324,5458,134
2024-04-01,Chemicals,3773,3652,-121
2024-04-01,Packaging,2939,2769,-170
2024-04-01,Services,6733,6705,-28
2024-05-01,Raw Materials,69501,73003,3502
2024-05-01,Fasteners,10060,9698,-362
2024-05-01,Tooling,7808,8114,306
2024-05-01,MRO,5265,5603,338
2024-05-01,Chemicals,3720,3492,-228
2024-05-01,Packaging,2890,2881,-9
2024-05-01,Services,6511,6753,242
2024-06-01,Raw Materials,70572,69520,-1052
2024-06-01,Fasteners,10221,10209,-12
2024-06-01,Tooling,7767,7522,-245
2024-06-01,MRO,5305,5223,-82
2024-06-01,Chemicals,3713,3465,-248
2024-06-01,Packaging,2873,3012,139
2024-06-01,Services,6592,6181,-411
2024-07-01,Raw Materials,72700,73382,682
2024-07-01,Fasteners,10183,10298,115
2024-07-01,Tooling,7966,8202,236
2024-07-01,MRO,5306,5131,-175
2024-07-01,Chemicals,3678,3871,193
2024-07-01,Packaging,2874,3018,144
2024-07-01,Services,6478,6698,220
2024-08-01,Raw Materials,70545,74539,3994
2024-08-01,Fasteners,9751,9540,-211
2024-08-01,Tooling,7978,8194,216
2024-08-01,MRO,5298,5577,279
2024-08-01,Chemicals,3748,3688,-60
2024-08-01,Packaging,2947,3079,132
2024-08-01,Services,6621,6669,48
2024-09-01,Raw Materials,71890,72502,612
2024-09-01,Fasteners,9909,10437,528
2024-09-01,Tooling,8006,7579,-427
2024-09-01,MRO,5325,5552,227
2024-09-01,Chemicals,3816,3927,111
2024-09-01,Packaging,2859,2799,-60
2024-09-01,Services,6761,7026,265
2024-10-01,Raw Materials,69036,65894,-3142
2024-10-01,Fasteners,10016,9369,-647
2024-10-01,Tooling,7876,8215,339
2024-10-01,MRO,5401,5411,10
2024-10-01,Chemicals,3756,3976,220
2024-10-01,Packaging,2864,2753,-111
2024-10-01,Services,6674,6494,-180
2024-11-01,Raw Materials,72372,68821,-3551
2024-11-01,Fasteners,9859,10420,561
2024-11-01,Tooling,8101,8318,217
2024-11-01,MRO,5371,5040,-331
2024-11-01,Chemicals,3688,3618,-70
2024-11-01,Packaging,2963,2996,33
2024-11-01,Services,6593,6155,-438
2024-12-01,Raw Materials,71801,74711,2910
2024-12-01,Fasteners,9988,10204,216
2024-12-01,Tooling,7952,8065,113
2024-12-01,MRO,5482,5642,160
2024-12-01,Chemicals,3805,4046,241
2024-12-01,Packaging,2937,3042,105
2024-12-01,Services,6790,6383,-407
2025-01-01,Raw Materials,72472,75838,3366
2025-01-01,Fasteners,10137,9631,-506
2025-01-01,Tooling,7720,8248,528
2025-01-01,MRO,5410,5168,-242
2025-01-01,Chemicals,3735,3511,-224
2025-01-01,Packaging,2915,2869,-46
2025-01-01,Services,6743,6442,-301
2025-02-01,Raw Materials,70823,67363,-3460
2025-02-01,Fasteners,10138,9541,-597
2025-02-01,Tooling,8052,7959,-93
2025-02-01,MRO,5286,5312,26
2025-02-01,Chemicals,3640,3490,-150
2025-02-01,Packaging,2862,2968,106
2025-02-01,Services,6852,6927,75
2025-03-01,Raw Materials,70000,67318,-2682
2025-03-01,Fasteners,9773,9879,106
2025-03-01,Tooling,7934,8303,369
2025-03-01,MRO,5337,5013,-324
2025-03-01,Chemicals,3712,3890,178
2025-03-01,Packaging,3002,3077,75
2025-03-01,Services,6749,6764,15
2025-04-01,Raw Materials,69420,65083,-4337
2025-04-01,Fasteners,10193,9593,-600
2025-04-01,Tooling,7959,7561,-398
2025-04-01,MRO,5430,5409,-21
2025-04-01,Chemicals,3678,3652,-26
2025-04-01,Packaging,2910,2792,-118
2025-04-01,Services,6844,7082,238
2025-05-01,Raw Materials,69995,73458,3463
2025-05-01,Fasteners,10004,10243,239
2025-05-01,Tooling,7919,7390,-529
2025-05-01,MRO,5445,5075,-370
2025-05-01,Chemicals,3849,4018,169
2025-05-01,Packaging,2958,3006,48
2025-05-01,Services,6579,6780,201
2025-06-01,Raw Materials,72432,74837,2405
2025-06-01,Fasteners,10064,10011,-53
2025-06-01,Tooling,8051,7656,-395
2025-06-01,MRO,5334,5683,349
2025-06-01,Chemicals,3770,4027,257
2025-06-01,Packaging,2862,2871,9
2025-06-01,Services,6807,7234,427
2025-07-01,Raw Materials,69668,73195,3527
2025-07-01,Fasteners,9976,10184,208
2025-07-01,Tooling,7798,7986,188
2025-07-01,MRO,5363,5512,149
2025-07-01,Chemicals,3816,3740,-76
2025-07-01,Packaging,2878,2745,-133
2025-07-01,Services,6556,6336,-220
2025-08-01,Raw Materials,68884,67659,-1225
2025-08-01,Fasteners,10034,10043,9
2025-08-01,Tooling,7851,7666,-185
2025-08-01,MRO,5275,5294,19
2025-08-01,Chemicals,3774,3844,70
2025-08-01,Packaging,2847,2686,-161
2025-08-01,Services,6467,6488,21
2025-09-01,Raw Materials,70634,70984,350
2025-09-01,Fasteners,9846,9625,-221
2025-09-01,Tooling,8076,8399,323
2025-09-01,MRO,5536,5610,74
2025-09-01,Chemicals,3702,3870,168
2025-09-01,Packaging,2951,2975,24
2025-09-01,Services,6646,6306,-340
2025-10-01,Raw Materials,72193,69675,-2518
2025-10-01,Fasteners,10218,10895,677
2025-10-01,Tooling,7836,8325,489
2025-10-01,MRO,5501,5537,36
2025-10-01,Chemicals,3805,3962,157
2025-10-01,Packaging,2923,2869,-54
2025-10-01,Services,6518,6492,-26
2025-11-01,Raw Materials,69047,72369,3322
2025-11-01,Fasteners,9767,10242,475
2025-11-01,Tooling,7994,7567,-427
2025-11-01,MRO,5393,5102,-291
2025-11-01,Chemicals,3774,3811,37
2025-11-01,Packaging,2967,2865,-102
2025-11-01,Services,6866,6790,-76
2025-12-01,Raw Materials,71973,68966,-3007
2025-12-01,Fasteners,9951,10219,268
2025-12-01,Tooling,8062,8482,420
2025-12-01,MRO,5526,5406,-120
2025-12-01,Chemicals,3789,3730,-59
2025-12-01,Packaging,2937,3025,88
2025-12-01,Services,6474,6064,-410
2026-01-01,Raw Materials,69860,67690,-2170
2026-01-01,Fasteners,9770,10031,261
2026-01-01,Tooling,7816,7899,83
2026-01-01,MRO,5313,5499,186
2026-01-01,Chemicals,3723,3960,237
2026-01-01,Packaging,2841,2961,120
2026-01-01,Services,6713,6351,-362
2026-02-01,Raw Materials,71485,79439,7954
2026-02-01,Fasteners,10275,10803,528
2026-02-01,Tooling,7819,8334,515
2026-02-01,MRO,5307,5573,266
2026-02-01,Chemicals,3827,4053,226
2026-02-01,Packaging,2850,2737,-113
2026-02-01,Services,6620,7003,383
2026-03-01,Raw Materials,71474,78039,6565
2026-03-01,Fasteners,10299,10894,595
2026-03-01,Tooling,8006,7473,-533
2026-03-01,MRO,5426,5314,-112
2026-03-01,Chemicals,3714,3794,80
2026-03-01,Packaging,2927,2788,-139
2026-03-01,Services,6576,6308,-268
2026-04-01,Raw Materials,71543,79922,8379
2026-04-01,Fasteners,10134,10843,709
2026-04-01,Tooling,8114,8654,540
2026-04-01,MRO,5291,5062,-229
2026-04-01,Chemicals,3653,3763,110
2026-04-01,Packaging,2901,2941,40
2026-04-01,Services,6830,6540,-290
2026-05-01,Raw Materials,69748,76097,6349
2026-05-01,Fasteners,10040,9830,-210
2026-05-01,Tooling,7738,7865,127
2026-05-01,MRO,5433,5655,222
2026-05-01,Chemicals,3785,3783,-2
2026-05-01,Packaging,2973,2965,-8
2026-05-01,Services,6530,6122,-408
2026-06-01,Raw Materials,69686,76829,7143
2026-06-01,Fasteners,9999,9468,-531
2026-06-01,Tooling,7923,8122,199
2026-06-01,MRO,5300,5557,257
2026-06-01,Chemicals,3803,3922,119
2026-06-01,Packaging,2904,2870,-34
2026-06-01,Services,6838,6703,-135
2026-07-01,Raw Materials,69635,76875,7240
2026-07-01,Fasteners,10297,10327,30
2026-07-01,Tooling,7688,7369,-319
2026-07-01,MRO,5341,5291,-50
2026-07-01,Chemicals,3772,3666,-106
2026-07-01,Packaging,2894,2799,-95
2026-07-01,Services,6804,6328,-476
