po_id,supplier_id,date,due_date,line_items_count,total_value,status
PO00108,SUP023,2024-01-21,2024-02-14,5,18784.06,Open
PO00109,SUP012,2026-02-20,2026-03-01,10,46079.6,Invoiced
PO00110,SUP019,2026-04-01,2026-04-23,5,3966.64,Invoiced
PO00111,SUP014,2025-12-14,2025-12-22,1,62105.75,Cancelled
PO00112,SUP013,2025-05-30,2025-06-24,11,45008.62,Partial
PO00113,SUP011,2025-06-17,2025-08-05,5,13639.1,Partial
PO00114,SUP006,2026-05-19,2026-06-24,8,33467.61,Partial
PO00115,SUP015,2024-12-09,2025-01-08,12,37234.3,Partial
PO00116,SUP010,2024-05-24,2024-07-07,3,42265.04,Partial
PO00117,SUP001,2024-03-29,2024-05-13,4,12873.16,Partial
PO00118,SUP005,2025-12-25,2026-01-27,8,26875.44,Partial
PO00119,SUP005,2026-05-28,2026-06-15,3,8119.63,Cancelled
PO00120,SUP002,2025-09-19,2025-10-18,3,16630.92,Open
PO00121,SUP009,2025-09-15,2025-10-27,8,6897.89,Partial
PO00122,SUP006,2026-02-03,2026-02-11,12,77866.01,Received
PO00123,SUP022,2024-11-21,2024-12-27,8,38474.55,Received
PO00124,SUP004,2024-06-30,2024-07-23,1,24996.14,Received
PO00125,SUP017,2025-01-27,2025-03-20,4,32188.88,Received
PO00126,SUP003,2025-05-17,2025-06-14,11,30177.54,Received
PO00127,SUP024,2025-04-23,2025-05-12,11,25642.96,Cancelled
PO00128,SUP015,2025-10-27,2025-11-30,4,5772.43,Cancelled
PO00129,SUP011,2025-07-03,2025-08-01,9,12571.07,Cancelled
PO00130,SUP012,2024-11-03,2024-12-31,11,67674.11,Invoiced
PO00131,SUP019,2024-03-10,2024-04-08,11,54307.77,Invoiced
PO00132,SUP019,2025-05-16,2025-06-06,11,2911.01,Received
PO00133,SUP023,2025-05-18,2025-07-12,9,78816.38,Invoiced
PO00134,SUP004,2024-10-01,2024-11-19,11,59128.9,Partial
PO00135,SUP021,2026-06-03,2026-06-18,10,44779.44,Received
PO00136,SUP014,2025-06-28,2025-08-03,7,10171.81,Open
PO00137,SUP015,2024-11-16,2024-11-24,6,33947.49,Open
PO00138,SUP023,2024-12-21,2025-02-15,6,31242.21,Open
PO00139,SUP002,2025-05-20,2025-06-15,10,53362.27,Open
PO00140,SUP018,2025-06-17,2025-07-19,10,74264.59,Open
PO00141,SUP003,2025-01-16,2025-02-27,9,51890.76,Open
PO00142,SUP016,2024-03-14,2024-05-06,9,37543.11,Received
PO00143,SUP019,2025-04-12,2025-04-19,2,62120.11,Cancelled
PO00144,SUP017,2024-08-06,2024-09-23,2,30592.41,Cancelled
PO00145,SUP006,2025-10-25,2025-11-17,3,5592.24,Open
PO00146,SUP012,2025-10-16,2025-10-27,2,34619.46,Cancelled
PO00147,SUP014,2025-09-16,2025-09-23,6,22948.56,Partial
PO00148,SUP025,2024-06-04,2024-07-06,9,67021.56,Open
PO00149,SUP020,2026-04-19,2026-05-15,12,38314.08,Invoiced
PO00150,SUP024,2024-01-02,2024-02-22,3,56788.33,Received
PO00151,SUP016,2025-12-24,2026-01-06,1,79990.15,Cancelled
PO00152,SUP008,2024-05-09,2024-06-06,8,31380.64,Received
PO00153,SUP004,2024-07-04,2024-07-26,1,68683.99,Received
PO00154,SUP010,2025-06-04,2025-07-20,10,64965.1,Open
PO00155,SUP011,2025-02-23,2025-04-16,5,81210.15,Received
PO00156,SUP003,2025-03-29,2025-04-13,2,62787.89,Partial
PO00157,SUP013,2024-08-02,2024-09-27,2,67293.24,Invoiced
PO00158,SUP023,2025-01-30,2025-03-26,12,38938.33,Open
PO00159,SUP021,2024-03-09,2024-04-21,9,42322.02,Received
PO00160,SUP012,2024-01-21,2024-03-11,6,25926.89,Partial
PO00161,SUP012,2025-09-26,2025-10-15,2,46740.64,Received
PO00162,SUP004,2024-06-01,2024-06-30,5,76725.78,Open
PO00163,SUP019,2025-08-17,2025-09-24,4,22124.4,Open
PO00164,SUP008,2025-01-01,2025-02-18,1,79287.89,Partial
PO00165,SUP023,2024-01-07,2024-02-11,7,21975.95,Cancelled
PO00166,SUP004,2025-10-27,2025-12-08,11,32997.6,Received
PO00167,SUP021,2025-08-24,2025-09-17,4,35063.65,Open
PO00168,SUP007,2024-03-31,2024-04-25,6,76942.18,Received
PO00169,SUP025,2025-09-22,2025-10-17,9,55430.14,Cancelled
PO00170,SUP005,2026-03-10,2026-03-18,8,65100.2,Partial
PO00171,SUP024,2026-06-24,2026-07-23,11,84318.88,Partial
PO00172,SUP011,2025-07-02,2025-07-28,1,15438.51,Received
PO00173,SUP015,2026-01-07,2026-02-13,7,58460.84,Received
PO00174,SUP004,2025-07-21,2025-07-31,7,64512.33,Cancelled
PO00175,SUP005,2024-12-09,2024-12-27,8,50408.07,Partial
PO00176,SUP009,2024-10-04,2024-11-02,2,60677.71,Invoiced
PO00177,SUP002,2025-02-19,2025-03-26,8,25607.67,Received
PO00178,SUP003,2026-01-20,2026-03-21,1,72386.97,Invoiced
PO00179,SUP007,2024-01-16,2024-02-18,4,61660.3,Partial
PO00180,SUP007,2026-05-04,2026-06-26,8,9189.71,Invoiced
PO00181,SUP009,2024-06-20,2024-07-18,8,74469.45,Partial
PO00182,SUP009,2024-07-08,2024-09-04,4,39386.72,Received
PO00183,SUP011,2024-08-03,2024-09-23,5,48285.95,Cancelled
PO00184,SUP005,2024-11-14,2024-12-24,7,44456.98,Invoiced
PO00185,SUP021,2025-10-27,2025-12-20,4,14515.87,Partial
PO00186,SUP025,2024-08-14,2024-09-11,1,16068.59,Received
PO00187,SUP015,2025-04-01,2025-04-24,11,33923.37,Invoiced
PO00188,SUP001,2024-07-16,2024-08-06,9,22030.31,Open
PO00189,SUP008,2025-05-03,2025-05-10,6,45103.99,Cancelled
PO00190,SUP022,2025-12-30,2026-02-06,12,28804.84,Received
PO00191,SUP006,2026-03-18,2026-03-30,11,75566.1,Received
PO00192,SUP024,2024-02-16,2024-02-25,12,26305.28,Received
PO00193,SUP007,2025-11-08,2025-12-02,3,82090.61,Open
PO00194,SUP007,2024-08-19,2024-10-08,9,40939.69,Received
PO00195,SUP018,2024-11-04,2024-12-04,4,30828.08,Open
PO00196,SUP002,2024-05-08,2024-05-21,6,56550.03,Cancelled
PO00197,SUP008,2025-07-10,2025-07-29,7,32405.49,Invoiced
PO00198,SUP009,2025-10-17,2025-12-11,4,34899.8,Partial
PO00199,SUP017,2025-01-19,2025-03-13,10,78262.78,Invoiced
PO00200,SUP003,2025-09-12,2025-10-25,8,46299.56,Partial
PO00201,SUP023,2024-04-26,2024-06-25,4,60473.08,Partial
PO00202,SUP010,2026-03-31,2026-04-27,12,27602.54,Received
PO00203,SUP020,2025-02-03,2025-03-13,8,16545.68,Partial
PO00204,SUP019,2024-11-15,2024-12-01,9,18159.69,Invoiced
PO00205,SUP021,2025-07-10,2025-08-19,11,33784.15,Cancelled
PO00206,SUP014,2025-02-13,2025-03-06,4,69243.19,Received
PO00207,SUP017,2026-04-09,2026-04-18,10,7404.85,Partial
PO00208,SUP009,2026-01-19,2026-02-02,7,43649.76,Partial
PO00209,SUP020,2026-03-23,2026-04-28,8,980.94,Partial
PO00210,SUP022,2024-09-22,2024-11-10,10,10117.5,Partial
PO00211,SUP002,2026-06-11,2026-07-15,6,54833.33,Cancelled
PO00212,SUP013,2024-12-27,2025-01-09,3,78935.04,Cancelled
PO00213,SUP016,2025-12-01,2026-01-17,11,61251.07,Invoiced
PO00214,SUP001,2025-04-14,2025-05-13,4,29942.11,Received
PO00215,SUP017,2024-09-11,2024-10-04,6,35417.9,Invoiced
PO00216,SUP007,2024-08-14,2024-09-09,11,51250.45,Cancelled
PO00217,SUP011,2024-04-21,2024-05-19,12,45444.84,Received
PO00218,SUP023,2026-06-25,2026-07-15,1,50686.56,Partial
PO00219,SUP016,2025-02-14,2025-02-23,6,48459.77,Cancelled
PO00220,SUP014,2026-01-27,2026-03-27,6,57114.78,Cancelled
PO00221,SUP003,2024-06-20,2024-07-14,10,77847.21,Received
PO00222,SUP008,2026-03-03,2026-03-29,5,8749.06,Cancelled
PO00223,SUP016,2026-03-28,2026-05-11,7,49632.47,Received
PO00224,SUP017,2025-08-24,2025-09-09,6,57304.73,Invoiced
PO00225,SUP004,2026-04-06,2026-05-01,11,50812.27,Cancelled
PO00226,SUP007,2026-02-10,2026-03-10,11,55602.73,Received
PO00227,SUP020,2024-02-18,2024-03-29,4,7601.81,Open
PO00228,SUP023,2025-02-04,2025-03-27,11,43990.65,Cancelled
PO00229,SUP023,2024-09-27,2024-11-25,5,66295.57,Cancelled
PO00230,SUP017,2025-03-23,2025-05-22,9,77973.06,Received
PO00231,SUP005,2024-01-04,2024-02-09,2,45445.15,Open
PO00232,SUP013,2025-09-23,2025-10-16,5,71237.44,Invoiced
PO00233,SUP005,2025-02-07,2025-04-03,10,42590.1,Open
PO00234,SUP017,2026-01-02,2026-02-26,8,58511.03,Open
PO00235,SUP011,2024-08-21,2024-10-13,10,47490.65,Cancelled
PO00236,SUP009,2026-04-18,2026-04-26,6,64004.38,Open
PO00237,SUP019,2024-03-07,2024-04-20,10,49769.04,Invoiced
PO00238,SUP018,2025-10-10,2025-11-06,11,67129.79,Open
PO00239,SUP016,2024-10-22,2024-11-08,7,7251.3,Received
PO00240,SUP005,2025-03-30,2025-04-25,1,25566.05,Open
PO00241,SUP006,2026-05-04,2026-05-21,9,57934.56,Invoiced
PO00242,SUP019,2025-10-20,2025-12-15,4,55403.79,Open
PO00243,SUP018,2024-04-28,2024-05-08,12,20433.46,Cancelled
PO00244,SUP022,2024-10-09,2024-10-30,2,47529.75,Open
PO00245,SUP002,2024-01-31,2024-02-26,11,73871.29,Received
PO00246,SUP009,2025-02-15,2025-02-24,2,75616.33,Received
PO00247,SUP018,2025-10-03,2025-11-01,5,56905.47,Invoiced
PO00248,SUP019,2026-01-13,2026-03-12,11,39164.56,Received
PO00249,SUP013,2026-03-04,2026-03-25,2,55622.62,Open
PO00250,SUP017,2024-03-14,2024-03-21,9,37242.0,Cancelled
PO00251,SUP002,2024-10-01,2024-11-20,3,62803.5,Partial
PO00252,SUP022,2025-04-04,2025-05-19,1,82681.97,Partial
PO00253,SUP009,2025-11-17,2025-11-26,7,23387.67,Invoiced
PO00254,SUP006,2024-08-15,2024-09-14,10,72200.68,Partial
PO00255,SUP018,2025-05-29,2025-07-06,7,80605.76,Open
PO00256,SUP018,2026-01-05,2026-03-04,7,24377.89,Invoiced
PO00257,SUP023,2024-10-16,2024-10-27,3,7300.47,Received
PO00258,SUP010,2025-08-06,2025-09-06,1,30089.32,Received
PO00259,SUP025,2025-05-26,2025-06-04,12,33613.52,Cancelled
PO00260,SUP005,2024-08-19,2024-09-16,3,33569.65,Received
PO00261,SUP013,2024-04-01,2024-04-15,4,71996.14,Invoiced
PO00262,SUP018,2025-04-30,2025-05-10,12,27567.35,Open
PO00263,SUP014,2024-06-14,2024-08-13,10,43333.7,Cancelled
PO00264,SUP024,2025-01-17,2025-02-12,9,42148.89,Open
PO00265,SUP024,2026-03-31,2026-04-10,10,36888.4,Cancelled
PO00266,SUP004,2024-09-30,2024-10-31,10,52034.87,Invoiced
PO00267,SUP008,2026-04-04,2026-05-31,9,74030.57,Partial
PO00268,SUP013,2026-01-09,2026-01-18,2,37226.09,Cancelled
PO00269,SUP017,2024-12-12,2025-01-23,7,38906.94,Cancelled
PO00270,SUP017,2025-09-09,2025-10-07,4,62465.09,Partial
PO00271,SUP020,2025-04-06,2025-06-01,6,68004.9,Invoiced
PO00272,SUP007,2024-02-12,2024-03-04,11,33517.52,Open
PO00273,SUP020,2025-08-07,2025-09-19,4,11137.54,Open
PO00274,SUP008,2026-03-14,2026-04-24,12,63011.07,Open
PO00275,SUP021,2025-01-15,2025-03-09,8,74772.68,Partial
PO00276,SUP005,2026-06-07,2026-08-06,12,16493.34,Cancelled
PO00277,SUP018,2024-07-23,2024-08-27,12,44818.81,Received
PO00278,SUP015,2024-03-22,2024-04-27,2,46961.97,Partial
PO00279,SUP018,2026-06-20,2026-07-31,1,39040.93,Cancelled
PO00280,SUP004,2025-12-07,2025-12-23,1,21738.04,Cancelled
PO00281,SUP011,2024-11-05,2024-12-02,7,27330.23,Cancelled
PO00282,SUP008,2025-12-07,2026-01-07,12,64158.44,Cancelled
PO00283,SUP007,2025-12-23,2026-02-03,11,64326.65,Received
PO00284,SUP020,2024-05-26,2024-07-22,11,69021.98,Received
PO00285,SUP007,2026-05-31,2026-06-10,5,82301.77,Received
PO00286,SUP004,2024-02-28,2024-03-20,8,50732.55,Invoiced
PO00287,SUP018,2026-04-14,2026-05-02,1,26039.32,Invoiced
PO00288,SUP015,2025-07-30,2025-09-20,12,18659.85,Open
PO00289,SUP025,2024-04-04,2024-04-22,4,17474.71,Cancelled
PO00290,SUP023,2025-08-05,2025-10-02,12,18897.97,Cancelled
PO00291,SUP021,2025-04-27,2025-06-18,12,29824.06,Open
PO00292,SUP003,2024-07-02,2024-08-16,3,50325.92,Invoiced
PO00293,SUP005,2025-09-25,2025-10-11,1,6239.94,Received
PO00294,SUP015,2024-01-15,2024-03-09,5,27632.82,Cancelled
PO00295,SUP009,2025-12-31,2026-01-07,11,47171.77,Partial
PO00296,SUP002,2026-01-11,2026-02-17,12,25571.26,Open
PO00297,SUP003,2024-08-19,2024-10-03,3,46007.97,Received
PO00298,SUP014,2025-08-16,2025-09-19,12,26876.25,Received
PO00299,SUP018,2026-05-10,2026-05-26,7,47901.64,Open
PO00300,SUP008,2025-07-15,2025-07-22,12,2128.58,Received
PO00301,SUP008,2025-07-29,2025-08-17,4,78056.53,Cancelled
PO00302,SUP024,2026-02-24,2026-04-25,4,80293.85,Cancelled
PO00303,SUP003,2024-11-02,2024-12-25,1,24485.85,Cancelled
PO00304,SUP003,2025-09-12,2025-10-07,6,75599.46,Cancelled
PO00305,SUP003,2025-11-16,2026-01-08,6,45786.64,Invoiced
PO00306,SUP004,2025-10-22,2025-11-02,1,34130.56,Invoiced
PO00307,SUP020,2024-10-22,2024-12-10,3,67994.22,Invoiced
PO00308,SUP006,2024-06-17,2024-07-09,2,63239.22,Cancelled
PO00309,SUP024,2025-05-31,2025-07-14,12,77524.26,Partial
PO00310,SUP023,2025-11-23,2026-01-02,10,18274.51,Received
PO00311,SUP002,2024-03-06,2024-05-02,1,84636.13,Invoiced
PO00312,SUP020,2026-03-23,2026-05-02,12,6841.14,Open
PO00313,SUP016,2024-06-11,2024-07-02,3,61959.17,Received
PO00314,SUP021,2026-06-22,2026-08-11,8,25849.88,Cancelled
PO00315,SUP017,2024-08-30,2024-10-27,1,8160.05,Partial
PO00316,SUP009,2024-05-06,2024-05-13,9,80480.53,Received
PO00317,SUP010,2026-02-18,2026-03-14,5,13299.27,Received
PO00318,SUP016,2024-10-25,2024-11-09,5,51042.63,Partial
PO00319,SUP003,2026-04-06,2026-05-14,9,28515.93,Partial
PO00320,SUP016,2026-02-05,2026-03-15,1,13622.52,Invoiced
PO00321,SUP005,2025-06-03,2025-07-22,11,16538.95,Open
PO00322,SUP020,2024-03-08,2024-04-07,8,77629.2,Invoiced
PO00323,SUP003,2024-01-11,2024-02-05,11,20782.05,Invoiced
PO00324,SUP015,2026-02-26,2026-04-10,12,68956.46,Received
PO00325,SUP010,2024-04-02,2024-04-10,11,63659.28,Received
PO00326,SUP010,2024-05-27,2024-06-25,1,27711.18,Cancelled
PO00327,SUP007,2024-04-18,2024-04-28,7,64938.11,Cancelled
PO00328,SUP018,2024-10-27,2024-11-21,2,80427.39,Cancelled
PO00329,SUP015,2026-03-17,2026-04-20,11,78324.95,Invoiced
PO00330,SUP014,2024-03-30,2024-05-20,8,78769.88,Invoiced
PO00331,SUP015,2025-12-19,2026-01-06,10,81375.3,Received
PO00332,SUP024,2026-06-08,2026-06-16,5,14876.98,Invoiced
PO00333,SUP016,2025-01-10,2025-03-08,12,46642.67,Open
PO00334,SUP002,2024-04-05,2024-05-26,5,5854.24,Open
PO00335,SUP017,2026-01-14,2026-01-30,6,78314.35,Received
PO00336,SUP007,2024-02-18,2024-03-20,6,8669.44,Cancelled
PO00337,SUP014,2025-07-24,2025-08-10,6,76220.11,Partial
PO00338,SUP005,2026-03-24,2026-05-23,9,43916.54,Open
PO00339,SUP010,2025-09-15,2025-10-18,1,70145.38,Partial
PO00340,SUP014,2025-07-31,2025-08-08,6,71738.88,Invoiced
PO00341,SUP010,2025-10-20,2025-12-07,10,63076.19,Open
PO00342,SUP016,2026-02-05,2026-02-12,5,11126.98,Open
PO00343,SUP025,2024-10-16,2024-11-22,4,71454.41,Invoiced
PO00344,SUP015,2025-07-26,2025-09-05,8,28508.63,Received
PO00345,SUP013,2024-08-17,2024-09-03,3,74164.45,Invoiced
PO00346,SUP009,2024-10-29,2024-11-12,4,19996.49,Received
PO00347,SUP011,2025-07-19,2025-09-05,1,73313.62,Open
PO00348,SUP002,2024-08-08,2024-09-14,12,40773.19,Open
PO00349,SUP005,2024-09-01,2024-10-30,4,27342.1,Received
PO00350,SUP007,2024-12-04,2025-01-31,1,37396.16,Cancelled
PO00351,SUP010,2025-11-16,2025-11-28,12,69059.85,Partial
PO00352,SUP016,2024-02-24,2024-04-03,9,17541.93,Invoiced
PO00353,SUP013,2026-05-23,2026-06-01,5,8589.58,Open
PO00354,SUP010,2024-08-18,2024-09-15,5,19076.14,Partial
PO00355,SUP019,2024-04-24,2024-06-15,11,60093.29,Invoiced
PO00356,SUP005,2026-05-10,2026-06-05,6,56634.99,Cancelled
PO00357,SUP024,2024-10-20,2024-12-07,7,53413.6,Received
PO00358,SUP007,2024-08-24,2024-09-03,5,69506.8,Received
PO00359,SUP002,2025-11-13,2026-01-01,12,29138.26,Open
PO00360,SUP017,2024-05-01,2024-05-31,11,43891.99,Partial
PO00361,SUP008,2024-12-17,2024-12-24,7,11098.96,Received
PO00362,SUP012,2026-05-08,2026-06-18,11,3322.56,Invoiced
PO00363,SUP020,2024-10-09,2024-11-24,2,82050.77,Partial
PO00364,SUP025,2024-09-02,2024-10-07,4,20628.59,Open
PO00365,SUP006,2026-04-13,2026-06-12,10,74162.32,Invoiced
PO00366,SUP013,2026-01-28,2026-02-26,6,34551.65,Invoiced
PO00367,SUP011,2026-06-07,2026-07-26,1,72793.35,Received
PO00368,SUP001,2025-10-15,2025-11-25,1,32120.95,Invoiced
PO00369,SUP023,2024-10-31,2024-12-25,8,81081.94,Invoiced
PO00370,SUP023,2024-06-05,2024-07-10,10,31729.06,Received
PO00371,SUP006,2026-03-07,2026-04-30,5,33979.22,Open
PO00372,SUP018,2024-07-12,2024-08-31,6,74729.09,Invoiced
PO00373,SUP004,2024-09-18,2024-10-22,2,53686.4,Open
PO00374,SUP004,2026-01-17,2026-02-09,1,62096.49,Invoiced
PO00375,SUP017,2024-08-19,2024-09-12,1,968.16,Cancelled
PO00376,SUP003,2026-03-31,2026-05-20,11,36087.98,Open
PO00377,SUP004,2026-01-23,2026-01-31,9,61777.21,Received
PO00378,SUP025,2024-04-22,2024-05-27,4,26610.49,Invoiced
PO00379,SUP024,2025-08-01,2025-09-04,4,15296.11,Partial
PO00380,SUP012,2024-08-14,2024-10-01,4,72307.01,Cancelled
PO00381,SUP011,2024-07-25,2024-08-07,8,83484.06,Received
PO00382,SUP018,2025-01-19,2025-02-01,3,79534.33,Received
PO00383,SUP009,2024-01-24,2024-03-12,11,4476.07,Received
PO00384,SUP011,2025-08-10,2025-08-29,8,71408.86,Partial
PO00385,SUP018,2024-03-26,2024-05-06,4,29539.08,Open
PO00386,SUP006,2024-05-28,2024-07-09,8,81039.47,Partial
PO00387,SUP001,2025-11-18,2025-12-28,10,41991.77,Cancelled
PO00388,SUP023,2025-06-13,2025-08-05,5,73994.86,Received
PO00389,SUP012,2024-03-24,2024-05-10,9,79688.96,Open
PO00390,SUP023,2026-05-04,2026-05-21,7,26761.92,Open
PO00391,SUP021,2024-11-04,2024-12-18,3,74154.28,Invoiced
PO00392,SUP010,2024-03-15,2024-04-15,12,20148.65,Partial
PO00393,SUP010,2025-05-17,2025-06-22,11,50478.69,Received
PO00394,SUP016,2025-10-20,2025-12-05,7,52224.48,Received
